['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'ইনস্টিটিউট', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও']
['জার্সি', 'বলিয়াছেন', 'কমেছে', 'অনেকটাই', 'দলিত', 'শুনেছে', 'খামারে', 'ইন্ডাস্ট্রি', 'সাউথ', 'হার']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'তনিমা', 'বাঙালী']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'লাগলেও', 'এসেছিলো', 'আঠারো']
['জিতেছে', 'বিনষ্ট', 'ভলান্টিয়ার', 'সাউথ', 'জনগোষ্ঠী', 'নামলাম', 'প্রশিক্ষক', 'বাঙালী', 'ডিআইজি', 'টিচার']
['জার্সি', 'দলিত', 'বলিয়াছেন', 'কমেছে', 'শুনিনি', 'নোনা', 'বিদেশে', 'অনেকটাই', 'হোয়াইট', '১৫৮']
['কমেছে', 'চাইনা', 'শুনিনি', 'দলিত', 'বেকারত্ব', 'সাউথ', 'বলিয়াছেন', 'জার্সি', 'অনুপস্থিত', '১৫৮']
['২০১২', '১টা', 'দক্ষিণা', 'সালে', 'সা\u200cলে', '\u200eসালে', 'সুনির্দিষ্ট', 'ফেলতে', 'চলেন', 'উদ্যোগ']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'আঠারো', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'লাগলেও', 'এসেছিলো', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও', 'এসেছিলো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'করেছে', 'ক\u200cরে\u200cছে', 'ইনস্টিটিউট', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['কমেছে', 'চাইনা', 'চাইবেন', 'নগণ্য', 'ভালোবাসবে', 'জার্সি', 'বলিয়াছেন', 'হচ্ছি', 'প্রমানিত', 'ভালোবাসে']
['কমেছে', 'চাইনা', 'হোয়াইট', 'নগণ্য', 'চাইবেন', 'ভালোবাসে', 'জার্সি', 'হচ্ছি', 'ফিরব', 'গেছে']
['কমেছে', 'চাইবেন', 'চাইনা', 'হোয়াইট', 'নগণ্য', 'হচ্ছি', 'পারছি', 'ভালোবাসবে', 'আক্রোশ', 'ভালোবাসে']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'ইনস্টিটিউট', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও']
['কমেছে', 'চাইনা', 'নগণ্য', 'চাইবেন', 'ভালোবাসে', 'হোয়াইট', 'হচ্ছি', 'ভালোবাসবে', 'জার্সি', 'বলিয়াছেন']
['একপে', 'অ্যাঞ্জেলো', 'শুদ্র', 'খুড়ে', 'গণিতে', 'গমনে', 'চিলা', 'মস্তকে', 'ব্রোঞ্জে', 'পাণ্ডে']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'আওয়ারা', 'প্রশাসকেরা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'আত্মীয়েরা', 'সচেতনা', 'চোরেরা', 'প্রশাসকেরা', 'পিসা', 'কারারা', 'আওয়ারা', 'নবজাতকেরা', 'কলকা']
['সস্তায়', 'পকেটে', 'এটাতে', 'জামে', 'ঘট', '৪২', 'চালাকি', 'কুরাইশ', 'পাগলি', '১৯৪৮']
['আত্মীয়েরা', 'সচেতনা', 'প্রশাসকেরা', 'পশুরা', 'চিলা', 'দোসরা', 'কুড়া', 'কলকা', 'লাইলা', 'অপরাধীরা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'আধুনিকা', 'ভান্ডারা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'কারারা', 'আত্মীয়েরা', 'পিসা', 'আওয়ারা', 'অচলা', 'প্রশাসকেরা', 'ভান্ডারা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'আওয়ারা', 'প্রশাসকেরা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'আধুনিকা', 'ভান্ডারা']
['চাইনা', 'নিয়েও', 'আক্রোশ', 'শুনেছে', 'খেয়েছে', 'চাইছি', 'সন্ত্রাসী', 'খাতে', 'হইয়াছিল', 'উঠছিল']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'সচেতনা', 'আত্মীয়েরা', 'চোরেরা', 'প্রশাসকেরা', 'পিসা', 'কারারা', 'আওয়ারা', 'আধুনিকা', 'ভান্ডারা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'অচলা', 'আওয়ারা', 'ভান্ডারা']
['আসামি', 'ছাত্রছাত্রী', 'দারোগা', 'উনিশ', 'মেয়েটা', 'ভালবাসে', 'বেরোচ্ছে', 'চলিতেছে', 'ছাত্র', 'হইয়াছে']
['চাইনা', 'আক্রোশ', 'বেকারত্ব', '১৫৮', 'ধরে', 'ধ\u200cরে', 'বিদেশে', 'জিতল', 'কলেজছাত্র', 'দলিত']
['চাইনা', 'বেকারত্ব', 'হচ্ছে', 'হ\u200cচ্ছে', 'অনুপস্থিত', 'সংবাদমাধ্যমে', 'হারে', 'সংখ্যালঘুদের', 'গোলটেবিল', 'ধরে']
['ফাউ', 'ফর্সা', 'বাঘ', 'কইতে', 'মোর্চা', 'ট্রেনে', 'আসলো', 'ফোরামের', '১৯০', 'গাল']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'প্রশাসকেরা', 'আওয়ারা', 'ভান্ডারা', 'অচলা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'কারারা', 'আত্মীয়েরা', 'পিসা', 'আওয়ারা', 'প্রশাসকেরা', 'অচলা', 'ভান্ডারা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'আওয়ারা', 'প্রশাসকেরা', 'ভান্ডারা', 'আধুনিকা']
['দোসরা', 'চোরেরা', 'কারারা', 'সচেতনা', 'আওয়ারা', 'আত্মীয়েরা', 'পিসা', 'অপরিচিতা', 'জুডা', 'ভান্ডারা']
['দোসরা', 'চোরেরা', 'সচেতনা', 'কারারা', 'আত্মীয়েরা', 'পিসা', 'আওয়ারা', 'অপরিচিতা', 'অচলা', 'জুডা']
['দোসরা', 'সচেতনা', 'চোরেরা', 'আত্মীয়েরা', 'কারারা', 'পিসা', 'আওয়ারা', 'প্রশাসকেরা', 'ভান্ডারা', 'অচলা']
['চিত্রলের', 'নিনিত', 'রক্তবাহ', 'কাপলের', 'ভোগ', 'মিশালের', 'স্মৃতিচারণামূলক', 'পাটাতন', 'নির্জীব', 'কারনালের']
['অধিনে', 'পরাজয়ে', 'হ্যামে', 'রৌদ্রে', 'ফান্ডে', 'হ্যাটে', 'খন্ডে', 'কর্মকান্ডে', 'মহাবিশ্বে', 'কলহে']
['নিনিত', 'স্মৃতিচারণামূলক', 'রক্তবাহ', 'অধিনে', 'চিত্রলের', 'পরাজয়ে', 'রৌদ্রে', 'প্রথিত', 'কনসালটিং', 'কর্মকান্ডে']
['দোসরা', 'সচেতনা', 'চোরেরা', 'কারারা', 'আত্মীয়েরা', 'পিসা', 'আওয়ারা', 'অচলা', 'প্রশাসকেরা', 'ভান্ডারা']
['চিত্রলের', 'নিনিত', 'রক্তবাহ', 'স্মৃতিচারণামূলক', 'অধিনে', 'পরাজয়ে', 'রৌদ্রে', 'নির্জীব', 'কাপলের', 'মিশালের']
['অ্যালানিন', 'অ্যাডোনিস', 'অরলিন্স', 'ব্যাসিলাস', 'টোঙ্গান', 'অভিযোজন', 'নুডুলস', 'ইফতিকার', 'কোয়ার্টেট', 'বাতোসাই']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'নেগারা', 'কলাতিয়া', 'আয়তাকার', 'লতাশিল', 'ইষ্টার্ন']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'ময়রারা', 'কলাতিয়া', 'এলমিরা', 'লতাশিল']
['তেসরা', 'কাকাতুয়া', 'ময়রারা', 'ছনুয়া', 'তুজলা', 'কৈরালা', 'মাগলরা', 'এলমিরা', 'আয়তাকার', 'কাগতিয়া']
['সস্তায়', 'ঘট', 'পকেটে', 'এটাতে', 'মেডেল', 'কুরাইশ', 'জামে', 'বেস্ট', 'চাঁদা', 'সর্বোপরি']
['তেসরা', 'ময়রারা', 'ব্যাসিলাস', 'অরলিন্স', 'অভিযোজন', 'তুজলা', 'বাকুনিন', 'টোঙ্গান', 'প্রস্টেট', 'প্রত্যাশীরা']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'ময়রারা', 'আয়তাকার', 'এলমিরা', 'কলাতিয়া', 'তুজলা']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'নেগারা', 'কলাতিয়া', 'লতাশিল', 'আয়তাকার', 'ইষ্টার্ন']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'ময়রারা', 'আয়তাকার', 'এলমিরা', 'কলাতিয়া', 'তুজলা']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'ময়রারা', 'কলাতিয়া', 'এলমিরা', 'লতাশিল']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'ময়রারা', 'আয়তাকার', 'এলমিরা', 'কলাতিয়া', 'তুজলা']
['চাইনা', 'নিয়েও', 'চাইবেন', 'শুনেছে', 'চাইছি', 'বলিয়াছেন', 'বেকারত্ব', 'খেয়েছে', 'জার্সি', 'কমেছে']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'ময়রারা', 'কলাতিয়া', 'এলমিরা', 'লতাশিল']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'ময়রারা', 'কাগতিয়া', 'আয়তাকার', 'এলমিরা', 'তুজলা', 'মাগলরা']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'কলাতিয়া', 'লতাশিল', 'ইষ্টার্ন', 'নেগারা']
['দারোগা', 'উনিশ', 'আসামি', 'মেয়েটা', 'ছাত্রছাত্রী', 'ভলান্টিয়ার', 'ভালবাসে', 'হইয়াছে', 'বক্তারা', 'ছাত্র']
['চাইনা', 'বেকারত্ব', 'ধরে', 'ধ\u200cরে', 'দলিত', 'লিখি', 'আক্রোশ', 'রিকোয়েস্ট', '১৫৮', 'বলিয়াছেন']
['চাইনা', 'বেকারত্ব', 'অনুপস্থিত', 'গোলটেবিল', 'হাসছে', 'ধরে', 'ধ\u200cরে', 'হচ্ছে', 'হ\u200cচ্ছে', 'সংখ্যালঘুদের']
['ফর্সা', 'কইতে', 'ফাউ', 'মোর্চা', 'ফোরামের', 'ট্রেনে', 'বাঘ', 'জোয়ার', 'আসলো', 'আসেনা']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'ময়রারা', 'কলাতিয়া', 'এলমিরা', 'লতাশিল']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'কলাতিয়া', 'নেগারা', 'লতাশিল', 'ইষ্টার্ন']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'কলাতিয়া', 'আয়তাকার', 'নেগারা', 'ময়রারা', 'লতাশিল']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'নেগারা', 'কৈরালা', 'কাগতিয়া', 'কলাতিয়া', 'দজলা', 'লতাশিল', 'আয়তাকার']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'নেগারা', 'কৈরালা', 'কাগতিয়া', 'কলাতিয়া', 'লতাশিল', 'ইষ্টার্ন', 'আয়তাকার']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'আয়তাকার', 'ময়রারা', 'কলাতিয়া', 'লতাশিল', 'নেগারা']
['ট্রান্সককেশিয়া', 'হাড়মাসড়া', 'ক্রাতেরোস', 'ইফ্রিকিয়ার', 'বিকলাঙ্গতা', 'সাধ্যমতো', 'ধোনির', 'কৌলিবিজ্ঞান', 'বালাকোট', 'কিশোরীকে']
['ইফ্রিকিয়ার', 'পরিক্রমন', 'ট্রান্সককেশিয়া', 'হাড়মাসড়া', 'ক্রাতেরোস', 'গ্যালভানোমিটার', 'বিকলাঙ্গতা', 'শ্বসনতন্ত্র', 'বালাকোট', 'সোতেরোস']
['ট্রান্সককেশিয়া', 'ক্রাতেরোস', 'হাড়মাসড়া', 'ইফ্রিকিয়ার', 'গ্যালভানোমিটার', 'সোতেরোস', 'কৌলিবিজ্ঞান', 'ধৌলপুর', 'বালাকোট', 'পরিক্রমন']
['তেসরা', 'কাকাতুয়া', 'ছনুয়া', 'কৈরালা', 'কাগতিয়া', 'নেগারা', 'কলাতিয়া', 'লতাশিল', 'আয়তাকার', 'ইষ্টার্ন']
['ট্রান্সককেশিয়া', 'ইফ্রিকিয়ার', 'ক্রাতেরোস', 'হাড়মাসড়া', 'অ্যাস্টেরিক্স', 'গ্যালভানোমিটার', 'ধোনির', 'বিকলাঙ্গতা', 'পরিক্রমন', 'কৌলিবিজ্ঞান']
['ঘোরে', 'ইমাম', 'ভিন্ন', 'দেখাচ্ছিল', 'অবিশ্বাস', 'মার্টিন', 'নীতির', 'অটি', 'বিড়ালের', 'পাঠাবেন']
['ডাউস', 'স্ট্রিটস', 'অগাস্ট', 'ঘুচাতে', 'হ্যানস', 'চৌঠা', 'বাচাতে', 'জ্যামাইকান', 'গড্রিক', 'বেড়িয়েছেন']
['অগাস্ট', 'চৌঠা', 'ঘুচাতে', 'ডাউস', 'বাচাতে', 'স্ট্রিটস', 'ডিল্যাক্স', 'গড্রিক', 'বেড়িয়েছেন', 'মুনীর']
['মোক্তার', 'ডাইস', 'ঠেস', 'জইয়ের', 'ঘুচবে', 'সন্স', 'স্ফীত', 'দোহাতে', 'শিমুরা', 'চৌঠা']
['ছয়', 'প্রাচীনতম', 'পড়বেন', 'দক্ষ', 'সর্বাপেক্ষা', 'বেনার', 'দক্ষিণ', 'দ\u200cক্ষিণ', 'জাগতিক', 'স্নেহার']
['আমন্ত্রণে', 'ভূমিহীন', 'তালিকা', 'ইস্কুল', '১৯১', 'সিস্ট', 'ত্বকে', 'ঘুমানো', 'প্রমথ', 'হেরা']
['চৌঠা', 'জইয়ের', 'ডিল্যাক্স', 'অগাস্ট', 'দোহাতে', 'কুণ্ডলিত', 'ঘুচাতে', 'বাচাতে', 'গড্রিক', 'বক্তৃতা']
['ডাউস', 'অগাস্ট', 'স্ট্রিটস', 'ঘুচাতে', 'চৌঠা', 'হ্যানস', 'বাচাতে', 'গড্রিক', 'মাইন্ডস', 'মুনীর']
['চৌঠা', 'অগাস্ট', 'ঘুচাতে', 'বাচাতে', 'ডিল্যাক্স', 'জইয়ের', 'কুণ্ডলিত', 'দোহাতে', 'বেড়িয়েছেন', 'গড্রিক']
['চৌঠা', 'অগাস্ট', 'ঘুচাতে', 'বাচাতে', 'ডিল্যাক্স', 'কুণ্ডলিত', 'জইয়ের', 'দোহাতে', 'গড্রিক', 'মুনীর']
['চৌঠা', 'জইয়ের', 'অগাস্ট', 'ডিল্যাক্স', 'কুণ্ডলিত', 'দোহাতে', 'ঘুচাতে', 'বাচাতে', 'গড্রিক', 'মুনীর']
['তেরো', 'হিন্দুর', 'খাই', 'করেছে', 'ক\u200cরে\u200cছে', '60', 'দপ্তরে', 'পর্যটকদের', 'লিখবে', 'প্রশিক্ষক']
['চৌঠা', 'অগাস্ট', 'ঘুচাতে', 'ডিল্যাক্স', 'বাচাতে', 'কুণ্ডলিত', 'জইয়ের', 'দোহাতে', 'গড্রিক', 'মুনীর']
['জইয়ের', 'চৌঠা', 'দোহাতে', 'মোক্তার', 'ডাইস', 'কুণ্ডলিত', 'ডিল্যাক্স', 'ঠেস', 'সন্স', 'বাচাতে']
['চৌঠা', 'অগাস্ট', 'ডিল্যাক্স', 'গড্রিক', 'মুনীর', 'ঘুচাতে', 'কুণ্ডলিত', 'মাইন্ডস', 'বক্তৃতা', 'দোহাতে']
['সতেরো', 'হেরেছে', 'মহকুমা', 'লাগছে', 'হয়নি', 'ইস্যুতে', 'করেছিস', 'শিক্ষক', 'দেখাচ্ছি', 'যাইনি']
['আঠারো', 'করিতেছে', 'ভালবাসে', 'অপমানে', 'বিলু', 'লাগলেও', 'এসেছিলো', 'তনিমা', 'লাগিল', 'খাই']
['উনিশ', 'মেয়েটা', 'একটায়', 'ভোটাধিকার', 'ছাত্রছাত্রী', 'চলিতেছে', 'বক্তারা', 'দারোগা', 'করিতেছে', 'চক্রান্ত']
['বিশ', 'ভাবছি', 'গেলেও', 'অভিযোগও', 'আঠার', 'ফেলব', 'মহানগর', 'কোর্সে', 'ফেভারিট', 'নায়ক']
['চৌঠা', 'ডিল্যাক্স', 'অগাস্ট', 'কুণ্ডলিত', 'দোহাতে', 'জইয়ের', 'ঘুচাতে', 'গড্রিক', 'মুনীর', 'বাচাতে']
['অগাস্ট', 'ডাউস', 'চৌঠা', 'ঘুচাতে', 'স্ট্রিটস', 'বাচাতে', 'গড্রিক', 'ডিল্যাক্স', 'হ্যানস', 'মুনীর']
['অগাস্ট', 'ঘুচাতে', 'চৌঠা', 'ডাউস', 'স্ট্রিটস', 'বাচাতে', 'বেড়িয়েছেন', 'পিরীত', 'হ্যানস', 'গড্রিক']
['হ্যানস', 'ডাউস', 'জ্যামাইকান', 'রিলাক্স', 'স্ট্রিটস', 'পুনর্বিচারের', 'ঘুচাতে', 'অগাস্ট', 'স্ট্যাটস', 'পিরীত']
['ডাউস', 'হ্যানস', 'স্ট্রিটস', 'অগাস্ট', 'ঘুচাতে', 'জ্যামাইকান', 'চৌঠা', 'বাচাতে', 'রিলাক্স', 'পিরীত']
['চৌঠা', 'অগাস্ট', 'ঘুচাতে', 'বাচাতে', 'ডিল্যাক্স', 'কুণ্ডলিত', 'গড্রিক', 'স্ট্রিটস', 'ডাউস', 'জইয়ের']
['সাতাশ', 'আঠাশ', 'হাবাশ', 'ফরমাশ', 'নমিশ', 'রাগিব', 'কৈলাশ', 'পাশাপশি', 'লুশি', 'দোশী']
['আটাশ', 'রোশ', 'খাশ', 'লশ', 'বিটিশ', 'দিনেশ', 'চারশ', 'আটশ', 'মারশ', 'রূশ']
['ঊনত্রিশ', 'উনত্রিশ', 'আটত্রিশ', 'পয়ত্রিশ', 'পঁয়ত্রিশ', 'সায়ত্রিশ', 'তেত্রিশ', 'চৌত্রিশ', 'সাঁইত্রিশ', 'ছেচল্লিশ']
['ডাউস', 'স্ট্রিটস', 'অগাস্ট', 'ঘুচাতে', 'হ্যানস', 'চৌঠা', 'বাচাতে', 'গড্রিক', 'মুনীর', 'মাইন্ডস']
['একত্রিশ', 'ছত্রিশ', 'সতিশ', 'শিরিশ', 'ঊনিশ', 'অঙ্গিশ', 'নমিশ', 'আরিশ', 'বোলান', 'রাতিশ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ক্ষমাই', 'সুস্থই', 'গোপনই', 'শুরুই', 'খোলাই', 'প্রদেশই', 'যন্ত্রই', 'ঐতিহাসিকই', 'প্রতিরোধই', 'সংখ্যাই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ত্যাগই']
['সাতই', 'বিমানই', 'আদালতই', 'ভোটই', 'সিএমই', 'কিশোরই', 'ত্যাগই', 'ইংরেজিই', 'কৃষিই', 'খাবারই']
['কমান্ডারসহ', 'বাংলাদেশিসহ', 'মানববন্ধনসহ', 'ইসলামিসহ', 'রক্সের', 'গেস্টরুমে', 'ওনার্সের', 'স্কুলটিতে', 'পিয়ার্সের', 'আহমদসহ']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'কিশোরই', 'পোস্টারই', 'ত্যাগই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'কিশোরই', 'পোস্টারই', 'ত্যাগই']
