['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'পেয়েছেন', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['দমবন্ধ', 'অনতি', 'নির্বিকার', 'হাসিখুশি', 'স্পোর্টিং', 'রুমা', 'উদ্দিন', 'আলহামদুলিল্লাহ', 'অনা', 'অয়লার']
['মাড়িয়ে', 'লোক', 'সংকীর্ণ', 'অসন্তোষ', 'কৌতূহলী', 'মৃত্যুবার্ষিকী', 'হেইল', 'ইকবাল', 'রাসূলুল্লাহ্\u200c', 'ক্ষোভে']
['অয়লার', 'ফ্রেড্রিক', 'পেয়েছেন', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'বেষ্ট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'দমবন্ধ', 'স্ট্রাইক']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'বেষ্ট', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'যেগুলোর']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'বেষ্ট', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'পেয়েছেন', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'বেষ্ট', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'পেয়েছেন', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'বেষ্ট', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'পেয়েছেন']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'পেয়েছেন']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'বাংলাদেশ', 'বাংলা\u200cদেশ', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো']
['নির্বিকার', 'অনতি', 'উদ্দিন', 'দমবন্ধ', 'রুমা', 'স্বস্তি', 'অনা', 'অজু', 'উচ্ছেদ', 'কমেনি']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'পেয়েছেন', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'বেষ্ট', 'এটাতো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'বেষ্ট']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['অয়লার', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'যেগুলোর', 'হুট', 'ক্যাসিনো', 'রোমা', 'স্ট্রাইক', 'বেষ্ট']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো', 'এইরকম']
['নিরপেক্ষ', 'কলঙ্ক', 'ঘাবড়ে', 'মোয়াই', 'মেজাজে', 'বার্থ', 'রাজপথ', 'পিট', 'উঠছি', 'ঘনিষ্ঠতা']
['অতীত', 'লজ্জার', 'ভয়ে', 'লিখব', 'নির্লজ্জ', 'পঠিত', 'জেল', 'মঞ্চ', 'বুঝলাম', 'ভাববে']
['বিপর্যস্ত', 'ঘ', 'দৃষ্টিকোণ', 'যাচ্ছিল', 'ব্যান্ডেজ', 'জটিলতা', 'প্রস্তাবের', 'ঠোঁট', 'কমরেড', 'স্ট্যাট']
['সত্য', 'ফজিল', 'কাস্ট', 'ডাক্তারকে', 'প্রতিভা', 'নক', 'হতেই', 'ঠাকুর', 'হাজিরা', 'হোয়া']
['আজ', 'অনুপস্থিতিতে', 'ভালই', 'মেয়াদি', 'দফতরে', 'এতই', 'দিনটা', 'করল', 'যেভাবেই', 'বিল্ডিং']
['আদি', 'আর', 'দেখে', 'দেখিয়া', 'পাবেন', 'সদস্য', 'সদস\u200d্য', 'পড়ছে', 'পদক্ষেপে', 'পারল']
['ফ্রেশ', 'কেমনে', 'গর্জে', 'মার্জ', 'অন্ধকার', 'ব্রিফ', 'জীবনটাই', 'প্রশান্তি', 'আখ', 'নব্য']
['আরোহন', 'থেরন', 'এরান', 'নাহিন', 'এক্সন', 'ফিনিন', 'মার্ন', 'খিলান', 'ব্রায়ন', 'ইলেক্ট্রন']
['এইটাই', 'স্য', 'সূচকে', 'ন্যাপ', 'জোয়ারে', 'দূরেই', 'ঢেলে', 'মাঠেই', 'দৃশ্যমান', 'ফ্রেশ']
['চলতেই', 'পার্থিব', 'মালা', 'অদূর', 'শিক্ষাগত', 'গ্রিন', 'দশকে', 'কারণ', 'সংঘ', 'কৃষি']
['গভীরতা', 'ফ্রেশ', 'ছাত্রীদের', 'মূল্য', 'জোয়ারে', 'দূরেই', 'ছাড়িয়েছে', 'ভেজা', 'যথেষ্ট', 'এতদিনে']
['ইহকাল', 'সংক্ষিপ্তকাল', 'মেয়াদকাল', 'সূচনাকাল', 'স্থাপনকাল', 'সমাপ্তিকাল', 'বিরতিকাল', 'প্রজননকাল', 'প্যাসকাল', 'শিক্ষাকাল']
['অর্থনৈতিকভাবে', 'দূরেই', 'ঢেলে', 'উজান', 'ড্রিম', 'লাথি', 'বাসা', '২০টি', 'মাঠেই', 'গভীরতা']
['', '', '', '', '', '', '', '', '', '']
['ক্ষমতার', 'প্রেম', 'মনোনিবেশ', 'প্রকাশ্য', 'মুখ্যমন্ত্রীর', 'করিবে', 'মেটা', 'কুসুমের', 'ছড়িয়ে', 'ওয়ার্ন']
['সরকারকে', 'পারত', 'জুন', 'শ্রেয়', 'লেখিকা', 'ব্রিটিশরা', 'শুরুতেই', 'বেই', 'ফজলে', 'পো']
['অতিবৃষ্টি', 'শিলাবৃষ্টি', 'বজ্রবৃষ্টি', 'ঝড়বৃষ্টি', 'রহস্যপত্রিকা', 'ব্যবসাবাণিজ্য', 'কুশবৃক্ষ', 'কাব্যরচনা', 'তুষারঝড়', 'গদ্যরচনা']
['ঘাম', 'মাল্টি', 'মার্কেট', 'সমাজে', 'প্রেশার', 'কষ্টটা', 'চিলতে', 'সাহায্যে', 'পূর্ণ', 'এগোতে']
['উৎরাই', 'সেন্টরাই', 'ক্যাডাররাই', 'শ্রোতারাই', 'খিরাই', 'ধামরাই', 'শরণার্থীরাই', 'উতরাই', 'রামরাই', 'অভিজ্ঞরাই']
['উত্তীর্ণ', 'লইয়া', 'ছেলেদের', 'বাইরের', 'এনে', 'শিল্পে', 'চালাতে', 'তম', 'মিডিয়া', 'খাচ্ছেন']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'চষা', 'অন্বেষা', 'গর্জিয়া', 'গ্লাসগো', 'ওটাগো', 'ভূপেশ', 'ইগো', 'কার্গো', 'বোগা']
['একাল', 'নির্জল', 'আলাল', 'ঝরল', 'শূল', 'শল', 'জৈল', 'ক্যাটল', 'এমএল', 'বাকল']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'গেয়েছেন', 'শিকারি', 'পোশাকে', 'মর্গে', 'ইউনিটে', 'মানসিকতার', 'ভৌমিক', 'পোর্টাল', 'এমনিতেই']
['মনটাকে', 'ম্যাচেই', 'সৌন্দর্য', 'বিজয়', 'ভক্তরা', 'গুরুত্ব', 'কোনরকমে', 'জায়গা', 'সুবহান', 'মহ']
['কুমেরু', 'সুমেরু', 'নেহেরু', 'শিগেরু', 'দ্বিমেরু', 'জলদস্যুতা', 'মন্টেরী', 'তিমারু', 'জুবেরী', 'কাশ্মিরী']
['সরকারকে', 'পারত', 'জুন', 'শ্রেয়', 'লেখিকা', 'ব্রিটিশরা', 'শুরুতেই', 'বেই', 'ফজলে', 'পো']
['কৃষ্ণাঙ্গ', 'উদার', 'বৃহত্তর', 'যোগ্যতার', 'নাচতে', 'ছেলেও', 'জন্মভূমি', 'অপরাজিত', 'প্রতীকে', 'অভিষেক']
['ঘৃণা', 'হিন্দুত্ব', 'খুঁজছি', 'চাইলো', 'উপন্যাসে', 'অসুখে', 'খেলেও', 'শুনবে', 'বর্ষসেরা', 'খেললে']
['জহুর', 'জানবেন', 'বাঙ্গালীর', 'পূর্বপুরুষ', 'গ্রহণযোগ্য', 'ফজিল', 'ডঃ', 'ঘ', 'জীবন', 'অভিষিক্ত']
['কু', 'বুঝা', 'ঠান্ডা', 'খুলেই', 'স্য', 'জোয়ারে', 'ঘরানার', 'রুন', 'বেজে', 'আশীর']
['ডাল', 'ছেলেটি', 'গ্রহণ', 'দাদাভাই', 'দুর্ভাগ্য', 'পারফেক্ট', 'দ্বারাই', 'সম্ভ্রম', 'সাইট', 'চেঞ্জ']
['অদ্ভুত', 'অবনতি', 'ভারতীয়', 'সৃষ্টি', 'সৃ\u200cষ্টি', 'রিয়েল', 'রক্তক্ষয়ী', 'বৈশিষ্ট্য', 'বৈ\u200cশিষ্ট্য', 'ডু']
['চলিত', 'দুত', 'উদ্দীষ্ট', 'প্রধানতম', 'তালিশ', 'বেড়াত', 'জরিত', 'বাহ্যত', 'আরশ', 'মুনিম']
['রাজ', 'জন্ম', 'চেষ্টা', 'ব্যাঙের', 'ভ্রূ', 'বনু', 'সর্বত্রই', 'অভিক', 'আসক্ত', 'উঠোনের']
['বেই', 'সাদিয়া', 'সরি', 'ড্রয়িং', 'বিজিবির', 'প্রকৃতির', 'জুন', 'সমাবেশ', 'স্নিগ্ধ', 'দিব']
['অর্থনৈতিকভাবে', 'ঢেলে', 'দূরেই', 'ড্রিম', 'লাথি', 'উজান', 'গভীরতা', 'তাছাড়া', 'বাউন্ডারি', '২০টি']
['সরকারকে', 'পারত', 'জুন', 'শ্রেয়', 'লেখিকা', 'ব্রিটিশরা', 'শুরুতেই', 'বেই', 'ফজলে', 'পো']
['বাস্তবায়িত', 'পাড়ি', 'সত্য', 'বিষয়টিকে', 'ম', 'কাকু', 'কাজ', 'ভাবছেন', 'বৈশিষ্ট্য', 'বৈ\u200cশিষ্ট্য']
['ইংরেজদের', 'দিক', 'মহ', 'অন্ন', 'সিলেটে', 'লগ্ন', 'হকের', 'ডে', 'সৌন্দর্য', 'অবশ্যম্ভাবী']
['ভালোই', 'পবিত্রতা', 'শোধ', 'আধটু', 'শুনতেই', 'বিয়েটা', 'রঙে', 'পার', 'পূর্ণ', 'জিয়াউল']
['জানবেন', 'অভিষিক্ত', 'ঘ', 'ডঃ', 'সেকেন্ডের', 'গ্রহণযোগ্য', 'জীবন', 'ফজিল', 'ফিঙ্গার', 'জহুর']
['নাস্তিক', 'চুলগুলো', 'গার্ডেন', 'অসময়ে', 'টনি', 'ব্রাউজার', 'ৰ', 'গণমাধ্যম', 'সোয়ে', 'পড়বে']
['সরকারকে', 'পারত', 'জুন', 'শ্রেয়', 'লেখিকা', 'ব্রিটিশরা', 'শুরুতেই', 'বেই', 'ফজলে', 'পো']
['ঘ', 'ফজিল', 'পূর্বপুরুষ', 'সেকেন্ডের', 'জীবন', 'জানবেন', 'হোয়া', 'দাঁড়াল', 'ঠাকুর', 'হতেই']
['হান', 'পথটা', 'দরজাটা', 'একটি', 'এক\u200cটি', 'সন্তানদের', 'স্কলার', 'সম্পর্কটা', 'ভোগ', 'চিন্তায়']
['বাঁধ', 'ক্যা', 'শ্যাম', 'বিশ্ব', 'অদ্ভুত', 'আঁতকে', 'নীলু', 'নামটা', '২০১৭', 'হুয়া']
['ডু', 'পারত', 'ভারতীয়', 'তাক', '২০২১', 'প্রাপ্তি', 'রিয়েল', 'ব্রিটিশরা', 'সরকারকে', '১৫ই']
['সরকারকে', 'পারত', 'জুন', 'শ্রেয়', 'লেখিকা', 'ব্রিটিশরা', 'শুরুতেই', 'বেই', 'ফজলে', 'পো']
['অনুষ্ঠানের', 'অদ্ভুত', '২০', 'চিন', 'রিয়েল', 'সত্যই', '২০১৭', 'মহান', 'শ্যাম', 'বকেয়া']
['প্রসারণ', 'সঞ্চারণ', 'মহারণ', 'প্রয়াণ', 'পূণ', 'নিরূপণ', 'গ্রীণ', 'বিভীষণ', 'কার্যকারণ', 'ড্রাগণ']
['বক্তা', 'ব্যানার্জি', 'দাদার', 'পাটি', 'মেরে', 'গুহা', 'করাতে', 'পাইবে', 'তৃপ্ত', 'যায়না']
['ভারতীয়', 'সৃষ্টি', 'সৃ\u200cষ্টি', 'প্রাপ্তি', 'অদ্ভুত', 'বাস্তবায়িত', '২০২১', 'পারত', 'রিয়েল', 'কুচ']
['দাঁড়াল', 'সত্য', 'প্রতিভা', 'হতেই', 'পূর্বপুরুষ', 'গণতান্ত্রিক', 'ফজিল', 'বাঙ্গালীর', 'নেল', 'ঠাকুর']
['দূরেই', 'গভীরতা', 'ব্যালেন্স', 'ঢেলে', 'মাঠেই', 'অর্থনৈতিকভাবে', 'ড্রিম', 'বেটার', 'ছাত্রীদের', 'জোয়ারে']
['ভেবেই', 'বিএনপিকে', 'দুমড়ে', 'ভালোই', 'শুনতেই', 'ঢ', 'সাম্রাজ্য', 'লাইফ', 'রঙে', 'সম্পর্কটা']
['প্রেশার', 'অর্নব', 'সাহায্যে', 'টিকে', 'লায়', 'এগোতে', 'অর্ধ', 'কষ্টটা', 'চিলতে', 'ঘাম']
['এইটাই', 'স্য', 'সূচকে', 'ন্যাপ', 'জোয়ারে', 'দূরেই', 'ঢেলে', 'মাঠেই', 'দৃশ্যমান', 'ফ্রেশ']
['অনেক', 'অ\u200cনেক', '৩৯', 'দিচ্ছেন', 'দিয়েছেন', 'কাটিয়েছি', 'পারলে', 'বেচে', 'বাড়তে', 'দেয়না']
['নারীদের', 'হাবিব', 'পরতে', 'আশীর', 'কাজগুলো', 'তুরস্ক', 'শিক্ষামন্ত্রী', 'পাকিস্তানি', 'যৌক্তিক', 'উন্নয়নে']
['তরুণ', 'আসুক', 'অধঃ', 'নির্বিশেষে', 'অধরা', 'তিনজন', 'অনিতা', 'এগোচ্ছে', 'ওয়াইফ', 'চিল']
['আসলো', 'ট্রেনে', 'ফাউ', 'পরিস্থিতি', 'ফেলেন', 'শাহর', 'ঝুঁকি', 'ফকির', 'কইতে', 'আনছে']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['শুনো', 'ফকির', 'দিতো', 'শিক্ষাব্যবস্থা', 'সম্প্রদায়ের', 'আসলো', 'অধীনে', 'তারপর', 'শাহর', 'গোত্রের']
['নামে', 'না\u200cমে', 'সালে', 'সা\u200cলে', '\u200eসালে', 'ফেলতে', 'সাইদ', 'করিয়ে', 'বংশধর', 'বলতাম']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['ওয়েম্বলিতে', 'অনমনীয়তা', 'ডিসকারাস', 'মাজিদি', 'ক্যাটালিনা', 'ব্রেসনা', 'ক্যাথিড্রাল', 'খিজিরপুর', 'শ্বসনতন্ত্র', 'ইনামুল']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'জাহাজীকরণ', 'নিবন্ধীকরণ', 'প্রত্যর্পণ', 'উদ্ভোধন', 'উদ্ভোদন', 'সুশোভন', 'পঞ্জীকরণ', 'উষ্ণায়ন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['উদ্ভোধনী', 'প্রেমতোষ', 'সংগীতাচার্য', 'ঘরামী', 'কনসালটিং', 'পুরোহিত', 'মিলনায়তন', 'নাট্যাচার্য', 'অধ্যাপনায়', 'দুঃসাহসিক']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['', '', '', '', '', '', '', '', '', '']
['বিকর্ষণ', 'জাহাজীকরণ', 'নিবন্ধীকরণ', 'জেরুজালেম', 'বুনিয়াদ', 'উদ্ভোদন', 'আর্যীকরণ', 'পঞ্জীকরণ', 'পিকেটিং', 'সূচকীকরণ']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['অনমনীয়তা', 'সত্যেন্দ্রনাথ', 'সিনেম্যাটোগ্রাফি', 'বাক্\u200cস্বাধীনতা', 'বাক্স্বাধীনতা', 'ভ্রাতৃত্ববোধ', 'অ্যাকটিভিটিস', 'বাগ্\u200cবিতণ্ডা', 'বাগ্বিতণ্ডা', 'দ্বিজেন্দ্রলাল']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['প্রেমতোষ', 'কালনায়', 'কাপাসি', 'সংগীতাচার্য', 'ক্যান্টোনার', 'কনসালটিং', 'বিনোদন', 'পান্থপথের', 'ডিফেন্ডিং', 'প্রেরনায়']
['সংগঠনগুলোর', 'ততই', 'নিচ্ছে', 'এইভাবেই', 'ফেডারেল', 'দিতো', 'দেখেছিলেন', 'ভাবতে', 'সংক্রমিত', 'বলাটা']
['', '', '', '', '', '', '', '', '', '']
['হুবার্ট', 'অ্যাপার্ট', 'সংগীতাচার্য', 'উদ্ভোধনী', 'মূত্রে', 'কনসালটিং', 'ঘরামী', 'মিলনায়তন', 'ফোর্ট', 'দুঃসাহসিক']
['বিবেচন', 'ডানায়িনি', 'সংকৃতি', 'অনুকৃতি', 'স্মাল্ট', 'দেলুতি', 'এডাল্ট', 'ঘরামী', 'দ্রিতা', 'বার্বি']
['', '', '', '', '', '', '', '', '', '']
['পোর্টাল', 'বিতর্কসভার', 'দুরান্তের', 'পরবর্তীসময়ে', 'অল্পক্ষণের', 'গ্রীষ্মকালের', 'দৃশ্যায়ণের', 'টেনিদার', 'এখন', 'উত্সাহিত']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['শোধ', 'বালাকোট', 'কৌলিবিজ্ঞান', 'নিরুত্তর', 'আলাবেদ', 'দুঃসাহসিক', 'মাঝারিপাল্লার', 'চিত্রলের', 'ট্রান্সককেশিয়া', 'রৌদ্রে']
