['চাচা', '২০১২', 'তৃতীয়', 'পরিত্রাণ', 'মৃত্যুদন্ড', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাংলাদেশেও', 'বংশধর']
['শেকসপিয়ার', 'ইন্ড্রাস্টি', 'ইফতিকার', 'আবিষ্কর্তার', 'ফয়জুল্লাহ', 'ক্যারাদাইন', 'থম্পসনকে', 'হিঙ্গিস', 'স্প্যামাররা', 'ডিক্টেটর']
['গাল', 'ফাউ', 'কেলেঙ্কারি', 'ধরেছে', 'মোর্চা', 'বাঘ', 'কইতে', 'ফর্সা', 'পেছন', 'সুখের']
['মিজানুর', 'উইশ', 'অংশগ্রহণ', 'নামবে', 'তুমিও', 'হ্যাটট্রিক', 'মুরগির', 'সুব্রত', 'ঘনিষ্ঠ', 'পরিচালনা']
['হাতেগোনা', 'মাজিদা', 'সাহিদা', 'আশফাক', 'বিদ্বান', 'পুনর্জীবিত', 'আসফাক', 'ক্যাম্বল', 'হাম্বল', 'দূরীভূত']
['মিজানুর', 'নামবে', 'উইশ', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'মুরগির', 'সুব্রত', 'ঘনিষ্ঠ', 'পরিচালনা']
['মাথাটা', 'পুষ্ট', 'ত্বকের', 'মাওলানা', 'উৎসবে', 'শিউ', 'দ্বাদশ', 'শেষে', 'শে\u200cষে', '27']
['মিজানুর', 'অভিমানে', 'অংশগ্রহণ', 'আমাকেও', 'মা', 'তুমিও', 'বৈঠক', 'দলের', 'দ\u200cলের', 'হ্যাটট্রিক']
['অ্যান্ড্রেস', 'ঐশ্বর্যশালী', 'রাজপ্রাসাদের', 'তঁাদের', 'প্রতিভাশালী', 'পারপাস', 'তাবলীগ', 'প্রতাপশালী', 'আসপাস', 'উপায়ুক্ত']
['শৃঙ্গগুলি', 'ঐশ্বর্যশালী', 'তঁাদের', 'নারীবাদের', 'মুসলিমলীগ', 'পছন্দসই', 'প্রতিপত্তিশালী', 'কাউন্সেলর', 'অসামরিক', 'রাজপ্রাসাদের']
['পুষ্ট', 'শিউ', 'ভালোবাসা', 'মুখার্জি', 'নন্দিতা', 'ফেললেন', 'মা', 'আমাকে', 'সংখ্যাগরিষ্ঠ', 'মাথাটা']
['স্কারলেট', 'হোয়েল', 'মারাঠা', 'কাউন্সেলর', 'ক্রীম', 'আগমণ', 'ওয়েন্স', 'ওয়েন্\u200cস', 'কার্বলিক', 'দোকান']
['মিজানুর', 'নামবে', 'উইশ', 'প্লেয়ার', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'পরিচালনা', 'মুরগির', 'গল্পে']
['মা', 'দলের', 'দ\u200cলের', 'আমাকেও', 'বামে', 'অভিমানে', 'লেটার', 'বৈঠক', 'নিলেই', 'বলেন']
['মিজানুর', 'অংশগ্রহণ', 'নামবে', 'তুমিও', 'মুরগির', 'উইশ', 'হ্যাটট্রিক', 'সুব্রত', 'অভিমানে', 'ঘনিষ্ঠ']
['মিজানুর', 'নামবে', 'উইশ', 'প্লেয়ার', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'পরিচালনা', 'মুরগির', 'গল্পে']
['মিজানুর', 'উইশ', 'নামবে', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'সুব্রত', 'মুরগির', 'ঘনিষ্ঠ', 'পরিচালনা']
['ছাত্র', 'গোলটেবিল', 'সমিতি', 'পুলিশকে', 'বেরোচ্ছে', 'সংখ্যালঘুদের', 'করতেই', 'নিতেই', 'সন্ত্রাসী', 'এড়িয়ে']
['করেছিস', 'শিক্ষক', 'লাগছে', 'ড্রাইভিং', 'করিনি', 'যাইনি', 'করিস', 'হইতেছে', 'হেরেছে', 'সঙ্গেই']
['করাতে', 'অসাম্প্রদায়িক', 'গুহা', 'ছাত্রকে', 'বক্তা', 'বদলায়', 'মেরে', 'বলতে', 'ট্রেনটা', 'ব্যানার্জি']
['মিজানুর', 'উইশ', 'নামবে', 'হ্যাটট্রিক', 'তুমিও', 'অংশগ্রহণ', 'প্লেয়ার', 'মুরগির', 'পরিচালনা', 'সুব্রত']
['মিজানুর', 'নামবে', 'উইশ', 'প্লেয়ার', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'পরিচালনা', 'মুরগির', 'গল্পে']
['মিজানুর', 'তুমিও', 'হ্যাটট্রিক', 'উইশ', 'অভিমানে', 'অংশগ্রহণ', 'মুরগির', 'আমাকেও', 'নামবে', 'ঘনিষ্ঠ']
['মা', 'দলের', 'দ\u200cলের', 'লেটার', 'অভিমানে', 'বামে', 'আমাকেও', 'বৈঠক', 'নিলেই', 'প্রজেক্ট']
['জোট', '১৮৮', 'বৃহত্তর', 'স্টিম', 'নাচতে', 'উদার', 'মোড়ল', 'ফিক', 'জন্মভূমি', 'ঝোপ']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো', 'বেষ্ট']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['মোয়াই', 'কোপ্পা', 'মল্লিনাথ', 'কুইনস', 'সামগ্রিকীকরণ', 'চাচ্ছিলেন', 'দুর্গাপুজা', 'টমস', 'ফুরকান', 'অন্তর্ভূক্তিতে']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'সেটি', 'সে\u200cটি', 'শীঘ্র', 'বহিঃসংযোগ', 'কুমিল্লায়', 'মীন']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো', 'এইরকম', 'যেগুলো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো', 'বেষ্ট']
['তারপরেও', 'ণ', 'ক্রন্দন', 'অসন্তোষ', 'অঝোর', 'সূচকে', 'আপ্লুত', 'পরিবর্তনে', 'লিখেছে', 'ঢেকে']
['إِنَّا', 'অ্যাবসেন্ট', 'কোল্ডপ্লে', 'হেন্তাই', 'مَنْ', 'বিউরেন', 'হেদায়েত', 'জানাচ্ছিলেন', 'স্ট্রেস', 'দুর্গাপূজায়']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো', 'এইরকম', 'যেগুলো', 'যেগু\u200cলো']
['মোয়াই', 'কোপ্পা', 'মল্লিনাথ', 'ফুরকান', 'চাচ্ছিলেন', 'কুইনস', 'সামগ্রিকীকরণ', 'মাহতিম', 'টমস', 'দুর্গাপুজা']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো', 'এইরকম', 'যেগুলো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'বেষ্ট', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'পেয়েছেন', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'ক্যাসিনো', 'এইরকম', 'যেগুলো']
['অয়লার', 'পেয়েছেন', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'রোমা', 'শীঘ্র', 'যেগুলো', 'যেগু\u200cলো', 'বেষ্ট', 'এটাতো', 'ক্যাসিনো']
['অয়লার', 'পেয়েছেন', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'সেটি', 'সে\u200cটি', 'রোমা', 'ক্যাসিনো']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো', 'বেষ্ট']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'কতই', 'এটাতো', 'যেটার']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'যেগুলোর', 'এটাতো']
['নত', 'কতটুকু', 'ঈদুল', 'জরুরী', 'নির্বিকার', 'কমেনি', 'বাস্তবতায়', 'নারদ', 'হাতিয়ে', 'উচ্ছেদ']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'ক্যাসিনো', 'বেষ্ট']
['অয়লার', 'ফ্রেড্রিক', 'দমবন্ধ', 'অনতি', 'হাসিখুশি', 'স্পোর্টিং', 'আলহামদুলিল্লাহ', 'বেষ্ট', 'কোনোভাবে', 'স্পীড']
['খুঁত', 'সিয়া', 'উস্কে', 'গর', 'কলকাতার', 'মার্কা', 'বসে', 'খেলো', 'বেসে', 'জ্বলে']
['চাচা', 'তৃতীয়', 'পাইলে', 'মৃত্যুদন্ড', 'ওয়ানডেতে', 'অমুসলিম', 'লাগি', 'ট্রাইব্যুনালে', 'দায়িত্বও', 'হলফ']
['', '', '', '', '', '', '', '', '', '']
['জেটলি', 'আয়ারল্যান্ড', 'عليه', 'ওয়ার্ড', 'পুলিশও', 'পারতেন', 'উইন্ডোজ', 'রট', 'সবকিছু', 'রাজাকার']
['জেলে', 'ভক্তের', 'জোয়ার', 'কইতে', 'পৈশাচিক', 'ধরেছে', 'পিছন', 'ট্রেনে', 'দাঁড়ায়', 'হবেনা']
['ধোপা', 'মনপা', 'মেটেপা', 'মারপা', 'রোপা', 'ভাঁপা', 'সপা', 'সুমপা', 'পেঁপা', 'ফাঁপা']
['বেদে', 'ড্রয়ারে', 'লেন্সে', 'কুড়ে', 'অনুতে', 'ক্ষতিপূরণে', 'জিনে', 'অভিবাসনে', 'মন্ডলে', 'সুইচে']
['দশকে', 'চলতেই', 'গ্রিন', 'মালা', 'কোম্পানিতে', 'শিক্ষাগত', 'ভুগে', 'নেক', 'উড়ছে', 'সংঘ']
['ছেলে', 'ছে\u200cলে', 'সামনে', 'বিবরণী', 'বাগান', 'পারলেও', 'প্ল্যাটফর্মে', 'লিখছি', 'নেতৃত্বে', 'সদস্য']
['বর', 'পায়েল', 'লাখ', 'ধরলাম', 'জনাব', 'ব্যবহারকারী', 'একাউন্ট', 'দাতা', 'চাইবে', 'তালিকার']
['২০০৩', 'ভজন', 'একগাল', 'জিম্বাবুয়ে', 'আমেরিকা', '2003', 'সমস্যায়', 'হোয়াটসঅ্যাপ', 'নামল', 'প্রতিনিধি']
['কাঙ্গাল', 'নোডাল', 'স্পঞ্জর', 'স্যাম্পেল', 'টাইডাল', 'কুর্টজ', 'কিষান', 'উচ্চকিত', 'মুগডাল', 'নাইন্টিজ']
['বাঘ', 'ধরেছে', 'জোয়ার', 'মোর্চা', 'ফর্সা', 'কইতে', 'তিনজনে', 'ভোটার', 'নেতিবাচক', 'বিবর্তন']
['দাদী', '2000', 'পারতেন', 'কটু', '১০১', 'প্রত্যাশিত', 'ধূসর', 'দাবি', 'অপেক্ষায়', 'আযম']
['তেজস্বী', 'শিক্ষাথী', 'জন্মলগ্ন', 'আবেদনময়ী', 'স্টাইলিস্টিক', 'পোদ্দার', 'ভাগ্নী', 'অধিকারিণী', 'স্বকীয়', 'আধুনিকমনস্ক']
['দাদী', 'পারতেন', 'উৎসবের', 'রাজাকার', 'প্রত্যাশিত', 'আয়ারল্যান্ড', 'অপেক্ষায়', 'عليه', 'বিতাড়িত', 'ওয়ার্ড']
['পৌরুষ', 'বিশ্বকে', 'যাওয়াতে', 'গেড়ে', 'গুলিয়ে', 'অনেকেরই', 'অজ', 'নিলো', 'মূর্খ', '\u09e4']
['থামে', 'কর্মজীবন', 'জোরদার', 'চলচ্চিত্রে', 'শিবু', 'সমতা', 'অপপ্রচার', 'হতবাক', 'ভারতকে', 'চাচ্ছে']
['গুণবান', 'রূপবান', 'স্বাস্থ্যবান', 'দায়িত্ববান', 'সংস্কৃতিবান', 'আদর্শবান', 'নীতিবান', 'মেজবান', 'অস্তিত্ববান', 'মর্যাদাবান']
['পুণ্যবান', 'বিত্তবান', 'ধনবান', 'সামর্থবান', 'রূপবান', 'মর্যাদাবান', 'সামর্থ্যবান', 'মেজবান', 'দয়াবান', 'ন্যায়বান']
['মেটা', 'পড়াশোনার', 'চিন্তিত', 'ক্ষমতার', 'গাছটা', 'মাহ', 'ওয়ার্ন', 'নর', 'লে', 'কমিউনিটির']
['শ্রীমান', 'হুনান', 'প্রতান', 'কিয়ান', 'সোপান', 'জমিদান', 'কাতান', 'খারান', 'শাহান', 'জাফরান']
['পুলিশও', 'জেটলি', 'রট', 'আয়ারল্যান্ড', 'ওয়ার্ড', 'عليه', 'মাস্টারের', 'তেলে', 'উইন্ডোজ', 'ব্লগিং']
['রেখেই', 'শিক্ষাগত', 'ম্যাডাম', 'গঞ্জ', 'শৌর্য', 'উড়ছে', 'গ্রিন', 'পরিকল্পিতভাবে', 'নিরসনে', 'দশকে']
['দাদী', 'প্রত্যাশিত', 'বৈষম্য', 'পারিয়া', 'নিব', 'কটু', 'তারাও', 'কোর্টে', 'আজিজুর', 'তারপরে']
['পুলিশও', 'জেটলি', 'রট', 'আয়ারল্যান্ড', 'ওয়ার্ড', 'عليه', 'মাস্টারের', 'তেলে', 'উইন্ডোজ', 'ব্লগিং']
['দাদী', 'পারতেন', 'প্রত্যাশিত', 'চেত', 'দাবি', '2000', 'মজুর', 'আলাপ', '১৯৫৩', 'আয়ারল্যান্ড']
['ছাত্র', 'বেরোচ্ছে', 'সমিতি', 'ভোটাধিকার', 'উনিশ', 'ছাত্রছাত্রী', 'মেয়েটা', 'দারোগা', 'পুলিশকে', 'সহসভাপতি']
['শিক্ষক', 'যাইনি', 'হয়নি', 'কইরা', 'আসেননি', 'করেছিস', 'লাগছে', 'করিনি', 'করিতেছি', 'দেখেছি']
['নেতা', 'লোকের', 'থাকিয়া', 'লাগায়', 'প্রায়শ্চিত্ত', 'তুলল', 'তাকাতেই', 'গাও', 'টেরর', 'মৌলবাদ']
['আয়ারল্যান্ড', 'পুলিশও', 'জেটলি', 'ওয়ার্ড', 'পারতেন', 'রট', 'عليه', 'রাজাকার', 'ঝুলছে', 'খেলতে']
['পুলিশও', 'জেটলি', 'রট', 'আয়ারল্যান্ড', 'ওয়ার্ড', 'عليه', 'মাস্টারের', 'তেলে', 'উইন্ডোজ', 'ব্লগিং']
['ধেয়ে', 'ষড়যন্ত্রে', 'থাকলেন', 'সেরে', 'কাজল', 'প্রেমিক', 'ভাইস', '8', 'লাগলাম', 'প্লান']
['ম্যাডাম', 'নওয়াব', 'অন্যরকম', 'বুঝব', 'রেখেই', 'শৌর্য', 'পদোন্নতি', 'নিরসনে', 'হারালে', 'উৎফুল্ল']
['অন্তঃসত্ত্বা', 'তারিক', 'যেতেও', 'ময়দান', 'ফাঁকি', 'ঘটে', 'হলেই', 'দমন', 'খেলাপি', 'শ্রমিক']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['নানী', 'আজাদী', 'হাতী', 'নূরী', 'ভাগী', 'রঞ্জনী', 'দেওয়ানী', 'মুন্নী', 'শাহী', 'জাগরণী']
['সালে', 'সা\u200cলে', '\u200eসালে', 'বংশধর', 'নামে', 'না\u200cমে', 'দিতেও', 'সাইদ', 'করিয়ে', 'উদ্যোগ']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'ভাগী', 'চেরী', 'কাফী', 'নূরী', 'কেনী']
['', '', '', '', '', '', '', '', '', '']
['ফাউ', 'বাঘ', 'গাল', 'কইতে', 'ট্রেনে', 'ধরেছে', 'গোত্র', 'আসলো', 'ফর্সা', 'জেলে']
['রৌদ্রে', 'নিনিত', 'ডানায়িনি', 'চিত্রলের', 'কার্ডিনি', 'বসাকের', 'পাটাতন', 'ইম্পালা', 'মিশালের', 'বিবেচন']
['স্টকে', 'অধিনে', 'কলহে', 'পরাজয়ে', 'জ্যামে', 'বেতে', 'হারামে', 'সেতুমন্ত্রীর', 'পিপে', 'ব্যায়ে']
['নানী', 'রঞ্জনী', 'ভাগী', 'নূরী', 'হাতী', 'দেওয়ানী', 'আজাদী', 'জাকী', 'ভ্যালী', 'প্রবাহী']
['সাইদ', 'ডিসেম্বর', 'নামে', 'না\u200cমে', 'করিয়ে', 'নির্মল', 'সংগঠনটি', 'বংশধর', 'সালে', 'সা\u200cলে']
['আসলো', 'ফকির', 'শাহর', 'ট্রেনে', 'পরিস্থিতি', 'সম্প্রদায়ের', 'গুনতে', 'ঝুঁকি', 'ফেলেন', 'বয়স']
['নানী', 'চুনী', 'রঞ্জনী', 'আকাশী', 'যুগী', 'কাফী', 'চেরী', 'কেনী', 'কামী', 'ভাগী']
['ধোনির', 'হাড়মাসড়া', 'সমঝোতার', 'ট্রান্সককেশিয়া', 'কৌলিবিজ্ঞান', 'বালাকোট', 'মাখোঁর', 'ইফ্রিকিয়ার', 'ক্রাতেরোস', 'সাধ্যমতো']
['ফাউ', 'বাঘ', 'গাল', 'মোর্চা', 'ফর্সা', 'ধরেছে', 'কইতে', '১৯০', 'নেতিবাচক', 'ট্রেনে']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'চেরী', 'ভাগী', 'কাফী', 'কেনী', 'কামী']
['আরিকের', 'খোদিত', 'ভেরোনার', 'আকাশপথের', 'উর্মিলা', 'উত্তরাপথের', 'দ্যুমা', 'কনিকের', 'ডায়াকের', 'তবলায়']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'চেরী', 'কাফী', 'ভাগী', 'কেনী', 'কামী']
['শাহী', 'আজাদী', 'প্রত্যয়ী', 'জাগরণী', 'হাতী', 'বদরী', 'জেদী', 'মালেকী', 'ত্যাগী', 'কলোনী']
['নানী', 'রঞ্জনী', 'চুনী', 'ভাগী', 'আকাশী', 'যুগী', 'নূরী', 'চেরী', 'মিঠী', 'ভ্যালী']
['নিনিত', 'খোদিত', 'ব্যাপিত', 'কাপলের', 'আরিকের', 'পুরোহিত', 'হায়েকের', 'ক্ষমতায়িত', 'স্পাইকের', 'চিত্রলের']
['নিনিত', 'ব্যাপিত', 'খোদিত', 'ক্ষমতায়িত', 'কাপলের', 'পুরোহিত', 'হায়েকের', 'চিত্রলের', 'কনুইয়ের', 'বিসিসিআইয়ের']
['আজাদী', 'শাহী', 'জাগরণী', 'হাতী', 'প্রত্যয়ী', 'মালেকী', 'হাটহাজারী', 'দেওয়ানী', 'বদরী', 'নূরী']
['নিনিত', 'চিত্রলের', 'মাজিনি', 'ব্যাপিত', 'কার্ডিনি', 'ডোমিনি', 'প্রথিত', 'ডানায়িনি', 'রৌদ্রে', 'ডালপালার']
['নানী', 'চুনী', 'রঞ্জনী', 'আকাশী', 'যুগী', 'চেরী', 'কাফী', 'কেনী', 'ভাগী', 'কামী']
['নানী', 'রঞ্জনী', 'ভাগী', 'নূরী', 'হাতী', 'দেওয়ানী', 'ভ্যালী', 'মুন্নী', 'প্রবাহী', 'জাকী']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'ভাগী', 'চেরী', 'কাফী', 'কেনী', 'কামী']
['নানী', 'চুনী', 'রঞ্জনী', 'আকাশী', 'যুগী', 'চেরী', 'কাফী', 'কেনী', 'ভাগী', 'কামী']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'চেরী', 'ভাগী', 'কাফী', 'কেনী', 'কামী']
['সংখ্যালঘুদের', 'ধরে', 'ধ\u200cরে', 'সন্ত্রাসী', 'হাসছে', 'বেকারত্ব', 'চাইনা', 'পুলিশকে', 'ছেলেমেয়ে', 'সমিতি']
['টিচার', 'অসন্তুষ্ট', 'খাই', 'হইলেও', 'হইয়াছে', 'কাউন্সিলর', 'লাইগা', 'অগ্রগতি', 'প্রশিক্ষক', 'ভালবাসে']
['মানববন্ধনসহ', 'আছিয়া', 'আহমদসহ', 'ইসলামিসহ', 'কলেজসহ', 'তেরিয়ান', 'রক্সের', 'সাহিত্যধারার', 'শিক্ষকসহ', 'পানশালায়']
['নানী', 'রঞ্জনী', 'চুনী', 'আকাশী', 'যুগী', 'চেরী', 'কাফী', 'কেনী', 'ভাগী', 'কামী']
['নানী', 'চুনী', 'রঞ্জনী', 'আকাশী', 'যুগী', 'চেরী', 'কাফী', 'কেনী', 'ভাগী', 'কামী']
['নানী', 'রঞ্জনী', 'চুনী', 'ভাগী', 'যুগী', 'আকাশী', 'নূরী', 'জাকী', 'চেরী', 'ভ্যালী']
['নানী', 'রঞ্জনী', 'ভাগী', 'হাতী', 'নূরী', 'দেওয়ানী', 'মুন্নী', 'ভ্যালী', 'জাকী', 'আজাদী']
['আছিয়া', 'সাহিত্যধারার', 'ইনস্টিটিউটসহ', 'কঙ্গো', 'মিজো', 'সাংবাদিকসহ', 'ব্লো', 'এক্সো', 'কর্মকর্তাসহ', 'পেঁচ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
