['অয়লার', 'গুডস', 'পাবনা', 'পাবনার', 'অইছে', 'ফরিদপুরে', 'ফরিদপুর', 'নিয়ােগ', 'দ্যাটস', 'ব্যাপারটি']
['অয়লার', 'গুডস', 'পাবনা', 'পাবনার', 'অইছে', 'কুমিল্লায়', 'নিয়ােগ', 'এগুলি', 'ভ্রমন', 'কৃষ্ণনগর']
['সতেরো', 'মহকুমা', 'হয়নি', 'শিক্ষক', 'যাইনি', 'দেখেছি', 'কইরা', 'করিতেছি', 'আসেননি', 'হেরেছে']
['আঠারো', 'হিন্দুর', '60', 'ভালবাসে', 'করেছে', 'ক\u200cরে\u200cছে', 'তেরো', 'খাই', 'লিখবে', 'হইতেছে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['সঞ্চারী', 'লাতিনো', 'ওয়াহো', 'ক্যারো', 'ব্লো', 'মিজো', 'রিকো', 'মাতো', 'কোমো', 'এক্সো']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'কেন্দ্রী', 'পঞ্চমী', 'অনুসন্ধানী', 'পক্ষী', 'দশমী', 'মেরী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'কেন্দ্রী', 'পঞ্চমী', 'পক্ষী', 'অনুসন্ধানী', 'সুপারী']
['চতুর্থী', 'দশমী', 'সপ্তমী', 'নবমী', 'অ্যানী', 'অষ্টমী', 'কেন্দ্রী', 'পঞ্চমী', 'ষষ্ঠী', 'সুপারী']
['কমান্ডারসহ', 'পকেটে', 'সস্তায়', 'বাংলাদেশিসহ', 'এটাতে', 'জামে', 'ঘট', 'পাগলি', 'চালাকি', '৪২']
['চতুর্থী', 'নবমী', 'দশমী', 'মতাদর্শী', 'সঞ্চারী', 'বিষয়ী', 'প্রতিকী', 'ধর্মাবলম্বী', 'সপ্তমী', 'শাহী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'পঞ্চমী', 'কেন্দ্রী', 'নবমী', 'পক্ষী', 'ষষ্ঠী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'কেন্দ্রী', 'পঞ্চমী', 'অনুসন্ধানী', 'পক্ষী', 'সুপারী', 'গামী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'কেন্দ্রী', 'পঞ্চমী', 'নবমী', 'পক্ষী', 'সুপারী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'কেন্দ্রী', 'পঞ্চমী', 'পক্ষী', 'নবমী', 'ষষ্ঠী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'পঞ্চমী', 'কেন্দ্রী', 'নবমী', 'পক্ষী', 'সুপারী']
['নিয়েও', 'চাইনা', 'চাইছি', 'সন্ত্রাসী', 'খাতে', 'খেয়েছে', 'আক্রোশ', 'চাইবেন', 'শুনেছে', 'সংখ্যালঘুদের']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'দশমী', 'কেন্দ্রী', 'পঞ্চমী', 'পক্ষী', 'নবমী', 'সুপারী']
['চতুর্থী', 'সপ্তমী', 'দশমী', 'অ্যানী', 'অষ্টমী', 'নবমী', 'পঞ্চমী', 'কেন্দ্রী', 'ষষ্ঠী', 'পক্ষী']
['চতুর্থী', 'সপ্তমী', 'অ্যানী', 'অষ্টমী', 'পঞ্চমী', 'কেন্দ্রী', 'দশমী', 'সুপারী', 'অনুসন্ধানী', 'পক্ষী']
['আসামি', 'ছাত্রছাত্রী', 'দারোগা', 'উনিশ', 'মেয়েটা', 'ভালবাসে', 'ছাত্র', 'খাই', 'হইয়াছে', 'বেরোচ্ছে']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'সংখ্যালঘুদের', 'বিদেশে', 'জিতল', 'ধরে', 'ধ\u200cরে', 'সন্ত্রাসী', '১৫৮']
['ওয়াহো', 'সঞ্চারী', 'ক্যারো', 'মিজো', 'এক্সো', 'ব্লো', 'মন্ডলী', 'মিডো', 'টেনো', 'রিকো']
['পঞ্চমী', 'গামী', 'গণী', 'দণ্ডী', 'সুপারী', 'পূর্বী', 'আর্কী', 'কৌশলী', 'ভ্যালী', 'বোয়ালী']
['পঞ্চমী', 'গামী', 'সুপারী', 'গণী', 'দণ্ডী', 'কৌশলী', 'পূর্বী', 'আর্কী', 'ভ্যালী', 'বোয়ালী']
['পঞ্চমী', 'গামী', 'সুপারী', 'গণী', 'দণ্ডী', 'কৌশলী', 'আর্কী', 'পূর্বী', 'সপ্তমী', 'ভ্যালী']
['কমান্ডারসহ', 'বাংলাদেশিসহ', 'পকেটে', 'সস্তায়', 'এটাতে', 'জামে', 'ঘট', 'পাগলি', '৪২', 'চুলে']
['বিষয়ী', 'মালেকী', 'ভূমী', 'স্মরণী', 'শাহী', 'পঞ্চমী', 'দশমী', 'বদরী', 'আজাদী', 'সপ্তমী']
['পঞ্চমী', 'গামী', 'সুপারী', 'দণ্ডী', 'গণী', 'কৌশলী', 'সপ্তমী', 'ভ্যালী', 'আর্কী', 'পূর্বী']
['পঞ্চমী', 'গামী', 'গণী', 'দণ্ডী', 'সুপারী', 'পূর্বী', 'আর্কী', 'কৌশলী', 'বোয়ালী', 'করালী']
['পঞ্চমী', 'গামী', 'সুপারী', 'গণী', 'দণ্ডী', 'কৌশলী', 'ভ্যালী', 'সপ্তমী', 'পূর্বী', 'আর্কী']
['পঞ্চমী', 'গামী', 'সুপারী', 'গণী', 'দণ্ডী', 'কৌশলী', 'পূর্বী', 'সপ্তমী', 'আর্কী', 'ভ্যালী']
['পঞ্চমী', 'গামী', 'সুপারী', 'দণ্ডী', 'গণী', 'কৌশলী', 'সপ্তমী', 'ভ্যালী', 'আর্কী', 'পূর্বী']
['নিয়েও', 'খাতে', 'চাইছি', 'চাইনা', 'সন্ত্রাসী', 'খেয়েছে', 'ছড়াচ্ছে', 'শুনেছে', 'আক্রোশ', 'অসন্তুষ্ট']
['পঞ্চমী', 'গামী', 'সুপারী', 'দণ্ডী', 'গণী', 'কৌশলী', 'পূর্বী', 'আর্কী', 'ভ্যালী', 'সপ্তমী']
['পঞ্চমী', 'গামী', 'সুপারী', 'কৌশলী', 'দণ্ডী', 'গণী', 'সপ্তমী', 'চক্রী', 'ভ্যালী', 'ভূমী']
['পঞ্চমী', 'গামী', 'গণী', 'দণ্ডী', 'সুপারী', 'কৌশলী', 'পূর্বী', 'আর্কী', 'বোয়ালী', 'ভ্যালী']
['আসামি', 'দারোগা', 'ছাত্রছাত্রী', 'উনিশ', 'ভালবাসে', 'মেয়েটা', 'ছাত্র', 'খাই', 'হইতেছে', 'চলিতেছে']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'সংখ্যালঘুদের', 'বিদেশে', 'জিতল', 'সন্ত্রাসী', 'জার্সি', 'কলেজছাত্র', 'ভালোবাসে']
['গাড়িচালকের', '১৪৮টি', 'সেঞ্চুরিসংখ্যা', 'রানীনগরে', '৬১৮টি', 'জমিটুকু', 'বিমানচালকের', '৬৮৮টি', 'একনজরে', 'শহীদনগরে']
['আউটসাইড', 'ভেসেছে', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'কইছে', 'অয়লার', 'গুডস', 'বাংলাদেশ', 'বাংলা\u200cদেশ']
['আউটসাইড', 'ভেসেছে', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'কইছে', 'অয়লার', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'অয়লার', 'ইস্কান্দার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'অয়লার', 'ইস্কান্দার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'অয়লার', 'বেধেছে', 'গুডস', 'কইছে', 'ইস্কান্দার', 'ফ্রেড্রিক', 'শীঘ্র', 'বহিঃসংযোগ']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'অয়লার', 'ইস্কান্দার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['আউটসাইড', 'ভেসেছে', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'কইছে', 'অয়লার', 'গুডস', 'বাংলাদেশ', 'বাংলা\u200cদেশ']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'অয়লার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'অয়লার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'অয়লার', 'ইস্কান্দার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['কেরিন', 'লিঙ্কিন', 'এরিন', 'এরিমা', 'তুষারযুগের', 'হামিন', 'হারিন', 'সেযুগের', 'কিরিন', 'প্রায়োরি']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'অয়লার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'অয়লার', 'ইস্কান্দার', 'কইছে', 'গুডস', 'হ্যানস', 'টেলস']
['ভেসেছে', 'আউটসাইড', 'পেয়েছেন', 'বেধেছে', 'ইস্কান্দার', 'অয়লার', 'কইছে', 'গুডস', 'হ্যানস', 'বাংলাদেশ']
['মহকুমা', 'জানুয়ারী', 'সতেরো', 'এরিন', 'কেরিন', 'ব্রত', 'করিতেছি', 'এরিমা', 'লিঙ্কিন', 'তুষারযুগের']
['কেরিন', 'লিঙ্কিন', 'এরিন', 'হামিন', 'এরিমা', 'প্রায়োরি', 'হারিন', 'পাঁচামি', 'করোনেশন', 'কিরিন']
['সপ্তমী', 'বিষয়ী', 'প্রতিকী', 'শাহী', 'চাকী', 'নবমী', 'চতুর্থী', 'সুলতানী', 'ষষ্ঠী', 'বিপণী']
['ইরানী', 'আরী', 'ইয়াকুবী', 'সারী', 'খী', 'মেমী', 'গামী', 'ননী', 'বেজী', 'পূর্বী']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'খী', 'গামী', 'ননী', 'মেমী', 'বেজী', 'পূর্বী']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'খী', 'গামী', 'ননী', 'পূর্বী', 'মেমী', 'বেজী']
['গামী', 'আরী', 'সারী', 'সপ্তমী', 'খী', 'ইয়াকুবী', 'ইরানী', 'পূর্বী', 'ননী', 'দণ্ডী']
['কমান্ডারসহ', 'বাংলাদেশিসহ', 'রক্সের', 'মানববন্ধনসহ', 'ওনার্সের', 'ইসলামিসহ', 'গেস্টরুমে', 'পকেটে', 'স্কুলটিতে', 'পিয়ার্সের']
['আরী', 'ইরানী', 'সারী', 'ইয়াকুবী', 'গামী', 'খী', 'ননী', 'পূর্বী', 'বেজী', 'মেমী']
['ইরানী', 'আরী', 'ইয়াকুবী', 'সারী', 'খী', 'মেমী', 'ননী', 'গামী', 'বেজী', 'পূর্বী']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'গামী', 'খী', 'ননী', 'পূর্বী', 'মেমী', 'বেজী']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'গামী', 'খী', 'ননী', 'পূর্বী', 'বেজী', 'মেমী']
['আরী', 'ইরানী', 'সারী', 'ইয়াকুবী', 'গামী', 'খী', 'ননী', 'পূর্বী', 'মেমী', 'বেজী']
['খাতে', 'নিয়েও', 'অসন্তুষ্ট', 'চাইছি', 'সংগঠন', 'ফেলেছিল', 'ছড়াচ্ছে', 'নিয়ে', 'নি\u200cয়ে', 'ঝুলিয়ে']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'গামী', 'খী', 'ননী', 'পূর্বী', 'বেজী', 'মেমী']
['আরী', 'গামী', 'সারী', 'ইরানী', 'ইয়াকুবী', 'খী', 'ননী', 'পূর্বী', 'বেজী', 'সপ্তমী']
['আরী', 'ইরানী', 'ইয়াকুবী', 'সারী', 'খী', 'গামী', 'ননী', 'মেমী', 'বেজী', 'পূর্বী']
['আসামি', 'ভালবাসে', 'দারোগা', 'উনিশ', 'হইতেছে', 'ছাত্রছাত্রী', 'খাই', 'চলিতেছে', 'মেয়েটা', 'ছাত্র']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'সংখ্যালঘুদের', 'সন্ত্রাসী', 'বিদেশে', 'জার্সি', 'জিতল', 'ভালোবাসে', 'বলিয়াছেন']
['সঞ্চারী', 'ব্লো', 'লাতিনো', 'ক্যারো', 'মাতো', 'এক্সো', 'মিজো', 'বার্ডো', 'রিকো', 'ওয়াহো']
['অষ্টমী', 'অরণী', 'যশোরী', 'ট্রী', 'তাপসী', 'রেডী', 'রাজবংশী', 'ক্রী', 'অ্যানী', 'আইনী']
['অষ্টমী', 'অরণী', 'যশোরী', 'তাপসী', 'ট্রী', 'রাজবংশী', 'অ্যানী', 'রেডী', 'ক্রী', 'আইনী']
['অষ্টমী', 'অরণী', 'তাপসী', 'রাজবংশী', 'যশোরী', 'ট্রী', 'অ্যানী', 'আইনী', 'ক্রী', 'রেডী']
['অষ্টমী', 'তাপসী', 'রাজবংশী', 'ট্রী', 'নবমী', 'অ্যানী', 'আইনী', 'দশমী', 'অরণী', 'কুশলী']
['কমান্ডারসহ', 'পকেটে', 'সস্তায়', 'এটাতে', 'জামে', 'ঘট', 'বাংলাদেশিসহ', '৪২', 'পাগলি', 'চালাকি']
['নবমী', 'সঞ্চারী', 'মতাদর্শী', 'দশমী', 'অষ্টমী', 'রাজবংশী', 'নিয়োগী', 'ধর্মাবলম্বী', 'প্রতিকী', 'মওদুদী']
['অষ্টমী', 'অরণী', 'যশোরী', 'ট্রী', 'তাপসী', 'রেডী', 'রাজবংশী', 'অ্যানী', 'ক্রী', 'বলী']
['অষ্টমী', 'তাপসী', 'রাজবংশী', 'অরণী', 'ট্রী', 'যশোরী', 'অ্যানী', 'ক্রী', 'আইনী', 'রেডী']
['অষ্টমী', 'তাপসী', 'অরণী', 'রাজবংশী', 'ট্রী', 'যশোরী', 'অ্যানী', 'ক্রী', 'আইনী', 'রেডী']
['অষ্টমী', 'রাজবংশী', 'তাপসী', 'অরণী', 'ট্রী', 'যশোরী', 'অ্যানী', 'আইনী', 'ক্রী', 'রেডী']
['চাইনা', 'নিয়েও', 'চাইছি', 'সন্ত্রাসী', 'খাতে', 'খেয়েছে', 'আক্রোশ', 'চাইবেন', 'সংখ্যালঘুদের', 'শুনেছে']
['অষ্টমী', 'তাপসী', 'অরণী', 'রাজবংশী', 'ট্রী', 'যশোরী', 'অ্যানী', 'ক্রী', 'আইনী', 'রেডী']
['অষ্টমী', 'রাজবংশী', 'তাপসী', 'ট্রী', 'অরণী', 'অ্যানী', 'যশোরী', 'আইনী', 'নবমী', 'দশমী']
['অষ্টমী', 'অরণী', 'যশোরী', 'ট্রী', 'তাপসী', 'রাজবংশী', 'অ্যানী', 'রেডী', 'ক্রী', 'আইনী']
['আসামি', 'দারোগা', 'ছাত্রছাত্রী', 'উনিশ', 'মেয়েটা', 'ভালবাসে', 'ছাত্র', 'খাই', 'হইয়াছে', 'বক্তারা']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'সংখ্যালঘুদের', 'জিতল', 'বিদেশে', 'সন্ত্রাসী', 'ধরে', 'ধ\u200cরে', 'জার্সি']
['মিজো', 'ব্লো', 'সঞ্চারী', 'কঙ্গো', 'বার্ডো', 'লাতিনো', 'এক্সো', 'ক্যারো', 'পেঁচ', 'মাতো']
['নবমী', 'দশমী', 'মতাদর্শী', 'অষ্টমী', 'বিষয়ী', 'হাটহাজারী', 'রহমানী', 'চক্রী', 'শমী', 'পক্ষী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'হাটহাজারী', 'শমী', 'চক্রী', 'রহমানী', 'প্রতিকী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'হাটহাজারী', 'প্রতিকী', 'শমী', 'চক্রী', 'রহমানী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'সাদী', 'ধর্মাবলম্বী', 'প্রতিকী', 'সঞ্চারী', 'বৈঠকী', 'দুলালী']
['পকেটে', 'সস্তায়', 'কমান্ডারসহ', 'এটাতে', 'ঘট', 'জামে', 'পাগলি', 'চালাকি', '৪২', 'চুলে']
['সঞ্চারী', 'নবমী', 'ক্যারো', 'মতাদর্শী', 'ব্লো', 'ভাণ্ডারী', 'ওয়াহো', 'খালিদী', 'প্রতিকী', 'দশমী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'প্রতিকী', 'অষ্টমী', 'হাটহাজারী', 'শমী', 'সাদী', 'বৈঠকী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'প্রতিকী', 'হাটহাজারী', 'শমী', 'সাদী', 'ধর্মাবলম্বী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'প্রতিকী', 'হাটহাজারী', 'শমী', 'চক্রী', 'রহমানী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'প্রতিকী', 'অষ্টমী', 'হাটহাজারী', 'শমী', 'সাদী', 'চক্রী']
['চাইনা', 'নিয়েও', 'আক্রোশ', 'সন্ত্রাসী', 'চাইছি', 'খেয়েছে', 'চাইবেন', 'শুনেছে', 'খাতে', 'বেকারত্ব']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'হাটহাজারী', 'প্রতিকী', 'শমী', 'চক্রী', 'বৈঠকী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'প্রতিকী', 'সাদী', 'ধর্মাবলম্বী', 'শমী', 'বৈঠকী', 'হাটহাজারী']
['নবমী', 'দশমী', 'মতাদর্শী', 'বিষয়ী', 'অষ্টমী', 'হাটহাজারী', 'চক্রী', 'শমী', 'রহমানী', 'প্রতিকী']
['আসামি', 'ছাত্রছাত্রী', 'দারোগা', 'উনিশ', 'মেয়েটা', 'ছাত্র', 'ভালবাসে', 'হইয়াছে', 'বেরোচ্ছে', 'খাই']
['বেকারত্ব', 'চাইনা', 'আক্রোশ', 'ধরে', 'ধ\u200cরে', 'জিতল', 'বিদেশে', '১৫৮', 'কলেজছাত্র', 'সংখ্যালঘুদের']
['সঞ্চারী', 'ব্লো', 'মিজো', 'ক্যারো', 'লাতিনো', 'এক্সো', 'পেঁচ', 'কঙ্গো', 'ওয়াহো', 'খালিদী']
['দশমী', 'নবমী', 'চক্রী', 'অষ্টমী', 'হাটহাজারী', 'বৈঠকী', 'নিয়োগী', 'চতুর্থী', 'উৎপাদী', 'ঠিকাদারী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'অষ্টমী', 'হাটহাজারী', 'নিয়োগী', 'বিষয়ী', 'চতুর্থী', 'উৎপাদী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'বিষয়ী', 'নিয়োগী', 'হাটহাজারী', 'অষ্টমী', 'চতুর্থী', 'মতাদর্শী']
['দশমী', 'নবমী', 'মতাদর্শী', 'বৈঠকী', 'নিয়োগী', 'বিষয়ী', 'চক্রী', 'হাটহাজারী', 'শমী', 'মালেকী']
['কমান্ডারসহ', 'পকেটে', 'সস্তায়', 'এটাতে', 'বাংলাদেশিসহ', 'জামে', 'ঘট', 'পাগলি', '৪২', 'চালাকি']
['দশমী', 'সঞ্চারী', 'নবমী', 'মতাদর্শী', 'ভাণ্ডারী', 'মন্ডলী', 'সাদী', 'বিষয়ী', 'জঙ্গিবাদী', 'প্রতিকী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'বিষয়ী', 'নিয়োগী', 'হাটহাজারী', 'মতাদর্শী', 'অষ্টমী', 'চতুর্থী']
['দশমী', 'নবমী', 'চক্রী', 'অষ্টমী', 'হাটহাজারী', 'বৈঠকী', 'নিয়োগী', 'চতুর্থী', 'পঞ্চমী', 'উৎপাদী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'বিষয়ী', 'নিয়োগী', 'হাটহাজারী', 'অষ্টমী', 'মতাদর্শী', 'চতুর্থী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'বিষয়ী', 'নিয়োগী', 'হাটহাজারী', 'অষ্টমী', 'মতাদর্শী', 'চতুর্থী']
['নিয়েও', 'চাইনা', 'সন্ত্রাসী', 'চাইছি', 'আক্রোশ', 'খেয়েছে', 'খাতে', 'শুনেছে', 'চাইবেন', 'ছড়াচ্ছে']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'নিয়োগী', 'বিষয়ী', 'হাটহাজারী', 'অষ্টমী', 'মতাদর্শী', 'চতুর্থী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'বিষয়ী', 'নিয়োগী', 'মতাদর্শী', 'হাটহাজারী', 'অষ্টমী', 'চতুর্থী']
['দশমী', 'নবমী', 'চক্রী', 'বৈঠকী', 'হাটহাজারী', 'বিষয়ী', 'অষ্টমী', 'নিয়োগী', 'পঞ্চমী', 'চতুর্থী']
['আসামি', 'ছাত্রছাত্রী', 'দারোগা', 'উনিশ', 'মেয়েটা', 'ভালবাসে', 'ছাত্র', 'খাই', 'হইয়াছে', 'বেরোচ্ছে']
['বেকারত্ব', 'চাইনা', 'আক্রোশ', 'বিদেশে', 'ধরে', 'ধ\u200cরে', 'জিতল', 'সংখ্যালঘুদের', 'সন্ত্রাসী', '১৫৮']
['খালিদী', 'পেঁচ', 'তঁাদের', 'পদত্যাগী', 'ল্যাবরেটারি', 'এনামেল', 'ফরিদী', 'খোলেনি', 'মোসেল', 'তাঁকেসহ']
['একাদশী', 'সঞ্চয়ী', 'চোরাচালানী', 'আত্মত্যাগী', 'কাদেরী', 'জবানবন্দী', 'আনসারী', 'সিলেটী', 'পদত্যাগী', 'থ্রী']
['একাদশী', 'সঞ্চয়ী', 'চোরাচালানী', 'আত্মত্যাগী', 'কাদেরী', 'জবানবন্দী', 'আনসারী', 'পদত্যাগী', 'সিলেটী', 'থ্রী']
['একাদশী', 'সঞ্চয়ী', 'চোরাচালানী', 'আত্মত্যাগী', 'কাদেরী', 'জবানবন্দী', 'পদত্যাগী', 'আনসারী', 'থ্রী', 'সিলেটী']
['একাদশী', 'সঞ্চয়ী', 'পদত্যাগী', 'আত্মত্যাগী', 'চোরাচালানী', 'কাদেরী', 'থ্রী', 'ফরিদী', 'জবানবন্দী', 'আনসারী']
['কমান্ডারসহ', 'পকেটে', 'সস্তায়', 'এটাতে', 'জামে', 'ঘট', '৪২', 'পাগলি', 'চালাকি', 'বাংলাদেশিসহ']
['খালিদী', 'একাদশী', 'পদত্যাগী', 'ফরিদী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'থ্রী', 'র\u200d্যালী', 'র\u200c্যালী', 'গণতন্ত্রী']
['একাদশী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'চোরাচালানী', 'কাদেরী', 'পদত্যাগী', 'জবানবন্দী', 'আনসারী', 'থ্রী', 'সিলেটী']
['একাদশী', 'সঞ্চয়ী', 'চোরাচালানী', 'আত্মত্যাগী', 'কাদেরী', 'জবানবন্দী', 'আনসারী', 'সিলেটী', 'পদত্যাগী', 'থ্রী']
