['আগেই', 'আগে', 'আগের', 'পরই', 'মধ্যেই', 'কিছুক্ষণ', 'লাঞ্চের', 'পরেও', 'পরপরই', 'বছরখানেক']
['আজও', 'তবুও', 'এজন্য', 'প্রায়শই', 'প্রায়ই', 'বরং', 'মাঝে', 'তাও', 'প্রায়শ', 'তথাপি']
['আজও', 'তবুও', 'এভাবেই', 'যদ্যপি', 'যাই', 'কষ্ট', 'তবু', 'ইচ্ছে', 'বুঝি', 'তখনো']
['', '', '', '', '', '', '', '', '', '']
['আজও', 'তবুও', 'কিঞ্চিৎ', 'পরিলক্ষিত', 'মাঝেই', 'বরং', 'এভাবেই', 'এজন্য', 'তারই', 'পরেও']
['আজও', 'তবুও', 'কিঞ্চিৎ', 'পরিলক্ষিত', 'মাঝেই', 'বরং', 'এভাবেই', 'এজন্য', 'তারই', 'পরেও']
['পূর্বে', 'পূর্ব', 'দক্ষিণে', 'যেটি', 'উত্তরে', 'পশ্চিম', 'পশ্চিমে', 'এটি', 'পরবর্তীতে', 'ছিলো']
['পূর্বেই', 'পরেও', 'হবার', 'আগেই', 'মধ্যেই', 'পরেই', 'অবশেষে', 'আগ', 'তবুও', 'যাবার']
['পিপাসার্ত', 'অদ্য', 'চেতনাই', 'কমনসেন্স', 'জুটনার', 'বেলজিয়ানদের', 'ভীড়ে', 'আদিমল্ল', 'নীড়ে', 'যাওয়াটা']
['সহিত', 'সাথেও', 'সাথেই', 'বন্ধুত্ব', 'তিনিও', 'মাধ্যমেই', 'তবুও', 'সংগে', 'এভাবেই', 'যৌনসঙ্গমে']
['দিয়া', 'খানম', 'ফারিহা', 'দিছে', 'দিছি', 'আফিফা', 'জোবেদা', 'মিমের', 'হৃদয়', 'চাচ্চু']
['অদ্যাপি', 'স্কটল্যান্ডেও', 'গম্বুজটিকে', 'সপ্তরী', 'গোহাটির', 'স্বাভাবিক৷', 'মানবেতিহাসের', 'সাংসদেরাই', 'ক্রিশান্ত', 'আলবেনীয়রা']
['নতুবা', 'তারাও', 'তবুও', 'আপনাআপনি', 'মেরিহ', 'যেই', 'যখনই', 'স্বাভাবিকভাবে', 'একদিকে', 'হতোনা']
['নতুবা', 'তারাও', 'তবুও', 'আপনাআপনি', 'মেরিহ', 'যেই', 'যখনই', 'স্বাভাবিকভাবে', 'একদিকে', 'হতোনা']
['প্রায়শ', 'তবুও', 'মাঝেমধ্যে', 'মাদারণ', 'তারাও', 'একদিকে', 'মেরিহ', 'ক্যালামাস', 'এলকেনও', 'গিরিবর্ত্মগুলি']
['যদ্যপি', 'বান্দাগণ', 'শাকল্য', 'প্রোজ্জ্বল', 'আপনারে', 'নয়ই', 'জয়জয়ন্তী', 'দায়ূদ', 'কমনসেন্স', 'সুত']
['', '', '', '', '', '', '', '', '', '']
['কিঞ্চিৎ', 'তবুও', 'এমনিতে', 'একদমই', 'ক্রিপটেক্স', 'গিরিবর্ত্মগুলি', 'মমতারও', 'বন্ধুত্বপর্ণ', 'পরিস্থিতিও', 'অন্যগুলির']
['কিঞ্চিৎ', 'তবুও', 'এমনিতে', 'একদমই', 'ক্রিপটেক্স', 'গিরিবর্ত্মগুলি', 'মমতারও', 'বন্ধুত্বপর্ণ', 'পরিস্থিতিও', 'অন্যগুলির']
['পূর্বে', 'নইলে', 'ব্যতিক্রম', 'ব্যতিক্রমী', 'পূর্ব', 'উত্তরে', 'পশ্চিমে', 'দক্ষিণে', 'জরুরি', 'ছিলো']
['নইলে', 'ব্যতিক্রমী', 'পূর্বেই', 'ব্যতিক্রম', 'কয়েকদিন', 'জরুরী', 'লাঞ্চের', 'দুইদিন', 'মধ্যাহ্নভোজনের', 'মানুষদের']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'অঘোষিত', 'আপত্কালীন', 'অ্যাম্বুলেন্সসহ', 'পরিষেবাকে', 'বরকতময়', 'ক্রিপ্টোগ্রাফি', 'বৃত্তান্তে']
['নইলে', 'ব্যতিক্রমী', 'সহিত', 'মানুষদের', 'ব্যতিক্রম', 'বিধান', 'জন্মাবে', 'আবহের', 'জরুরি', 'রাখাটাও']
['দিয়া', 'নইলে', 'ছাড়ো', 'লাগেই', 'মারছে', 'রয়েছেই', 'ডর', 'মিমের', 'ভয়ানক', 'ছুঁয়েছে']
['নইলে', 'ব্যতিক্রম', 'ব্যতিক্রমী', 'অঘোষিত', 'অ্যাম্বুলেন্সসহ', 'আপত্কালীন', 'পরিষেবাকে', 'জানাটা', 'দুরহ', 'ক্রিপ্টোগ্রাফি']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'মানুষদের', 'তথাপি', 'নিঃসন্দেহে', 'ভাবা', 'রাখাটাও', 'আপত্কালীন', 'জরুরী']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'নয়তো', 'মানুষদের', 'আপত্কালীন', 'ছাড়ো', 'ভাবা', 'গৃহহারা', 'অঘোষিত']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'ক্রিপ্টোগ্রাফি', 'আপত্কালীন', 'ভয়ানক', 'বড়ই', 'রয়েছেই', 'ছাড়ো', 'পরিষেবাকে']
['নইলে', 'ব্যতিক্রমী', 'বৃত্তান্তে', 'ব্যতিক্রম', 'যদ্যপি', 'চ্যাটফিল্ড', 'লাগিয়া', 'আপত্কালীন', 'ছাড়ো', 'মরণশীল']
['', '', '', '', '', '', '', '', '', '']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'আপত্কালীন', 'কিঞ্চিৎ', 'ভারতেরও', 'আবহের', 'মানুষদের', 'অঘোষিত', 'অ্যাম্বুলেন্সসহ']
['নইলে', 'ব্যতিক্রমী', 'ব্যতিক্রম', 'আপত্কালীন', 'কিঞ্চিৎ', 'ভারতেরও', 'আবহের', 'মানুষদের', 'অঘোষিত', 'অ্যাম্বুলেন্সসহ']
['পূর্বে', 'দক্ষিণে', 'পশ্চিমে', 'পূর্ব', 'ছিলো', 'পূর্বের', 'উত্তরে', 'যেটি', 'পুর্বে', 'ভৌগলিক']
['পূর্বেই', 'মধ্যাহ্নবিরতির', 'কয়েকদিন', 'মধ্যাহ্নভোজনের', 'পরেও', 'গ্রেফতারের', 'লাঞ্চের', 'অতীবাহিত', 'নাহলে', 'সমুদ্রমন্থনের']
['নাহলে', 'ওগুলোর', 'অদ্য', 'ভাষাতাত্ত্বিকদের', 'আপনাদেরও', 'পূর্নাংগ', 'ফাঁসিয়েছে', 'প্রচলনই', 'নিউইয়র্কবাসীর', 'রা\u200cতে']
['সহিত', 'সাথেও', 'সমসাময়িকদের', 'ধ্বনিতত্ত্বের', 'অনুষ্ঠানগুলোর', 'সম্পর্কহীন', 'ধুমধামের', 'ঘনিষ্টভাবে', 'ওকাকুরার', 'মতবিনিময়']
['দিয়া', 'জারিন', 'ওহ্', 'আফিফা', 'জালালউদ্দীন', 'দিছে', 'সাকিনের', 'মিমের', 'থিয়াগোর', 'আফতাইয়ের']
['সপ্তরী', 'অদ্যাপি', 'সূদুর', 'নিউইয়র্কবাসীর', 'গোহাটির', 'পুন্ড্রনগর', 'খার্মাঙ্গ', 'সাবধানি', 'প্রেক্ষাপটটি', 'আশাব্যাঞ্জক']
['তথাপি', 'নাহলে', 'কোনওটিই', 'জেনিসারিরা', 'সমসাময়িকদের', 'অনুষ্ঠানগুলোর', 'এব্যাপারে', 'নিরামিষভোজন', 'ঐতিহাসিকরা', 'সুন্নীদের']
['নাহলে', 'মাইস্পেসে', 'অইছে', 'ভুগেছি', 'প্রথমিকভাবে', 'রক্তসঞ্চালন', 'বায়ুশূন্যতা', 'এক্ষেত্র', 'তরুণদেরই', 'ধার্মিকদের']
['প্রায়শ', 'নাহলে', 'মায়ং', 'সারাক্ষণই', 'গায়করূপে', 'শব্দটিই', 'সাহিত্যতে', 'স্থুলকায়', 'কৌতুকের', 'পতঙ্গকে']
['যদ্যপি', 'দুঃসংবাদটা', 'জন্মকে', 'যোগগুরু', 'সিনেমাপ্রেমীরা', 'তোহফা', 'সুন্দরীতমা', 'কৃতজ্ঞচিত্তে', 'অনুসারিগণ', 'বাতুকে']
['', '', '', '', '', '', '', '', '', '']
['কিঞ্চিৎ', 'নাহলে', 'সঙ্গীতগুলো', 'সমসাময়িকদের', 'মুশরিকরা', 'ক্ষাণিকটা', 'সিদ্ধান্তসমূহের', 'সংলাপগুলো', 'প্রভাবগুলো', 'অ্যান্ড্রোজেনের']
['কিঞ্চিৎ', 'নাহলে', 'সঙ্গীতগুলো', 'সমসাময়িকদের', 'মুশরিকরা', 'ক্ষাণিকটা', 'সিদ্ধান্তসমূহের', 'সংলাপগুলো', 'প্রভাবগুলো', 'অ্যান্ড্রোজেনের']
['পূর্বে', 'সময়ে', 'পূর্ব', 'এটি', 'সময়', 'যেটি', 'দক্ষিণে', 'হয়েছিল', 'ছিলো', 'পশ্চিম']
['পূর্বেই', 'সময়ে', 'হবার', 'সময়ের', 'মধ্যেই', 'হওয়ার', 'পরেও', 'বিষয়টি', 'সময়', 'যাইহোক']
['প্রায়ই', 'তাছাড়া', 'যাইহোক', 'অদ্য', 'যুদ্ধগুলোতে', 'নবাবগণ', 'নাওয়াল', 'ব্রতটি', 'এরকম', 'সব্বচেয়ে']
['সহিত', 'সাথেও', 'সাথেই', 'প্রায়ই', 'সাথে', 'সংগে', 'জড়িত', 'মাঝে', 'জায়গায়', 'ভাবে']
['দিয়া', 'পক্ষান্তরে', 'অভিভাবক', 'একদিকে', 'মাষ্টারে', 'তাছাড়া', 'দিছে', 'খানম', 'থিয়াগোর', 'পুলক']
['অদ্যাপি', 'তাছাড়া', 'প্রায়ই', 'গোহাটির', 'তখনকার', 'সব্বচেয়ে', '১১২তম', 'পণ্ডিতবিহারের', 'যাইহোক', 'অতীতের']
['প্রায়ই', 'যাইহোক', 'তাছাড়া', 'তথাপি', 'এরকম', 'কেননা', 'বেশিরভাগ', 'এজন্য', 'বিশেষত', 'এখনও']
['নতুবা', 'প্রায়ই', 'যাইহোক', 'সবসময়', 'এজন্য', 'সেজন্য', 'তাছাড়া', 'এইভাবে', 'কেননা', 'কখনই']
['নতুবা', 'প্রায়ই', 'যাইহোক', 'সবসময়', 'এজন্য', 'সেজন্য', 'তাছাড়া', 'এইভাবে', 'কেননা', 'কখনই']
['যদ্যপি', 'সবসময়', 'আপনারে', 'সত্রাজিৎ', 'মন্তু', 'অগ্নিদেব', 'রাতও', 'প্রায়ই', 'বাকবিতন্ডা', 'অশ্বিদ্বয়']
['', '', '', '', '', '', '', '', '', '']
['প্রায়ই', 'কিঞ্চিৎ', 'তাছাড়া', 'যাইহোক', 'এজন্য', 'এরকম', 'সবসময়', 'ফলস্বরূপ', 'এধরনের', 'কেননা']
['প্রায়ই', 'কিঞ্চিৎ', 'তাছাড়া', 'যাইহোক', 'এজন্য', 'এরকম', 'সবসময়', 'ফলস্বরূপ', 'এধরনের', 'কেননা']
['পূর্বে', 'এটি', 'যদিও', 'হয়েছিল', 'পূর্ব', 'হয়েছে', 'সময়ে', 'যা', 'এর', 'যার']
['যদিও', 'হয়েছিল', 'সময়ে', 'হওয়ার', 'ফলে', 'হয়নি', 'তবে', 'সময়', 'পর', 'হবার']
['যদিও', 'এখনও', 'যাইহোক', 'মূলত', 'সত্ত্বেও', 'এটির', 'বেশিরভাগ', 'অধিকাংশ', 'ধারণা', 'বিদ্যমান']
['যদিও', 'সাথে', 'যার', 'যুক্ত', 'সময়ে', 'হয়েছিল', 'সহিত', 'অন্যান্য', 'মাঝে', 'যেখানে']
['যদিও', 'তবে', 'কিন্তু', 'এতে', 'সত্ত্বেও', 'বরং', 'যার', 'করেছিল', 'এমনকি', 'উল্লেখ']
['যদিও', 'এখনও', 'বর্তমান', 'মূলত', 'বিদ্যমান', 'ধারণা', 'এটির', 'যাইহোক', 'অধিকাংশ', 'এটিকে']
['যদিও', 'এখনও', 'কিছু', 'তবে', 'যাইহোক', 'যে', 'ধারণা', 'হয়েছিল', 'হয়নি', 'নয়']
['যদিও', 'তবে', 'অধিকাংশ', 'কিছু', 'যাইহোক', 'কিন্তু', 'যার', 'শুধুমাত্র', 'ধারণা', 'হয়নি']
['যদিও', 'তবে', 'অধিকাংশ', 'কিছু', 'যাইহোক', 'কিন্তু', 'যার', 'শুধুমাত্র', 'ধারণা', 'হয়নি']
['যদিও', 'ব্যবহৃত', 'মূলত', 'সাধারণত', 'ব্যবহার', 'বিশেষত', 'প্রায়ই', 'প্রায়শই', 'তবে', 'বেশিরভাগ']
['', '', '', '', '', '', '', '', '', '']
['যদিও', 'তবে', 'কিছু', 'মূলত', 'পরিবর্তন', 'ক্ষেত্রে', 'অধিকাংশ', 'হলেও', 'এখনও', 'সত্ত্বেও']
['যদিও', 'তবে', 'কিছু', 'মূলত', 'পরিবর্তন', 'ক্ষেত্রে', 'অধিকাংশ', 'হলেও', 'এখনও', 'সত্ত্বেও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['পূর্বে', 'কিছু', 'এটি', 'যা', 'নিয়ে', 'পূর্ব', 'এবং', 'এর', 'যেখানে', 'যার']
['কিছু', 'আগে', 'পর', 'যে', 'অনেক', 'তারা', 'করার', 'পরে', 'তাদের', 'কারণ']
['কিছু', 'অনেক', 'এসব', 'যেখানে', 'যদিও', 'যাদের', 'আবার', 'এভাবে', 'বহু', 'কারণ']
['কিছু', 'অন্য', 'যেখানে', 'অনেক', 'কোন', 'যেমন', 'যার', 'বহু', 'অন্যান্য', 'সমস্ত']
['কিছু', 'অনেক', 'কেউ', 'না', 'কোনো', 'দিয়া', 'আর', 'নেই', 'আছে', 'এসব']
['কিছু', 'অনেক', 'বর্তমান', 'যদিও', 'অন্য', 'এসব', 'কেউ', 'যাদের', 'এভাবে', 'আছে']
['কিছু', 'অনেক', 'যদিও', 'যে', 'তারা', 'যেখানে', 'তাদের', 'কিন্তু', 'কোন', 'যেমন']
['কিছু', 'অন্য', 'যাতে', 'না', 'কিন্তু', 'তারা', 'এভাবে', 'এসব', 'অনেক', 'যে']
['কিছু', 'অন্য', 'যাতে', 'না', 'কিন্তু', 'তারা', 'এভাবে', 'এসব', 'অনেক', 'যে']
['কিছু', 'অন্য', 'অনেক', 'যদিও', 'এসব', 'যেখানে', 'যাদের', 'যে', 'যেমন', 'তারা']
['কিছু', 'কেউ', 'যাদের', 'অনেক', 'এভাবে', 'তারা', 'আসলে', 'এটা', 'সে', 'আবার']
['', '', '', '', '', '', '', '', '', '']
['কিছু', 'অনেক', 'যদিও', 'তবে', 'এসব', 'অন্য', 'কিন্তু', 'যেমন', 'বেশ', 'যেখানে']
['পূর্বে', 'পূর্ব', 'কিছুটা', 'হয়ে', 'উত্তর', 'দক্ষিণে', 'এটি', 'পশ্চিমে', 'পশ্চিম', 'ফলে']
['কিছুটা', 'ফলে', 'মধ্যেই', 'পূর্বেই', 'কারণ', 'আগের', 'হওয়ার', 'হবার', 'কিন্তু', 'পড়ে']
['কিছুটা', 'অন্যদিকে', 'হিস্যাও', 'তবুও', 'আগের', 'ক্রমশ', 'অনেকটা', 'সত্ত্বেও', 'এতটাই', 'হতাশ']
['কিছুটা', 'সহিত', 'মাঝে', 'ভাবে', 'ফলে', 'থাকায়', 'আবার', 'একই', 'ধীরে', 'অন্যদিকে']
