['তুমি', 'আমরা', 'দেখি', 'আমাদেরকে', 'তোমরা', 'তোমাকে', 'তোমায়', 'আমায়', 'জানি', 'ওরা']
['দর্শক', 'দর্শকের', 'দর্শকদের', 'সাবস্ক্রাইবার', 'দর্শকরা', 'শ্রোতা', 'ধারণক্ষমতার', 'দৃশ্যমান', 'ধারণক্ষমতা', 'এন্টেনার']
['শিক্ষক', 'অধ্যক্ষ', 'প্রভাষক', 'শিক্ষিকা', 'শিক্ষিক', 'অধ্যাপক', 'লেকচারার', 'ছাত্রী', 'শিক্ষকগণ', 'গণিত']
['ত্রিকোণমিতিক', 'পয়সোঁ', 'রৈখিক', 'স্থানাঙ্ক', 'জ্যামিতিক', 'বিন্যাস', 'নাক্ষত্রিক', 'গাঠনিক', 'দ্বিপদী', 'বিন্যাসের']
['সম্পাদক', 'সম্পাদকের', 'সহ-সম্পাদক', 'সভাপতি', 'সহ-সভাপতি', 'আহ্বায়ক', 'সম্পাদিকা', 'সহসভাপতি', 'আহবায়ক', 'সম্পাদকঃ']
['পণ্ডিত', 'পন্ডিত', 'দার্শনিক', 'চিন্তাবিদ', 'পণ্ডিতরা', 'সমসাময়িক', 'বিদ্বান', 'পণ্ডিতগণ', 'ভাষাতাত্ত্বিক', 'জ্যোতিষশাস্ত্র']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'উপমন্ত্রী', 'সচিব', 'মন্ত্রীর', 'শিল্পমন্ত্রী', 'মন্ত্রিসভায়', 'মন্ত্রি', 'মন্ত্রণালয়', 'মন্ত্রনালয়ের']
['আমি', 'তোমরা', 'আমরা', 'আমাকে', 'আপনি', 'তোমাদের', 'আপনারা', 'আপনাকে', 'আল্লাহ', 'আমাদেরকে']
['সে', 'সেই', 'তারা', 'তাদেরকে', 'তোমরা', 'এমন', 'সেও', 'সবাই', 'ওই', 'তারাও']
['তিনি', 'তাঁরা', 'তারা', 'উনি', 'তিনিও', 'নারীরা', 'রিপাবলিকানরা', 'অংশগ্রহণকারীরা', 'শিক্ষার্থীরা', 'তিনিই']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষককে', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষার্থী', 'শিক্ষকগণ', 'প্রভাষক', 'অধ্যক্ষ', 'লেকচারার']
['আবাদী', 'কুতি', 'গ্রামবাসী', 'তোমরা', 'কৃষকগণ', 'কুরুং', 'নির্বাহে', 'ফারঘানা', 'চাষযোগ্য', 'নদীগুলোতে']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রী', 'ছাত্ররা', 'ছাত্রছাত্রী', 'ছাত্র-ছাত্রী', 'শিক্ষক', 'শিক্ষার্থীর', 'ছাত্ররাও', 'শিক্ষার্থীকে']
['ধনী', 'সম্পদশালী', 'ধনবান', 'বিত্তবান', 'ধনাঢ্য', 'দরিদ্র', 'গরীব', 'ক্ষমতাবান', 'ক্ষমতাধর', 'প্রভাবশালী']
['ভাই', 'ভাইবোন', 'বোন', 'ছেলে', 'ভাইকে', 'ভাইয়েরা', 'চাচা', 'পুত্র', 'সৎভাই', 'ভাই-বোন']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষককে', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষার্থী', 'শিক্ষকগণ', 'প্রভাষক', 'অধ্যক্ষ', 'লেকচারার']
['গরু', 'গবাদি', 'মাংস', 'ভেড়া', 'পশু', 'দুধ', 'উট', 'ছাগল', 'মুরগী', 'জবাই']
['ছেলে', 'সন্তান', 'পুত্র', 'ভাইবোন', 'মেয়ে', 'কন্যা', 'ভাই', 'বোন', 'সন্তানকে', 'কন্যাকে']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'ভাইবোন', 'বোন', 'ছেলে', 'ভাইকে', 'ভাইয়েরা', 'চাচা', 'পুত্র', 'সৎভাই', 'ভাই-বোন']
['পাখি', 'প্রজাতি', 'প্রজাতির', 'প্রাণী', 'সাপ', 'স্তন্যপায়ী', 'সরীসৃপ', 'বন্য', 'সরিসৃপ', 'পাখিরা']
['সদস্য', 'সদস্যগণ', 'সদস্যও', 'সভাপতি', 'মেম্বার', 'সদস্যবৃন্দ', 'প্রতিনিধি', 'সহ-সভাপতি', 'সদস্যকে', 'সদস্যা']
['সচিব', 'উপদেষ্টা', 'মন্ত্রী', 'সেক্রেটারি', 'সচিবের', 'মন্ত্রণালয়ে', 'উপমন্ত্রী', 'প্রতিমন্ত্রী', 'স্বরাষ্ট্র', 'ভারপ্রাপ্ত']
['দর্শক', 'দর্শকের', 'দর্শনার্থীর', 'দর্শকদের', 'সাবস্ক্রাইবার', 'শিক্ষার্থীকে', 'যাত্রীকে', 'অংশগ্রহণকারীদের', 'একদিনে', 'প্রতিযোগীর']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষককে', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষার্থী', 'শিক্ষকগণ', 'প্রভাষক', 'অধ্যক্ষ', 'লেকচারার']
['বাস্তববাদীরা', 'রিপাবলিকানরা', 'জোরপূর্বক', 'ধর্মত্যাগের', 'পূর্বক', 'আদায়ে', 'ধর্মান্তরের', 'সুদের', 'বাধ্যতামূলক', 'পরীক্ষাতেও']
['সম্পাদক', 'সম্পাদকের', 'সভাপতি', 'সহ-সম্পাদক', 'সহসভাপতি', 'সহ-সভাপতি', 'চেয়ারম্যান', 'আহ্বায়ক', 'সম্পাদিকা', 'আহবায়ক']
['পণ্ডিত', 'পন্ডিত', 'বিদ্বান', 'আলেম', 'ধর্মতত্ত্ববিদ', 'পণ্ডিতেরা', 'আইনশাস্ত্রের', 'আইনবিদ', 'মনিষী', 'হানাফি']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রীর', 'উপমন্ত্রী', 'সচিব', 'মন্ত্রিসভায়', 'মন্ত্রণালয়ে', 'মন্ত্রনালয়ের', 'উপদেষ্টা', 'মন্ত্রীসভায়']
['আমি', 'আমরা', 'আপনি', 'তারা', 'তোমরা', 'তাঁরা', 'আপনারা', 'আপনাকে', 'তিনি', 'তুমি']
['তুমি', 'তোমরা', 'আপনি', 'হও', 'আমরা', 'তারা', 'আমি', 'আমিই', 'আপনারা', 'তোমার']
['তিনি', 'তাঁরা', 'তারা', 'দলটি', 'এঁরা', 'তিনিও', 'নেতারা', 'অংশগ্রহণকারীরা', 'তিনিই', 'বামপন্থীদের']
['শিক্ষক', 'অধ্যক্ষ', 'শিক্ষার্থী', 'শিক্ষিকা', 'শিক্ষকগণ', 'উপাধ্যক্ষ', 'শিক্ষকের', 'অধ্যাপক', 'বক্তা', 'প্রভাষক']
['মুন্ডা', 'সখর', 'উপজাতিরা', 'উপজাতি', 'বাহিনীটি', 'মোজ', 'ভিনদেশীয়', '২টি', 'তারা', 'উভচর']
['ছাত্র', 'শিক্ষার্থী', 'নেতৃবৃন্দ', 'সদস্যরা', 'সহসভাপতি', 'কর্মী', 'ছাত্রী', 'স্বেচ্ছাসেবক', 'শ্রমিক', 'সদস্য']
['ধনী', 'বণিক', 'পরিবারগুলো', 'গোষ্ঠী', 'খ্রিষ্টান', 'ধনাঢ্য', 'বেদুইন', 'ব্যবসায়ীরা', 'সম্প্রদায়', 'উপজাতিরা']
['ভাই', 'ভাইবোন', 'বোন', 'ভাইও', 'ছেলে', 'ভাইয়েরা', 'ভাইবোনেরা', 'সহোদর', 'সৎভাই', 'পুত্র']
['শিক্ষক', 'অধ্যক্ষ', 'শিক্ষার্থী', 'শিক্ষিকা', 'শিক্ষকগণ', 'উপাধ্যক্ষ', 'শিক্ষকের', 'অধ্যাপক', 'বক্তা', 'প্রভাষক']
['গরু', 'ছাগল', 'গবাদি', 'ভেড়া', 'শূকর', 'উট', 'হাতি', 'গবাদিপশু', 'শষ্য', 'জাতের']
['ছেলে', 'ভাই', 'ভাইবোন', 'মেয়ে', 'কন্যা', 'বোন', 'পুত্র', 'সন্তান', 'নাতি-নাতনি', 'কন্যাসন্তান']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'ভাইবোন', 'বোন', 'ভাইও', 'ছেলে', 'ভাইয়েরা', 'ভাইবোনেরা', 'সহোদর', 'সৎভাই', 'পুত্র']
['পাখি', 'প্রজাতি', 'সরীসৃপ', 'বাদুড়', 'কচ্ছপ', 'শামুক', 'উভচর', 'জলচর', 'ইঁদুর', 'প্রজাতির']
['সদস্য', 'সদস্যগণ', 'সদস্যরা', 'সহ-সভাপতি', 'সদস্যও', 'সদস্যবৃন্দ', 'প্রতিনিধি', 'সভাপতি', 'সমন্বয়ক', 'সদস্যদের']
['সচিব', 'মন্ত্রী', 'উপদেষ্টা', 'মন্ত্রি', 'মহাপরিচালক', 'প্রতিমন্ত্রী', 'অধিকর্তা', 'মন্ত্রণালয়', 'উপমন্ত্রী', 'কর্মকর্তা']
['দর্শক', 'দর্শকের', 'দর্শকদের', 'চ্যানেলটি', 'চ্যানেলগুলি', 'শ্রোতা', 'ধারণক্ষমতা', 'যাত্রী', 'প্রতিযোগী', 'সাবস্ক্রাইবার']
['শিক্ষক', 'অধ্যক্ষ', 'শিক্ষার্থী', 'শিক্ষিকা', 'শিক্ষকগণ', 'উপাধ্যক্ষ', 'শিক্ষকের', 'অধ্যাপক', 'বক্তা', 'প্রভাষক']
['দেশগুলি', 'ব্যবস্থাগুলির', 'গোষ্ঠীগুলি', 'সম্প্রদায়গুলোর', 'কেন্দ্রই', 'দেশগুলো', 'দেশসমূহের', 'গোষ্ঠী', 'গোষ্ঠীগুলো', 'সুন্নি']
['সম্পাদক', 'সম্পাদকের', 'সভাপতি', 'সহ-সভাপতি', 'সহ-সম্পাদক', 'সম্পাদিকা', 'সহসভাপতি', 'আহ্বায়ক', 'সম্পাদকঃ', 'সম্পাদকও']
['পণ্ডিত', 'পন্ডিত', 'চিন্তাবিদ', 'পণ্ডিতরা', 'ধর্মগুরু', 'বিদ্বান', 'পণ্ডিতেরা', 'আলেম', 'কবিরা', 'সুন্নি']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রণালয়', 'সচিব', 'উপমন্ত্রী', 'মন্ত্রীর', 'শিল্পমন্ত্রী', 'মন্ত্রিসভায়', 'মন্ত্রক', 'উপ-প্রধানমন্ত্রী']
['আমি', 'আমরা', 'তোমরা', 'আপনি', 'তোমাদের', 'তুমি', 'আমাকে', 'আপনাকে', '...', 'তারা']
['তুমি', 'তোমরা', 'ওরা', 'কাফেররা', 'তোমাদের', 'হও', 'তোমার', 'তো', 'আমায়', 'তোমাকে']
['সে', 'সেই', 'তারা', 'এমন', 'সেটা', 'তাদের', 'তা', 'ওদের', 'তাদেরকে', 'সবাই']
['শিক্ষক', 'শিক্ষার্থী', 'ছাত্রী', 'শিক্ষককে', 'কর্মচারী', 'শিক্ষিকা', 'শিক্ষকের', 'সবাই', 'শিক্ষিক', 'ছাত্রছাত্রী']
['তারা', 'ভাসতে', 'জলে', 'এরা', 'সমুদ্রে', 'কুমিরের', 'মরা', 'পাখিরা', 'নিজেরাই', 'সাপ']
['ছাত্র', 'শিক্ষার্থী', 'শ্রমিক', 'ছাত্রী', 'সবাই', 'ছাত্রছাত্রী', 'ছাত্ররা', 'সদস্যরা', 'ছাত্র-ছাত্রী', 'রাজাকার']
['ধনী', 'পরিবারগুলো', 'দরিদ্র', 'যাযাবর', 'নিকৃষ্ট', 'তাদের', 'যারা', 'তারাই', 'জনগোষ্ঠী', 'কাছের']
['ভাই', 'ছেলে', 'ভাইবোন', 'ভাই-বোন', 'বোন', 'ভাইকে', 'ভাইও', 'ভাইয়েরা', 'বোনকে', 'সৎভাই']
['শিক্ষক', 'শিক্ষার্থী', 'ছাত্রী', 'শিক্ষককে', 'কর্মচারী', 'শিক্ষিকা', 'শিক্ষকের', 'সবাই', 'শিক্ষিক', 'ছাত্রছাত্রী']
['গরু', 'ভেড়া', 'মাংস', 'গৃহপালিত', 'শূকর', 'ছাগল', 'পশুর', 'মহিষ', 'গবাদি', 'কুকুর']
['ছেলে', 'মেয়ে', 'সন্তান', 'কন্যাসন্তান', 'ভাই-বোন', 'ভাইবোন', 'পুত্রসন্তান', 'সংসারে', 'বাচ্চা', 'বোন']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'ছেলে', 'ভাইবোন', 'ভাই-বোন', 'বোন', 'ভাইকে', 'ভাইও', 'ভাইয়েরা', 'বোনকে', 'সৎভাই']
['পাখি', 'সাপ', 'প্রজাতি', 'প্রাণী', 'ইঁদুর', 'কচ্ছপ', 'ব্যাঙ', 'জলচর', 'টিকটিকি', 'পাখিরা']
['সদস্য', 'সদস্যরা', 'সদস্যগণ', 'সদস্যদের', 'সদস্যও', 'সদস্যকে', 'সদস্যবৃন্দ', 'সদস্যই', 'সদস্যভূক্ত', 'সদস্যের']
['সচিব', 'মন্ত্রী', 'উপমন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রি', 'স্বরাষ্ট্র', 'মন্ত্রণালয়', 'উপসচিব', 'যুগ্মসচিব', 'উপদেষ্টা']
['দর্শক', 'দর্শকের', 'দর্শকদের', 'তারা', 'সাবস্ক্রাইবার', 'দর্শকরা', 'দর্শনার্থীর', 'শ্রোতা', 'মানুষ', 'ধারণক্ষমতা']
['শিক্ষক', 'শিক্ষার্থী', 'ছাত্রী', 'শিক্ষককে', 'কর্মচারী', 'শিক্ষিকা', 'শিক্ষকের', 'সবাই', 'শিক্ষিক', 'ছাত্রছাত্রী']
['তাদের', 'নিজেরাই', 'তারা', 'সেসব', 'এমন', 'নিজেদের', 'তারাই', 'নিজেরা', 'যারা', 'সেগুলোকে']
['সম্পাদক', 'সম্পাদকের', 'সহ-সম্পাদক', 'সভাপতি', 'সম্পাদকঃ', 'আহ্বায়ক', 'চেয়ারম্যান', 'সম্পাদকও', 'যুগ্মসম্পাদক', 'সম্পাদিকা']
['পণ্ডিত', 'পণ্ডিতরা', 'দার্শনিক', 'অন্যরা', 'পন্ডিত', 'ধর্মগুরু', 'পণ্ডিতদের', 'বিদ্বান', 'সম্প্রদায়', 'যারা']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রীর', 'মন্ত্রণালয়', 'উপমন্ত্রী', 'মন্ত্রিসভায়', 'কৃষিমন্ত্রী', 'মন্ত্রক', 'মন্ত্রণালয়ের', 'প্রতিরক্ষামন্ত্রী']
['আমি', 'আমরা', 'তোমরা', 'আমিও', 'আপনি', 'তুমি', 'আপনাকে', 'আমাকে', 'তোমাকে', 'হও']
['তুমি', 'তোমাকে', 'দেখ', 'বলো', 'তোমায়', 'হও', 'আমায়', 'রবে', 'জানো', 'তোমরা']
['সে', 'সেই', 'সেটা', 'একরকম', 'তা', 'সেটার', 'তারা', 'হয়তো', 'সেও', 'এমন']
['তিনি', 'তারা', 'দলটি', 'জালঘেরা', 'তাঁরা', 'ব্যাটসম্যানরা', '২-১', 'জয়লাভের', '৪-১', '৩-১']
['মরুপথে', 'চলাচলকে', 'চক্রবৃদ্ধি', 'আখিরা', 'পালতোলা', 'ভাঙে', 'লুকোচুরি', '২-১', '৩-২', 'টেম্\u200cস']
['ছাত্র', 'সলিডারিটি', 'স্টুডেন্টস', 'গণমুক্তি', 'সর্বহারা', 'মজদুর', 'মিছিল', 'নেতাকর্মীদের', 'পার্টিকে', 'ছাত্রদল']
['ধনী', 'দামী', 'কাছের', 'সম্পদশালী', 'ব্যায়বহুল', 'দুর্বলতম', 'ক্ষমতাধর', 'নিকৃষ্ট', 'বেশীসংখ্যক', 'খারাপভাবে']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইও', 'ভাইয়ের', 'রানীকে', 'ছেলে', 'বাইশদিয়া', 'ভাই-বোন']
['শিক্ষকরা', 'শিক্ষার্থীরা', 'ছাত্রদেরকে', 'ছাত্রীরা', 'ছাত্ররা', 'শ্রেণিকক্ষে', 'শিক্ষার্থীরাও', 'ছাত্রছাত্রীরা', 'ক্লাসে', 'ছাত্ররাও']
['মাছকে', 'গরু', 'গোশত', 'মান্তা', 'গরুর', 'খচ্চর', 'খেয়েছিল', 'শূকরের', 'ফানুস', 'শূকর']
['ছেলে', 'বোনকে', 'ভাই', 'সংসারে', 'বোন', 'ভাইকে', 'কন্যাসন্তান', 'মেয়ে', 'ছেলেও', 'কন্যা']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইও', 'ভাইয়ের', 'রানীকে', 'ছেলে', 'বাইশদিয়া', 'ভাই-বোন']
['পাখি', 'মান্তা', 'সাপ', 'জলচর', 'টিকটিকি', 'বাদুড়', 'পাখিকে', 'ব্যাঙ', 'হাঙ্গর', 'পাখিটি']
['সদস্য', 'সদস্যগণ', 'সদস্যভূক্ত', 'সদস্যও', 'সদস্যরা', 'উচ্চকক্ষ', 'ক্ষমতাসীন', 'নিম্নকক্ষে', 'সদস্যভুক্ত', 'নিম্নকক্ষ']
['সচিব', 'মন্ত্রী', 'মন্ত্রক', 'স্বরাষ্ট্র', 'ফেডারাল', 'সচিবের', 'আর্টসখ', 'মন্ত্রনালয়ে', 'অনুমোদনক্রমে', 'ওবামা']
['দর্শক', 'দর্শকের', 'একদিনে', 'দর্শকদের', 'সমাগমের', 'দর্শকরা', 'সাবস্ক্রাইবার', 'ধারণক্ষমতার', 'ব্যবধানে', '৩-২']
['শিক্ষকরা', 'শিক্ষার্থীরা', 'ছাত্রদেরকে', 'ছাত্রীরা', 'ছাত্ররা', 'শ্রেণিকক্ষে', 'শিক্ষার্থীরাও', 'ছাত্রছাত্রীরা', 'ক্লাসে', 'ছাত্ররাও']
['২-১', '৩-২', '০-০', 'চক্রবৃদ্ধি', '২-০', '২-২', '৪-১', '4875', 'টপকিয়ে', 'সহজেই']
['সম্পাদক', 'সম্পাদকের', 'সভাপতি', 'বুর্ডা', 'ইনকিলাব', 'সম্পাদকসহ', 'অবজার্ভার', 'মুখপত্র', 'ডেইলি', 'সমকাল']
['পণ্ডিত', 'পরবর্তীকালের', 'আইনবিদরা', 'হিউয়েন-সাং', 'পণ্ডিতরা', 'প্রাচীনতর', 'ব্রাহ্মণ্যবাদী', 'ঐতিহাসিকগণ', 'শিলালিপিগুলি', 'মূর্তিতত্ত্বে']
['মন্ত্রী', 'মন্ত্রক', 'প্রতিমন্ত্রী', 'মন্ত্রণালয়', 'থাকসিন', 'মন্ত্রীর', 'মন্ত্রণালয়কে', 'মন্ত্রীসভায়', 'অধিদফতর', 'মন্ত্রিসভায়']
['আমি', 'আমরা', 'আপনি', 'আমাকে', 'তোমরা', 'আপনাকে', 'আপনারা', 'তোমাদের', 'আমাদেরকে', 'আপনার']
['তুমি', 'তোমরা', 'তোমাকে', 'আপনি', 'আপনাকে', 'আমি', 'আমাদেরকে', 'আপনারা', 'হও', 'আল্লাহ্\u200c']
['সে', 'সেই', 'সেটা', 'তা', 'তারা', 'তাদেরকে', 'সবকিছু', 'এমন', 'এটা', 'সেও']
['তিনি', 'তাঁরা', 'উনি', 'তিনিও', 'তারা', 'নারীরা', 'তিনিই', 'শিক্ষার্থীরা', 'খেলাধূলার', 'আলেমদের']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষকদের', 'অধ্যক্ষ', 'প্রভাষক', 'লেকচারার', 'উপাধ্যক্ষ', 'শিক্ষকগণ']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রী', 'ছাত্রদের', 'শিক্ষক', 'ছাত্র-ছাত্রী', 'ছাত্ররা', 'শিক্ষকদের', 'শিক্ষার্থীদের', 'ছাত্রছাত্রী']
['ধনী', 'সম্পদশালী', 'ধনবান', 'প্রভাবশালী', 'ক্ষমতাবান', 'ক্ষমতাধর', 'ক্ষমতাশালী', 'ধনাঢ্য', 'অভিজাতদের', 'শিক্ষিত']
['ভাই', 'বোন', 'ভাইও', 'ভাইবোন', 'ছেলে', 'চাচা', 'ভাইয়েরা', 'নাতি', 'ভাইকে', 'ভাইয়ের']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষকদের', 'অধ্যক্ষ', 'প্রভাষক', 'লেকচারার', 'উপাধ্যক্ষ', 'শিক্ষকগণ']
['গরু', 'মাংস', 'ভেড়া', 'ছাগল', 'মুরগী', 'মাংসের', 'নিরামিষ', 'খাবার', 'পশু', 'গরুর']
['ছেলে', 'ভাই', 'বোন', 'মেয়ে', 'সন্তান', 'পুত্র', 'ভাইবোন', 'কন্যা', 'ভাই-বোন', 'ভাইও']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ভাইও', 'ভাইবোন', 'ছেলে', 'চাচা', 'ভাইয়েরা', 'নাতি', 'ভাইকে', 'ভাইয়ের']
['পাখি', 'প্রজাতি', 'সাপ', 'প্রাণী', 'প্রজাতির', 'পাখিদের', 'সরীসৃপ', 'বাদুড়', 'পাখির', 'চড়ুই']
['সদস্য', 'সদস্যগণ', 'সদস্যও', 'সহ-সভাপতি', 'সভাপতি', 'মেম্বার', 'সদস্যবৃন্দ', 'প্রতিনিধি', 'চেয়ারপারসন', 'সদস্যা']
['সচিব', 'উপদেষ্টা', 'মন্ত্রী', 'সেক্রেটারি', 'সচিবের', 'স্বরাষ্ট্র', 'প্রতিমন্ত্রী', 'মহাপরিচালক', 'মন্ত্রি', 'উপমন্ত্রী']
['দর্শক', 'দর্শকের', 'দর্শকদের', 'দর্শনার্থীর', 'সাবস্ক্রাইবার', 'সমর্থকের', 'শ্রোতা', 'খেলোয়াড়ের', 'দর্শনার্থীদের', 'শ্রোতার']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষকের', 'গ্রন্থাগারিক', 'শিক্ষকদের', 'অধ্যক্ষ', 'প্রভাষক', 'লেকচারার', 'উপাধ্যক্ষ', 'শিক্ষকগণ']
['পাঠ্যক্রমের', 'দায়িত্বের', 'নিয়মের', 'নীতিগুলির', 'মানদণ্ডের', 'সনদের', 'মডেলগুলির', 'চার্চের', 'প্রতিষ্ঠানগুলির', 'পেপ্যালের']
['সম্পাদক', 'সম্পাদকের', 'সভাপতি', 'সহ-সম্পাদক', 'সহ-সভাপতি', 'চেয়ারম্যান', 'সহসভাপতি', 'সম্পাদিকা', 'উপদেষ্টা', 'আহ্বায়ক']
['পণ্ডিত', 'পন্ডিত', 'চিন্তাবিদ', 'বিদ্বান', 'আইনবিদ', 'ধর্মতত্ত্ববিদ', 'দার্শনিক', 'পণ্ডিতদের', 'আলেম', 'আইনশাস্ত্রের']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রীর', 'সচিব', 'উপমন্ত্রী', 'মন্ত্রিসভায়', 'উপদেষ্টা', 'মন্ত্রনালয়ের', 'মন্ত্রীসভায়', 'স্বরাষ্ট্র']
['আমি', 'আমরা', 'তোমরা', 'আমাকে', 'আমিও', 'আপনি', 'আপনাকে', 'তুমি', 'আপনারা', "'আমি"]
['তুমি', 'তোমরা', 'তোমাকে', 'আমিও', 'আমায়', 'রাখ', 'তুই', 'বলো', 'রাখো', 'তোমায়']
['সে', 'সেই', 'সেও', 'তারা', 'মেয়েটি', 'তাদেরকে', 'হয়তো', 'নোবিতা', 'দুর্ভাগ্য', 'ওদের']
['তিনি', 'তাঁরা', 'তারা', 'উনি', 'দর্শকরা', 'মুনরো', 'তাকে', 'তিনিও', 'দর্শনার্থীরা', 'ভক্তরা']
['শিক্ষক', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকরূপে', 'শিক্ষিকা', 'অধ্যক্ষের', 'শিক্ষকরা', 'ছাত্ররা', 'ছাত্রদেরকে', 'শিক্ষার্থীদেরকে']
['ঘাটে', 'মরুপথে', 'এপারে', 'সিম্বাকে', 'ডুবেছিল', 'সুরু', 'লুকোচুরি', 'পাড়েই', 'নদীটিতে', 'বার্জে']
['ধনী', 'দামী', 'কাছের', 'সম্পদশালী', 'ধনবান', 'ব্যবসায়ীরা', 'শহরমুখী', 'গরীব', 'গরিব', 'পরিবারগুলো']
['ভাই', 'ভাইকে', 'বোন', 'বোনকে', 'ভাইয়েরা', 'ছেলে', 'ভাইরা', 'ভাইও', 'সৎভাই', 'চাচা']
['শিক্ষক', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকরূপে', 'শিক্ষিকা', 'অধ্যক্ষের', 'শিক্ষকরা', 'ছাত্ররা', 'ছাত্রদেরকে', 'শিক্ষার্থীদেরকে']
['গরু', 'গরুর', 'মহিষ', 'ছাগল', 'মহিষের', 'খচ্চর', 'কুরবানির', 'মাংস', 'মাংশ', 'মাছকে']
['ছেলে', 'বোনকে', 'ভাইকে', 'মেয়ে', 'কন্যা', 'সংসারে', 'বোন', 'কন্যাকে', 'পুত্র', 'ভাইরা']
['', '', '', '', '', '', '', '', '', '']
