['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['ইরাক', 'ইসরায়েল', 'ফিনল্যান্ড', 'ইউক্রেন', 'রাশিয়া', 'নাইজেরিয়া', 'ভিয়েতনাম', 'ইরান', 'জর্ডান', 'লেবানন']
['ইরাক', 'ইসরায়েল', 'ফিনল্যান্ড', 'নাইজেরিয়া', 'ইউক্রেন', 'ভিয়েতনাম', 'রাশিয়া', 'নামিবিয়া', 'ইরান', 'উগান্ডা']
['ইরাক', 'ইসরায়েল', 'আফগানিস্তান', 'ইরান', 'আজারবাইজান', 'উজবেকিস্তান', 'জর্দান', 'মালয়েশিয়া', 'ফিলিস্তিন', 'তুরস্ক']
['ইরাক', 'ইরান', 'আফগানিস্তান', 'ইসরায়েল', 'ফিলিস্তিন', 'ইরাকে', 'আজারবাইজান', 'জর্দান', 'উজবেকিস্তান', 'সিরিয়া']
['লন্ডন', 'কানাডা', 'যুক্তরাজ্য', 'ফ্রান্স', 'ইরাক', 'আমেরিকা', 'হংকং', 'কলম্বিয়া', 'যুক্তরাজ্যের', 'সুইডেন']
['মাদ্রিদ', 'ব্রাজিল', 'ইরাক', 'আর্জেন্টিনা', 'স্পেন', 'রিয়াল', 'চিলি', 'ফ্রান্স', 'বেলজিয়াম', 'ইসরায়েল']
['ইরাক', 'মস্কো', 'রাশিয়া', 'ইউক্রেন', 'ভিয়েতনাম', 'ফ্রান্স', 'ফিনল্যান্ড', 'জার্মানি', 'পোল্যান্ড', 'আজারবাইজান']
['ইরাক', 'ইসরায়েল', 'ভিয়েতনাম', 'রাশিয়া', 'ইউক্রেন', 'ইরান', 'ফিনল্যান্ড', 'জর্দান', 'উগান্ডা', 'ন্যাটো']
['ইরাক', 'ইসরায়েল', 'ভিয়েতনাম', 'নাইজেরিয়া', 'ফিনল্যান্ড', 'রাশিয়া', 'যুক্তরাষ্ট্র', 'ইউক্রেন', 'জর্দান', 'উগান্ডা']
['ফ্রান্স', 'প্যারিস', 'ইতালি', 'ইরাক', 'ব্রিটেন', 'জার্মানি', 'সুইডেন', 'যুক্তরাজ্য', 'ফিনল্যান্ড', 'রাশিয়া']
['ইরাক', 'ইসরায়েল', 'ইরান', 'রাশিয়া', 'মিশর', 'তুরস্ক', 'আর্মেনিয়া', 'ইউক্রেন', 'লেবানন', 'চেচনিয়া']
['ইরাক', 'ইসরায়েল', 'ফিনল্যান্ড', 'নাইজেরিয়া', 'ভিয়েতনাম', 'ফিলিপাইন', 'ইউক্রেন', 'যুক্তরাষ্ট্র', 'কানাডা', 'উগান্ডা']
['ইরাক', 'ইসরায়েল', 'ইরান', 'লেবানন', 'জর্দান', 'আফগানিস্তান', 'ভিয়েতনাম', 'তুরস্ক', 'উজবেকিস্তান', 'ইউক্রেন']
['ইরাক', 'টোকিও', 'তাইওয়ান', 'ইসরায়েল', 'আলাস্কা', 'সিঙ্গাপুর', 'ফিনল্যান্ড', 'ফিলিপাইন', 'হংকং', 'তানজানিয়া']
['ইরাক', 'ইসরায়েল', 'রাশিয়া', 'নাইজেরিয়া', 'ভিয়েতনাম', 'ইরান', 'ইউক্রেন', 'ফিনল্যান্ড', 'লেবানন', 'তুরস্ক']
['থাইল্যান্ড', 'বেইজিং', 'মালয়েশিয়া', 'কম্বোডিয়া', 'ইন্দোনেশিয়া', 'ফিলিপাইন', 'সিঙ্গাপুর', 'সুমাত্রা', 'অ্যাঙ্গোলা', 'ইথিওপিয়া']
['বার্লিন', 'থাইল্যান্ড', 'নরওয়ে', 'সুইডেন', 'জার্মানি', 'সুইজারল্যান্ড', 'ফ্রান্স', 'চীন', 'ফিলিপাইন', 'ইতালি']
['থাইল্যান্ড', 'মালয়েশিয়া', 'ফিলিপাইন', 'লাওস', 'শ্রীলংকা', 'কানাডা', 'মায়ানমার', 'কম্বোডিয়া', 'নরওয়ে', 'লাইবেরিয়া']
['থাইল্যান্ড', 'সিরিয়া', 'লিবিয়া', 'ইথিওপিয়া', 'বাহরাইন', 'ইয়েমেন', 'মালয়েশিয়া', 'লেবানন', 'মরক্কো', 'সুদান']
['থাইল্যান্ড', 'লাওস', 'শ্রীলংকা', 'জাম্বিয়া', 'মালয়েশিয়া', 'ফিলিপাইন', 'কম্বোডিয়া', 'সোমালিয়া', 'মায়ানমার', 'মাদাগাস্কার']
['থাইল্যান্ড', 'লাওস', 'কম্বোডিয়া', 'মালয়েশিয়া', 'সোমালিয়া', 'ফিলিপাইন', 'মিয়ানমার', 'ইন্দোনেশিয়া', 'শ্রীলংকা', 'অ্যাঙ্গোলা']
['থাইল্যান্ড', 'লাওস', 'শ্রীলংকা', 'মালয়েশিয়া', 'কম্বোডিয়া', 'ফিলিপাইন', 'সোমালিয়া', 'জাম্বিয়া', 'আলজেরিয়া', 'নরওয়ে']
['থাইল্যান্ড', 'লাওস', 'জাম্বিয়া', 'শ্রীলংকা', 'মালয়েশিয়া', 'কম্বোডিয়া', 'ফিলিপাইন', 'কিরগিজস্তান', 'সোমালিয়া', 'মায়ানমার']
['থাইল্যান্ড', 'মালয়েশিয়া', 'লাওস', 'আফগানিস্তান', 'মায়ানমার', 'শ্রীলংকা', 'বাহরাইন', 'ভুটান', 'কম্বোডিয়া', 'সোমালিয়া']
['আফগানিস্তান', 'থাইল্যান্ড', 'ইরান', 'ইয়েমেন', 'ইরাক', 'মিয়ানমার', 'সিরিয়া', 'মিশর', 'কাবুল', 'ইথিওপিয়া']
['লন্ডন', 'থাইল্যান্ড', 'সুইজারল্যান্ড', 'কানাডা', 'সুইডেন', 'সিঙ্গাপুর', 'ফিলিপাইন', 'যুক্তরাজ্য', 'মালয়েশিয়া', 'ইন্দোনেশিয়া']
['মাদ্রিদ', 'ব্রাজিল', 'স্পেন', 'চিলি', 'থাইল্যান্ড', 'পর্তুগাল', 'বেলজিয়াম', 'নেদারল্যান্ডস', 'আর্জেন্টিনা', 'ইন্দোনেশিয়া']
['থাইল্যান্ড', 'সুইডেন', 'সুইজারল্যান্ড', 'নরওয়ে', 'ডেনমার্ক', 'রাশিয়া', 'ইতালি', 'ফ্রান্স', 'ইউক্রেন', 'ফিনল্যান্ড']
['থাইল্যান্ড', 'লাওস', 'মালয়েশিয়া', 'ফিলিপাইন', 'ইথিওপিয়া', 'কম্বোডিয়া', 'ইন্দোনেশিয়া', 'উগান্ডা', 'শ্রীলংকা', 'আলজেরিয়া']
['থাইল্যান্ড', 'লাওস', 'শ্রীলংকা', 'ফিলিপাইন', 'মায়ানমার', 'মালয়েশিয়া', 'জাম্বিয়া', 'সোমালিয়া', 'মিয়ানমার', 'কম্বোডিয়া']
['সুইজারল্যান্ড', 'সুইডেন', 'ফ্রান্স', 'প্যারিস', 'নরওয়ে', 'ইতালি', 'থাইল্যান্ড', 'ডেনমার্ক', 'ফিনল্যান্ড', 'পেরু']
['মিশর', 'লিবিয়া', 'ইথিওপিয়া', 'থাইল্যান্ড', 'আলজেরিয়া', 'সিরিয়া', 'গ্রিস', 'মেসোপটেমিয়া', 'ইরান', 'গ্রীস']
['থাইল্যান্ড', 'লাওস', 'ফিলিপাইন', 'মালয়েশিয়া', 'মায়ানমার', 'শ্রীলংকা', 'কম্বোডিয়া', 'জাম্বিয়া', 'নরওয়ে', 'ইন্দোনেশিয়া']
['থাইল্যান্ড', 'লাওস', 'মালয়েশিয়া', 'সোমালিয়া', 'ইরান', 'আলজেরিয়া', 'কম্বোডিয়া', 'আফগানিস্তান', 'লিবিয়া', 'মায়ানমার']
['থাইল্যান্ড', 'ফিলিপাইন', 'সিঙ্গাপুর', 'মালয়েশিয়া', 'তাইওয়ান', 'ইন্দোনেশিয়া', 'কম্বোডিয়া', 'লাওস', 'মরিশাস', 'তানজানিয়া']
['থাইল্যান্ড', 'লাওস', 'আলজেরিয়া', 'কম্বোডিয়া', 'লিবিয়া', 'অ্যাঙ্গোলা', 'মরক্কো', 'ইথিওপিয়া', 'নরওয়ে', 'নাইজেরিয়া']
['মিশর', 'সিরিয়া', 'ইরাক', 'বাগদাদ', 'ইয়েমেন', 'ইরান', 'লিবিয়া', 'লেভান্ট', 'মিসর', 'থাইল্যান্ড']
['চীন', 'জাপান', 'জার্মানি', 'ফ্রান্স', 'রাশিয়া', 'ইউরোপ', 'তাইওয়ান', 'মধ্যপ্রাচ্য', 'ভারত', 'ভিয়েতনাম']
['চীন', 'জাপান', 'বৈদেশিক', 'অস্ত্র', 'ভারত', 'যুক্তরাজ্য', 'পেট্রোলিয়াম', 'তাইওয়ান', 'পুঁজি', 'যুক্তরাষ্ট্র']
['চীন', 'মিশর', 'ইরান', 'সিরিয়া', 'মধ্যপ্রাচ্য', 'পারস্য', 'তুরস্ক', 'লিবিয়া', 'জাপান', 'মেসোপটেমিয়া']
['চীন', 'জাপান', 'ভারত', 'বৈদেশিক', 'মধ্যপ্রাচ্য', 'তাইওয়ান', 'ভারতবর্ষ', 'মিশর', 'ইরান', 'পিআরসি']
['চীন', 'জাপান', 'ভারত', 'পিআরসি', 'বৈদেশিক', 'চীনকে', 'তাইওয়ান', 'ইরান', 'মিয়ানমার', 'রাশিয়া']
['চীন', 'জাপান', 'ভারত', 'মিশর', 'বৈদেশিক', 'তাইওয়ান', 'ইরান', 'রাশিয়া', 'মধ্যপ্রাচ্য', 'পিআরসি']
['চীন', 'জাপান', 'ভারত', 'বৈদেশিক', 'ভারতবর্ষ', 'মিশর', 'ইরান', 'পিআরসি', 'মধ্যপ্রাচ্য', 'রাশিয়া']
['চীন', 'ভারত', 'ইরান', 'জাপান', 'আফগানিস্তান', 'তুরস্ক', 'মিয়ানমার', 'থাইল্যান্ড', 'মিশর', 'মায়ানমার']
['চীন', 'মিশর', 'ইরান', 'তিব্বত', 'পারস্য', 'সিরিয়া', 'আফগানিস্তান', 'ভারত', 'মিয়ানমার', 'জাপান']
['চীন', 'জাপান', 'ইউরোপ', 'ফ্রান্স', 'যুক্তরাজ্য', 'ভারত', 'মধ্যপ্রাচ্য', 'কানাডা', 'আমেরিকা', 'লন্ডন']
['চীন', 'ফ্রান্স', 'জাপান', 'পর্তুগাল', 'স্পেন', 'ব্রাজিল', 'রাশিয়া', 'জার্মানি', 'ইরান', 'মিশর']
['চীন', 'জাপান', 'ফ্রান্স', 'রাশিয়া', 'জার্মানি', 'ভিয়েতনাম', 'তাইওয়ান', 'তুরস্ক', 'মিশর', 'মঙ্গোলিয়া']
['চীন', 'জাপান', 'বৈদেশিক', 'ভারত', 'পিআরসি', 'মিশর', 'ইরান', 'রাশিয়া', 'তিব্বত', 'তাইওয়ান']
['চীন', 'জাপান', 'বৈদেশিক', 'ভারত', 'তিব্বত', 'মিশর', 'পিআরসি', 'মধ্যপ্রাচ্য', 'তাইওয়ান', 'মিয়ানমার']
['চীন', 'ফ্রান্স', 'জাপান', 'জার্মানি', 'ব্রিটেন', 'ইউরোপ', 'যুক্তরাজ্য', 'রাশিয়া', 'ইতালি', 'মিশর']
['চীন', 'মিশর', 'জাপান', 'মেসোপটেমিয়া', 'ইরান', 'পারস্য', 'তিব্বত', 'লিবিয়া', 'রাশিয়া', 'সিরিয়া']
['চীন', 'জাপান', 'ভারত', 'বৈদেশিক', 'তাইওয়ান', 'মধ্যপ্রাচ্য', 'ইরান', 'তিব্বত', 'মিশর', 'যুক্তরাজ্য']
['চীন', 'জাপান', 'ইরান', 'ভারত', 'মিশর', 'মধ্যপ্রাচ্য', 'বৈদেশিক', 'তুরস্ক', 'তিব্বত', 'ভারতবর্ষ']
['চীন', 'জাপান', 'তাইওয়ান', 'মধ্যপ্রাচ্য', 'ভারত', 'ফ্রান্স', 'থাইল্যান্ড', 'রাশিয়া', 'যুক্তরাজ্য', 'ইন্দোনেশিয়া']
['চীন', 'জাপান', 'মিশর', 'ইরান', 'ভারত', 'রাশিয়া', 'তিব্বত', 'তুরস্ক', 'মধ্যপ্রাচ্য', 'লিবিয়া']
['মিশর', 'চীন', 'সিরিয়া', 'পারস্য', 'ইরান', 'ইরাক', 'মিসর', 'লিবিয়া', 'মেসোপটেমিয়া', 'সাম্রাজ্য']
['চীন', 'জাপান', 'তাইওয়ান', 'থাইল্যান্ড', 'মধ্যপ্রাচ্য', 'ভারত', 'ইন্দোনেশিয়া', 'কম্বোডিয়া', 'ইরান', 'মিয়ানমার']
['জার্মানি', 'ফ্রান্স', 'কানাডা', 'যুক্তরাজ্য', 'ইতালি', 'রাশিয়া', 'নেদারল্যান্ডস', 'ডেনমার্ক', 'অস্ট্রিয়া', 'চেকোস্লোভাকিয়া']
['জার্মানি', 'তুরস্ক', 'ইতালি', 'সিরিয়া', 'স্পেন', 'অস্ট্রিয়া', 'আলবেনিয়া', 'মিশর', 'ফ্রান্স', 'বুলগেরিয়া']
['জার্মানি', 'ইতালি', 'ফ্রান্স', 'অস্ট্রিয়া', 'কানাডা', 'রাশিয়া', 'স্পেন', 'বেলজিয়াম', 'ব্রাজিল', 'ডেনমার্ক']
['জার্মানি', 'রাশিয়া', 'ইতালি', 'ফ্রান্স', 'বুলগেরিয়া', 'অস্ট্রিয়া', 'স্পেন', 'চেকোস্লোভাকিয়া', 'পোল্যান্ড', 'ব্রাজিল']
['জার্মানি', 'ইতালি', 'ফ্রান্স', 'অস্ট্রিয়া', 'রাশিয়া', 'স্পেন', 'বুলগেরিয়া', 'চেকোস্লোভাকিয়া', 'ডেনমার্ক', 'বেলজিয়াম']
['জার্মানি', 'ইতালি', 'রাশিয়া', 'ফ্রান্স', 'অস্ট্রিয়া', 'চেকোস্লোভাকিয়া', 'বুলগেরিয়া', 'স্পেন', 'ব্রাজিল', 'ডেনমার্ক']
['জার্মানি', 'তুরস্ক', 'আফগানিস্তান', 'ইরান', 'ইতালি', 'রাশিয়া', 'বুলগেরিয়া', 'বেলজিয়াম', 'অস্ট্রিয়া', 'পোল্যান্ড']
['জার্মানি', 'সিরিয়া', 'ইরান', 'তুরস্ক', 'আলবেনিয়া', 'মিশর', 'আফগানিস্তান', 'রাশিয়া', 'ইতালি', 'পোল্যান্ড']
['জার্মানি', 'ফ্রান্স', 'ইতালি', 'কানাডা', 'স্পেন', 'সুইডেন', 'যুক্তরাজ্য', 'লন্ডন', 'নেদারল্যান্ডস', 'আমেরিকা']
['মাদ্রিদ', 'স্পেন', 'ব্রাজিল', 'আর্জেন্টিনা', 'জার্মানি', 'ইতালি', 'ফ্রান্স', 'পর্তুগাল', 'বেলজিয়াম', 'রিয়াল']
['জার্মানি', 'ইতালি', 'ফ্রান্স', 'রাশিয়া', 'অস্ট্রিয়া', 'স্পেন', 'পোল্যান্ড', 'বেলজিয়াম', 'সুইডেন', 'বুলগেরিয়া']
['জার্মানি', 'ইতালি', 'রাশিয়া', 'ফ্রান্স', 'অস্ট্রিয়া', 'স্পেন', 'চেকোস্লোভাকিয়া', 'বুলগেরিয়া', 'ডেনমার্ক', 'বেলজিয়াম']
['জার্মানি', 'রাশিয়া', 'ইতালি', 'ফ্রান্স', 'অস্ট্রিয়া', 'চেকোস্লোভাকিয়া', 'বুলগেরিয়া', 'স্পেন', 'পোল্যান্ড', 'কানাডা']
['জার্মানি', 'ফ্রান্স', 'ইতালি', 'অস্ট্রিয়া', 'স্পেন', 'সুইডেন', 'রাশিয়া', 'ব্রিটেন', 'সুইজারল্যান্ড', 'বেলজিয়াম']
['জার্মানি', 'ইতালি', 'অস্ট্রিয়া', 'স্পেন', 'রাশিয়া', 'ফ্রান্স', 'বুলগেরিয়া', 'মিশর', 'আলবেনিয়া', 'তুরস্ক']
['জার্মানি', 'ইতালি', 'ফ্রান্স', 'ডেনমার্ক', 'স্পেন', 'রাশিয়া', 'অস্ট্রিয়া', 'কানাডা', 'সুইডেন', 'ব্রাজিল']
['জার্মানি', 'ইতালি', 'রাশিয়া', 'অস্ট্রিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'স্পেন', 'ফ্রান্স', 'চেকোস্লোভাকিয়া', 'পোল্যান্ড']
['জার্মানি', 'ফ্রান্স', 'ইতালি', 'রাশিয়া', 'অস্ট্রিয়া', 'কানাডা', 'জাপান', 'স্পেন', 'তাইওয়ান', 'সুইডেন']
['জার্মানি', 'ইতালি', 'স্পেন', 'অস্ট্রিয়া', 'বুলগেরিয়া', 'ফ্রান্স', 'রাশিয়া', 'পোল্যান্ড', 'চেকোস্লোভাকিয়া', 'বেলজিয়াম']
['সিরিয়া', 'মিশর', 'তুরস্ক', 'জার্মানি', 'ইরান', 'ইয়েমেন', 'স্পেন', 'ইরাক', 'ইতালি', 'রাশিয়া']
['জার্মানি', 'ইতালি', 'ফ্রান্স', 'স্পেন', 'রাশিয়া', 'বেলজিয়াম', 'অস্ট্রিয়া', 'কানাডা', 'ব্রাজিল', 'তাইওয়ান']
['জার্মানি', 'রাশিয়া', 'ইতালি', 'ফ্রান্স', 'তুরস্ক', 'সুইডেন', 'স্পেন', 'পোল্যান্ড', 'ব্রাজিল', 'বেলজিয়াম']
['মরক্কো', 'সুইজারল্যান্ড', 'লেবানন', 'আলজেরিয়া', 'কায়রো', 'স্পেন', 'সিসিলি', 'সিরিয়া', 'তুরস্ক', 'সেনেগাল']
['সুইজারল্যান্ড', 'পেরু', 'স্ক্যান্ডিনেভিয়া', 'নরওয়ে', 'ইকুয়েডর', 'সেনেগাল', 'আলজেরিয়া', 'ডেনমার্ক', 'স্পেন', 'আইসল্যান্ড']
['সুইজারল্যান্ড', 'পেরু', 'ইকুয়েডর', 'আলজেরিয়া', 'সেনেগাল', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'নরওয়ে', 'স্পেন', 'লাটভিয়া']
['সুইজারল্যান্ড', 'পেরু', 'আলজেরিয়া', 'নরওয়ে', 'সেনেগাল', 'ইতালি', 'স্পেন', 'ইকুয়েডর', 'গ্রীস', 'সুইডেন']
['সুইজারল্যান্ড', 'নরওয়ে', 'আলজেরিয়া', 'পেরু', 'সুইডেন', 'স্ক্যান্ডিনেভিয়া', 'গ্রীস', 'ইতালি', 'ডেনমার্ক', 'সেনেগাল']
['সুইজারল্যান্ড', 'তাজিকিস্তান', 'আলজেরিয়া', 'উজবেকিস্তান', 'কিরগিজস্তান', 'তুরস্ক', 'লেবানন', 'পেরু', 'মরক্কো', 'কেনিয়া']
['কাবুল', 'কান্দাহার', 'আলেপ্পো', 'আনাতোলিয়া', 'সিসিলি', 'সিরিয়া', 'বুখারা', 'মঙ্গোলিয়া', 'মরক্কো', 'লেবানন']
['লন্ডন', 'সুইজারল্যান্ড', 'সুইডেন', 'ইতালি', 'স্পেন', 'প্যারিস', 'পেরু', 'স্কটল্যান্ড', 'জর্জিয়া', 'ফ্রান্স']
['মাদ্রিদ', 'স্পেন', 'আর্জেন্টিনা', 'বার্সেলোনা', 'ব্রাজিল', 'বেলজিয়াম', 'পর্তুগাল', 'সুইজারল্যান্ড', 'ইতালি', 'পেরু']
['সুইজারল্যান্ড', 'মস্কো', 'ইতালি', 'সুইডেন', 'স্পেন', 'পেরু', 'বেলজিয়াম', 'অস্ট্রিয়া', 'পোল্যান্ড', 'নরওয়ে']
['সুইজারল্যান্ড', 'পেরু', 'সুইডেন', 'ইকুয়েডর', 'নরওয়ে', 'আলজেরিয়া', 'স্পেন', 'ইতালি', 'রোমানিয়া', 'ডেনমার্ক']
['সুইজারল্যান্ড', 'পেরু', 'সেনেগাল', 'আলজেরিয়া', 'নরওয়ে', 'স্ক্যান্ডিনেভিয়া', 'ইকুয়েডর', 'সুইডেন', 'মরক্কো', 'সাইবেরিয়া']
['সুইজারল্যান্ড', 'প্যারিস', 'ইতালি', 'সুইডেন', 'পেরু', 'স্পেন', 'ফ্রান্স', 'ব্রাসেলস', 'অস্ট্রিয়া', 'নরওয়ে']
['গ্রীস', 'স্পেন', 'রোম', 'সিসিলি', 'গ্রিস', 'অস্ট্রিয়া', 'ইতালি', 'মিশর', 'বুলগেরিয়া', 'মরক্কো']
['সুইজারল্যান্ড', 'সুইডেন', 'পেরু', 'নরওয়ে', 'ডেনমার্ক', 'সেনেগাল', 'স্পেন', 'ইকুয়েডর', 'আলজেরিয়া', 'স্ক্যান্ডিনেভিয়া']
['সুইজারল্যান্ড', 'আলজেরিয়া', 'মরক্কো', 'পেরু', 'লেবানন', 'গ্রীস', 'সেনেগাল', 'স্পেন', 'সুইডেন', 'ইতালি']
['পেরু', 'সুইজারল্যান্ড', 'সুইডেন', 'ব্যাংকক', 'ইতালি', 'ইকুয়েডর', 'টোকিও', 'নরওয়ে', 'আইসল্যান্ড', 'মেক্সিকো']
['সুইজারল্যান্ড', 'স্পেন', 'ইতালি', 'গ্রীস', 'মরক্কো', 'হাঙ্গেরি', 'বুলগেরিয়া', 'পেরু', 'আলজেরিয়া', 'স্ক্যান্ডিনেভিয়া']
['সিরিয়া', 'মিশর', 'বাগদাদ', 'আনাতোলিয়া', 'সিসিলি', 'মরক্কো', 'বসরা', 'আলেপ্পো', 'বুখারা', 'লেবানন']
['সুইজারল্যান্ড', 'পেরু', 'থাইল্যান্ড', 'সেনেগাল', 'ইকুয়েডর', 'নরওয়ে', 'স্পেন', 'সুইডেন', 'ইন্দোনেশিয়া', 'আইসল্যান্ড']
['বেইজিং', 'সুইজারল্যান্ড', 'পেরু', 'সুইডেন', 'মরক্কো', 'ইন্দোনেশিয়া', 'ইতালি', 'কেনিয়া', 'মঙ্গোলিয়া', 'কাজাখস্তান']
