['তিনি', 'তাঁরা', 'তারা', 'উনি', 'এঁরা', 'তিনিও', 'তিনিই', 'তিঁনি', 'ইনি', 'দেবতারা']
['তার', 'তাঁর', 'তাদের', 'নিজের', 'আমার', 'তাঁদের', 'তাকে', 'সে', 'হ্যারির', 'রবিনের']
['যা', 'যেটি', 'যেখানে', 'যেগুলো', 'যেগুলি', 'যার', 'যেটা', 'যাতে', 'এবং', 'যারা']
['যা', 'যেটি', 'এবং', 'যারা', 'যিনি', 'তিনি', 'যেটা', 'যেগুলো', 'যার', 'যেগুলি']
['', '', '', '', '', '', '', '', '', '']
['যা', 'যেটি', 'যেখানে', 'যেগুলো', 'যেগুলি', 'যার', 'যেটা', 'যাতে', 'এবং', 'যারা']
['', '', '', '', '', '', '', '', '', '']
['যা', 'যেটি', 'যেখানে', 'যার', 'যেগুলো', 'যেগুলি', 'যেটা', 'এবং', 'যাতে', '।']
['যা', 'যার', 'যেখানে', 'যেটি', 'যেগুলো', 'যাতে', 'যেগুলি', 'যেটা', 'যাদের', '।']
['যা', 'যেটি', 'যেগুলো', 'যেখানে', 'যেগুলি', 'যেটা', 'যার', 'যাতে', 'যারা', 'এবং']
['', '', '', '', '', '', '', '', '', '']
['যা', 'যেটি', 'যেখানে', 'যেগুলো', 'যেগুলি', 'যেটা', 'যার', 'যাতে', 'যারা', 'এবং']
['তা', 'সেটা', 'সেটি', 'সেগুলো', 'এগুলো', 'এটা', 'সেগুলি', 'তাও', 'এগুলি', 'সেগুলোর']
['তা', 'তারা', 'তিনি', 'সেটা', 'সেটি', 'এটা', 'এটি', 'এগুলো', 'সেগুলো', 'সে']
['', '', '', '', '', '', '', '', '', '']
['তা', 'সেটা', 'সেটি', 'সেগুলো', 'এটা', 'এগুলো', 'সেগুলি', 'এগুলি', 'তাও', 'সেগুলোকে']
['', '', '', '', '', '', '', '', '', '']
['তা', 'সেটা', 'সেটি', 'এটা', 'সেগুলি', 'সেগুলো', 'এগুলো', 'তাও', 'সবকিছু', 'এগুলি']
['তা', 'সেটা', 'সেটি', 'এটা', 'এগুলো', 'সেগুলি', 'সেগুলো', 'তাও', 'তাদের', 'তাতে']
['তা', 'সেটা', 'সেটি', 'এটা', 'সেগুলো', 'এগুলো', 'সেগুলি', 'তাও', 'এগুলি', 'এটি']
['', '', '', '', '', '', '', '', '', '']
['তা', 'সেটা', 'সেটি', 'সেগুলো', 'এটা', 'এগুলো', 'সেগুলি', 'তাও', 'সবকিছু', 'সেগুলোকে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['কেউ', 'অন্যরা', 'অনেকেই', 'অনেকে', 'অন্যেরা', 'আপনি', 'কারো', 'কেও', 'হয়ত', 'কারও']
['তিনি', 'কেউ', 'তাঁরা', 'তারা', 'উনি', 'অনেকেই', 'আপনি', 'অনেকে', 'আমি', 'অন্যেরা']
['', '', '', '', '', '', '', '', '', '']
['কেউ', 'অন্যরা', 'অন্যেরা', 'অনেকেই', 'অনেকে', 'আপনি', 'কাউকে', 'কেও', 'senior', 'কারো']
['', '', '', '', '', '', '', '', '', '']
['কেউ', 'কারো', 'কারও', 'অন্যেরা', 'আপনি', 'কারোর', 'অন্যের', 'অন্যরা', 'অনেকে', 'কোনো']
['কেউ', 'কারো', 'কারও', 'কারোর', 'তাহার', 'অন্যের', 'আপনি', 'কোনো', 'কাউকে', 'অন্যেরা']
['কেউ', 'আপনি', 'অন্যরা', 'অন্যেরা', 'অনেকেই', 'অনেকে', 'কারো', 'আমরা', 'হয়তো', 'কেও']
['কেউ', 'আপনি', 'অন্যরা', 'অন্যেরা', 'অনেকেই', 'অনেকে', 'কারো', 'কাউকে', 'কেও', 'senior']
['', '', '', '', '', '', '', '', '', '']
