['প্রথম', 'দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', '২য়', 'পঞ্চম', '১ম', 'ষষ্ঠ', 'সপ্তম', 'সর্বশেষ']
['অষ্টম', 'পঞ্চম', 'ষষ্ঠ', '৮ম', '৫ম', 'নবম', '৪র্থ', 'সপ্তম', '৬ষ্ঠ', '৭ম']
['অষ্টম', 'পঞ্চম', 'ষষ্ঠ', '৪র্থ', 'নবম', '৮ম', '৫ম', '১৮তম', 'সপ্তম', '২৭তম']
['অষ্টম', 'পঞ্চম', 'ষষ্ঠ', '৮ম', '৫ম', '৪র্থ', 'নবম', 'সপ্তম', '৬ষ্ঠ', '৭ম']
['অষ্টম', 'ষষ্ঠ', '৫ম', 'পঞ্চম', 'নবম', '৮ম', 'সপ্তম', '৪র্থ', 'দশম', '১০ম']
['১৯শ', '১৭শ', 'সপ্তদশ', 'উনবিংশ', '১৮শ', '১৬শ', '৮ম', 'অষ্টাদশ', '১৩শ', 'অষ্টম-নবম']
['নবম', '৫ম', '৮ম', 'অষ্টম', 'সপ্তম', '৭ম', 'দশম', 'ষষ্ঠ', 'পঞ্চম', '৯ম']
['এক', 'একটি', '৬ষ্ঠ', 'তৃতীয়', 'ষষ্ঠ', 'দ্বাদশ', 'সপ্তম', 'আরেকটি', 'অষ্টম', 'প্রথম']
['ষষ্ঠ', 'তৃতীয়', 'পঞ্চম', 'দশম', 'চতুর্থ', 'অষ্টম', 'সপ্তম', '২য়', '৩য়', '১ম']
['ষষ্ঠ', 'পঞ্চম', 'তৃতীয়', 'চতুর্থ', 'সপ্তম', 'অষ্টম', 'দশম', '৩য়', '২য়', '১ম']
['ষষ্ঠ', 'পঞ্চম', 'দশম', 'অষ্টম', '৩য়', 'সপ্তম', '৬ষ্ঠ', 'নবম', 'চতুর্থ', '৪র্থ']
['ষষ্ঠ', 'পঞ্চম', 'দশম', 'সপ্তম', 'অষ্টম', 'নবম', '৬ষ্ঠ', 'দ্বাদশ', '৪র্থ', 'চতুর্থ']
['ষষ্ঠ', 'পঞ্চম', 'অষ্টম', 'সপ্তম', 'দশম', '৬ষ্ঠ', 'নবম', '৪র্থ', '৮ম', '৫ম']
['ষষ্ঠ', 'অষ্টম', 'পঞ্চম', '৬ষ্ঠ', 'দশম', '৪র্থ', 'সপ্তম', 'নবম', '১০ম', '৮ম']
['', '', '', '', '', '', '', '', '', '']
['ষষ্ঠ', 'সপ্তম', 'নবম', '৬ষ্ঠ', 'পঞ্চম', '১০ম', 'অষ্টম', '৪র্থ', '৮ম', 'দশম']
['ষষ্ঠ', '৬ষ্ঠ', '৪র্থ', 'অষ্টম', '৮ম', 'নবম', '১০ম', 'দশম', '৭ম', '৫ম']
['ষষ্ঠ', 'দশম', 'অষ্টম', '১০ম', 'দ্বাদশ', 'নবম', '৬ষ্ঠ', '৮ম', 'সপ্তম', '৭ম']
['ষষ্ঠ', '১৮তম', '৬ষ্ঠ', '৮ম', 'অষ্টম', '৪র্থ', '২৭তম', '১৭তম', '১০ম', 'দশম']
['ষষ্ঠ', 'অষ্টম', '১৭তম', '১৮তম', '৮ম', '৬ষ্ঠ', 'নবম', '৫ম', '৭ম', '৪র্থ']
['ষষ্ঠ', '৬ষ্ঠ', '৮ম', '১০ম', '৭ম', '১৮তম', 'অষ্টম', '১৭তম', 'নবম', '৪র্থ']
['ষষ্ঠ', '১৮তম', '৬ষ্ঠ', '৮ম', '১০ম', '১৭তম', 'অষ্টম', 'নবম', '৪র্থ', '৭ম']
['৮ম', '৬ষ্ঠ', 'ষষ্ঠ', '১৮তম', '১৭তম', '৭ম', '১০ম', 'অষ্টম', '৯ম', '৪র্থ']
['ষষ্ঠ', '৮ম', '১১শ', '১০ম', '৬ষ্ঠ', 'নবম', 'দশম', '৭ম', '৯ম', '৫ম']
['১৭শ', '১৮শ', '১৯শ', 'উনবিংশ', 'অষ্টাদশ', '১৬শ', 'সপ্তদশ', '১১শ', '১৩শ', 'ষোড়শ']
['১১শ', '৮ম', 'নবম', '৭ম', '১৬শ', '১৮শ', '১৭শ', '১০ম', '৯ম', '১৪শ']
['এক', 'সপ্তম', 'তৃতীয়', 'একটি', 'চতুর্থ', 'দ্বিতীয়', 'অষ্টম', '৬ষ্ঠ', 'পঞ্চম', 'দশম']
['সপ্তম', 'তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'দশম', 'অষ্টম', 'ষষ্ঠ', 'দ্বিতীয়', 'নবম', '৫ম']
['সপ্তম', 'তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'ষষ্ঠ', 'অষ্টম', 'দশম', 'নবম', 'দ্বিতীয়', '৫ম']
['সপ্তম', 'পঞ্চম', 'দশম', 'ষষ্ঠ', 'চতুর্থ', 'অষ্টম', 'নবম', 'তৃতীয়', '৫ম', '৬ষ্ঠ']
['সপ্তম', 'নবম', 'ষষ্ঠ', 'দশম', 'পঞ্চম', 'অষ্টম', 'চতুর্থ', '৫ম', 'তৃতীয়', '৬ষ্ঠ']
['সপ্তম', 'নবম', 'অষ্টম', 'ষষ্ঠ', 'পঞ্চম', 'চতুর্থ', 'দশম', '৫ম', 'তৃতীয়', '৮ম']
['সপ্তম', 'অষ্টম', 'নবম', 'ষষ্ঠ', 'দশম', 'পঞ্চম', '৫ম', '৬ষ্ঠ', '৪র্থ', '৮ম']
['', '', '', '', '', '', '', '', '', '']
['সপ্তম', 'নবম', 'ষষ্ঠ', 'অষ্টম', '৫ম', 'দশম', 'পঞ্চম', '৮ম', '৬ষ্ঠ', 'চতুর্থ']
['সপ্তম', 'নবম', 'অষ্টম', '৮ম', '৬ষ্ঠ', '৫ম', 'দশম', 'ষষ্ঠ', '৪র্থ', '৭ম']
['সপ্তম', 'অষ্টম', 'দশম', 'নবম', 'ষষ্ঠ', '৮ম', '১০ম', 'দ্বাদশ', '৬ষ্ঠ', '৭ম']
['সপ্তম', 'অষ্টম', 'নবম', '৮ম', 'দশম', '৫ম', '৬ষ্ঠ', 'ষষ্ঠ', '৭ম', '৪র্থ']
['সপ্তম', 'নবম', 'অষ্টম', '৫ম', '৮ম', 'দশম', '৭ম', '১৭তম', '৬ষ্ঠ', 'ষষ্ঠ']
['সপ্তম', 'নবম', '৮ম', 'অষ্টম', '৭ম', '৬ষ্ঠ', '৫ম', 'দশম', '১০ম', '৯ম']
['নবম', 'সপ্তম', 'অষ্টম', '৮ম', '৬ষ্ঠ', 'দশম', '৫ম', '৭ম', '১০ম', '৯ম']
['নবম', 'সপ্তম', '৮ম', 'অষ্টম', '৫ম', '৭ম', '৯ম', '৬ষ্ঠ', 'দশম', '১০ম']
['সপ্তম', 'নবম', '৮ম', '৫ম', 'দশম', 'অষ্টম', '৯ম', '৭ম', '১০ম', '১১শ']
['সপ্তদশ', '১৮শ', 'উনবিংশ', '১৭শ', '১৯শ', 'নবম-দশম', 'একবিংশ', 'অষ্টাদশ', '১৬শ', '১৩শ']
['নবম', 'একবিংশ', 'সপ্তম', '৮ম', '৭ম', '৯ম', '৫ম', 'সপ্তদশ', '১১শ', '১৮শ']
['এক', 'অষ্টম', 'সপ্তম', 'তৃতীয়', 'একটি', 'দ্বাদশ', 'চতুর্থ', 'দশম', '৬ষ্ঠ', 'দ্বিতীয়']
['অষ্টম', 'তৃতীয়', 'দশম', 'পঞ্চম', 'সপ্তম', 'চতুর্থ', 'ষষ্ঠ', 'নবম', 'দ্বাদশ', 'দ্বিতীয়']
['অষ্টম', 'পঞ্চম', 'তৃতীয়', 'সপ্তম', 'ষষ্ঠ', 'চতুর্থ', 'দশম', 'নবম', '৫ম', 'দ্বাদশ']
['অষ্টম', 'ষষ্ঠ', 'দশম', 'পঞ্চম', 'সপ্তম', 'নবম', 'চতুর্থ', 'তৃতীয়', '৫ম', 'দ্বাদশ']
['অষ্টম', 'সপ্তম', 'নবম', 'ষষ্ঠ', 'দশম', 'পঞ্চম', 'চতুর্থ', 'দ্বাদশ', '৫ম', '৬ষ্ঠ']
['অষ্টম', 'সপ্তম', 'ষষ্ঠ', 'নবম', 'পঞ্চম', 'দশম', 'চতুর্থ', '৫ম', 'দ্বাদশ', '৮ম']
['অষ্টম', 'সপ্তম', 'ষষ্ঠ', 'দশম', 'নবম', 'পঞ্চম', '৮ম', '৫ম', 'দ্বাদশ', 'চতুর্থ']
['', '', '', '', '', '', '', '', '', '']
['অষ্টম', 'নবম', 'সপ্তম', 'ষষ্ঠ', 'দশম', 'পঞ্চম', '৮ম', '৫ম', '১০ম', '৬ষ্ঠ']
['অষ্টম', 'নবম', 'দশম', '৮ম', 'সপ্তম', 'ষষ্ঠ', '৬ষ্ঠ', '৫ম', '১০ম', '৭ম']
['অষ্টম', 'দশম', 'নবম', 'ষষ্ঠ', 'দ্বাদশ', 'সপ্তম', '৮ম', '১০ম', '৬ষ্ঠ', '৭ম']
['অষ্টম', 'নবম', 'দশম', '৮ম', 'ষষ্ঠ', 'সপ্তম', '৬ষ্ঠ', '৫ম', '১০ম', '৭ম']
['অষ্টম', 'নবম', 'সপ্তম', '৮ম', 'দশম', '৫ম', 'ষষ্ঠ', '১৭তম', 'ত্রয়োদশ', '৬ষ্ঠ']
['অষ্টম', 'নবম', '৮ম', 'দশম', '১০ম', '৬ষ্ঠ', 'ষষ্ঠ', '৫ম', '৭ম', 'সপ্তম']
['অষ্টম', 'নবম', '৮ম', 'দশম', '১০ম', 'ষষ্ঠ', '৬ষ্ঠ', 'সপ্তম', '৫ম', '৯ম']
['অষ্টম', 'নবম', '৮ম', 'দশম', '৫ম', '৬ষ্ঠ', '১০ম', '৯ম', '৭ম', 'ষষ্ঠ']
['অষ্টম', 'নবম', 'দশম', '৮ম', '১০ম', '৫ম', '১১শ', 'সপ্তম', 'ষষ্ঠ', '৯ম']
['সপ্তদশ', 'উনবিংশ', 'অষ্টাদশ', '১৭শ', '১৮শ', '১৯শ', '১৬শ', 'নবম-দশম', 'ষোড়শ', '১১শ']
['নবম', 'অষ্টম', '৮ম', '১১শ', 'দশম', 'একবিংশ', '১৪শ', 'সপ্তদশ', '৯ম', '১০ম']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'দশম', 'দ্বাদশ', 'অষ্টম', '৬ষ্ঠ', 'সপ্তম', 'একটি', '৮ম', 'পঞ্চম', 'ষষ্ঠ']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'পঞ্চম', 'দ্বাদশ', 'সপ্তম', 'চতুর্থ', 'নবম', 'তৃতীয়', '৬ষ্ঠ']
['দশম', 'অষ্টম', 'পঞ্চম', 'ষষ্ঠ', 'সপ্তম', 'দ্বাদশ', 'চতুর্থ', 'নবম', 'তৃতীয়', '৫ম']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'পঞ্চম', 'নবম', 'দ্বাদশ', 'সপ্তম', '৬ষ্ঠ', '১০ম', '৮ম']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'নবম', 'দ্বাদশ', 'সপ্তম', 'পঞ্চম', '৬ষ্ঠ', '১০ম', '৮ম']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'নবম', 'সপ্তম', 'পঞ্চম', 'দ্বাদশ', '৮ম', '৫ম', '৬ষ্ঠ']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'সপ্তম', 'নবম', 'দ্বাদশ', 'পঞ্চম', '৮ম', '৬ষ্ঠ', '১০ম']
['দশম', 'অষ্টম', 'ষষ্ঠ', 'নবম', 'সপ্তম', '৬ষ্ঠ', 'দ্বাদশ', '৮ম', 'পঞ্চম', '১০ম']
['', '', '', '', '', '', '', '', '', '']
['দশম', 'অষ্টম', '৬ষ্ঠ', '৮ম', 'নবম', '৯ম', '১০ম', 'ষষ্ঠ', '৭ম', '৫ম']
['দশম', 'অষ্টম', 'দ্বাদশ', 'নবম', '১০ম', '৮ম', 'ষষ্ঠ', '৬ষ্ঠ', 'সপ্তম', '৭ম']
['দশম', 'অষ্টম', '৮ম', '৬ষ্ঠ', 'নবম', '১০ম', 'ষষ্ঠ', '৯ম', '৭ম', '৫ম']
['দশম', 'অষ্টম', 'নবম', '৮ম', '৬ষ্ঠ', '১০ম', '৫ম', '৯ম', '৭ম', 'ষষ্ঠ']
['দশম', '৮ম', 'অষ্টম', '১০ম', '৬ষ্ঠ', 'নবম', '৯ম', '৭ম', 'দ্বাদশ', '৫ম']
['দশম', 'অষ্টম', '৮ম', 'নবম', '১০ম', '৬ষ্ঠ', '৯ম', '৭ম', 'ষষ্ঠ', 'দ্বাদশ']
['দশম', '৮ম', 'অষ্টম', '৯ম', '৬ষ্ঠ', 'নবম', '১০ম', '৭ম', '৫ম', 'নবম-দশম']
['দশম', '৮ম', 'অষ্টম', 'নবম', '৯ম', '১০ম', '৬ষ্ঠ', '১১শ', '৭ম', '৫ম']
['নবম-দশম', '১৮শ', 'সপ্তদশ', '১৭শ', 'অষ্টাদশ', 'দশম', '১১শ', 'উনবিংশ', '১৩শ', '১৬শ']
['দশম', '৮ম', 'নবম', '৯ম', '১১শ', '১০ম', 'নবম-দশম', '৭ম', 'দ্বাদশ', 'অষ্টম']
['এক', 'দুই', 'দ্বাদশ', 'তৃতীয়', 'একাদশ', 'আরেক', 'একটি', 'চতুর্থ', 'দশম', 'তিন']
['দুই', 'একাদশ', 'তৃতীয়', 'তিন', 'চার', 'দ্বাদশ', 'দশম', 'চতুর্থ', 'পঞ্চম', 'উভয়']
['দুই', 'একাদশ', 'তিন', 'চার', 'তৃতীয়', 'পাঁচ', 'পঞ্চম', 'দ্বাদশ', 'চতুর্থ', 'দশম']
['একাদশ', 'চার', 'দশম', 'দ্বাদশ', 'পঞ্চম', 'ষষ্ঠ', 'নবম', 'তৃতীয়', 'দুই', 'চতুর্থ']
['একাদশ', 'দ্বাদশ', 'পাঁচ', 'দশম', 'নবম', 'চার', 'ষষ্ঠ', 'পঞ্চম', 'চতুর্থ', 'তৃতীয়']
['একাদশ', 'নবম', 'ছয়', 'দ্বাদশ', 'ষষ্ঠ', 'দশম', 'পঞ্চম', 'চার', 'চতুর্থ', 'সপ্তম']
['একাদশ', 'দ্বাদশ', 'দশম', 'নবম', 'ষষ্ঠ', 'পঞ্চম', 'সপ্তম', 'অষ্টম', 'চতুর্থ', '১০ম']
['একাদশ', 'দ্বাদশ', 'দশম', 'নবম', 'ষষ্ঠ', 'পঞ্চম', 'অষ্টম', 'সপ্তম', '১০ম', '৪র্থ']
['', '', '', '', '', '', '', '', '', '']
['একাদশ', 'নবম', 'দ্বাদশ', 'দশম', 'ষষ্ঠ', 'বিশ', 'সপ্তম', 'পঞ্চম', '১০ম', 'দশ']
['একাদশ', 'দ্বাদশ', 'দশম', 'নবম', '১০ম', 'ষষ্ঠ', 'অষ্টম', '১১শ', '৯ম', '৮ম']
['একাদশ', 'নবম', 'দশম', 'দ্বাদশ', '৯ম', '১০ম', 'ষষ্ঠ', '৮ম', '১১শ', '৪র্থ']
