['চা', 'চি', 'মা', 'চং', 'মাচ', 'ওচ', 'ওচা', 'চাম', 'আচা', 'ঘা']
['যোগী', 'ভোগী', 'যুগী', 'রোগী', 'রোধী', 'গোরী', 'লোধী', 'সুধী', 'যোগীকে', 'গোপী']
['তেজস্বী', 'টেক্সী', 'স্বীকৃতী', 'স্ত্রীকে', 'বুতের্সে', 'পুত্রী', 'সুতীব্র', 'তুর্কী', 'ডোম্বী', 'সুত্রে']
['কিশোরী', 'কোশী', 'কিশোরীর', 'কোরেশী', 'যশোরী', 'কৈশোর', 'কোশের', 'চকোরী', 'রুশোর', 'কুমোর']
['নর', 'রনী', 'নী', 'রন', 'নীর', 'নঃ', 'রী', 'নবী', 'নং', 'ননী']
['কুর্দী', 'সুন্দরী', 'সুদীর্ঘ', 'মুন্সী', 'চুর্নী', 'মুন্দো', 'সমুদ্রে', 'সুশ্রী', 'সুন্নী', 'সুদীপ্ত']
['গুণবতী', 'বামুণী', 'গুণীজন', 'বেগুণী', 'মধুবনী', 'বেগুনী', 'গুণনের', 'বহুগুন', 'বারুণী', 'বহুগুণ']
['অণুবন্ধী', 'নৈপুণ্যে', 'পুণ্যের', 'নৈপুণ্য', 'নৈপুণ্যের', 'ভ্রুণীয়', 'পুণ্ডরীক', 'পুণ্যার্থী', 'সুপ্রীম', 'ন্যুব্জ']
['বুদ্ধিমতী', 'বুদ্ধিহীন', 'বুদ্ধিকে', 'হিন্দুধর্মে', 'মেরুদন্ডী', 'অমেরুদন্ডী', 'মুর্শেদী', 'অমেরুদণ্ডী', 'দুর্দমনীয়', 'বুদ্ধিজীবী']
['শ্রীমৎ', 'শ্রীনু', 'শ্রীমতী', 'শ্রীহীন', 'শ্রীময়ী', 'আর্মেনী', 'শ্রেনী', 'শ্রীমুখ', 'শ্রীমন্ত', 'শ্রেনীর']
['বিজয়ী', 'বিজয়ে', 'বিনয়ী', 'লিবীয়', 'সুজয়', 'বয়সী', 'টসজয়ী', 'বিয়ে', 'জয়ী', 'বিষয়ে']
['পাঠকে', 'পালকী', 'পারকী', 'দীপক', 'বাকী', 'মঠকে', 'বৈঠক', 'পাখী', 'লাকী', 'পাকশী']
['খেলুক', 'লেখনী', 'লেখো', 'লেখে', 'খেকো', 'কেলী', 'মুখকে', 'আখেরী', 'খুলে', 'মুখে']
['রয়কে', 'ভয়কে', 'রায়কে', 'কুয়া', 'আয়কে', 'গাঁয়ে', 'আকুয়া', 'করণীয়', 'হয়কে', 'কয়েক']
['খুকী', 'খেকো', 'কোশী', 'খুমী', 'মুখী', 'মুখো', 'মুখকে', 'খোংকে', 'মূখী', 'কখোনো']
['ছত্রী', 'ছাত্রী', 'ছত্রে', 'ছেত্রী', 'ছাত্ৰ', 'পত্রী', 'ভর্তী', 'মৈত্রী', 'ছত্রের', 'বর্তী']
['ভিক্ষু', 'লক্ষী', 'পক্ষী', 'রক্ষী', 'আরক্ষী', 'যক্ষী', 'শিক্ষণে', 'ভিক্ষে', 'সিক্কী', 'ভিক্ষুক']
['বেতী', 'সেতী', 'তেরী', 'নেতো', 'তেজী', 'মেতে', 'তেলী', 'রেতে', 'মনেতে', 'শীতে']
['পাগলী', 'পাগলু', 'পগারী', 'আলগী', 'গসপেল', 'বাগী', 'আপীল', 'পালু', 'লীগা', 'লীগও']
['ত্রয়ী', 'ক্রয়ে', 'প্রিয়', 'ট্রী', 'ধর্মীয়', 'পূৰ্ণ', 'পুত্রী', 'ড্রয়ে', 'ত্রয়ীর', 'ট্রু']
['ক্ষীন', 'দক্ষীন', 'লক্ষী', 'ভিক্ষু', 'পক্ষী', 'দক্ষীণ', 'এক্ষুনি', 'তক্ষুনি', 'ক্ষীণ', 'রক্ষী']
['লোকে', 'লেকো', 'কুলো', 'লোধী', 'কুলী', 'লোকো', 'কোলে', 'লোক', 'লোভী', 'লোদী']
['কর্মী', 'বিক্রমী', 'রশ্মিকে', 'কর্মীর', 'শ্রীম', 'শ্রমকে', 'বিক্রী', 'মিশ্রকে', 'ক্রীম', 'বর্মী']
['বাবু', 'বাবে', 'বাবরী', 'নবাবী', 'বাসবী', 'রাবী', 'বারবে', 'জবাবে', 'বোবা', 'বাবুই']
['চাচী', 'চাচীর', 'চাষী', 'চাকী', 'চারী', 'চুচাক', 'নীচা', 'রাঁচী', 'দাচী', 'চর্চা']
['', '', '', '', '', '', '', '', '', '']
['নানী', 'নানু', 'নীনা', 'বনানী', 'নানো', 'ইনানী', 'নানে', 'রানী', 'পানী', 'নাচনী']
['জেলী', 'জেলে', 'ফেলে৷', 'মুড়ে', 'লড়েছে', 'কেড়ে', 'মোড়ে', 'বেড়ে', 'পেড়ে', 'লেজে']
['ধোপে', 'ধোনী', 'রোধী', 'লোধী', 'গোপী', 'তোপে', 'ঝোপে', 'রুপো', 'পেরো', 'কোপে']
['বেদী', 'বেদে', 'দুধে', 'দেবে৷', 'দেবী', 'দেবে', 'বেধে', 'ভেদে', 'ভেদী', 'বুধে']
['গুরু', 'রুগী', 'গুঁড়ো', 'গুণী', 'সুধী', 'গুরো', 'চুরু', 'গ্রু', 'গুড়ে', 'মুরু']
['ছেলে', 'লড়েছে', 'ফেলে৷', 'চেলে', 'ছেয়ে', 'ডেলে', 'ধুলে', 'ছেড়ে', 'লেডী', 'গেছে৷']
['বর', 'বী', 'রবী', 'ববী', 'বীর', 'বরে', 'বরো', 'বধ', 'বড', 'রবে']
['বারদী', 'বাদী', 'শাদী', 'আবাদী', 'বাদেশি', 'একাদশী', 'বাদীর', 'গবাদী', 'বাঁদী', 'মাধবদী']
['গাঙ্গুলী', 'ডাঙ্গী', 'কোরাঙ্গী', 'বঙ্গালী', 'রঙ্গালী', 'এলাঙ্গী', 'বেঙ্গলী', 'লিঙ্গকে', 'সারেঙ্গী', 'গাঙ্গুলীর']
['বাঘী', 'বণী', 'বগী', 'বীর', 'বীম', 'বলী', 'বীজ', 'বীচ', 'মঘী', 'বাঘে']
['যোগী', 'ভোগী', 'রোধী', 'রোগী', 'যুগী', 'লোধী', 'গোরী', 'যোগীকে', 'সুধী', 'গোপী']
['তেজস্বী', 'স্বীকৃতী', 'টেক্সী', 'স্ত্রীকে', 'বুতের্সে', 'সুতীব্র', 'পুত্রী', 'ডোম্বী', 'সেঞ্চুরী', 'কীবোর্ডে']
['কিশোরী', 'কোশী', 'কিশোরীর', 'চকোরী', 'কোরেশী', 'যশোরী', 'কৈশোর', 'বিরোধী', 'কোশের', 'রুশোর']
['নর', 'রনী', 'নী', 'নীর', 'রন', 'রী', 'নঃ', 'নবী', 'ননী', 'রনে']
['কুর্দী', 'সুন্দরী', 'চুর্নী', 'সুদীর্ঘ', 'মুন্সী', 'মুন্দো', 'সমুদ্রে', 'সুশ্রী', 'সুন্নী', 'সুদীপ্ত']
['গুণবতী', 'বামুণী', 'গুণীজন', 'মধুবনী', 'বেগুণী', 'বেগুনী', 'গুণনের', 'বহুগুন', 'বহুগুণ', 'যুগবাণী']
['অণুবন্ধী', 'নৈপুণ্যে', 'পুণ্যের', 'ভ্রুণীয়', 'নৈপুণ্যের', 'পুণ্ডরীক', 'নৈপুণ্য', 'পুণ্যার্থী', 'ধ্রুবীয়', 'মধ্যপন্থী']
['বুদ্ধিমতী', 'বুদ্ধিহীন', 'বুদ্ধিজীবী', 'বুদ্ধিকে', 'হিন্দুধর্মে', 'মেরুদন্ডী', 'অমেরুদন্ডী', 'বুদ্ধিতে', 'ইন্দুমতী', 'তুর্কমেনী']
['শ্রীমতী', 'শ্রীমৎ', 'শ্রীনু', 'শ্রীহীন', 'শ্রীময়ী', 'আর্মেনী', 'শ্রীমন্ত', 'শ্রীমুখ', 'শ্রেনী', 'শ্রেনীর']
['বিজয়ী', 'বিজয়ে', 'বিনয়ী', 'লিবীয়', 'সুজয়', 'বীজে', 'টসজয়ী', 'বিজয়', 'বিষয়ে', 'জয়ী']
['পাঠকে', 'পালকী', 'পারকী', 'বৈঠক', 'মঠকে', 'পাখী', 'বাকী', 'দীপক', 'পাকো', 'পাকশী']
['লেখো', 'খেলুক', 'লেখনী', 'লেখে', 'খেকো', 'খেলো', 'কেলী', 'আখেরী', 'মুখকে', 'খুলে']
['রয়কে', 'গাঁয়ে', 'ভয়কে', 'রায়কে', 'আয়কে', 'আকুয়া', 'কুয়া', 'ছয়েক', 'গায়ে', 'করণীয়']
['খেকো', 'খুকী', 'কোশী', 'চোখকে', 'খুমী', 'মুখী', 'মুখো', 'কখোনো', 'রোখে', 'রেখো']
['ছত্রী', 'ছাত্রী', 'ছত্রে', 'ছাত্ৰ', 'ছেত্রী', 'ছাত্রে', 'পত্রী', 'ছত্রের', 'ভর্তী', 'মৈত্রী']
['ভিক্ষু', 'লক্ষী', 'পক্ষী', 'আরক্ষী', 'ভিক্ষে', 'রক্ষী', 'যক্ষী', 'ভিক্ষুক', 'শিক্ষণে', 'সমীক্ষক']
['বেতী', 'নেতো', 'সেতী', 'তেরী', 'তেজী', 'মেতে', 'রেতে', 'তেলী', 'মনেতে', 'ডেতে']
['পাগলী', 'পাগলু', 'পগারী', 'আলগী', 'লীগা', 'লীগও', 'গসপেল', 'বাগী', 'পাগলীর', 'গালপো']
['ত্রয়ী', 'ক্রয়ে', 'ধর্মীয়', 'প্রিয়', 'ট্রী', 'ড্রয়ে', 'পুত্রী', 'ত্রয়ীর', 'ডিগ্ৰী', 'শ্রেয়']
['ক্ষীন', 'দক্ষীন', 'লক্ষী', 'ভিক্ষু', 'পক্ষী', 'তক্ষুনি', 'ভিক্ষে', 'এক্ষুনি', 'আকর্ষী', 'দিক্ষীত']
['লোকে', 'লোধী', 'লেকো', 'লোকো', 'কুলো', 'কোলে', 'লোভী', 'লোক', 'কুলী', 'কোষী']
['কর্মী', 'বিক্রমী', 'রশ্মিকে', 'কর্মীর', 'শ্রমকে', 'শ্রীম', 'বিক্রী', 'মিশ্রকে', 'শর্মিলী', 'কর্মীই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বাবু', 'বাবে', 'বাসবী', 'বাবরী', 'নবাবী', 'রাবী', 'শাবী', 'ভাবী', 'নাবী', 'বাগী']
['চাচী', 'চাচীর', 'চাকী', 'চাষী', 'চারী', 'দাচী', 'চুচাক', 'নীচা', 'রাঁচী', 'মাচু']
['দাদী', 'দাদু', 'দাদীর', 'মাদী', 'বাদী', 'দানী', 'দারী', 'দাদুর', 'দরদী', 'দাতী']
['', '', '', '', '', '', '', '', '', '']
['জেলী', 'জেলে', 'মুড়ে', 'কেড়ে', 'ফেলে৷', 'লড়েছে', 'মোড়ে', 'পেড়ে', 'বেড়ে', 'ভেড়ে']
['ধোপে', 'ধোনী', 'রোধী', 'লোধী', 'গোপী', 'তোপে', 'ঝোপে', 'কোপে', 'পেরো', 'টোপে']
['বেদী', 'বেদে', 'দুধে', 'দেবে৷', 'দেবী', 'দেবে', 'ভেদে', 'ভেদী', 'দেকে', 'দুয়ে']
['গুরু', 'রুগী', 'গুঁড়ো', 'গুণী', 'গুড়ে', 'সুধী', 'মুরু', 'চুরু', 'ডুগু', 'কুরু']
['ছেলে', 'লড়েছে', 'ফেলে৷', 'ছেয়ে', 'চেলে', 'ছেড়ে', 'ডেলে', 'ধুলে', 'লেডী', 'তুলেছে']
['বর', 'বী', 'রবী', 'ববী', 'বীর', 'বরে', 'বরো', 'বধ', 'বুর', 'রবে']
['বাদী', 'শাদী', 'আবাদী', 'বারদী', 'একাদশী', 'বাদেশি', 'বাঁদী', 'বাদীর', 'দাবী', 'বাগদী']
['গাঙ্গুলী', 'ডাঙ্গী', 'টাঙ্গুত', 'বঙ্গালী', 'কোরাঙ্গী', 'এলাঙ্গী', 'রঙ্গালী', 'হাঙ্গেরী', 'সারেঙ্গী', 'লিঙ্গকে']
['বাঘী', 'বণী', 'বীম', 'বগী', 'বাঘে', 'বীর', 'বলী', 'বীজ', 'মঘী', 'বীচ']
['যোগী', 'ভোগী', 'যুগী', 'রোধী', 'রোগী', 'লোধী', 'গোরী', 'সুধী', 'যোগীকে', 'কোরীয়']
['তেজস্বী', 'টেক্সী', 'স্বীকৃতী', 'বুতের্সে', 'স্ত্রীকে', 'পুত্রী', 'সুতীব্র', 'সুত্রে', 'ডোম্বী', 'স্ত্ৰী']
['কিশোরী', 'কোশী', 'কোরেশী', 'চকোরী', 'কিশোরীর', 'কৈশোর', 'কোশের', 'কুমোর', 'কুরেশী', 'যশোরী']
['নর', 'রনী', 'নী', 'নীর', 'রী', 'রনে', 'নবী', 'ননী', 'রন', 'বনী']
['কুর্দী', 'সুন্দরী', 'সুদীর্ঘ', 'মুন্সী', 'মুন্দো', 'চুর্নী', 'সমুদ্রে', 'সুদীপ্ত', 'পেদ্রু', 'সুশ্রী']
['গুণবতী', 'বামুণী', 'বেগুণী', 'গুণীজন', 'বেগুনী', 'মধুবনী', 'বারুণী', 'গুণনের', 'বহুগুণ', 'যুগবাণী']
['নৈপুণ্যে', 'পুণ্যের', 'অণুবন্ধী', 'নৈপুণ্য', 'নৈপুণ্যের', 'ভ্রুণীয়', 'পুণ্ডরীক', 'পুণ্যার্থী', 'পশুপ্রেমী', 'পুত্রী']
['বুদ্ধিমতী', 'বুদ্ধিহীন', 'বুদ্ধিকে', 'মেরুদন্ডী', 'হিন্দুধর্মে', 'বুদ্ধিতে', 'অমেরুদন্ডী', 'মুর্শেদী', 'ইন্দুমতী', 'অমেরুদণ্ডী']
['শ্রীমৎ', 'শ্রীমতী', 'শ্রীময়ী', 'শ্রীনু', 'আর্মেনী', 'শ্রীহীন', 'শ্রেনী', 'প্রেমী', 'কুর্মী', 'শ্রীমুখ']
['বিজয়ী', 'বিজয়ে', 'বিনয়ী', 'সুজয়', 'লিবীয়', 'টসজয়ী', 'জয়ী', 'বিয়ে', 'বিষয়ে', 'বয়সী']
['পাঠকে', 'পালকী', 'বাকী', 'পারকী', 'লাকী', 'বৈঠক', 'মঠকে', 'পাখী', 'পাকশী', 'দীপক']
['খেলুক', 'লেখো', 'লেখে', 'লেখনী', 'খেকো', 'কেলী', 'আখেরী', 'মুখকে', 'খুলে', 'খেলো']
['রয়কে', 'গাঁয়ে', 'ভয়কে', 'আকুয়া', 'আয়কে', 'কুয়া', 'দায়ী', 'রায়কে', 'গায়ে', 'আকিয়ে']
['খুকী', 'খেকো', 'কোশী', 'খুমী', 'মুখী', 'খোংকে', 'চোখকে', 'মুখো', 'মুখকে', 'মূখী']
['ছত্রী', 'ছাত্রী', 'ছাত্ৰ', 'ছেত্রী', 'ছত্রে', 'ছাত্রে', 'মৈত্রী', 'পত্রী', 'পুত্রী', 'ছত্রের']
['ভিক্ষু', 'লক্ষী', 'পক্ষী', 'আরক্ষী', 'ভিক্ষে', 'যক্ষী', 'শিক্ষণে', 'রক্ষী', 'ভিক্ষুক', 'শিক্ষণীয়']
['বেতী', 'সেতী', 'নেতো', 'তেরী', 'তেজী', 'মেতে', 'রেতে', 'তেলী', 'ডেতে', 'মনেতে']
['পাগলী', 'পাগলু', 'আলগী', 'পগারী', 'পালু', 'বাগী', 'গসপেল', 'লীগা', 'আপীল', 'পাগলীর']
['ত্রয়ী', 'ক্রয়ে', 'প্রিয়', 'ড্রয়ে', 'ট্রী', 'ধর্মীয়', 'পুত্রী', 'ক্ষয়ে', 'পুত্ৰ', 'ত্রয়ীর']
['দক্ষীন', 'ক্ষীন', 'লক্ষী', 'ভিক্ষু', 'পক্ষী', 'দিক্ষীত', 'দক্ষীণ', 'ভিক্ষে', 'আরক্ষী', 'কুষ্ঠ']
['লোকে', 'লেকো', 'লোধী', 'কুলো', 'কুলী', 'কোলে', 'লোদী', 'লোকো', 'লোভী', 'লুকে']
['কর্মী', 'বিক্রমী', 'রশ্মিকে', 'কর্মীর', 'বিক্রী', 'শ্রমকে', 'শ্রীম', 'মিশ্রকে', 'ক্রীম', 'কর্মীই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
