['মেহেদুল', 'হেলেদুলে', 'বহুদেশে', 'দেহগুলো', 'জায়েদুল', 'হেদায়েতুল', 'সেহুন্দা', 'দোয়েল', 'লেন্দুপ', 'সায়েদুল']
['আনোয়ারুল', 'পোয়াবারো', 'দেলোয়ারা', 'রোনালদো', 'আনোয়ারের', 'পাল্টানোর', 'আনোয়ারুল', 'হোল্ডারের', 'সোলায়মানের', 'নোয়ারপাড়া']
['পাউলিনহো', 'পাউলিনহোর', 'টাউনশিপে', 'নিউরোনাল', 'টাউনশিপের', 'পলিনেশিয়া', 'উপশিরোনাম', 'পারেননি৷', 'মানিপেনি', 'উপনিবেশিত']
['বিশ্রবা', 'পেশিবহুল', 'পশুবলি', 'হিশাবে', 'বিপ্লবি', 'পশুবলির', 'বিহ্বলতা', 'বিশ্বাস', 'বিহ্বল', 'বেশিবার']
['পেশীবহুল', 'পেয়ারুল', 'ফেতুল্লাহ', 'মহেশপুরে', 'শেনহুয়া', 'কুহেলিয়া', 'বেহুলাকে', 'বেলারুশে', 'স্পেশালে', 'শাহেদুল']
['বেনাপোল', 'পাহাড়েই', 'বাহরাইনে', 'বেহালা', 'তাইয়েবা', 'মোবাইল', 'বেহালার', 'পড়াশোনা', 'বাদেপাশা', 'বাইপোলার']
['পেশাতেই', 'বেহেশতের', 'বেহেশতে', 'প্লেতেই', 'হোটেলে', 'বেলায়েতের', 'তাইপেইতে', 'হোটেলের', 'তাইপেতে', 'তেলতেলে']
['বহির্বিশ্বে', 'বর্হিবিশ্বের', 'পার্শ্বতল', 'পান্ডবেশ্বর', 'বিশ্বেশ্বর', 'বহির্বিশ্বের', 'পশ্চিমাবিশ্বে', 'বিশ্বনেতা', 'বিশ্বায়নের', 'বিশ্ববিশ্রুত']
['চিহ্নলিপি', 'পশুপালনের', 'মহাপুলিশ', 'পেশিবহুল', 'চারুলিপি', 'পান্ডুলিপির', 'চিহ্নগুলির', 'বহুপ্রচলিত', 'স্পিরুলিনা', 'হাতিরপুলে']
['বায়ুপ্রবাহে', 'হায়বাতুল্লাহ', 'বায়ুপ্রবাহের', 'হাবিবুল্লাহ', 'হ্যান্ডবিলে', 'জিব্রাল্টারে', 'বিশ্বায়নের', 'পাহাড়বেষ্টিত', 'পার্শ্বভাগের', 'মহাবালেশ্বর']
['হাসাপাতালে', 'হাসপাতালে', 'হাতপাতালে', 'হাসপাতালের', 'সালতানাতে', 'হাসপাতালেই', 'সোনাপাতি', 'হাসপাতালেও', 'পানশালাতে', 'হাসপাতালেরই']
['পাল্টায়', 'আটালান্টা', 'আটলান্টার', 'পটাশিয়াম', 'দিয়াশলাই', 'আটলান্টায়', 'আটালান্টার', 'পাল্টাই', 'আতালান্টা', 'পাল্লাটা']
['শিরাপ্রান্তে', 'মেত্রপলিতানো', 'নিশ্চিন্তাপুর', 'প্রান্তদিয়ে', 'শ্রোতাপ্রিয়', 'হেয়প্রতিপন্ন', 'চিত্রশিল্পের', 'নির্লিপ্ততা', 'প্রোপার্টিতে', 'পর্নগ্রাফিতে']
['প্রতিশোধ', 'প্রতিশ্রুত', 'প্রশান্তি', 'শ্রোতাপ্রিয়', 'প্ৰতিষ্ঠা', 'চিত্রশিল্পে', 'প্রিয়পাত্র', 'শিরাপ্রান্তে', 'চিত্রশিল্পের', 'প্রশান্তের']
['চিত্রশিল্পের', 'তেতাল্লিশের', 'মেত্রপলিতানো', 'চিত্রশিল্পে', 'ত্রিপুরাপল্লিতে', 'শ্রোতাপ্রিয়', 'মুত্তালিবের', 'তেতাল্লিশ', 'শিরাপ্রান্তে', 'পাটলিপুত্রে']
['একর', 'এসরা', 'এরা', 'এসা', 'এরও', 'একা', 'এসার', 'এরন', 'এরল', 'এরর']
['তাসিন', 'তিরান', 'তিসরি', 'তারিন', 'সরিতা', 'তাসির', 'তিনার', 'তানির', 'তাসমিন', 'তাসনিম']
['চারার', 'সরারচর', 'চররা', 'সাচার', 'সারার', 'চারা', 'চারও', 'চারাও', 'চারসহ', 'চারান']
['পাচারসহ', 'পারসন', 'পারিসা', 'পালসার', 'পারসি', 'পাচারও', 'পাসার', 'পারসনস', 'কাসপার', 'পারপাস']
['সরায়', 'সায়র', 'সয়ার', 'ময়রা', 'সায়রা', 'মরয়া', 'পয়সার', 'জয়সা', 'কয়রা', 'বয়রা']
['সারস', 'সাতার', 'নাসরত', 'বাসরত', 'সারা', 'তারসহ', 'সরতাজ', 'বারসাত', 'বারাসত', 'সিরাত']
['আট', 'আটরা', 'আটা', 'আসরটা', 'আটার', 'ওরট', 'আরটি', 'আটঘর', 'মটরস', 'আটক']
['নয়না', 'নয়া', 'নয়ন', 'ময়না', 'রসায়ন', 'নয়জন', 'রমনায়', 'নসরৎ', 'সয়ার', 'সরানো']
['দরস', 'রসদ', 'শরদ', 'সদরা', 'দশা', 'সদর', 'সদরও', 'দরশন', 'দারস', 'দশরথ']
['রামসাগর', 'সারামাগো', 'ওয়ারসো', 'রামোসরা', 'সাগারা', 'রোসারিও', 'গারোরা', 'বোলাররাও', 'সামারার', 'এগারোবার']
['রামোসরা', 'রোসারি', 'বাসরার', 'সারানো', 'বোলাররা', 'বারবারোস', 'সোরার', 'সারানোর', 'বারবোসার', 'রোবারি']
['সালতোরো', 'স্রোতার', 'তোরসা', 'ভোররাতে', 'শ্রোতারা', 'বারোসো', 'তোমারে', 'শ্রোতার', 'তোমরা', 'তোরোর']
['চৌদ্দবার', 'চরসাদ্দা', 'মান্দসৌর', 'চৌরাস্তা', 'চন্দ্রার', 'চৌহদ্দির', 'মন্দসৌর', 'চৌরাস্তার', 'চৌদ্দগ্রাম', 'চন্দ্রসহ']
['সোপরানো', 'সোপরানোস', 'পারসোনা', 'বলসোনারো', 'সরানোর', 'পরানোর', 'সারানোর', 'সরোপডরা', 'বলসোনারোর', 'রামোসরা']
['লোসার', 'ষোলঘর', 'রসালো', 'সোলার', 'সারোল', 'রোলস', 'তোরষা', 'সোলারি', 'রোষানল', 'লাসলো']
['সালতোরো', 'সিতোরা', 'স্রোতার', 'স্তোসার', 'রোসারি', 'তোরসা', 'খরস্রোতা', 'রামোসরা', 'বারোসো', 'সিসারো']
['রামোসরা', 'বোলাররাও', 'বোলাররা', 'সারানোর', 'রোকসানার', 'আরোরার', 'ভোটাররা', 'আঠারোর', 'রোসারিও', 'সারোয়ার']
['নাসরিন', 'নাসিরও', 'নাসিরি', 'নরসিমা', 'নিরসন', 'উসমানি', 'উপশিরা', 'শিরিনা', 'নাসরির', 'উপসনার']
['বিরসা', 'শিবসা', 'বিরস', 'বারিস', 'বাসির', 'সাবরি', 'রাবিশ', 'বরিস', 'বসরি', 'বরিসভ']
['এসকোবার', 'একশোরও', 'শোকসভার', 'ওসাসকোর', 'এসকোলা', 'কোবরাস', 'প্রসাশক', 'এরাসমুস', 'পোশাকসহ', 'শোকসভা']
['বাশারও', 'বাশার', 'বাসরার', 'বারাস', 'বাশারসহ', 'বারলাস', 'বিশারা', 'বাসরা', 'বাসনার', 'বারাসত']
['সেতারা', 'তোমারই', 'তোমরাই', 'খেসারতই', 'তেসরা', 'সাতমেরা', 'তোমরা', 'রেশমার', 'কোরাইশ', 'খেসারত']
['সাব্বিররা', 'সাব্বিরও', 'সাব্বিরসহ', 'পর্বতসারি', 'স্বরবিতান', 'জব্বারসহ', 'রব্বানির', 'আব্বাসির', 'প্রবাসিত', 'পরিস্রাবণ']
['পিকচারস', 'পরিচলনা', 'পারসিস', 'বিচারসহ', 'ওসপিনার', 'সিপরির', 'পরিচালন', 'ফিচারস', 'এসপিরিন', 'পরিচালকসহ']
['সাব্বিররা', 'সামারাবিরা', 'পাবলিশার্স', 'শ্বাসনালির', 'পর্বতসারি', 'সলাপরামর্শ', 'পিটারসবারগ', 'স্যালিসবারির', 'রাস্পবিয়ান', 'বারবারোসা']
['সাতারা', 'সাতারার', 'সাসারাম', 'বারাসাত', 'সিতারার', 'বারসাত', 'বারাসত', 'সামারস', 'সিতারা', 'সিতারাম']
['সারাটা', 'সাটার', 'আসাটাও', 'সারাটি', 'ডটারস', 'আশাটাও', 'শাটার', 'সংসারটা', 'আমারটা', 'আটারি']
['প্রসারিত', 'প্রসারতার', 'পর্বতসারি', 'নার্সারির', 'স্পিনাররাও', 'স্পিনাররা', 'প্রসারতা', 'প্রসারমান', 'সিনাত্রার', 'রাত্রিবাস']
['প্রসারিত', 'প্রসারতা', 'প্রশাসিত', 'প্রতিসরণ', 'ত্রিশরণ', 'রোসারিও', 'প্রসারতার', 'প্রসারন', 'শাস্তিরও', 'প্রাতরাশ']
['পর্বতসারি', 'প্রসারিত', 'প্রসারতার', 'পত্রিকারও', 'সক্রিয়তার', 'ভারতশাসিত', 'অগ্রসরতার', 'প্রসারতা', 'সক্রিয়তা', 'রাত্রিবাস']
['একরে', 'একের', 'এসকে', 'এসের', 'একে', 'একই', 'কেএস', 'একেও', 'এরে', 'একেএস']
['দুরে', 'দুধের', 'সুইদের', 'রুদে', 'কেঁদে', 'সুদের', 'সুরেই', 'আদুরে', 'দেরকে', 'দুরের']
['চারের', 'চরেরা', 'চসারের', 'সেরার', 'সেররা', 'রেসার', 'সারের', 'চারেও', 'চারে', 'চেরাগ']
['সুইপার', 'সাকুরাই', 'পেঁচার', 'পেসারই', 'গুইসাপ', 'লুসাইরা', 'রাইপুর', 'হাঁসেরা', 'সুরাইজ', 'পেসারও']
['ছয়ের', 'রয়ছে', 'রয়েছ', 'ছয়ে', 'ছোয়া', 'লেরয়', 'হয়ছে', 'হয়েছ', 'মেয়রা', 'গেয়া']
['সারসে', 'সেরাস', 'সাসের', 'রেসাস', 'তেসরা', 'রেসার', 'সারতে', 'সারসের', 'সরাতে', 'বেসার']
['আটে', 'আটের', 'আট', 'আটা', 'আয়ই', 'আইয়া', 'আসের', 'আরে', 'এটুআই', 'আসায়']
['রয়ে', 'সয়ে', 'নয়ে', 'নেয়', 'রয়েস', 'বয়ে', 'ট্রে', 'রায়ে', 'রুটে', 'জয়ে']
['দরসে', 'দশে', 'দশের', 'দেশর', 'দেশ', 'দরে', 'সদরে', 'দশা', 'বদরে', 'দেরও']
['সুগারের', 'গ্রাসের', 'বার্গারের', 'সুপারইগো', 'রোজগারের', 'রোজগারে', 'কোষাগারের', 'মার্গারেট', 'কোরাসের', 'জ্যাগারের']
['বোরো', 'সেবারের', 'কোরাসের', 'রোসেরা', 'স্রাবের', 'ব্রাসের', 'বেরোবার', 'হোরাসের', 'বেরারের', 'ফেরারী']
['সোতেরের', 'পেরোতে', 'মেত্রো', 'বেরোতে', 'পেত্রো', 'গেরেরো', 'সেহোরে', 'তোরেসের', 'ক্রোধে', 'ক্রোধের']
['রৌদ্রে', 'বৌদ্ধের', 'রৌদ্রের', 'সৌরেন্দ্র', 'আয়ুর্বেদ', 'রোদ্দুরে', 'বৌদ্ধদের', 'নৌযুদ্ধের', 'স্ত্রীদের', 'পেদ্রো']
['প্রেইরী', 'গেরেরো', 'পেরেসের', 'গুরেইরো', 'সোতেরের', 'পেরোলে', 'সেরেনো', 'সোরেনের', 'পেশোয়ারে', 'সেহোরে']
['সোলের', 'রোসেল', 'রোলে', 'হেলোর', 'সেলো', 'ষোলোর', 'গোলের', 'রোষের', 'লেগোর', 'গোসলে']
['সোতেরের', 'তোরেসের', 'তোরেসকে', 'সেহোরে', 'স্রোতের', 'কোর্তেসের', 'সেইসূত্রে', 'স্রোতে', 'বুতের্সে', 'রেসকোর্সে']
['সারোয়ারের', 'কুঠারের', 'স্কোরারের', 'কোরাসের', 'দোসরেরা', 'সরোয়ারের', 'সারোয়ারকে', 'আয়ারের', 'স্যারেরা', 'ঠাকুরঘরে']
['ইউরেনাস', 'সাউরনের', 'আউসারের', 'উইস্পার', 'উইনার্স', 'পেসারই', 'ফেরদাউস', 'উইশার্ট', 'উপরাংশে', 'মাউসের']
['বেসার', 'বুশরা', 'সেবার', 'বুরসা', 'বুসরা', 'বৎসরই', 'বাসের', 'বর্শা', 'বাঁশের', 'বাঁশে']
['একুশের', 'সুরেশকে', 'একুশে', 'আশেকুর', 'সুকেশ', 'এক্সের', 'কুরেশ', 'কুশের', 'কশেরুকা', 'আরকেবুসে']
['সেইবার', 'সেবারই', 'বাইরেও', 'বাইরের', 'বাইরেই', 'বাইশে', 'বাইরে', 'বাইশারী', 'গেইসার', 'ফাইবারে']
['দেশেরই', 'সেশেলের', 'হেইসের', 'পেরেইরা', 'দেশেই', 'রেইসের', 'ফেরেইরা', 'লেইতে', 'গেইলের', 'দেশের']
['সর্বেশ্বর', 'আব্বাসের', 'প্রশ্বাসের', 'প্রশ্বাসে', 'সর্বেশ্বরবাদ', 'সেবাশ্রম', 'সর্বেসর্বা', 'আশ্বাসের', 'সেরেব্রাল', 'সেরেব্রাম']
['পেঁচার', 'গুঁইসাপ', 'হুইসপার', 'পঁচিশের', 'সুইসরা', 'পশুচারণ', 'গুঁইসাপের', 'চুপিসারে', 'সেপালচুরা', 'সুবাসিচের']
['সেরেব্রাল', 'প্রশ্বাসের', 'সেরেব্রাম', 'প্রস্রাবের', 'সর্বেশ্বরবাদ', 'সেবাশ্রম', 'বাগেশ্বরী', 'পার্শ্বরেখা', 'আব্বাসের', 'পার্শ্বভাগের']
['বারাসাতে', 'বারাসাতের', 'সেতারা', 'বারাসতে', 'বারাসতের', 'সাইরাসের', 'পেসাররাও', 'বাতাসের', 'সাহারাতে', 'পেসাররাই']
['সেরাটা', 'সেটারও', 'সেটারই', 'সেরাটাই', 'লেটারস', 'আগেরটা', 'ইয়ারস', 'আয়শার', 'আইয়ার', 'আগেরটাই']
['প্রস্রাবের', 'রেস্তোরার', 'রেস্তোরাঁর', 'নেশাগ্রস্ত', 'প্রশ্বাসের', 'সমরাস্ত্রের', 'বর্ডার্সের', 'স্কোরারদের', 'স্বরগ্রামের', 'সম্প্রসারণের']
['ত্রাসের', 'তেরশ্রী', 'প্রস্তরের', 'শাস্ত্রের', 'প্রেসার', 'প্রস্রাবের', 'পেত্রার', 'পুত্রেরা', 'স্পর্শের', 'ড্রেসার']
['বক্সারের', 'দর্শকেরাও', 'প্রশাসকের', 'আকুপ্রেসার', 'দর্শকেরা', 'সত্যকারের', 'দর্শকেরাই', 'শুক্রবারের', 'বক্সারদের', 'পুরস্কারের']
['একো', 'একে', 'এক', 'একং', 'কৌক', 'এলু', 'একজ', 'একন্', 'একুশ', 'এনো']
['দুধে', 'দু্ই', 'দুজে', 'দুখে', 'দুবে', 'দৌড়েই', 'দেবু', 'বুদ্ধ', 'দৌলে', 'খুদে']
['তিনু', 'নুতন', 'পুতিন', 'নূতন', 'নতূন', 'নিতুন', 'থুতনি', 'নতুন', 'মৌনি', 'তিনে']
['পৌঁছা', 'পৌঁছন', 'চৌঠা', 'পৌঁছল', 'পৌঁছান', 'চৌকাঠ', 'পৌঁছাল', 'পৌঁছাব', 'পৌঁছাত', 'পাঁচু']
['পৌছয়', 'পৌঁছয়', 'পৌছল', 'ছয়ে', 'পৌছন', 'ছোয়া', 'পৌছা', 'ছোবল', 'গৌড়', 'ছৈয়দ']
['সৌতি', 'সৌগত', 'সুতা', 'গৌতা', 'সৌজা', 'তোসা', 'দৌসা', 'সাতো', 'সীতা', 'সূতা']
['আট', 'আটে', 'আয়ও', 'আয়ন', 'আয়ই', 'আয়', 'ঠোট', 'আঁট', 'আঁটে', 'টোট']
['নয়ে', 'নয়৷', 'নেয়', 'নয়', 'নড়ে', '২টো', 'নয়নে', 'পৌনে', 'নৌকো', 'জয়ে']
['দৌল', 'দুশ', 'দশ', 'আদৌ', 'দশে', 'দেশ', 'শুদ', 'দুন', 'সদৃশ', 'সদৌ']
['এঙ্গোলা', 'মাঠগুলো', 'যৌনরোগে', 'যৌগগুলো', 'টোঙ্গা', 'মৌজাগুলো', 'কাঠগুলো', 'নৌকাগুলো', 'টোবাগো', 'এগোনো']
['দৌড়ানো', 'নৌকো', 'ডোবায়', 'ডোবানো', 'বর্নো', 'চৌকোনা', 'প্রবোধ', 'বোর্জা', 'বোড়া', 'কোঠায়']
['তোড়ে', 'ভেনুতো', 'পেত্রো', 'ক্রোধে', 'যেতো৷', 'মেত্রো', 'হেন্তো', 'জুডোতে', 'তোলে৷', 'প্রোতে']
['চৌদ্দ', 'নৌযুদ্ধ', 'চোদ্দো', 'বৌদ্ধ', 'নৌযুদ্ধে', 'চৌদ্দশ', 'দুদ্দু', 'বৌদ্ধকে', 'দৌড়েও', 'ঘোড়দৌড়']
['পেরোনো', 'কেন্নো', 'মুঠোফোনে', 'জেন্টো', 'পুরোনো', 'স্টেনো', 'ড্রোনে', 'ভেনুতো', 'কোন্দো', 'নৌরুটে']
['ষোলো', 'ধুলো', 'মুঠো', 'কোষ্ঠ', 'গোষ্ঠ', 'ষোলোয়', 'তুলো', 'লুডো', 'ভুলো', 'ষোড়শ']
['ভেনুতো', 'স্রোতে', 'সুতোপো', 'পেত্রো', 'সুতোয়', 'রেস্তো', 'দুটোতে', 'পৌঁছোতে', 'পোত্রো', 'জুডোতে']
['কোঠায়', 'চৌকাঠে', 'আঠেরো', 'কণ্ঠরোধ', 'কাঠগুলো', 'মাঠগুলো', 'পাঠানোয়', 'পৃষ্ঠায়', 'বৌদ্ধমঠে', 'দৌড়ানো']
['উনিশশো', 'উন্নি', 'উনিশে', 'উঠেনি', 'শৌখিন', 'উন্নিত', 'নৌপুলিশ', 'উঠুন', 'উন্নতি', 'ওঠেননি']
['বিশু', 'বৌদি', 'কুবিশ', 'বড়শি', 'কৌশল', 'বিশ্ব', 'শিবু', 'বিশী', 'বিশে', 'পৌলি']
['কুশোক', 'একুশে', 'একমুঠো', 'জৌলুশ', 'এটুকু', 'শুক্ল', 'কৌতুক', 'কুশুলক', 'সুকৌশলে', 'অঙ্কুশ']
['বৌলাই', 'উঠবেই', 'কৌশলেই', 'পেশাব', 'উঠবেন', 'ওঠাবেন', 'কৌশলই', 'শেবা', 'বাইশে', 'বাঁশে']
['শেঠকে', 'শোতেই', 'ঠেলেই', 'আয়েশেই', 'পেতেন', 'ঠেলতে', 'প্লেতেই', 'পেতেই', 'পেশীতে', 'দেশেই']
['বৌদ্ধমঠ', 'সৌষ্ঠব', 'চৌম্বক', 'চৌম্বকত্ব', 'বৈশ্বিক', 'বুদ্ধবংশ', 'শব্দবন্ধ', 'বৌদ্ধমঠে', 'কুশধ্বজ', 'বিশ্বকোষ']
['নৌপুলিশ', 'পঁচিশে', 'পুশকিন', 'পৌনপুনিক', 'খিঁচুনি', 'কুচিপুডি', 'পুলিশ', 'মিঠুনও', 'সুকঠিন', 'চিপলুন']
['বৌদ্ধমঠ', 'কৌশাম্বী', 'বৌদ্ধমঠে', 'ছাব্বিশে', 'কণ্ঠপ্রবেশ', 'দৃঢ়বিশ্বাস', 'বৈশ্বিক', 'কুণ্ঠাবোধ', 'পার্শ্ববৈঠকে', 'চৌম্বকত্ব']
['সুলতানা', 'নাশতায়', 'কোনঠাসা', 'সুবাতাস', 'সোনাতলা', 'পুতানা', 'আস্তানা', 'পাঠাতো', 'সাত্তা', 'দস্তানা']
['আয়শা', 'লুঠপাট', 'কৌশলটা', 'ঠাট্টা', 'আল্টা', 'আলোটা', 'ওয়ালশ', 'দশটায়', 'আয়নাল', 'ওয়াশ']
['চৌত্রিশ', 'নৌশক্তি', 'লুন্ঠিত', 'কৌণ্ডিন্য', 'কুন্ঠিত', 'যন্ত্রকৌশল', 'পৃষ্ঠশক্তি', 'শিল্পোন্নত', 'দন্তৌষ্ঠ্য', 'বৌদ্ধমঠ']
['চৌত্রিশ', 'নৌশক্তি', 'কুন্ঠিত', 'শিন্তৌ', 'লুন্ঠিত', 'পৌত্রী', 'বৌদ্ধিক', 'পৃষ্ঠশক্তি', 'কুণ্ঠিত', 'সৌষ্ঠব']
['পৃষ্ঠশক্তি', 'পৌত্তলিক', 'নৌশক্তি', 'চৌত্রিশ', 'মুক্তিফৌজ', 'কুন্ঠিত', 'যৌক্তিক', 'বৌদ্ধিক', 'প্রোকৌশল', 'যৌনশক্তি']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['একই', 'এক', 'এমই', 'একং', 'এই', 'একর', 'একা', 'এইচ', 'একি', 'একন']
['দুইই', 'দুই', 'দেই', 'দেবই', 'দেহই', 'দুধই', 'দুইশ', 'বেদই', 'দেশই', 'দেউই']
['তিনই', 'তিনি', 'তিন', 'তিনশ', 'মতিন', 'তিনা', 'তিনিই', 'নিতি', 'জতিন', 'অনতি']
['চারই', 'চাইর', 'চার', 'আচার', 'চামর', 'চাষই', 'চাউর', 'চারি', 'চাই', 'চাকর']
['চাঁপাই', 'পাঁচ', 'পাঁচশ', 'পিচাই', 'চাঁই', 'উঁচাই', 'পাচঁ', 'চাঁপা', 'বাঁচাই', 'চাপই']
['ছয়', 'ছয়শ', 'বছয়', 'জয়ই', 'নয়ই', 'বয়ই', 'হয়ই', 'ইয়র', 'ইয়ি', 'ইয়া']
['আট', 'আটা', 'আটি', 'আটক', 'আটশ', 'আঁট', 'আউট', 'ইট', 'আহট', 'আই']
['নয়ই', 'নয়', 'টনে', 'নেট', 'নয়ে', 'নয়ন', 'নয়নে', 'নোট', 'টেন', 'ইয়ন']
['দশ', 'দই', 'দশম', 'দশা', 'দশক', 'দলই', 'পদই', 'দাশ', 'দল', 'দইও']
['এগারো', 'এগারোর', 'এলগারের', 'গোরাই', 'এচেগারাই', 'এগারোর', 'এগারোতম', 'এগারোতে', 'এগারোটা', 'ভাগেরই']
['পাইরো', 'বারো', 'বাইরে', 'বারেই', 'জাইরো', 'আবারো', 'বারুই', 'এবারো', 'কারোই', 'মারবে']
['তেরো', 'পেরোতে', 'বেরোতে', 'পেরোতেই', 'শোতেই', 'বেরোতেই', 'তেরে', 'নেতোর', 'তোপেই', 'রেতে']
['চৌদ্দ', 'চৌদ্দশ', 'চোদ্দ', 'চৌহদ্দি', 'চৌদ্দতম', 'চৌদ্দজন', 'চৌদ্দটি', 'চন্দের', 'বৌদ্ধদের', 'জেদ্দা']
