['মুরতা', 'মুরাত', 'মুতার', 'তোমরা', 'বুমরা', 'তুরান', 'মুরাতা', 'তুবার', 'হুমরা', 'তুরার']
['তারকারও', 'তারকারাও', 'তারকারা', 'তাতাররা', 'তারাশংকর', 'করদাতার', 'শারদার', 'দাতারা', 'নাতাশার', 'নাদিরার']
['তরিতরকারি', 'তারকারাও', 'তালিকারও', 'তারাশংকর', 'শাকিরার', 'তারকারও', 'রিকশাকারান', 'তারকারা', 'তারকারাজি', 'একাতারিনা']
['বীরতারা', 'মুরাতা', 'ধারণাতীত', 'ঠাকুরতা', 'শুকতারার', 'শুকতারা', 'পরাধীনতা', 'সাধারণত', 'পাঁয়তারা', 'তারাপুর']
['তারকারাও', 'কলাপাতার', 'পাহারাদার', 'কাদাপানির', 'কাতালানরা', 'ঠিকাদাররা', 'হানাদাররা', 'পাওনাদার', 'পানপাতার', 'একাতারিনা']
['পতিতারা', 'তারাতারি', 'মাতাপিতার', 'তাতাররা', 'রাতারাতি', 'তালপাতার', 'তারাতলা', 'লতাপাতার', 'পিতানার', 'ডাকাতরা']
['তাপমাত্রার', 'নির্মাতারাও', 'নির্মাতারা', 'প্রতারণার', 'ভ্রাতারা', 'তারবার্তার', 'তারাতারি', 'শান্তারাম', 'মানমাত্রার', 'তাপমাত্রাও']
['আরা', 'আমা', 'আরাম', 'আমার', 'আমরা', 'আরমা', 'মার', 'রাম', 'মরা', 'রমা']
['তুরা', 'মুরাত', 'মুতার', 'মুরতা', 'মুরা', 'তারু', 'মুরাতা', 'তুরাজ', 'রুমা', 'তুরার']
['সে', 'রে', 'যে', 'সরে', 'রসে', 'সের', 'বে', 'সারে', 'কো', 'জো']
['ক্ষারক', 'রক্ষার', 'যক্ষার', 'রক্ষাও', 'শার্ক', 'রাক্কা', 'লাক্ষা', 'শাক্তরা', 'আরক্ষা', 'রাক্ষস']
['মারা', 'মাঝা', 'রামা', 'যারা', 'ঝামা', 'জারা', 'মারাজ', 'রাজা', 'মারাও', 'মাজার']
['ছাতারে', 'ছাত্র', 'ছাত্ররা', 'যাত্রা', 'ছাড়ার', 'যাত্রার', 'রাত্র', 'কাত্রা', 'বাত্রার', 'ছাত্রও']
['ধারী', 'ধারে', 'ধানী', 'রাধে', 'ধরায়', 'ধরে', 'রোধ', 'ধানে', 'রাজী', 'নারী']
['ভাই', 'ভারা', 'ভার', 'রাই', 'রাভা', 'ভাইর', 'ভাইরা', 'যাই', 'যারা', 'ইভার']
['ক্ষারক', 'রক্ষার', 'যক্ষার', 'রক্ষাও', 'শার্ক', 'রাক্কা', 'লাক্ষা', 'শাক্তরা', 'আরক্ষা', 'রাক্ষস']
['গরু', 'গারো', 'রাগে', 'রাগী', 'গুরা', 'বারু', 'গরে', 'গরুর', 'মারু', 'রাগের']
['গোলে', 'রোগে', 'জোরে', 'ভোরে', 'কোলে', 'ছেরে', 'ছোড়া', 'রোধে', 'ছাড়ের', 'ছেলেরা']
['যেয়ো', 'মেয়ের', 'যেয়ে', 'মেয়েরা', 'রায়ে', 'মেয়ে', 'মেয়েরে', 'কেয়ারে', 'রোধে', 'মায়ে']
['ভাই', 'ভারা', 'ভার', 'রাই', 'রাভা', 'ভাইর', 'ভাইরা', 'যাই', 'যারা', 'ইভার']
['রাখা', 'খারা', 'পাখার', 'পারা', 'পাখা', 'খারাপ', 'রাখার', 'পারাও', 'রাখাও', 'গারা']
['সাদ্রা', 'সার্স', 'সদস্যা', 'পারস্য', 'সদস্যরা', 'দ্রাস', 'বার্সা', 'স্রাস', 'সর্দার', 'দারসে']
['সরাব', 'চসার', 'সাচার', 'বচসার', 'সবার', 'সাচা', 'বাসর', 'সাবরা', 'বসার', 'সারা']
['শার্ক', 'বার্ক', 'শর্করা', 'দর্শাও', 'ব্রাক', 'বর্শার', 'ক্রাশ', 'ব্রার', 'দ্বারা', 'দ্রাবক']
['ক্ষারক', 'রক্ষার', 'যক্ষার', 'রক্ষাও', 'শার্ক', 'রাক্কা', 'লাক্ষা', 'শাক্তরা', 'আরক্ষা', 'রাক্ষস']
['মাধুরী', 'সুধীরা', 'রাইড়ু', 'সুধী', 'রোগী', 'সুধীর', 'সাধু', 'ধীরে', 'পুরো', 'বরুড়া']
['মাদ্রাসা', 'প্রাসাদ', 'ব্যারাক', 'মাস্কারা', 'দ্বারাও', 'ব্রাদার', 'মাদ্রাসার', 'ব্যাপারও', 'স্যাপার', 'প্যাকার']
['পাণ্ডার', 'কাত্রা', 'পাণ্ডারা', 'যাত্রা', 'প্রাডা', 'ভ্রাতা', 'মাত্রা', 'তাত্রা', 'বাত্রা', 'পাত্রও']
['বার্ত্রা', 'সার্ত্রে', 'রাত্রে', 'সার্ত্রের', 'ধাত্রী', 'রাত্রের', 'যাত্রী', 'ধাত্রীর', 'যাত্রীরা', 'গ্ৰামে']
['আমরি', 'আমি', 'আরমি', 'আমির', 'আমা', 'আমরা', 'আরমা', 'আমর', 'আজমি', 'আমার']
['তুমি', 'সুমতি', 'মুরতা', 'তুমান', 'তিমুর', 'মুতার', 'মুনতা', 'তিমুরি', 'তুমসা', 'মিতুর']
['সে', 'সরে', 'রে', 'রসে', 'সহে', 'সের', 'সেই', 'বসে', 'ইসে', 'আসে']
['তিনি', 'তিনার', 'তিনা', 'মিনতি', 'বিনতি', 'তানির', 'নাতনি', 'তিনটি', 'নিতি', 'পরিনতি']
['মাঝি', 'মাঝারি', 'মাঝির', 'মাঝিরা', 'মাঝা', 'রামজি', 'ঝামা', 'মাজার', 'মাজারি', 'জামি']
['ছাত্ররা', 'ছাত্তার', 'ছাত্র', 'ছাত্রও', 'ছাত্ররাই', 'ছাত্রই', 'ছাত্ররাও', 'মাত্রার', 'বাত্রার', 'ছত্তার']
['ধরনী', 'ধনী', 'ধানী', 'ধনীর', 'ধমনী', 'ধরনে', 'ধনীরা', 'সাধনী', 'ধনীক', 'ধনের']
['ভাই', 'ভাইর', 'ভাইরা', 'ইভার', 'ভাইও', 'ভাবই', 'ভাইন', 'ভাইল', 'ভাইব', 'লাভই']
['শিক্ষকরা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষারও', 'শিক্ষার', 'শিক্ষকতা', 'শিক্ষকতার', 'মক্ষিকার', 'কর্ষিকা', 'শিক্ষিকারা']
['গরু', 'গরুর', 'গুরা', 'গরে', 'গুরগ', 'গিরু', 'গরুই', 'গরুও', 'নগরী', 'গুরি']
['ছেলের', 'ছেলেরা', 'ছেলে', 'মেলছে', 'ফেলছে', 'বলেছে', 'ছেলেরে', 'ছেলেই', 'পেছালে', 'গলেছে']
['মেয়েরে', 'মেয়ে', 'মেয়ের', 'মেয়েরা', 'মেয়েই', 'যেয়ে', 'যেয়ো', 'বেয়ে', 'পেয়ে', 'মেয়েকে']
['ভাই', 'ভাইর', 'ভাইরা', 'ইভার', 'ভাইও', 'ভাবই', 'ভাইন', 'ভাইল', 'ভাইব', 'লাভই']
['পাখি', 'পাখার', 'পাখিরা', 'পাখির', 'পরিখা', 'পাখা', 'পাখনা', 'পাখনার', 'চাপাখি', 'খারাপ']
['সদস্যরা', 'সদস্যর', 'সদস্যা', 'সদস্যদরা', 'সদস্য', 'সদস্যতা', 'সদস্যও', 'সদস্যসহ', 'সদস্যঃ', 'সদস্যই']
['সচিব', 'সচিবও', 'বচসার', 'বিচরন', 'সবজির', 'নিসচা', 'সানচি', 'বচসা', 'বিচার', 'সচিন']
['দর্শকরা', 'দর্শকরাও', 'দর্শকখরা', 'দর্শনার', 'দর্শকও', 'দর্শক', 'দর্শকই', 'শর্করা', 'দর্শনা', 'দর্শান']
['শিক্ষকরা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষারও', 'শিক্ষার', 'শিক্ষকতা', 'শিক্ষকতার', 'মক্ষিকার', 'কর্ষিকা', 'শিক্ষিকারা']
['সুধী', 'সুধীর', 'সুধীরা', 'সুধীন', 'মাধুরী', 'সুধীরকে', 'সুধীরের', 'ধুবরী', 'সুমধুর', 'ধীপুর']
['সম্পাদকরা', 'সম্পাদনার', 'সম্পাদিকার', 'সম্পাদিকা', 'সম্পাদকও', 'সম্পাদনা', 'সম্পাদনাও', 'সম্পাদকঃ', 'সম্পাদক', 'সম্পাদকসহ']
['পণ্ডিতরা', 'দণ্ডিতরা', 'বিতণ্ডার', 'পন্ডিতরা', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতগণ', 'বিতণ্ডা', 'প্রাণিত', 'পন্ডিতগণ']
['মন্ত্রীরা', 'মন্ত্রীর', 'মন্ত্রীরাও', 'রাজমন্ত্রী', 'সান্ত্রী', 'মন্ত্রের', 'মন্ত্রীও', 'মন্ত্রী', 'পৌরমন্ত্রী', 'মন্ত্রীই']
['আমিরা', 'আমির', 'আরিমা', 'আমিরি', 'আরমি', 'আমিরই', 'আমরি', 'আমিরভ', 'আরমিন', 'আমারি']
['তিমুরি', 'গুরমিত', 'কুমিরা', 'মুতরিব', 'তিরুমলা', 'হুতিরা', 'সুমিতা', 'মিমুরা', 'মধুমতির', 'তিমুর']
['সে', 'সরে', 'রসে', 'সের', 'রেসে', 'সেরে', 'সেই', 'রে', 'সহে', 'ইসে']
['পরিনিত', 'পরিনতি', 'তিশরিন', 'তিনটির', 'পিরিতি', 'তিকিনা', 'তিমিরা', 'পরিনতির', 'তিনার', 'নিশিতা']
['শিক্ষকরা', 'শিক্ষিকার', 'শিক্ষারও', 'শিক্ষিকারা', 'শিক্ষিকা', 'শিক্ষার', 'শিক্ষিক', 'আকর্ষিক', 'আক্ষরিক', 'পরিষ্কারক']
['ছাত্ররা', 'ছাত্ররাও', 'ছাত্ররাই', 'ছাত্তার', 'ছাত্রেরা', 'ছাত্রীরা', 'ছাত্তারের', 'ছাত্রও', 'ছাত্রীরাও', 'ছাত্রই']
['ধরনী', 'ধনীর', 'ধনীরা', 'ধানী', 'ধনীক', 'ধরনে', 'ধরনীধর', 'ধনী', 'ধীরেন', 'সাধনী']
['ভাইরা', 'ভাইর', 'ভাইভা', 'ভাই', 'ইভার', 'ভাবাই', 'ভাইরাল', 'ভাইভার', 'ভাইরাস', 'ভাইল']
['শিক্ষকরা', 'শিক্ষিকার', 'শিক্ষারও', 'শিক্ষিকারা', 'শিক্ষিকা', 'শিক্ষার', 'শিক্ষিক', 'আকর্ষিক', 'আক্ষরিক', 'পরিষ্কারক']
['গরুর', 'গিরু', 'গুরা', 'গরু', 'গুরগ', 'বগুরা', 'বুগরা', 'গরুই', 'গুরিরা', 'গুরি']
['ছেলেরে', 'ছেলেরা', 'ছেলের', 'ছেলেরও', 'ছেলেরাই', 'ছেলেধরা', 'পেছালে', 'পেরেছিলো', 'চেলেছে', 'ছেলেরাও']
['মেয়েরে', 'মেয়ের', 'মেয়েরা', 'মেয়েকে', 'মেয়েদের', 'পেয়েছে', 'মেয়েই', 'মেয়ে', 'রেয়েসের', 'হেইয়ের']
['ভাইরা', 'ভাইর', 'ভাইভা', 'ভাই', 'ইভার', 'ভাবাই', 'ভাইরাল', 'ভাইভার', 'ভাইরাস', 'ভাইল']
['পাখিরা', 'পাখিরও', 'পাখিরাও', 'পাখিরাই', 'পাখির', 'পরিখার', 'পরিখা', 'পাখার', 'পাখনার', 'চাপাখি']
['সদস্যরা', 'সদস্যর', 'সদস্যদরা', 'সদস্যা', 'সদস্যরাও', 'সদস্যরাই', 'সদস্যারা', 'সদস্যরাসহ', 'সদস্যও', 'সদস্যসহ']
['সচিবও', 'বিচারসহ', 'ফিচারস', 'সচিবসহ', 'বিচরন', 'সচিব', 'সাচিবিক', 'বিচির', 'আরসিবি', 'সবজির']
['দর্শকরা', 'দর্শকরাও', 'পরিদর্শক', 'দর্শকখরা', 'আদর্শিক', 'দর্শনার', 'দার্শনিক', 'আর্দাশির', 'পরিদর্শণ', 'দর্শকেরও']
['শিক্ষকরা', 'শিক্ষিকার', 'শিক্ষারও', 'শিক্ষিকারা', 'শিক্ষিকা', 'শিক্ষার', 'শিক্ষিক', 'আকর্ষিক', 'আক্ষরিক', 'পরিষ্কারক']
['সুধীরা', 'সুধীর', 'সুধীরের', 'সুধীরকে', 'সুধীন', 'মাধুরী', 'চৌধুরী', 'চোধুরী', 'রাঁধুনী', 'চৌধুরীই']
['সম্পাদকরা', 'সম্পাদিকার', 'সম্পাদিকা', 'সম্পাদনার', 'রমাপ্রসাদ', 'রামপ্রসাদ', 'আদরাস্কান', 'প্রাসাদটির', 'প্রাসাদসম', 'সম্পাদকও']
['পণ্ডিতরা', 'দণ্ডিতরা', 'বিতণ্ডার', 'পণ্ডিতেরা', 'পন্ডিতরা', 'পণ্ডিতই', 'প্রাণিত', 'পরিত্রাণ', 'পণ্ডিতগণ', 'পণ্ডিত']
['মন্ত্রীরা', 'মন্ত্রীর', 'মন্ত্রীরাও', 'নৌমন্ত্রীর', 'মন্ত্রীও', 'চিত্রধর্মী', 'রাজমন্ত্রী', 'স্ত্রীরা', 'পৌরমন্ত্রী', 'মন্ত্রীই']
['আমরি', 'আরমি', 'আমি', 'আমির', 'আজমি', 'আমরা', 'আরমা', 'আমিরি', 'আমিন', 'আরিমা']
['তিমুরি', 'ঠুমরি', 'নুরমি', 'তুমি', 'গুরমিত', 'সুমতি', 'মুতরিব', 'কুমিরা', 'তিরুমলা', 'তুমিও']
['সে', 'সরে', 'রসে', 'রে', 'সহে', 'সসে', 'বসে', 'মসে', 'সেই', 'সের']
['তিনি', 'বিনতি', 'মিনতি', 'পরিনতি', 'তিনাশি', 'নিতিন', 'তিনিও', 'তিনটি', 'নিতি', 'তিনার']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিক', 'শিক্ষিকা', 'আক্ষরিক', 'বিকর্ষক', 'শিক্ষার', 'শিক্ষিকারা', 'শিক্ষিকার', 'শিক্ষক']
['মাঝিরা', 'মাঝারি', 'মাঝি', 'মাঝির', 'রামজি', 'মারমা', 'জামিরা', 'মাঝা', 'মারিনা', 'মিনারা']
['ধরনী', 'ধনী', 'ধনীর', 'ধমনী', 'ধানী', 'ধনীরা', 'ধরনে', 'ধনীক', 'সাধনী', 'হরধনু']
['ভাই', 'ভাইরা', 'ভাইর', 'ভারা', 'ভাবই', 'লাভই', 'ভালই', 'ইভার', 'ভাইন', 'ভাইভা']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিক', 'শিক্ষিকা', 'আক্ষরিক', 'বিকর্ষক', 'শিক্ষার', 'শিক্ষিকারা', 'শিক্ষিকার', 'শিক্ষক']
['গরু', 'গরুর', 'গুরা', 'গিরু', 'গুরগ', 'গুরি', 'নগরী', 'বনগরু', 'বুগরা', 'গুরং']
['ছেলেরা', 'মেলছে', 'ফেলছে', 'ছেলেরে', 'ছেলে', 'ছেলের', 'ছেলেরও', 'ছেলেরাই', 'পেছালে', 'খেলছে']
['মেয়েরে', 'মেয়ে', 'মেয়েরা', 'মেয়ের', 'মেয়েই', 'যেয়ে', 'মেয়েকে', 'বেয়ে', 'পেয়ে', 'মেঝেয়']
['ভাই', 'ভাইরা', 'ভাইর', 'ভারা', 'ভাবই', 'লাভই', 'ভালই', 'ইভার', 'ভাইন', 'ভাইভা']
['পাখিরা', 'পরিখা', 'পাখির', 'পাখি', 'পাখনা', 'পাখিরও', 'পাখার', 'পাখনার', 'পাখা', 'পাখিরাও']
['সদস্যরা', 'সদস্যদরা', 'সদস্যর', 'সদস্যা', 'সদস্যসহ', 'সদস্যও', 'সদস্যরাও', 'সদস্যপদ', 'সদস্যতা', 'সদস্যঃ']
['সচিব', 'সচিবও', 'বিচরন', 'সচিবসহ', 'নিসচা', 'সবজির', 'রবিনস', 'সচিন', 'বচসার', 'শিবচর']
['দর্শকরা', 'দর্শকরাও', 'দর্শনার', 'দর্শকখরা', 'পরিদর্শক', 'দর্শক', 'দর্শকও', 'দর্শনা', 'শর্করা', 'দর্শকসারি']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিক', 'শিক্ষিকা', 'আক্ষরিক', 'বিকর্ষক', 'শিক্ষার', 'শিক্ষিকারা', 'শিক্ষিকার', 'শিক্ষক']
['সুধীরা', 'সুধীর', 'সুধী', 'সুধীন', 'সুধীরকে', 'সুধীজন', 'মাধুরী', 'ধুবরী', 'রাঁধুনী', 'সুধীরের']
['সম্পাদকরা', 'সম্পাদনার', 'সম্পাদিকা', 'রামপ্রসাদ', 'রমাপ্রসাদ', 'সম্পাদনা', 'সম্পাদিকার', 'সম্পাদনাও', 'সম্পাদকও', 'সম্পাদক']
['পণ্ডিতরা', 'দণ্ডিতরা', 'পন্ডিতরা', 'বিতণ্ডার', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতগণ', 'পন্ডিতগণ', 'প্রাণিত', 'পরিত্রাণ']
['মন্ত্রীরা', 'মন্ত্রীরাও', 'মন্ত্রীর', 'পৌরমন্ত্রী', 'রাজমন্ত্রী', 'নৌমন্ত্রীর', 'মন্ত্রীও', 'শ্রমমন্ত্রী', 'বনমন্ত্রী', 'স্ত্রীরা']
['আমিরা', 'আরিমা', 'আমারি', 'আরমি', 'আমরি', 'আমিরি', 'আমির', 'আরমা', 'আমরা', 'আমরির']
['তিরুমলা', 'তুমহারি', 'মিসতুরা', 'গুরমিত', 'কুমিরা', 'মুতাসিম', 'তিমুরি', 'মিমুরা', 'চিতারুম', 'হুতিরা']
