['আপনারা', 'তোমরা', 'আপনি', 'তুমি', 'তোমরা', 'তোমাদের', 'তুই', 'তোমারা', 'আমরা', 'আপোন']
['সুধী', 'সুধীর', 'সুহৃদ', 'সুভদ্র', 'সুধু', 'সুগত', 'সুষ্পষ্ট', 'সুধার', 'সুবর্ন', 'সুধীজন']
['সম্পাদক', 'সম্পাদকের', 'সম্পাদকীয়', 'সম্পাদকীয়', 'সম্পাদিকা', 'সম্পাদকও', 'সম্পাদনাকারী', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকরা']
['পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'মুণ্ডিত', 'পণ্ডিতবর্গ', 'পণ্ডিত্যপূর্ণ', 'বিদ্যাধর', 'বিদ্যাধরী', 'পাণ্ডিত্যপূর্ণ', 'মুণ্ডিতমস্তক']
['মন্ত্রী', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রীতনয়', 'মন্ত্রীপরিষদের', 'বিষয়কমন্ত্রী', 'মন্ত্রীগণ', 'মন্ত্রীপরিষদ', 'রাজমন্ত্রী', 'সরকারমন্ত্রী']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিবা', 'আমিই', 'আমিত', 'আমার', 'আমারে', 'আমিয়াখুম']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'তার', '\u200b\u200bতার', 'ওঁকে']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'তাঁর', 'তার', '\u200b\u200bতার', 'ওঁর']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকই', 'শিক্ষিকার', 'শিক্ষকের', 'শিক্ষকেরা', 'অশিক্ষক', 'শিক্ষিকা', 'শিক্ষকেরাই', 'শিক্ষয়িত্রী']
['মাঝি', 'মাঝির', 'মাঝিকে', 'মাঝিরা', 'মাঝিদের', 'মেরাজ', 'মেথর', 'মেহকার', 'মেরাজের', 'মাষ্টার']
['ছাত্র', 'ছাত্রছাত্রী', 'শিক্ষার্থী', 'ছাত্রের', 'ছাত্রই', 'ছাত্রছাত্রীর', 'স্টুডেন্ট', 'শিক্ষার্থীর', 'ছাত্রীর', 'ছাত্রী']
['ধনী', 'ধনীর', 'ধনবান', 'ধনশালী', 'ধনীক', 'সমৃদ্ধশালী', 'ধনাঢ্য', 'বিত্তবান', 'সম্পদশালী', 'বিত্তশালী']
['ভাই', 'ভাইয়ের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইয়ের', 'ভাইয়েরা', 'ভাইর', 'ভাইও', 'ভাইটি', 'ভাইকে']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকই', 'শিক্ষিকার', 'শিক্ষকের', 'শিক্ষকেরা', 'অশিক্ষক', 'শিক্ষিকা', 'শিক্ষকেরাই', 'শিক্ষয়িত্রী']
['গরু', 'গরুই', 'গরুড়', 'গরুর', 'গাভী', 'গরুকে', 'গরুদের', 'গরুও', 'গরুড়ের', 'ঘো']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেই', 'ছেলেসন্তান', 'ছেলেবন্ধু', 'ছেলেটা']
['মেয়ে', 'মেয়ে', 'বালিকা', 'মেয়ের', 'মেয়েলী', 'মেয়েই', 'মেয়েরে', 'মেয়েই', 'কন্যা', 'মেয়েকে']
['ভাই', 'ভাইয়ের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইয়ের', 'ভাইয়েরা', 'ভাইর', 'ভাইও', 'ভাইটি', 'ভাইকে']
['পাখি', 'পাখির', 'পাখিটা', 'পাখিগুলি', 'পাখিরাই', 'পাখিমারা', 'পাখিই', 'পাখিরা', 'পাখিকে', 'পাখিটি']
['সদস্য', 'সদস\u200d্য', 'সদস্যর', 'সদস্যদরা', 'সদস্যই', 'সদস্যা', 'সদস্যভূক্ত', 'সদস্যের', 'সদস্যে', 'সদস্যভুক্ত']
['সচিব', 'সচিবের', 'সচিবেরা', 'সচিবগণ', 'সচিবকে', 'সচিবও', 'সচিবদের', 'সচিবালয়', 'সচিবালয়ের', 'সচিবালয়']
['দর্শক', 'দর্শকখরা', 'দর্শকগন', 'দর্শকগণ', 'দর্শকের', 'দর্শকবৃন্দ', 'দর্শকেরা', 'দর্শকরা', 'দর্শকসারি', 'দর্শকই']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকই', 'শিক্ষিকার', 'শিক্ষকের', 'শিক্ষকেরা', 'অশিক্ষক', 'শিক্ষিকা', 'শিক্ষকেরাই', 'শিক্ষয়িত্রী']
['সুধী', 'সুধীর', 'সুহৃদ', 'সুধীজন', 'সুষ্পষ্ট', 'সুধীরা', 'সুভদ্র', 'সুধার', 'সুজাত্র', 'সুবহ']
['সম্পাদক', 'সম্পাদকের', 'সম্পাদিকা', 'সম্পাদকও', 'সম্পাদকীয়', 'সম্পাদকঃ', 'সম্পাদকেরা', 'সম্পাদকে', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'পণ্ডিতবর্গ', 'মুণ্ডিত', 'পণ্ডিতকে', 'পণ্ডিতবিহারের', 'পণ্ডিত্যপূর্ণ', 'বিদ্যাধর', 'পণ্ডিতেরা']
['মন্ত্রী', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রীকে', 'মন্ত্রীগণ', 'রাজমন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীরা', 'মন্ত্রীতনয়', 'মন্ত্রীও']
['মই', 'আমি', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিত', 'আমিয়াখুম', 'আমিবা', 'আমিমুল', 'আমারে']
['তোমরা', 'আপনারা', 'তোমরা', 'তুমি', 'আপনি', 'তোমারা', 'তোমাদের', 'তোমাদের', 'তুই', 'আপনারাই']
['তারা', 'তাঁরা', 'ওরা', 'ওঁরা', 'ওনারা', 'তাহারা', 'উনারা', 'এঁরা', 'তঁরা', 'তাহারাই']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকমন্ডলী']
['মাঝি', 'মাঝিরা', 'মাঝির', 'মাঝিদের', 'মাঝিকে', 'মেথর', 'মেরাজ', 'মায়ার', 'মাদল', 'মিঞার']
['ছাত্রেরা', 'ছাত্রগণ', 'ছাত্ররা', 'ছাত্রবৃন্দ', 'শিক্ষার্থীরা', 'ছাত্রছাত্রীরা', 'ছাত্রছাত্রী', 'ছাত্র', 'শিক্ষার্থীগণ', 'শিক্ষার্থীবৃন্দ']
['ধনী', 'ধনীরা', 'ধনীর', 'ধনবান', 'ধনাঢ্য', 'ধনীদের', 'ধনীক', 'ধনশালী', 'সমৃদ্ধশালী', 'বিত্তবান']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাই', 'ভাইদের', 'ভাইয়ে', 'ভাইবোন', 'ভাইয়ের', 'ভাইর', 'ভাইকিঙেরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকমন্ডলী']
['গরু', 'গরুদের', 'গরুগুলো', 'গরুড়', 'গরুর', 'ষাঁড়', 'গরুই', 'গাভী', 'গরুও', 'ঘো']
['ছেলেরাই', 'ছেলেরা', 'ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেমেয়েই', 'ছেলেহারা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরাই', 'ছেলেগুলো', 'ছেলেমেয়েরা']
['মেয়েরা', 'মেয়েরাই', 'মেয়ে', 'মেয়েরা', 'মেয়ে', 'মেয়েদের', 'বালিকা', 'মেয়েগুলো', 'মেয়েপাখি', 'তরুনী']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাই', 'ভাইদের', 'ভাইয়ে', 'ভাইবোন', 'ভাইয়ের', 'ভাইর', 'ভাইকিঙেরা']
['পাখি', 'পাখিগুলি', 'পাখিরাই', 'পাখিরা', 'পাখির', 'পাখিগুলো', 'পাখিমারা', 'পাখিদের', 'পাখিটা', 'পাখিই']
['সদস্যদরা', 'সদস্যা', 'সদস্যারা', 'সদস্যগন', 'সদস্য', 'সদস\u200d্য', 'সদস্যেরা', 'সদস্যরা', 'সদস্যগুলি', 'সদস্যবৃন্দ']
['সচিবগণ', 'সচিবেরা', 'সচিব', 'সচিবদের', 'সচিবের', 'সচিবালয়', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়', 'সচিবও']
['দর্শকখরা', 'দর্শকগন', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকেরা', 'দর্শকরা', 'দর্শক', 'ভিক্ষুগণ', 'দর্শকেরাও', 'দর্শকেরাই']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষক', 'শিক্ষকমন্ডলী']
['সুধী', 'সুধীরা', 'সুধীর', 'সুহৃদ', 'সুভদ্র', 'সুধার', 'সুধু', 'সুধীজন', 'সুগত', 'সুবহ']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদকীয়', 'সম্পাদকমণ্ডলী', 'সম্পাদকও', 'সম্পাদকীয়']
['পণ্ডিতবর্গ', 'পণ্ডিত', 'পণ্ডিতেরা', 'পণ্ডিতরা', 'পণ্ডিতগণ', 'পণ্ডিতই', 'পণ্ডিতের', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পন্ডিতগণ']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রী', 'মন্ত্রীদের', 'মন্ত্রীর', 'মন্ত্রীপরিষদের', 'মন্ত্রীগণের', 'মন্ত্রীতনয়', 'মন্ত্রীই', 'মন্ত্রীপরিষদ']
['মই', 'আমি', 'إِنِّي', 'আমিতো', 'আমিবা', 'আমিই', 'আমিত', 'আমিয়াখুম', 'অামি', 'আমারে']
['তোমরা', 'তোমরা', 'আপনারা', 'তোমারা', 'তুমি', 'তোমাদের', 'আপনি', 'তুই', 'তোরা', 'তোমাদের']
['তারা', 'ওরা', 'তাহারা', 'তাঁরা', 'তঁরা', 'ওনারা', 'ওঁরা', 'সেগুলি', 'ওগুলো', 'সেগুলো']
['শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকমন্ডলী', 'শিক্ষকদের']
['মাঝি', 'মাঝিরা', 'মাঝির', 'মাঝিদের', 'মাঝিকে', 'মাদল', 'মেরাজ', 'মায়ার', 'মেথর', 'মাঝিড়া']
['ছাত্রেরা', 'ছাত্রছাত্রী', 'ছাত্রগণ', 'ছাত্র', 'ছাত্রবৃন্দ', 'ছাত্ররা', 'শিষ্যেরা', 'স্টুডেন্ট', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা']
['ধনী', 'ধনবান', 'ধনীর', 'ধনীরা', 'ধনাঢ্য', 'ধনশালী', 'ধনীক', 'সমৃদ্ধশালী', 'বিত্তবান', 'ধনীদের']
['ভাইয়েরা', 'ভাইরা', 'ভাইয়েরা', 'ভাই', 'ভাইবোন', 'ভাইয়ে', 'ভাইয়ের', 'ভাইয়ে', 'ভাইদের', 'ভাইয়া']
['শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকমন্ডলী', 'শিক্ষকদের']
['গরু', 'গরুড়', 'গরুদের', 'গরুগুলো', 'গরুর', 'গরুই', 'গাভী', 'ষাঁড়', 'ঘো', 'ছাগ']
['ছেলেমেয়ে', 'ছেলেমেয়ে', 'ছেলেরাই', 'ছেলেরা', 'ছেলেহারা', 'ছেলেমেয়েই', 'ছেলেমেয়েরা', 'ছেলে', 'ছে\u200cলে', 'বালকা']
['মেয়ে', 'মেয়েরা', 'মেয়ে', 'মেয়েরাই', 'মেয়েরা', 'বালিকা', 'মেয়েপাখি', 'মেয়েদের', 'মেয়েরে', 'তরুনী']
['ভাইয়েরা', 'ভাইরা', 'ভাইয়েরা', 'ভাই', 'ভাইবোন', 'ভাইয়ে', 'ভাইয়ের', 'ভাইয়ে', 'ভাইদের', 'ভাইয়া']
['পাখি', 'পাখিগুলি', 'পাখিরাই', 'পাখির', 'পাখিরা', 'পাখিমারা', 'পাখিগুলো', 'পাখিদের', 'পাখিটা', 'পাখিই']
['সদস্যা', 'সদস্যদরা', 'সদস্য', 'সদস\u200d্য', 'সদস্যেরা', 'সদস্যগন', 'সদস্যারা', 'সদস্যর', 'সদস্যরা', 'সদস্যগুলি']
['সচিব', 'সচিবেরা', 'সচিবগণ', 'সচিবের', 'সচিবদের', 'সচিবালয়', 'সচিবালয়', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়ের']
['দর্শকখরা', 'দর্শকগন', 'দর্শক', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকেরা', 'দর্শকরা', 'দর্শকসারি', 'ভিক্ষুগণ', 'দর্শকদের']
['শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষক', 'শিক্ষকনেতারা', 'শিক্ষকমন্ডলী', 'শিক্ষকদের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুহৃদ', 'সুভদ্র', 'সুধু', 'সুধার', 'সুগত', 'সুবহ', 'সুধীজন']
['সম্পাদক', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদিকা', 'সম্পাদকমণ্ডলী', 'সম্পাদকীয়', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতবর্গ', 'পণ্ডিতেরা', 'পণ্ডিতরা', 'পণ্ডিতই', 'পণ্ডিতগণ', 'পণ্ডিতের', 'পণ্ডিতগণের', 'পণ্ডিতদের', 'মুণ্ডিত']
['মন্ত্রী', 'মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীর', 'মন্ত্রীতনয়', 'মন্ত্রীপরিষদের', 'মন্ত্রীদের', 'মন্ত্রণালয়', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদ']
['আমি', 'إِنِّي', 'মই', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমিত', 'আই', 'আমার']
['আপনারা', 'আপনি', 'তুমি', 'তোমরা', 'তোমরা', 'তুই', 'তোমরাই', 'আপনারাই', 'তোমাদের', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেগুলি', 'সেগুলির', 'সেঃ', 'সেসকল']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'তাঁরা', 'এঁরা', 'ওঁরা', 'সেগুলি']
['মাঝিরা', 'মাঝিদের', 'মাঝি', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'মেয়ারস', 'কর্ণধারেরা', 'পাদ্রীরা', 'প্রধানেরা']
['ছাত্রেরা', 'ছাত্ররা', 'ছাত্রগণ', 'ছাত্রছাত্রীরা', 'ছাত্রবৃন্দ', 'শিক্ষার্থীগণ', 'শিক্ষার্থীরা', 'শিক্ষার্থীবৃন্দ', 'ছাত্রদের', 'শিক্ষার্থীদের']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'বিত্তবানদের', 'ধনকুবেররা', 'ধনীক']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাই', 'ভাইয়েদের', 'ভাইয়ের', 'ভাইদেরকে', 'ভাইকিঙেরা']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষকদের', 'শিক্ষিকারা', 'শিক্ষকবৃন্দের', 'শিক্ষকনেতারা', 'শিক্ষকগণের']
['গরুগুলো', 'গরুদের', 'গরু', 'গরুগুলোকে', 'গরুগুলোর', 'গরুর', 'ছাগলগুলো', 'গরুই', 'গরুও', 'গাভী']
['ছেলেগুলো', 'ছেলেরাই', 'ছেলেরা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'ছেলেগুলোর', 'ছেলেমেয়েরাই', 'ছেলে', 'ছে\u200cলে', 'পুত্ররা']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরা', 'মেয়েগুলো', 'মেয়েদের', 'বালিকারা', 'কন্যারা', 'মেয়ে', 'মেয়েদের', 'মেয়ে']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাই', 'ভাইয়েদের', 'ভাইয়ের', 'ভাইদেরকে', 'ভাইকিঙেরা']
['পাখিগুলি', 'পাখিগুলো', 'পাখিরাই', 'পাখিরা', 'পাখিদের', 'পাখি', 'পাখির', 'পাখিগুলোকে', 'পাখিগুলোর', 'পাখিদেরকে']
['সদস্যারা', 'সদস্যগুলি', 'সদস্যদরা', 'সদস্যা', 'সদস্যগন', 'সদস্যগণ', 'সদস্যবৃন্দ', 'সদস্যগুলো', 'সদস্যদের', 'সদস্যেরা']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়ের', 'সচিবালয়']
['দর্শকেরা', 'দর্শকরা', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকখরা', 'দর্শকেরাই', 'দর্শকদের', 'ভিক্ষুগণ', 'দর্শকেরাও']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষকদের', 'শিক্ষিকারা', 'শিক্ষকবৃন্দের', 'শিক্ষকনেতারা', 'শিক্ষকগণের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুহৃদ', 'সুধীজনের', 'সুষ্পষ্ট', 'সুধার', 'সুভদ্র', 'সুধু']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'সম্পাদকও', 'সম্পাদকঃ', 'এডিটর্স', 'সম্পাদকে']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতবর্গ', 'পণ্ডিতগণের', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'জ্ঞানীরা']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রী', 'মন্ত্রীদেরকে', 'মন্ত্রীর', 'মন্ত্রীপরিষদের', 'মন্ত্রীই', 'মন্ত্রীরাও']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'অামি', 'আই', 'আমিত', 'আমিয়াখুম']
['আপনারা', 'তোমরা', 'তোমরা', 'আপনি', 'তুমি', 'তুই', 'তোমরাই', 'আপনারাই', 'তোমাদের', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'সেসকল', 'সেগুলি', 'তিনিই', 'সেগুলো', 'সেগুলির', 'এরা', 'ওগুলো']
['তিনি', 'তি\u200cনি', 'সেসকল', 'সে', 'তাঁরা', 'এঁরা', 'তিনিই', 'সেগুলি', 'ওঁরা', 'এরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'প্রশিক্ষকেরা', 'শিক্ষিকাদের']
['ছাত্রেরা', 'ছাত্রগণ', 'ছাত্ররা', 'ছাত্রবৃন্দ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীগণ', 'শিক্ষার্থীবৃন্দ', 'শিক্ষার্থীরা', 'শিষ্যরা', 'ছাত্রীরা']
['ধনীরা', 'ধনীদের', 'ধনকুবেররা', 'বিত্তবানদের', 'ধনী', 'ধনকুবেরদের', 'ধনীর', 'বড়লোকদের', 'বিত্তশালীদের', 'ধনবান']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাইদেরকে', 'ভাইবোনেরা', 'সহোদরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'প্রশিক্ষকেরা', 'শিক্ষিকাদের']
['গরুগুলো', 'গরুদের', 'গরুগুলোকে', 'গরুগুলোর', 'ছাগলগুলো', 'গরু', 'ঘোড়াগুলি', 'ঘোড়াগুলো', 'ভেড়াদের', 'ঘাগরা']
['ছেলেরাই', 'ছেলেগুলো', 'ছেলেরা', 'বালকেরা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরাই', 'পুত্ররা', 'ছেলেগুলোর', 'পুত্রেরা']
['মেয়েরাই', 'মেয়েরা', 'মেয়েগুলো', 'বালিকারা', 'মেয়েরা', 'কন্যারা', 'মেয়েদের', 'মেয়েদের', 'বালিকাদের', 'মেয়েরাই']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইকিঙেরা', 'ভাইয়েদের', 'ভাইদেরকে', 'ভাইবোনেরা', 'সহোদরা']
['পাখিগুলি', 'পাখিগুলো', 'পাখিরাই', 'পাখিরা', 'পাখিদের', 'পাখিগুলোর', 'পাখিদেরকে', 'পাখিগুলোকে', 'পাখির', 'পাখি']
['সদস্যগুলি', 'সদস্যারা', 'সদস্যগণ', 'সদস্যবৃন্দ', 'সদস্যগুলো', 'সদস্যগন', 'সদস্যা', 'সদস্যদরা', 'সদস্যরা', 'সদস্যেরা']
['সচিবেরা', 'সচিবগণ', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবও', 'সচিবালয়ের', 'কমিশনারগণ', 'কমিশনাররা', 'সচিবালয়ের']
['দর্শকেরা', 'দর্শকরা', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকগন', 'ভিক্ষুগণ', 'দর্শকেরাই', 'দর্শকখরা', 'দর্শকদের', 'দর্শনার্থীরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকেরাই', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'প্রশিক্ষকেরা', 'শিক্ষিকাদের']
['সুধীরা', 'সুধী', 'সুধীজনদের', 'সুধীর', 'সুধীজন', 'সুধীজনের', 'সুহৃদ', 'সৌম্যরা', 'সুধার', 'সুভাষের']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'এডিটর্স', 'এডিটরস', 'সম্পাদক', 'সম্পাদকের', 'লেখকবৃন্দ', 'সম্পাদকঃ']
