['তুলা', 'তুলার', 'তুলাই', 'তুলাতুলি', 'তুলায়', 'তুলাধোনা', 'তুলাবরম', 'খুলা', 'কুলা', 'তুলাতুলী']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'পুরোধা', 'বৌদ্ধপ্রধান']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকর', 'শুকলা', 'শুকনা', 'শুকানো', 'শুকরান', 'শুক্ল']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যজীব', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বনৌষধি']
['হস্ত', 'হাত', 'হস্তের', 'হস্তী', 'হাতজোড়', 'হাতের', 'হা\u200cতের', 'হাতছোঁয়া', 'হাতজোড়', 'হস্তে']
['নাসিকা', 'নকসা', 'নক্শা', 'নক্\u200cশা', 'নক্সা', 'নাজকা', 'নাৎসিরা', 'নকিয়া', 'নকিয়া', 'নাশিক']
['ঘৃত', 'ঘেরা', 'মোড়া', 'বেষ্টিত', 'বৃত', 'মোড়ানো', 'বাক্\u200cরুদ্ধ', 'মোড়া', 'আড়ত', 'আবরিত']
['ব্যাঘ্র', 'ব্যাসার্ধ', 'ব্যাপী', 'দৈৰ্ঘ্য', 'দৈর্ঘ', 'ব্যাপি', 'অর্ঘ', 'সূদীর্ঘ', 'ব্যাস্ত', 'দৈর্ঘের']
['শৃগাল', 'গোছল', 'খড়গ', 'খড়গ', 'ঘিলু', 'গকুল', 'গুগোল', 'শৃঙ্গ', 'বাঁশঝাড়', 'ভৃগুর']
['হস্তী', 'হস্ত', 'হাতুড়', 'হস্তের', 'হস্তীর', 'হাত', 'হাতখরচ', 'হাতেখড়ি', 'হাতুরি', 'হাতজোড়']
['পক্ষী', 'পক্ষীর', 'পাখী', 'পক্ষল', 'পাখীর', 'পক্ষিবিশেষ', 'পোষ', 'উদগির', 'পাখি', 'পিঁপড়া']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মৎস্যজাত', 'মাছেরা', 'মাছের', 'মাছই', 'মাছুদ', 'মৎস্যসম্পদ', 'মৎস্যপুরাণ']
['অগ্নি', 'আগুন', 'অগ্নিগড়', 'অগ্নিকুন্ড', 'অগ্নির', 'অগ্নিকান্ড', 'ফায়ার', 'অগ্নিশিখা', 'আগুনের', 'আগুনটা']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়োর', 'বুড়ি', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বুড়োদের', 'বুড়াবুড়ি']
['সুতা', 'সুত', 'সুতি', 'সুতো', 'সুট', 'সুতির', 'সুতাকে', 'সুতোর', 'সুলা', 'সুতোয়']
['চন্দ্র', 'চন্দ্রচূড়', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রের', 'চন্দ্রকে', 'চন্দ্রভাগা', 'চন্দ্রকেতুগড়', 'চাঁদ', 'চাঁদের']
['জুতা', 'জুতার', 'জুতো', 'জুতাপেটা', 'জুতাই', 'জুতোর', 'জুতায়', 'জুতাকে', 'জুতাও', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'খুলা', 'ধুলা', 'কুলা', 'তুলায়', 'গুঁজা', 'তুলাতুলি', 'তুলাবরম']
['পূজা', 'পূজাই', 'পূজাকে', 'পূজার', 'পূজাও', 'পুজা', 'উপাসনা', 'পূজায়', 'পূজার্চনা', 'পূজার্চনার']
['পুরোহিত', 'পুরোহিতের', 'ধর্মপিতা', 'পুরোহিতকে', 'মুহাদ্দিস', 'মুফতি', 'পীর', 'সন্ন্যাসী', 'পুরোহিতরা', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকর', 'শুকলা', 'শুকানো', 'শুক্ল', 'শুকনো', 'চুকিয়ে']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'জঙ্গলি', 'জঙ্গলময়', 'জঙ্গলী']
['হস্ত', 'হাতুড়', 'হাতকড়া', 'হাতখরচ', 'হাতা', 'হাতকড়া', 'হাতধোয়া', 'হাতজোড়', 'হাত', 'হাতলটি']
['নকসা', 'নাসিকা', 'নাজকা', 'নক্শা', 'নক্\u200cশা', 'নাজা', 'নাকা', 'নিসচা', 'নেসা', 'নাশ']
['ঘৃত', 'মোড়া', 'আড়ত', 'মোড়া', 'চেরা', 'ঘেরা', 'আবরিত', 'মোড়ানো', 'মোড়ানো', 'বেষ্টিত']
['ব্যাঘ্র', 'বিঘত', 'ব্যাস্ত', 'প্রস্থ', 'ব্যাপি', 'ব্যাপী', 'ব্যাসার্ধ', 'সঙ্ঘ', 'দৈৰ্ঘ্য', 'অর্ঘ']
['শৃগাল', 'খড়গ', 'ধাঙড়', 'কড়চা', 'ঘুঁটি', 'খড়গ', 'ঘষেটি', 'চপলা', 'ঝাল', 'খড়ম']
['হাতুড়', 'হাতখরচ', 'হস্তী', 'হাতকড়া', 'হাতছানি', 'হাতিশুঁড়', 'হাতকড়া', 'হাতা', 'হাতুরি', 'হস্ত']
['পক্ষী', 'পক্ষল', 'পক্ষীর', 'ঘেষা', 'পাখী', 'পাখীর', 'পিঁপড়া', 'পকড়', 'পাঁপড়', 'গাধা']
['মৎস্য', 'মাছুদ', 'মৎস্যের', 'মাছুদা', 'মাছই', 'মাছেদের', 'মাছেরা', 'মৎস্যজাত', 'মাছধরা', 'মাছ']
['পোড়', 'অগ্নি', 'আগুন', 'আগুণ', 'অগ্নিকান্ড', 'পোড়ো', 'জ্বালা', 'অগ্নিকাণ্ড', 'জ্বাল', 'পোড়া']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বুড়োর', 'বুড়ি', 'বুঢ়া', 'বুড়াবুড়ি']
['সুতা', 'সুত', 'সুতো', 'সুট', 'সুতোয়', 'সুতোয়', 'সুতোর', 'জোছনা', 'সুতি', 'তুঁত']
['জোছনা', 'মৌঙ', 'মোঁদ', 'চন্দ্র', 'ঘুণ', 'ধড়', 'চন্দ্রা', 'হাঁদা', 'চন্দ্রও', 'মোরঙ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['জুতা', 'জুতার', 'জুতাই', 'জুতো', 'জুতাপেটা', 'জুতাও', 'জুতায়', 'জুতাকে', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'তুলাধোনা', 'তুলাবরম', 'তুলায়', 'খুলা', 'তুলাতুলি', 'কুলা', 'তুলাইহা']
['পূজা', 'পূজাই', 'পূজার', 'পূজার্চনা', 'পূজাও', 'পূজাকে', 'পূজার্চনার', 'উপাসনা', 'পূজায়', 'পূজাটি']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যৈষ্ঠ', 'জ্যৈষ্ঠের', 'জ্যোতিষ্ক', 'জ্যোতিভূষণ', 'জ্যোতির্লিঙ্গ', 'জ্যোতিরাও']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'ধর্মপিতা', 'পুরোহিতেরা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'সন্ন্যাসীর']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যজীব', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বনের']
['হস্ত', 'হাত', 'হস্তের', 'হস্তী', 'হাতটা', 'হাতের', 'হা\u200cতের', 'হাতলটি', 'হাতই', 'হস্তে']
['নাসিকা', 'নাকা', 'নকসা', 'নকিয়া', 'নক্শা', 'নক্\u200cশা', 'নাৎসিরা', 'নকিয়া', 'নিকা', 'নাইসিয়া']
['ঘৃত', 'ঘেরা', 'আবরিত', 'আড়ত', 'মোড়া', 'বেষ্টিত', 'বৃত', 'মোড়ানো', 'অলংকৃত', 'প্রতিষ্টিত']
['ব্যাঘ্র', 'ব্যাসার্ধ', 'অর্ঘ', 'ব্যাপী', 'দৈর্ঘ', 'দৈৰ্ঘ্য', 'প্রস্থ', 'দৈর্ঘের', 'ব্যাপি', 'সূদীর্ঘ']
['শৃগাল', 'শৃঙ্গ', 'খড়গ', 'খড়গ', 'সীগাল', 'কৃষাঙ্গ', 'কড়চা', 'মৃগালা', 'গোছল', 'গড়াল']
['হস্তী', 'হস্ত', 'হস্তের', 'হস্তীর', 'হাতুড়', 'হাত', 'হাতলটি', 'হাতুরি', 'হাতা', 'হাতখরচ']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'পাখীর', 'পাখী', 'পক্ষিবিশেষ', 'উদগির', 'বেড়াল', 'পোষ্য', 'পিঁপড়া']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মৎস্যজাত', 'মাছের', 'মৎস্যসম্পদ', 'মাছেরা', 'মাছই', 'মৎস্যপুরাণ', 'মাছগুলি']
['অগ্নি', 'আগুন', 'অগ্নির', 'আগুনটা', 'আগুনের', 'আগুনই', 'অগ্নিগড়', 'অগ্নিকুন্ড', 'অগ্নিকে', 'অগ্নিকান্ড']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ি', 'বুড়োর', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বৃদ্ধ', 'বুড়োদের']
['সুতা', 'সুত', 'সুতি', 'সুট', 'সুতো', 'সুতাকে', 'সুতোর', 'সুতির', 'সুলা', 'সুতার']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রচূড়', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চন্দ্রও', 'চাঁদ', 'চাঁদের', 'চন্দ্রা', 'চন্দ্রে']
['জুতা', 'জুতাই', 'জুতার', 'জুতাকে', 'জুতাপেটা', 'জুতো', 'জুতোর', 'বুনো', 'জুতাও', 'শাড়ি']
['তুলা', 'খুলা', 'তুলাই', 'তুলার', 'বোনা', 'তুলাধোনা', 'বুনো', 'কুলা', 'তুলায়', 'বুনো']
['পূজা', 'পূজাই', 'পূজাকে', 'পুজা', 'বুনো', 'পূজাও', 'পূজার্চনা', 'পুজো', 'পূজার', 'উপাসনা']
['বুনো', 'জ্যোৎস্না', 'বুনো', 'জ্যোৎস্নার', 'বুনা', 'বুনন', 'জ্যোতি', 'বুননে', 'বোনা', 'বুনতে']
['পুরোহিত', 'পুরোহিতকে', 'পুরোহিতের', 'পুরোহিতরা', 'ধর্মপিতা', 'পুরোহিতেরা', 'বুনো', 'পুরোহিতদের', 'বুনো', 'পুরোহিতগণের']
['শুকনো', 'চুকানোর', 'চুকিয়ে', 'শুকিয়ে', 'শুকিয়ে', 'শুকলা', 'চুকাতে', 'শুকর', 'শুকরানা', 'শুকনা']
['হস্ত', 'আঁক', 'বুনো', 'হস্তী', 'হাতুড়', 'হাতা', 'বুনো', 'হাতখরচ', 'বাঁক', 'হাতলটি']
['নাসিকা', 'নেছা', 'নকসা', 'নাকা', 'নক্শা', 'নক্\u200cশা', 'নাকবা', 'বুনো', 'নাজকা', 'নিকা']
['ঘৃত', 'বুনেছে', 'বুনো', 'বুনো', 'কুড়ানো', 'গলানো', 'বাঁধানো', 'ঘটাই', 'জুড়ানো', 'মোড়া']
['বুনো', 'ব্যাঘ্র', 'ব্যাস্ত', 'বুনো', 'ব্যাপন', 'অর্ঘ', 'বিঘত', 'প্রস্থ', 'দৈর্ঘ', 'গছিয়ে']
['বুনো', 'খড়ম', 'শৃগাল', 'গাড়', 'গিঁঠ', 'শুঁড়', 'ঘুঁটি', 'গুড়', 'শুঁড়', 'কোঁত']
['হস্তী', 'বুনো', 'আঁক', 'হাতুড়', 'হস্তীর', 'হাতুরি', 'হাতখরচ', 'আঁকশি', 'হস্ত', 'বুনো']
['বুনো', 'বঁটি', 'পিঁপড়া', 'বুনো', 'পিঁপড়া', 'বগির', 'ছাগ', 'ছেড়া', 'ঘেষা', 'ঘুঁটি']
['বুনো', 'বুনো', 'মাছই', 'মাছুদা', 'মাছেরা', 'মাছে', 'মাছুদ', 'বুনতে', 'মাছুম', 'মাছধরা']
['পোড়', 'পোড়ানো', 'জ্বালান', 'জ্বাল', 'পোড়ান', 'পোড়া', 'পোড়ানো', 'জ্বালানো', 'পোড়ানোর', 'পোড়াও']
['বুঢ়া', 'বুড়া', 'বুড়ি', 'বুড়ি', 'বুড়ো', 'বুড়া', 'বুনো', 'বুড়োর', 'বুড়ো', 'বুড়িয়ে']
['সুতা', 'বুনো', 'সুতো', 'সুট', 'বোনা', 'বুনো', 'সুত', 'সুতোর', 'সুতি', 'সুতোয়']
['চন্দ্র', 'চন্দ্রকে', 'বুনো', 'চন্দ্রের', 'চন্দ্রা', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রচূড়', 'চাঁদের', 'বুন']
['জুতা', 'জুতার', 'জুতো', 'জুতাই', 'জুতাও', 'জুতাপেটা', 'জুতায়', 'জুতাকে', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলার', 'তুলাই', 'তুলাধোনা', 'তুলাবরম', 'তুলাতুলি', 'তুলায়', 'কুলা', 'তুলাইহা', 'তুলায়হার']
['পূজা', 'পূজার', 'পূজাই', 'পূজার্চনা', 'পূজাকে', 'পূজাও', 'পূজার্চনার', 'উপাসনা', 'পূজায়', 'পূজাটি']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতির', 'জ্যোতি', 'জ্যৈষ্ঠ', 'জ্যৈষ্ঠের', 'জ্যোতির্লিঙ্গ', 'জ্যোতিপ্রিয়', 'জ্যোতিষ্ক', 'জ্যোতিভূষণ']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকনা', 'শুকানো', 'শুকলা', 'শুকর', 'শুকরান', 'শুকরানা']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যজীব', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বন্যপ্রাণীদের']
['নাসিকা', 'নকিয়া', 'নকিয়া', 'নাইসিয়া', 'নকসা', 'নাৎসিরা', 'নাকা', 'নক্শা', 'নক্\u200cশা', 'নালিকা']
['ঘৃত', 'ঘেরা', 'বেষ্টিত', 'আড়ত', 'মোড়া', 'আবরিত', 'বৃত', 'অলংকৃত', 'প্রতিষ্টিত', 'মোড়ানো']
['ব্যাঘ্র', 'দৈৰ্ঘ্য', 'ব্যাপী', 'দৈর্ঘ', 'ব্যাসার্ধ', 'অর্ঘ', 'দৈর্ঘের', 'প্রস্থ', 'ব্যাপি', 'দ্রাঘিমাংশ']
['শৃগাল', 'শৃঙ্গ', 'কৃষাঙ্গ', 'খড়গ', 'মৃগালা', 'খড়গ', 'সীগাল', 'কড়চা', 'শৃঙ্গের', 'শল']
['হস্তী', 'হাত', 'হস্ত', 'হস্তের', 'হাতলটি', 'হাতের', 'হা\u200cতের', 'হাতা', 'হাতুড়', 'হাত্তি']
['পক্ষী', 'পক্ষীর', 'পাখীর', 'পাখী', 'পক্ষল', 'পক্ষিবিশেষ', 'পাখি', 'পাখির', 'উদগির', 'পোষ্য']
['মৎস্য', 'মৎস্যের', 'মৎস্যজাত', 'মাছ', 'মৎস্যসম্পদ', 'মাছের', 'মাছেরা', 'মৎস্যপুরাণ', 'মাছই', 'মাছগুলি']
['অগ্নি', 'আগুন', 'অগ্নির', 'আগুনের', 'আগুনটা', 'আগুনই', 'অগ্নিকুন্ড', 'অগ্নিগড়', 'অগ্নিকান্ড', 'অগ্নিকে']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ি', 'বুড়োর', 'বুড়ো', 'বুড়ি', 'বুড়ো', 'বৃদ্ধ', 'বয়স্ক']
['সুতা', 'সুত', 'সুতি', 'সুতো', 'সুতির', 'সুট', 'সুতাকে', 'সুতোর', 'সুলা', 'সুতোয়']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চাঁদের', 'চন্দ্রও', 'চন্দ্রচূড়', 'চাঁদ', 'চন্দ্রা', 'চন্দ্রে']
['জুতা', 'জুতার', 'জুতাই', 'জুতাপেটা', 'জুতো', 'জুতাকে', 'জুতাও', 'জুতায়', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলাবরম', 'তুলার', 'তুলাই', 'তুলাতুলি', 'কুলাম', 'খুলা', 'তুলাধোনা', 'ধুলা', 'তুলায়']
['পূজা', 'পূজার', 'পূজাই', 'পূজাকে', 'পূজাও', 'পূজার্চনার', 'পূজার্চনা', 'পূজো', 'উপাসনা', 'পূজানুষ্ঠান']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যৈষ্ঠ', 'জ্যৈষ্ঠের', 'লৌহযুগ', 'প্রদ্যোৎ', 'জ্যোতির্লিঙ্গ', 'তারার']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোধা', 'ধর্মপিতা', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোধাপুরুষ', 'পুরোহিতগণের', 'পুরোহিতদের']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকর', 'শুকানো', 'শুক্ল', 'শুকরান', 'শুকনা', 'শুক্লার']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যজীব', 'বন্যপ্রাণীর', 'বন্যপ্রাণী', 'বন্যজীবনের', 'বন্যজীবন', 'বন্যপ্ৰাণী', 'বনের']
['হস্ত', 'হস্তের', 'হাত', 'হস্তী', 'হাতলটি', 'হাতেম', 'হাতটা', 'হাতল', 'হাতের', 'হা\u200cতের']
['ঘৃত', 'আড়ত', 'মোড়া', 'আবরিত', 'ঘেরা', 'মোড়ানো', 'মোড়ানো', 'বেষ্টিত', 'বৃত', 'অলংকৃত']
['ব্যাঘ্র', 'অর্ঘ', 'দৈর্ঘ', 'দৈৰ্ঘ্য', 'দৈর্ঘের', 'ব্যাপী', 'প্রস্থ', 'ব্যাসার্ধ', 'সূদীর্ঘ', 'ব্যাপি']
['শৃগাল', 'গোঁফ', 'খড়গ', 'শল', 'গখ', 'হুড়মুড়', 'শৃঙ্গ', 'খড়গ', 'গরল', 'কৃপাল']
['হস্তী', 'হস্তীর', 'হস্ত', 'হস্তের', 'হাতুড়', 'হাতল', 'হাতলটি', 'হাতখরচ', 'হাত', 'হাতপাখার']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'পাখীর', 'হাঁপ', 'পক্ষিবিশেষ', 'পাঁপড়', 'পাখী', 'বেড়াল', 'পাখির']
['মৎস্য', 'মৎস্যের', 'মৎস্যজাত', 'মাছ', 'মৎস্যগন্ধা', 'মাছের', 'মৎস্যপুরাণ', 'মৎস্যসম্পদ', 'মাছগুলি', 'মাছুদ']
