['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['ইরাকি', 'হ্রীঁ', 'হিরানি', 'এরিয়ান', 'হরিয়ান', 'ইরাকী', 'হ্যানয়ের', 'ইরিয়ান', 'হ্যানয়', 'ইয়েনি']
['ইরাক', 'ইরেনা', 'হরিয়ানা', 'ইভানা', 'ইরাকিরা', 'হরিয়ানা', 'ইরাকি', 'ইরাকের', 'ইখওয়ান', 'ইরাককে']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেরাক্লিস', 'হেরাক্লিসের', 'হেলিক্সের', 'হেরাক্লিয়াসের', 'হেলসিংকির', 'হেরাক্লিয়াস', 'হার্লেকুইন', 'ইচকেরিয়া']
['ইরাক', 'ইশরাক', 'ইশরাকের', 'ইরাকের', 'ইসরাইল', 'ইসরাইলের', 'ইরাককে', 'ইসলামীয়া', 'ইসরাইলি', 'ইরাকসহ']
['ইরাক', 'ইরাকের', 'ইরাকি', 'ইরাককে', 'ইরাকী', 'ইকরামুল', 'ইরাকসহ', 'ইরাকে', 'ইশরাক', 'কেরাক']
['ইরাক', 'ইরাকের', 'ইয়র্কের', 'ইরাককে', 'ইরাকি', 'ইরাকিরা', 'ইউক্রেন', 'ইয়র্ক', 'ইরাকে', 'ইউক্রেনে']
['ইরাক', 'ইরাকের', 'মিরাক', 'ইরাকি', 'ইরাককে', 'ইরাকিরা', 'ইরাকী', 'ইরাকে', 'ইরাকিদের', 'ইরাকসহ']
['মস্কো', 'ইস্কো', 'মস্কোর', 'ইরাক', 'মস্কোয়', 'মস্কোয়', 'মস্কোকে', 'মস্ক', 'মরস্কো', 'ইরাকের']
['ইরাকি', 'ইশরাক', 'ইরাক', 'ইশরাকের', 'অসলো', 'ইসরোর', 'ইরেশ', 'ইরাকী', 'ইরাকের', 'ইরাককে']
['ইরোকয়', 'ইরাক', 'ইউরেকা', 'ইরাকিরা', 'ইরাকি', 'ইরাকের', 'ইরাককে', 'অটোয়া', 'ইরাকে', 'ইরোটিকা']
['ইরাক', 'ইরাকি', 'ইরাকের', 'ইরাকে', 'ইরাককে', 'ইরাকিরা', 'ইরাকী', 'প্যারিস', 'ইরাকেও', 'প্যারিসের']
['রোম', 'রোমের', 'রোমকে', 'ইরাক', 'রোমেরোকে', 'রোমে', 'রোমেরো', 'রোমায়', 'রোমানের', 'ইরাকের']
['স্টকহোম', 'স্টকহোমের', 'স্টকহোমে', 'ইশরাক', 'ইরাক', 'ইয়র্কের', 'ইরোকয়', 'ইকরামের', 'ইক্রিমা', 'ইয়র্ক']
['ইরানের', 'ইরাক', 'ইরান', 'ইরাকের', 'তেহরানের', 'তেহরান', 'ইশরাক', 'ইরাককে', 'তেরিয়ান', 'ইরানকে']
['ইরোকয়', 'টোকিও', 'টোকিওর', 'ইরাক', 'ইরাককে', 'টোকিওতে', 'ইরাকি', 'ইরাকের', 'ইকুরিয়া', 'ইউরেকা']
['এথেন্স', 'ইরেশ', 'ইরেকটাস', 'ইরেক্টাসের', 'এরিকসেন', 'এথেন্সের', 'এরেখথেউস', 'এরিকসেনের', 'ইরেনার', 'ইরাক']
['থাইল্যান্ডের', 'থাইল্যান্ড', 'থাইল্যান্ডকে', 'থাই', 'থাইল্যান্ডে', 'তিয়েন', 'থাইউয়েন', 'থিইয়া', 'তাইজং', 'থাইদের']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'থিলিনা', 'থাইল্যান্ডকে', 'থাইল্যান্ডে', 'থলির', 'রিল্যান্ড', 'তেরিয়ান', 'থ্যালিয়াম', 'থাইল্যান্ডসহ']
['তেরান', 'তেরিয়ান', 'ট্যারন', 'থেরন', 'থাইল্যান্ড', 'তারিন', 'টিরিয়ন', 'তেরানের', 'থাইল্যান্ডের', 'টাইরন']
['কায়রো', 'কায়রো', 'কাইয়ো', 'থাইরা', 'কাইরা', 'কায়রোর', 'কায়রোয়', 'কায়রো', 'কেইয়ো', 'কায়রোর']
['থাইল্যান্ড', 'কান্তাব্রিয়া', 'কানাডা', 'ক্যাথরিনা', 'ক্যাপরা', 'কানাডার', 'ক্যানবেরা', 'ক্যাপেলা', 'ক্যারিবীয়রা', 'থাইল্যান্ডের']
['হ্যানয়', 'হ্যানয়', 'হ্যানয়ে', 'হাইয়ান', 'হ্যানয়ে', 'থাইল্যান্ড', 'হ্যানয়ের', 'হানিয়া', 'থাইল্যান্ডের', 'হায়েনা']
['হাভানা', 'হায়েনা', 'হায়েনা', 'হাভানায়', 'হাভানার', 'হাওয়াইয়ান', 'হরিয়ানা', 'থাইল্যান্ড', 'তাহমীনা', 'হরিয়ানা']
['থেলিসের', 'হিলালি', 'থেসালির', 'থেলিস', 'হেলসিঙ্কি', 'হেলিয়সের', 'হ্যালিসিয়ন', 'হেলিয়স', 'হিলসাইড', 'থাইল্যান্ড']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'ইসলামাবাদ', 'থাইল্যান্ডকে', 'ইসলামাবাদের', 'ইসমাইলিয়া', 'ইসলামাবাদকে', 'থাইল্যান্ডে', 'থাইল্যান্ডসহ', 'ইসরাইল']
['তাউইল', 'খালেদুল', 'থাল', 'কাবুল', 'কাদাল', 'করতাল', 'থাইল্যান্ড', 'তুইতাল', 'টাইল', 'থাউবাল']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'থাইল্যান্ডকে', 'তাইল্যান্ড', 'থাইল্যান্ডে', 'টিলডা', 'থাইল্যান্ডসহ', 'জেটল্যান্ড', 'রিল্যান্ড', 'শীটল্যান্ড']
['মাদ্রিদ', 'মাদ্রিদই', 'মেরিডা', 'মাদ্রিদও', 'মাটিলডা', 'মেরাদিয়া', 'থাইল্যান্ড', 'মিরদাল', 'মাদ্রিদেই', 'মিরদালের']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'মালয়েশিয়া', 'থাইল্যান্ডকে', 'মালয়েশিয়া', 'মেসো', 'থাইল্যান্ডে', 'মালয়েশিয়ার', 'মালেশিয়া', 'থাইল্যান্ডসহ']
['অসলো', 'অলসো', 'অ্যাসলে', 'অসলোর', 'থাইল্যান্ড', 'ইসলা', 'থাইল্যান্ডের', 'অস্তোলা', 'ইসলার', 'আসাল']
['অটোয়া', 'অটোয়া', 'অটোয়ার', 'থাইল্যান্ড', 'থাইল্যান্ডের', 'অটো', 'অটোয়ার', 'এটোল', 'টোটিলা', 'অটোর']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'থাইল্যান্ডকে', 'থাইল্যান্ডে', 'প্যারিস', 'থেলিস', 'থ্যালিস', 'প্যারিসের', 'থাইরা', 'প্যারিসেই']
['তাইমিয়া', 'তাইমিয়াহ', 'থাইল্যান্ড', 'রোম', 'থাইল্যান্ডের', 'রোমের', 'থোমিয়ান', 'থিয়াম', 'তাইম', 'রোমায়']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'শীটল্যান্ড', 'ষ্টেডিয়াম', 'স্টেথাম', 'সোমালিল্যান্ড', 'শেইমাস', 'থ্যালাসেমিয়া', 'থাইল্যান্ডকে', 'তাইমিয়া']
['তেহরান', 'তেহরানের', 'থেরন', 'তেরিয়ান', 'থাইল্যান্ডের', 'থাইল্যান্ড', 'থেরান', 'তাহিরিয়ান', 'টিরিয়ান', 'টাইরন']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'তাইয়ো', 'তাইয়ের', 'তাইয়ুয়ান', 'থাই', 'থাওয়াদি', 'তোশিও', 'টোটিলা', 'তাইমিয়া']
['এথেন্স', 'আথেন্স', 'অ্যাথেন্স', 'থেটিস', 'এথেনা', 'এথেন্সের', 'এথেনার', 'ইথেন', 'ইথাইন', 'আথেন্সের']
['থাইল্যান্ড', 'টাডা', 'থাড', 'টিলডা', 'হাদ্দাদ', 'হাদাদ', 'তাগাদা', 'থাডের', 'তাজউইদ', 'হাদিদ']
['চীন', 'বার্লিন', 'চার্লিন', 'কার্লিন', 'চিলির', 'বার্লিনের', 'বার্লিনে', 'চিনের', 'চার্ল', 'চিনা']
['হার্ন', 'কার্নো', 'কার্নো', 'হার্নের', 'বার্ন', 'কার্নন', 'মার্ন', 'কার্নোর', 'হার্নি', 'কর্নিয়া']
['কায়রো', 'ক্যারো', 'কইরো', 'কায়রো', 'কায়রোর', 'কাহারো', 'কুইরো', 'কোরো', 'কায়রোর', 'কেরোয়া']
['ক্যানবেরা', 'ক্যানবেরার', 'ক্যান্টারবেরি', 'ক্যানবেরায়', 'ক্যানোলা', 'ক্যানাভারো', 'ক্যানবেরায়', 'ক্যানবেরাতে', 'ক্যান্টারবেরির', 'ক্যান্টাবরির']
['হ্যানয়', 'হ্যানয়', 'হ্যানয়ে', 'হ্যানা', 'হ্যানয়ে', 'হ্যানয়ের', 'হ্যানয়ের', 'হ্যানরি', 'হিনু', 'হানানিয়া']
['হাভানা', 'হ্যানা', 'হাভানায়', 'হান্না', 'হায়েনা', 'হানানিয়া', 'হায়েনা', 'হাভানার', 'হাভানাতে', 'হানুমা']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিংকি', 'হেলসিংকির', 'হেলিক্সের', 'এইচসিএল', 'হেলিক্স', 'হাক্সলির', 'শিলখালী', 'হেলসিঙ্কিতে']
['ইসলামাবাদ', 'ইসলামাবাদের', 'ইসলামাবাদকে', 'ইসলামাবাদে', 'ইসলাম', 'ইন্ডিয়া', 'ভারত', 'ভার\u200dত', 'ইসলামো', 'ভারতমাতা']
['কাবুল', 'কুল্লা', 'কুলু', 'কুল', 'কুওল', 'কুলুব', 'কাবুলের', 'কুণাল', 'কুলুপ', 'কুল্যা']
['লন্ডন', 'লন্ডনের', 'লন্ডনে', 'লন্ডনস্থ', 'লন্ডনকে', 'লন্ডনি', 'লন্ডনেই', 'লন্ডনওয়ালে', 'লন্ডনসহ', 'লন্ডনী']
['মাদ্রিদ', 'মাদ্রিদই', 'মাদ্রি', 'মাদ্রিদও', 'মাদ্রা', 'মাদ্রিদে', 'মাদ্রিদকে', 'মাদ্রিদেই', 'মাদ্রী', 'মাদ্রিদের']
['মস্কো', 'মস্কোর', 'মস্কোয়', 'মস্কোয়', 'মস্কোতে', 'মকো', 'মস্কোকে', 'মস্ক', 'মস্কো', 'মরস্কো']
['অসলো', 'অলসো', 'অনল', 'অসলোর', 'অস্তোলা', 'সলো', 'অনিলা', 'অনলি', 'কুলো', 'অস']
['অটোয়া', 'অটোয়া', 'অটো', 'অটোর', 'অটোমাটা', 'অটোয়ার', 'অটোয়ার', 'অটোয়াতে', 'অটোনোমা', 'অটোকার']
['প্যারিস', 'প্যারিসের', 'প্যারিসে', 'প্যারিসকে', 'চীন', 'ফ্রান্স', 'প্যারিসেই', 'প্যারিসেও', 'ফ্রান্সের', 'ফ্রান্সই']
['রোম', 'রোমের', 'রোমা', 'রোমকে', 'রোমায়', 'রোমে', 'রোমেরো', 'রোমাঁ', 'রোমান', 'রোমি']
['স্টকহোম', 'স্টকহোমের', 'স্টকহোমে', 'স্টকিওমেট্রিক', 'স্টাকো', 'সিকিম', 'স্কাম', 'সুক্মা', 'শংকু', 'এসকেএম']
['তেহরান', 'তেহরানের', 'থেরন', 'চায়না', 'তুরান', 'তেহরানে', 'তেরান', 'ইরান', 'তেরানের', 'তেহরানকে']
['টোকিও', 'টোকিওর', 'টোকিওতে', 'টোকো', 'তোকিও', 'টোকাই', 'টুকো', 'তোশিকো', 'টিকোলো', 'টাকো']
['এথেন্স', 'আথেন্স', 'অ্যাথেন্স', 'এথেন্সের', 'এথেনা', 'আথেন্সের', 'এথেনার', 'এথেন্সে', 'অ্যাথেন্সের', 'অ্যাথেনা']
['কাথরাদা', 'হাদ্দাদ', 'হাদাদ', 'গ্নাদ', 'কানাডা', 'চাড্ডা', 'বাগদাদ', 'ক্যানডিডা', 'শাদ্দাদ', 'কড্ডা']
['ব্যাংকক', 'চীন', 'ব্যাংকককে', 'ব্যাংককের', 'হংকংয়ে', 'হংকংয়ের', 'হংকংয়ে', 'শংকু', 'ব্যাংককে', 'হংকং']
['জার্মানি', 'জার্মানির', 'জার্মানী', 'জার্মানিই', 'জার্মান', 'জার্মানীর', 'জার্মানিরা', 'জার্মানিয়', 'জার্মানের', 'জার্মানিক']
['কায়রো', 'কেইয়ো', 'কাইয়ো', 'কায়রো', 'কায়ো', 'কইরো', 'ক্যো', 'কাহো', 'কেইও', 'কাহারো']
['ক্যানবেরা', 'ক্যামরা', 'কেনেমা', 'কাম্বুজা', 'কান্তাব্রিয়া', 'ক্যানবেরার', 'কাম্পানিয়া', 'ক্যাম্বোডিয়া', 'কেম্পেগৌড়া', 'ক্যানবেরায়']
['হ্যানয়', 'হ্যানয়', 'হ্যানয়ে', 'হ্যানয়ে', 'হ্যানয়ের', 'হানজেই', 'হানিম', 'হানুমা', 'হ্যানা', 'হ্যানয়ের']
['হাভানা', 'হামযা', 'হানুমা', 'হামা', 'হাউমেইয়া', 'হামসা', 'হায়মা', 'হামকা', 'হেমা', 'হাভানায়']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিংকি', 'হোসোমিচি', 'হেলসিংকির', 'হেক্সাডেসিমাল', 'হেকমতিয়ার', 'হাখমানেশি', 'চমস্কি', 'হিমেজি']
['ইসলামাবাদ', 'ইসলামাবাদকে', 'ইসলামাবাদের', 'ইসলামাবাদে', 'আসামেও', 'ইসলাম', 'আসাম', 'ইসলামই', 'শমসাদ', 'আসামের']
['কেমাল', 'কওম', 'কুদামা', 'কাবুল', 'কোমাল', 'কাম্বুজা', 'কামাল', 'কামু', 'কুমাদা', 'কুদুম']
['জার্মানি', 'জার্মানিই', 'ল্যামডা', 'লন্ডন', 'জার্মানী', 'জার্মানিও', 'জার্মানির', 'জার্মানিকে', 'জার্মানিতে', 'নেদারল্যান্ড']
['মাদ্রিদ', 'মাদ্রিদও', 'মাদ্রিদই', 'মাদ্রিদকে', 'মাজিদা', 'মাজিদ', 'মাদ্রিদিস্তা', 'মাদ্রিদেই', 'মাজদিয়া', 'মোকাদ্দমার']
['মস্কো', 'মস্কোকে', 'মস্কোয়', 'মস্কোসহ', 'মস্কো', 'মস্কোয়', 'মাজকো', 'মস্কোভা', 'মস্ক', 'ম্যাক্সিমা']
['অসলো', 'অসম', 'অসমের', 'অসমিয়া', 'অস', 'অসমিয়া', 'অাসাম', 'অমানিশা', 'অসমকে', 'আসমা']
['অটোয়া', 'অটোয়া', 'অটোমাটা', 'অটোনোমা', 'অটো', 'অটোমান', 'অটোয়ার', 'অটোসোমাল', 'অটোমোটিভ', 'অটোয়ার']
['জার্মানি', 'জার্মানিই', 'জার্মানী', 'ফ্রান্স', 'জার্মানিও', 'জার্মানিকে', 'জার্মানিতে', 'জার্মানিরা', 'জার্মানির', 'জার্মানিয়']
['রোম', 'রোমের', 'রোমকে', 'রোমা', 'রোমশ', 'জার্মানি', 'রোমায়', 'রোমেও', 'রোমাকে', 'জার্মানিই']
['স্টকহোম', 'স্টকহোমের', 'স্টকহোমে', 'জার্মানি', 'স্টকিওমেট্রিক', 'স্গোম', 'জার্মানিই', 'স্ম্যাক', 'স্মোক', 'স্গাম']
['তেহরান', 'তেহরানের', 'তাইমিয়াহ', 'তমোহর', 'তিহামাহ', 'তাহমিমার', 'তাহেরিয়া', 'তোয়াহার', 'তেহরানকে', 'তাইমিয়া']
['টোকিও', 'তোকুশিমা', 'টোকুনোশিমা', 'তোকিও', 'তোশিকো', 'টোকিওতে', 'টোকো', 'টোকাই', 'তোওহোকু', 'টোকিওর']
['এথেন্স', 'অ্যাথেন্স', 'এথেন্সের', 'আথেন্স', 'অ্যান্থেম', 'অ্যাথেন্সের', 'অ্যানথেম', 'এথিজম', 'এথেন্সে', 'এ্যানাটমি']
['জগদম্বা', 'বাগদাদ', 'তাগাদা', 'গোড্ডা', 'তামজিদ', 'গডমাদার', 'মাজিদা', 'বাগদাদকে', 'নাগদা', 'গাজিয়াবাদ']
['জার্মানি', 'ডেনমার্ক', 'ডেনমার্কের', 'জার্মানিই', 'ডেনমার্ককে', 'ডেনমার্কে', 'জার্মানী', 'ব্যাংকক', 'জার্মান', 'জার্মানিতে']
['জার্মানি', 'জার্মানিই', 'জার্মানী', 'জার্মানীর', 'জিনজিয়াং', 'জিনজিয়াং', 'বেইজিংয়ের', 'বেইজিং', 'জার্মানির', 'বেইজিংয়ের']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সিয়াও', 'কাইজু', 'কাইয়ো', 'কিয়াও', 'কেইয়ো']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'কানাডা', 'সুইজারল্যান্ডকে', 'কানাডার', 'ক্যাসাব্লাঙ্কা', 'কান্তাব্রিয়া', 'সুইজারল্যান্ডীয়']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'সুইডেন', 'সুইডেনের', 'সুইজারল্যান্ডীয়', 'সুইডেনও', 'শিনছুজিয়া']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইডেন', 'সুইডেনের', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'সুইডেনও', 'সুইডেনে', 'সুইডেনকে']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'হেলসিংকি', 'সুইৎজারল্যান্ডে', 'হেলসিংকির', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'হেলসিংকিতে']
['ইসলামাবাদ', 'সুইজারল্যান্ড', 'ইসলামাবাদকে', 'সুইজারল্যান্ডের', 'ইসলামাবাদের', 'ইসলামাবাদে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডে', 'সোমালিল্যান্ড']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সোয়াজিল্যান্ড', 'সুজাওয়াল', 'সোয়াজিল্যান্ডের', 'সাইফুলকে', 'সিকুয়াল']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'স্কটল্যান্ড', 'লন্ডন', 'সুইডেন', 'স্কটল্যান্ডের', 'সুইডেনের']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'মাদ্রিদিস্তা', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'মাদ্রিদও', 'মাদ্রিদ', 'মাদ্রিদই', 'সুইডেনের']
['মস্কোয়', 'মস্কোয়', 'মস্কো', 'সুইজারল্যান্ড', 'মস্কো', 'মস্কোতে', 'মস্কোকে', 'মস্কোয়', 'সুইজারল্যান্ডের', 'মেক্সিকোও']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডে', 'অস্ট্রেলিয়ার', 'সুসিলো', 'অসলো', 'সুইৎজারল্যান্ডে', 'সুইজারল্যান্ডীয়']
['সুইজারল্যান্ড', 'ওসেটিয়া', 'অটোয়া', 'সুইজারল্যান্ডের', 'অটোয়া', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'অ্যাসাইকুডা', 'অস্ট্রেলিয়াও']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'প্যারিস', 'ফ্রান্স', 'সোয়াজিল্যান্ডের', 'প্যারিসের', 'সুইজারল্যান্ডীয়']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'জার্মানি', 'সুইডেন', 'সুইডেনের', 'রোম', 'রাশিয়া']
['স্টকহোম', 'স্টকহোমের', 'সুইজারল্যান্ড', 'স্টকহোমে', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'স্কটল্যান্ডের', 'স্কটল্যান্ড']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'থাইল্যান্ডের', 'থাইল্যান্ড', 'সোয়াজিল্যান্ডের', 'থাইল্যান্ডকে', 'সুইজারল্যান্ডীয়']
['টোকিও', 'টোকিওতে', 'টোকিওর', 'সুইজারল্যান্ড', 'তোশিকো', 'সুইজারল্যান্ডের', 'সিটাকুয়া', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'তোকিও']
['সুইজারল্যান্ড', 'ওসেটিয়া', 'সুইজারল্যান্ডের', 'অস্ট্রেলেশিয়া', 'অস্ট্রেলেশিয়া', 'অ্যানেস্তেশিয়া', 'অ্যানেস্থেসিয়া', 'এথেন্স', 'এস্তোনিয়া', 'অ্যানেসথেসিয়া']
['সুইজারল্যান্ড', 'সোয়াজিল্যান্ড', 'সুইজারল্যান্ডের', 'সোয়াজিল্যান্ডের', 'সোসিয়েদাদ', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'সুইডেন', 'সোসিয়েদাদ']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডকে', 'স্কটল্যান্ডের', 'শ্রীলঙ্কাও', 'স্কটল্যান্ড', 'সুইজারল্যান্ডীয়', 'শ্রীলংকা']
