['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষয়িত্রী', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকই', 'অশিক্ষক', 'শিক্ষকনেতারা']
['নেতা', 'নেত্রী', 'নেতাই', 'নেতাকে', 'নেতাও', 'নেতায়', 'নেতা৷', 'নেত্রীর', 'নেতাকর্মী', 'নেতার']
['পাগল', 'পাগলী', 'পাগলি', 'পাগলের', 'পাগলীর', 'পাগলামির', 'পাগলা', 'পাগলার', 'পাগলপ্রায়', 'পাগলাটে']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়দর্শী', 'প্রিয়পাত্র', 'প্রিয়তম', 'প্রিয়তমার', 'প্রিয়তম', 'প্রিয়জন', 'প্রেমী']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'কমবয়সী', 'কমবয়সী', 'লঘিষ্ঠ', 'কিশোরী', 'অল্পবয়সী', 'ছোট্টবেলার', 'অল্পবয়স', 'ছোটবেলার']
['লোক', 'লোকজন', 'মানুহ', 'লোকরা', 'মানুষজন', 'লোকেরা', 'লোকের', 'মানুষ', 'লোকক', 'লোকজনের']
['শ্রমিক', 'কর্মী', 'শ্রমিকের', 'কর্মচারি', 'শ্রমিকই', 'কর্মীর', 'কর্মকার', 'চাকরিজীবীর', 'চাকরিজীবী', 'কর্মরতা']
['পিতা', 'পিতৃ', 'বাবা', 'পিতামহ', 'পিতামাতা', 'পিতাই', 'বাবার', 'পিতার', 'বাবামা', 'জনক']
['চাচাত', 'চাচার', 'চাচা', 'চাচাতো', 'সৎভাই', 'ভাতৃ', 'চাচাতো', 'দাদী', 'চাচীর', 'খালার']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাজনের', 'নানার', 'নানান', 'নানাবতী', 'নানাবাড়ি', 'নানাকি', 'নানাবাড়ি', 'নানাপ্রকার', 'নানাদিক']
['জেলে', 'জেলেই', 'জেলের', 'জেলেকে', 'জেলেও', 'জেলবন্দী', 'জেলহাজতে', 'জেলেসহ', 'বন্দিদশায়', 'বন্দিদশায়']
['ধোপা', 'ধোপার', 'ধোয়ার', 'ধোওয়ার', 'ধোওয়া', 'ধোপাদী', 'ধাবা', 'ধোপাঘাটা', 'ধোয়ার', 'ধোপাপাড়া']
['বেদে', 'পীরে', 'বালুতে', 'সমুদ্রপৃষ্ঠে', 'সমুদ্রতলে', 'কূলে', 'সমুদ্রতটে', 'সমুহে', 'বালুর', 'সমুদ্রতলের']
['গুরু', 'গুরুর', 'গুরুজন', 'গুরুই', 'ਗੁਰੂ', 'গুরুজির', 'গুরুজনের', 'গুরুকে', 'গুরুগম্ভীর', 'গুরুপদ']
['ছেলে', 'ছে\u200cলে', 'ছেলেসন্তান', 'ছেলের', 'ছেলেসন্তানের', 'ছেলেকে', 'ছেলেশিশুর', 'ছেলেধরার', 'ছেলেবন্ধু', 'পুত্রসন্তান']
['বর', 'বরই', 'বাযের', 'বীণ', 'বয়ার', 'বির', 'বত্সর', 'বত্\u200dসর', 'বরও', 'বী']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহের', 'বাদশাহরা', 'বাদশাহী', 'বাদশাহর', 'বাদশাহি', 'বাদশাহ', 'বাদশাদের']
['কাঙ্গাল', 'কাঙ্গালিনী', 'গালানগল', 'কাঞ্জোয়াল', 'গাঙচিল', 'কাঞ্জিলাল', 'গাঙ্গুলির', 'কারনাল', 'নাঙ্গাল', 'কার্গিল']
['বাঘ', 'বাঘের', 'বাঘই', 'বাঘটি', 'বাঘী', 'বাঘও', 'বাঘি', 'বাঘেল', 'বাঘবেড়', 'বাঘে']
['যোগী', 'যোগীর', 'যোগি', 'যোগিনী', 'যোগেশ্বরী', 'যোগিনীর', 'যোগীকে', 'যোগীরা', 'যোগেশ্বর', 'জায়েগী']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজস্ক্রিয়', 'তরুক্ষীর', 'তেজদীপ্ত', 'ত্বরণশীল', 'তেহজীব']
['কিশোর', 'কিশোরী', 'কিশোরের', 'কিশোরই', 'কমবয়সী', 'অল্পবয়স্ক', 'কিশোরেরা', 'কিশোরকে', 'কিশোরকালীন', 'অল্পবয়সী']
['নর', 'নরের', 'নার', 'নীড়ের', 'নল', 'নটীর', 'নর্ম', 'নোর', 'নদ', 'নাইর']
['সুন্দর', 'সুন্দরের', 'সুদর্শন', 'সৌন্দর্যময়', 'সুদৃশ্য', 'সুদর্শনের', 'সৌন্দর্যমণ্ডিত', 'সৌন্দর্যমন্ডিত', 'সুন্দরী', 'সুন্দরীর']
['গুণবান', 'গুণগ্রাহী', 'গুণী', 'গুণনীয়ক', 'গুণীর', 'গুণসম্পন্ন', 'গুরুত্তপূর্ণ', 'গুণকাম', 'পুণ্যবান', 'গুণীজন']
['পুণ্যবান', 'পুণ্যময়', 'গুরুত্তপূর্ণ', 'গুণবান', 'আশীর্বাদপুষ্ট', 'গুরুতবপূর্ণ', 'গুরুত্মপূর্ণ', 'যজ্ঞবেদী', 'গুরুত্ত্বপূর্ণ', 'দয়াময়ীর']
['বুদ্ধিসম্পন্ন', 'বুদ্ধিমতী', 'বুদ্ধিমান', 'বুদ্ধিদীপ্ত', 'বুদ্ধির', 'বুদ্ধিমানের', 'বুদ্ধিমত্তাসম্পন্ন', 'বিজ্ঞের', 'বিজ্ঞ', 'বুদ্ধিগত']
['শ্রীমান', 'শ্রীমন্ত', 'শ্রীমৎ', 'শ্রীরঙ্গমের', 'শ্রীরামের', 'শ্রীরঙ্গম', 'শ্রীময়ী', 'শ্রীমদ্', 'শ্রীরাম', 'শ্রীম']
['বিজয়', 'বিজয়ের', 'বিজয়', 'বিজয়পাত', 'বিজয়ন', 'বিজয়ের', 'বিজয়া', 'জয়ের', 'বিজয়ী', 'জয়লাভের']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পাঠিকার', 'পড়শী', 'পাঠকেরা', 'পাঠকরা', 'পাঠককে']
['লেখক', 'লেখকের', 'রচনাকার', 'রচনাকারী', 'লেখকই', 'প্রণেতার', 'লেখিকার', 'লেখনীর', 'প্রণেতা', 'গ্রন্থকারের']
['গায়ক', 'গায়ক', 'গায়কোয়াড়', 'গীতকার', 'গায়কীর', 'গীতিকার', 'গায়কের', 'গায়কী', 'গায়কোয়াড়ের', 'গায়কির']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকার', 'বাচ্চা', 'শিশুসন্তান', 'শিশু', 'খোকাবাবু', 'খোকাকে', 'শিশুপুত্র', 'বালকি']
['শিক্ষার্থী', 'ছাত্র', 'শিক্ষার্থীর', 'ছাত্রছাত্রী', 'ছাত্রের', 'ছাত্রীর', 'শিষ্যের', 'ছাত্রই', 'ছাত্রছাত্রীর', 'শিষ্য']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'অশিক্ষক', 'শিক্ষকের', 'শিক্ষকই', 'শিক্ষয়িত্রী', 'শিক্ষাদানকারী', 'শিক্ষনুরাগী', 'শিক্ষকেরাই']
['নেতা', 'নেতার', 'নেত্রী', 'নেতাজীর', 'নেতাকে', 'নেতাকর্মী', 'নেত্রীর', 'নেতাকেই', 'নেতাও', 'নেতায়']
['পাগল', 'পাগলের', 'পাগলী', 'পাগলীর', 'পাগলার', 'পাগলামির', 'পাগলি', 'উন্মাদ', 'উন্মাদের', 'পাগলু']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়দর্শী', 'প্রেমী', 'প্রিয়তমার', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়তমার', 'প্রিয়পাত্র']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'লঘিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'সর্বকনিষ্ঠ', 'ক্ষুদ্রতর', 'কিশোরী', 'নীচুস্তরের', 'নিন্তকু']
['লোক', 'লোকক', 'লোকের', 'লোকমান', 'লোকই', 'মানুহ', 'মানুষজন', 'মানুষী', 'লোকজন', 'ব্যক্তি']
['শ্রমিক', 'চাকরিজীবীর', 'চাকরিজীবী', 'শ্রমিকের', 'কর্মী', 'কর্মকার', 'শ্রমিকই', 'শ্রমজীবী', 'কর্মীর', 'কর্মকারের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বাবা', 'বাবামা', 'পিতা', 'বাবাকে', 'বাবাই', 'মাতাপিতা', 'বাবার', 'আব্বস', 'পিতৃ', 'মাতা']
['চাচা', 'শ্বাশুড়ি', 'ঠাকুমা', 'চাচী', 'খালা', 'চাচার', 'চাচাও', 'চাচাতো', 'কাকা', 'চাচীর']
['দাদা', 'দাদাভাই', 'দাদু', 'দাদুর', 'দাদীমা', 'ঠাকুমা', 'শ্বাশুড়ি', 'আব্বা', 'আব্বু', 'দাদী']
['', '', '', '', '', '', '', '', '', '']
['জেলে', 'জেলেই', 'জেলহাজতে', 'জেলেকে', 'কারাগারে', 'জেলবন্দী', 'কারাবাসে', 'কারাগারেই', 'জেলখানায়', 'ফাঁসিতে']
['ধোপা', 'ধাবা', 'ধোপাঘাটা', 'ধোওয়া', 'ধমণী', 'ধামা', 'ধোপার', 'ধোপাপাড়া', 'ধোবি', 'ধোয়া']
['বেদে', 'মাটিতে', 'সমুদ্রপৃষ্ঠে', 'মাটিতেই', 'ভূপৃষ্ঠে', 'বালুতে', 'সমুদ্রে', 'সমুদ্রতলে', 'সমুদ্রেই', 'সাগরতলে']
['গুরু', 'গুরুর', 'গুরুই', 'ਗੁਰੂ', 'গুরুকে', 'গুরুজন', 'গুরুজির', 'গুরুপদ', 'গুরুদেব', 'গুরুরা']
['ছেলে', 'ছে\u200cলে', 'ছেলেসন্তান', 'পুত্র', 'ছেলেকে', 'পুত্রসন্তান', 'ছেলেমেয়ে', 'শিশুপুত্র', 'ছেলের', 'ছেলেশিশুর']
['বর', 'বৌমার', 'বুর', 'বণী', 'বরই', 'বরও', 'বরের', 'বরা', 'ব্রা', 'বরে']
['বাদশা', 'বাদশাকে', 'বাদশাহরা', 'বাদশাহ', 'বাদশার', 'বাদশাহো', 'বাদশাহি', 'বাদশাহ্\u200c', 'বাদশাহ্', 'রাজারাণী']
['কাঙ্গাল', 'গালানগল', 'কাঙ্গালিনী', 'কঙ্গনা', 'কালাগলা', 'গঙ্গাজল', 'কাজল', 'কালেঙ্গা', 'কাগা', 'ক্যাঙ্গারু']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘী', 'বাঘের', 'বাঘি', 'বাঘকে', 'বাঘটিকে', 'বাঘেল']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগীকে', 'যোগেশ্বরী', 'যোগেশ্বর', 'যোগিনীর', 'যোগীরা', 'যোগেশ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজুকার', 'তেজস্ক্রিয়', 'তেজুকা', 'তেজু', 'তেজদীপ্ত', 'ধূমাবতী', 'তরতর']
['কিশোরী', 'কিশোর', 'কিশোরীর', 'কিশোরীটি', 'কিশোরীকে', 'কিশোরটি', 'নাবালিকা', 'কিশোরই', 'কিশোরের', 'কিশোরকে']
['নর', 'নরা', 'নল', 'নার', 'নলের', 'নুর', 'নরের', 'নরবু', 'নলা', 'নট']
['সুন্দর', 'সুন্দরী', 'সুন্দরীর', 'সৌন্দর্যময়', 'সুদৃশ্য', 'সুদর্শন', 'সুন্দরের', 'সুন্দরীকে', 'সৌন্দর্যমণ্ডিত', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণী', 'গুণবতী', 'গুণকাম', 'গুণীর', 'গুণগ্রাহী', 'গুণসম্পন্ন', 'পুণ্যবান', 'গুরুত্তপূর্ণ', 'গুণমানসম্পন্ন']
['পুণ্যবান', 'পুণ্যময়', 'গুরুত্তপূর্ণ', 'গদার', 'গুরুত্মপূর্ণ', 'গুণবান', 'গুরুতবপূর্ণ', 'গুণবতী', 'কৃতী', 'সাধু']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিকা', 'বুদ্ধির', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিগত', 'বুদ্ধিমতি', 'বিজ্ঞ']
['শ্রীমান', 'শ্রীমা', 'শ্রীশ্রীমা', 'শ্রীম', 'শ্রীমৎ', 'শ্রীমদ্', 'শ্রীমন্ত', 'শ্রীরাম', 'শ্রীকুমার', 'শ্রীরামকৃষ্ণ']
['বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়পাত', 'বিজয়কে', 'জয়লাভ', 'জয়', 'বিজয়ের', 'জয়ের', 'বিজয়টি']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকে', 'পাঠককে', 'পাঠকই', 'পাঠকরা', 'পাঠকেরা', 'পড়শী', 'পাঠকক্ষ']
['লেখক', 'লেখিকা', 'লেখকই', 'লেখককে', 'লেখিকার', 'লেখকের', 'রচনাকার', 'লেখিকাকে', 'লেখনীকে', 'রচনাকারী']
['গায়ক', 'গায়ক', 'গায়িকা', 'গায়িকার', 'গায়িকা', 'গায়িকার', 'গায়কোয়াড়', 'গায়বী', 'গায়কি', 'গায়কীর']
['খোকা', 'শিশুকন্যা', 'বাচ্চাকাচ্চা', 'খোকাবাবু', 'শিশুকন্যার', 'খোকাকে', 'খোকার', 'বাচ্চাটা', 'কন্যাসন্তান', 'বাচ্চা']
['ছাত্রী', 'ছাত্র', 'শিক্ষার্থী', 'ছাত্রছাত্রী', 'ছাত্রছাত্রীকে', 'ছাত্রীকে', 'শিষ্য', 'ছাত্রীর', 'ছাত্রীটি', 'স্কুলশিক্ষিকা']
['শিক্ষক', 'শিক্ষিকা', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষয়িত্রী', 'শিক্ষিকাকে', 'শিক্ষকের', 'শিক্ষকই', 'শিক্ষককে', 'অশিক্ষক']
['নেতা', 'নেতা৷', 'নেত্রী', 'নেতাকে', 'নেত্রীকে', 'নেতাকেই', 'নেত্রীর', 'অধিনায়িকা', 'অধিনায়ক', 'নেতৃত্বটা']
