['দুটা', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুইটি', 'ফার্স্ট', 'দ্বিতীয়া', 'দ্বিতীয়তম', 'প্রথমা', 'দুইটা']
['পনেরতম', 'পনেরোটি', 'পনেরো', 'পনেরোর', 'পঞ্চান্নতম', 'পঞ্চবিংশতি', 'পঞ্চরত্নের', 'পঞ্চরত্ন', 'পনেরটি', 'পঞ্চান্ন']
['ষোলতম', 'ষোড়শী', 'ষোলোটি', 'ষষ্ঠদশ', 'ষোড়শী', 'ষোলোর', 'ষষ্ঠ', 'ষোল', 'ষষ্ঠী', 'ষোলো']
['সতেরতম', 'সতেরোটি', 'সত্তরতম', 'সতেরো', 'সপ্তদশ', 'সতেরোর', 'সপ্তাদশ', 'সতেরটি', 'সতের', 'সাতাশতম']
['আঠারোতম', 'আটত্রিশতম', 'আঠারোর', 'আঠারো', 'আঠারোশ', 'সত্তরতম', 'আঠাশতম', 'আঠারোটি', 'অষ্টাদশ', 'আঠারোজন']
['এক', 'একন্', 'একের', 'একটা', 'একটার', 'একখানা', 'একেক', 'একজন', 'একন', 'এজন']
['দ্বিতীয়', 'দ্বিতীয়', 'দ্বিতীয়া', 'দুই', 'দু\u200cই', '\u200dদুই', 'দু্ই', 'দ্বিতীয়র', 'দুটা', 'দ্বি']
['থ্রি', 'তিন্ত', 'তৃতীয়ত', 'ত্রি', 'তৃতীয়', 'ত্র', 'তৃতীয়া', 'তিনটে', 'তিনু', 'তিন']
['চতুর্থী', 'চতুর্থত', 'চতুর্থ', 'চতুর্থীর', 'চতুর্থতম', 'চতুৰ্থ', 'চতুর্থটি', 'চার', 'চারের', 'চারই']
['পঞ্চমী', 'পঞ্চম', 'পঞ্চমত', 'পঞ্চমীর', 'পঞ্চমটি', 'পঞ্চমুখ', 'পঞ্চ', 'পঞ্চমে', 'পাঁচ', 'পঞ্চমুখী']
['সপ্তমী', 'সপ্তম', 'সাতই', 'সাতাত্তর', 'সাত', 'সাতি', 'সাতেক', 'সাতটা', 'সপ্ত', 'সাতো']
['আট', 'আটের', 'আটটা', 'অষ্টম', 'আটটি', 'অষ্টমী', 'আটে', 'আটশ', 'আটটির', 'অষ্টমীর']
['নয়', 'নয়', 'নন', 'নহে', 'নয়ই', 'নয়ই', 'না', 'নয়তো', 'নি', 'নই']
['দশ', 'দশরথ', 'দশেক', 'দশের', 'দশটা', 'দশম', 'দশেরা', 'দশে', 'দশটি', 'দশরথি']
['এগারতম', 'এগারোটি', 'এগারোতম', 'এগারো', 'এগারোর', 'এগার', 'সত্তরতম', 'এগারটি', 'এগারোর', 'ইগার']
['বারো', 'বার্ব', 'বারোটি', 'বারোতম', 'বারোটা', 'বারও', 'বারটি', 'বার্টো', 'বারু', 'বারজন']
['তেরো', 'তেরোটা', 'তের', 'তেত্রিশ', 'তেত্রিশতম', 'তেরোটি', 'ত্রিংশ', 'তেরোজন', 'তেরটি', 'তেরজন']
['চৌদ্দ', 'চৌদ্দতম', 'দ্বাদশ', 'ষোড়শী', 'চৌদ্দশ', 'সত্তরতম', 'ষষ্ঠদশ', 'ষষ্ঠী', 'চৌদ্দটি', 'ষষ্ঠত']
['পনেরতম', 'পনেরোটি', 'পনেরো', 'পনেরোর', 'পনের', 'পনেরটি', 'পঞ্চরত্ন', 'পঞ্চান্ন', 'পঞ্চনামা', 'পঞ্চরত্নের']
['ষষ্ঠী', 'ষষ্ঠত', 'ষষ্ঠীতলা', 'ষষ্ঠদশ', 'ষোলতম', 'ষষ্ঠীর', 'ষষ্ঠ', 'ষোড়শী', 'ষষ্ট', 'ষোল']
['সতেরোটি', 'সতেরতম', 'সত্তরতম', 'সতেরো', 'সপ্তদশ', 'সতেরোর', 'সপ্তাদশ', 'সতের', 'সতেরটি', 'সপ্ত']
['সত্তরতম', 'আটত্রিশতম', 'আঠারোতম', 'আঠারো', 'আঠারোর', 'আঠাশতম', 'অষ্টাদশ', 'আঠারোটি', 'আটত্রিশ', 'আঠারোশ']
['এক', 'একটা', 'একের', 'একজন', 'একটার', 'একন্', 'একেক', 'একটির', 'একেকটি', 'একটাকে']
['দ্বিতীয়', 'দ্বিতীয়', 'দ্বিতীয়র', 'দ্বিতীয়া', 'দ্বিতীয়তম', 'দ্বিতীয়টা', 'দ্বিতীয়টি', 'দ্বিতীয়জন', 'দ্বিতীয়জন', 'দ্বিতীয়টি']
['তৃতীয়', 'তৃতীয়', 'তৃতীয়া', 'তৃতীয়তম', 'তৃতীয়ার', 'তৃতীয়টি', 'তৃতীয়ত', 'তৃতীয়জন', 'তৃতীয়টি', 'তৃতীয়জন']
['চতুর্থ', 'চতুর্থী', 'চতুর্থত', 'চতুর্থতম', 'চতুর্থটি', 'চতুৰ্থ', 'চতুর্থীর', 'চারই', 'চার', 'চারের']
['পঞ্চমী', 'পঞ্চম', 'পঞ্চমটি', 'পঞ্চমীর', 'পঞ্চমত', 'পঞ্চমে', 'পঞ্চমুখ', 'পঞ্চমাত্রিক', 'পঞ্চমুখী', 'পাঁচ']
['ছয়ের', 'ছয়', 'ষষ্ঠ', 'ষষ্ঠতম', 'ছয়টা', 'ষষ্ঠী', 'ছয়টা', 'ষষ্ঠত', 'ছয়', 'ছয়টি']
['অষ্টম', 'অষ্টমী', 'অষ্টমীর', 'আট', 'আটের', 'আটত্রিশতম', 'আটটা', 'আটটি', 'আটচল্লিশতম', 'আটশ']
['নয়', 'নয়', 'নন', 'নহে', 'নয়ই', 'নয়ই', 'নই', 'না', 'নাই', 'নহি']
['দশম', 'দশমী', 'দশমে', 'একাদশী', 'দশ', 'একাদশটা', 'দশের', 'দশেক', 'দশটা', 'একাদশটি']
['এগারোতম', 'এগারতম', 'এগারোটি', 'আঠারোতম', 'এগারো', 'আটত্রিশতম', 'এগারোর', 'এগার', 'এদগার্দো', 'এগারটি']
['বারো', 'বারোতম', 'বার্ব', 'বারোটি', 'বারও', 'বারু', 'বারোটা', 'বারোর', 'বারই', 'বারোটার']
['ত্রাবিংশ', 'তেত্রিশতম', 'ত্রিংশ', 'ত্রয়োবিংশ', 'ছত্রিশতম', 'ত্রিশতম', 'তেরো', 'বত্রিশতম', 'ত্রয়োদশতম', 'তেরোটা']
['চৌদ্দতম', 'চৌত্রিশতম', 'চৌদ্দ', 'চৌদ্দশ', 'চতুৰ্থ', 'দ্বাদশ', 'চতুর্দশ', 'চৌদ্দটি', 'চতুর্দ্দশ', 'চতুর্দশপদী']
['পনেরতম', 'পঞ্চান্নতম', 'পঞ্চবিংশতি', 'পনেরোটি', 'পনেরো', 'পঞ্চবিংশ', 'পঞ্চরত্ন', 'পঞ্চরত্নের', 'পঞ্চান্ন', 'পঞ্চনামা']
['ষোলতম', 'ষষ্ঠ', 'ষোড়শী', 'ষষ্ঠদশ', 'ষষ্ঠী', 'ষষ্ঠত', 'ষষ্ঠতম', 'ষষ্ঠীপদ', 'ষষ্ঠীর', 'ষষ্ঠীতলা']
['সত্তরতম', 'সতেরতম', 'সপ্তদশ', 'আটত্রিশতম', 'আঠাশতম', 'ছেচল্লিশতম', 'বিশতম', 'সপ্তাদশ', 'তেইশতম', 'সপ্তমী']
['আঠারোতম', 'আটত্রিশতম', 'আঠারোর', 'আঠাশতম', 'আঠারো', 'আঠারোশ', 'আঠারোটি', 'সত্তরতম', 'অষ্টম', 'আঠারোজন']
['এক', 'একটা', 'একটার', 'অন্যতম', 'অন\u200d্যতম', 'একজন', 'একের', 'একেক', 'অন্যতমা', 'একেকটি']
['দ্বিতীয়', 'দ্বিতীয়া', 'দ্বিতীয়', 'দ্বিতীয়তম', 'দ্বিতীয়র', 'দুয়ের', 'দুই', 'দু\u200cই', '\u200dদুই', 'দ্বায়ী']
['তিনাশি', 'তৃতীয়', 'তৃতীয়', 'তৃতীয়তম', 'তৃতীয়া', 'তৃতীয়ার', 'তিন', 'তৃতীয়ত', 'তিনের', 'তিনসুকীয়া']
['চতুর্থী', 'চতুর্থ', 'চতুৰ্থ', 'চতুর্থীর', 'চতুর্থত', 'চতুর্থতম', 'চারের', 'চতুর্থটি', 'চার', 'চারই']
['পঞ্চমী', 'পঞ্চম', 'পঞ্চমীর', 'পাঁচামি', 'পঞ্চমটি', 'পঞ্চমুখ', 'পঞ্চমত', 'পঞ্চমুণ্ডির', 'পঞ্চমুখী', 'পাঁচগাছি']
['ছয়ের', 'ছয়ের', 'ছয়', 'ছয়টা', 'ছয়', 'ছয়েক', 'ছয়টা', 'ছয়টি', 'ছয়টি', 'ষষ্ঠী']
['সপ্তমী', 'সাতান্নতম', 'সপ্তম', 'সাতাত্তর', 'সাতই', 'সপ্তমুখী', 'সাতমসজিদ', 'সাতাশতম', 'সাতি', 'সাতোশি']
['নয়', 'নয়', 'নহে', 'নয়ই', 'নয়ই', 'নন', 'নহি', 'নাই', 'না', 'হচ্ছেনা']
['দশমী', 'দশম', 'দশনামী', 'দশমীর', 'দশাশ্বমেধ', 'দশরথি', 'দশ', 'দশসনা', 'দশমে', 'দশের']
['এগারোতম', 'এগারতম', 'সত্তরতম', 'এগারসিন্দুর', 'সতেরতম', 'ঊনবিংশ', 'এগারসিন্ধুর', 'তেত্রিশতম', 'উনিশতম', 'ছত্রিশতম']
['বারো', 'বারোতম', 'বার্ব', 'বারসোই', 'বারোসো', 'বত্রিশতম', 'বারোটি', 'বারও', 'বারোবার', 'বারু']
['তেত্রিশতম', 'ত্রিংশ', 'ত্রয়োদশতম', 'ত্রাবিংশ', 'ছত্রিশতম', 'ত্রয়োবিংশ', 'ত্রিশতম', 'তেরো', 'তেইশতম', 'তেরোজন']
['চৌদ্দতম', 'চৌত্রিশতম', 'ষোড়শী', 'চতুর্দশপদী', 'চতুর্দশ', 'চৌদ্দশ', 'চৌদ্দ', 'চব্বিশতম', 'চতুর্দ্দশ', 'ষোড়শী']
['পনেরতম', 'পঞ্চবিংশতি', 'পঞ্চনামা', 'পঞ্চান্নতম', 'পঞ্চরত্নের', 'পনেরোটি', 'পঞ্চরত্ন', 'পনেরোর', 'পঁচিশতম', 'পঞ্চদশতম']
['ষোলতম', 'ষোড়শী', 'ষষ্ঠদশ', 'ষোড়শী', 'ষষ্ঠী', 'ষষ্ঠীপদ', 'ষষ্ঠ', 'ষষ্ঠতম', 'ষষ্ঠীতলা', 'ষোলোজন']
['সতেরতম', 'সপ্তাদশ', 'সত্তরতম', 'সপ্তদশ', 'সপ্তশতী', 'ছেচল্লিশতম', 'সপ্তসিন্ধু', 'সাতাশতম', 'ছাব্বিশতম', 'সতেরোটি']
['আঠাশতম', 'আঠারোতম', 'অষ্টমীর', 'সত্তরতম', 'অষ্টমী', 'ষোড়শী', 'ছত্রিশতম', 'ছেচল্লিশতম', 'সপ্তদশ', 'ষষ্ঠদশ']
['এক', 'একমুঠো', 'নবমী', 'একিভূত', 'একখানা', 'একটী', 'এজন', 'একখানি', 'একজন', 'একটা']
['দুজন', 'দুটা', 'দুইটি', 'দুদ্দু', 'দুয়ের', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুয়েক', 'দুটি']
['তিনজন', 'ত্রয়ী', 'তিন্ত', 'তিনু', 'তিনমাথা', 'তিনটি', 'তিন\u200cটি', 'তিনটা', 'তিন', 'তিনখানা']
['চার', 'চারজন', 'চারের', 'চারটি', 'চারটা', 'চারই', 'চারআনি', 'চতুর্থী', 'চারখি', 'চারকে']
['পাঁচামি', 'পাঁচথুবী', 'পাঁচপীর', 'পাঁচ', 'পঞ্চমী', 'পাঁচআনি', 'পাঁচটি', 'পাঁচগাছি', 'পাঁচটা', 'পাঁচু']
['ছয়', 'ছয়জন', 'ছয়টি', 'ছয়', 'ছয়জন', 'ছয়টি', 'ছয়ের', 'ছয়টা', 'ছয়ের', 'ছৈয়দ']
['সাতি', 'সাত', 'সাতভাই', 'সাতাত্তর', 'সাতই', 'সাতোর', 'সাতান্ন', 'সাতজন', 'সাতপাই', 'সাতটি']
['আট', 'আটজন', 'আটটি', 'আটের', 'আটটা', 'আটজনের', 'আটটিই', 'আটখানা', 'আটাশ', 'আটশ']
['দশনামী', 'দশ', 'দশমী', 'দশটি', 'দশজন', 'দশভূজা', 'দশরথি', 'দশেক', 'দশটা', 'দশাশ্বমেধ']
['এগারো', 'এগারোটি', 'এগারজন', 'এগার', 'এগারোর', 'এগারটি', 'এদগার্দো', 'এগারোটা', 'বৌদ্ব', 'এগারসিন্ধুর']
['বারো', 'বার্ব', 'বারোটি', 'বার্বি', 'বর্দো', 'বারও', 'বারু', 'বরমী', 'বরও', 'বারোটা']
['তেরোজন', 'তেরোটি', 'তেরোটা', 'তেরজন', 'তেরো', 'ত্রয়োদশ', 'বৌদ্ব', 'তেরটি', 'তেত্রিশ', 'তের']
['বৌদ্ব', 'চৌদ্দ', 'চৌদ্দজন', 'চৌদ্দশ', 'চতুর্দশ', 'চৌদ্দটি', 'চৌদ্দবার', 'চোদ্দোটি', 'চব্বিশ', 'চতুর্দ্দশ']
['পনেরোটি', 'পনেরো', 'পনেরোর', 'পঞ্চনামা', 'পনেরজন', 'পঞ্চবটী', 'পনেরটি', 'পনের', 'পঞ্চরত্ন', 'পঞ্চান্ন']
['ষোড়শী', 'ষোলজন', 'ষোল', 'ষোড়শী', 'ষোলটি', 'ষোলোটি', 'ষোলো', 'ষোলোর', 'ষোলোজন', 'ষোলনল']
['সতেরোটি', 'সতেরো', 'সতেরোর', 'সতের', 'সতেরটি', 'সপ্তাদশ', 'সপ্ত', 'সপ্তশতী', 'নব্বই', 'সাতোশি']
['আঠারোর', 'আঠারোজন', 'আঠারোবাঁকি', 'আঠারোশ', 'আঠাশ', 'আঠারো', 'আঠারোটি', 'আঠাশতম', 'বৌদ্ব', 'আঠারোতম']
['এক', 'একটা', 'একজন', 'একটার', 'একের', 'একেক', 'একটির', 'একন্', 'একেকটি', 'একজনের']
['দুয়ের', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুয়ের', 'দুটা', 'দুটার', 'দু্ই', 'দ্বি', 'দুইয়ের']
['তিনের', 'তিন', 'তিনু', 'তিনাশি', 'তিন্ত', 'তৃতীয়', 'তিনমাথা', 'তিনার', 'তিনটি', 'তিন\u200cটি']
['চতুর্থী', 'চারের', 'চারই', 'চার', 'চতুর্থ', 'চতুর্থীর', 'চতুৰ্থ', 'চারটি', 'চতুর্থত', 'চতুর্থতম']
['পঞ্চমী', 'পঞ্চমীর', 'পঞ্চম', 'পাঁচামি', 'পাঁচপীর', 'পাঁচ', 'পাঁচথুবী', 'পঞ্চমটি', 'পাঁচআনি', 'পঞ্চমুখী']
['ছয়ের', 'ছয়', 'ছয়ের', 'ছয়টা', 'ছয়টা', 'ছয়', 'ছয়টি', 'ছয়েক', 'ছয়টি', 'ছয়ে']
['সপ্তমী', 'সাতাত্তর', 'সাতই', 'সাতি', 'সপ্তমুখী', 'সাত্যকি', 'সপ্তম', 'সাতৈর', 'সাতের', 'সাতান্নতম']
['অষ্টমী', 'অষ্টমীর', 'অষ্টম', 'আট', 'আটের', 'আটটা', 'আটত্রিশতম', 'আটচল্লিশতম', 'আটটি', 'আটাশ']
['নয়', 'নয়', 'নহে', 'নন', 'নহি', 'নয়ই', 'না', 'নয়ই', 'নাই', 'নাহি']
['এগারোতম', 'এগারতম', 'এগারোটি', 'এগারসিন্ধুর', 'এগারো', 'এগারসিন্দুর', 'এগারোর', 'আঠারোতম', 'আটত্রিশতম', 'এগারোটার']
['বারো', 'বার্ব', 'বারোতম', 'বারোটি', 'বারু', 'বারও', 'বার্বি', 'বারই', 'বারোটা', 'বারোটার']
['ত্রয়োদশতম', 'ত্রাবিংশ', 'ত্রয়োবিংশ', 'ত্রিংশ', 'ত্রয়োদশ', 'তেত্রিশতম', 'তেরো', 'তেরোটা', 'ত্রিশতম', 'ত্রয়োদশ']
['চৌদ্দতম', 'দ্বাদশী', 'চৌদ্দশ', 'চৌত্রিশতম', 'চতুর্দশ', 'চৌদ্দ', 'চতুর্দশপদী', 'চতুর্দ্দশ', 'দ্বাদশীর', 'দ্বাদশ']
['পনেরতম', 'পঞ্চবিংশতি', 'পঞ্চরত্নের', 'পনেরোটি', 'পঁচিশতম', 'পঞ্চরত্ন', 'পঞ্চনামা', 'দশমী', 'পনেরো', 'পঞ্চদশী']
['ষোড়শী', 'ষোলতম', 'ষোড়শী', 'ষষ্ঠদশ', 'ষোল', 'ষোলোটি', 'ষষ্ঠ', 'ষষ্ঠী', 'ষোড়শিক', 'ষোলো']
['সতেরতম', 'সপ্তাদশ', 'সাতাশতম', 'সত্তরতম', 'সতেরোটি', 'সপ্তদশ', 'ছেচল্লিশতম', 'ছাব্বিশতম', 'সতেরো', 'তেইশতম']
['আঠারোতম', 'আঠারোর', 'আঠাশতম', 'আটত্রিশতম', 'আঠারোশ', 'আঠারো', 'অষ্টমীর', 'আঠারোবাঁকি', 'আঠারোজন', 'অষ্টমী']
['এক', 'একের', 'একন্', 'একটার', 'একটা', 'একেক', 'অন্যতম', 'অন\u200d্যতম', 'অন্যতমা', 'একখানা']
['দ্বিতীয়', 'দ্বিতীয়', 'দ্বিতীয়র', 'দ্বিতীয়া', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুইটি', 'দুইয়ের', 'সেকেন্ডারী']
['তৃতীয়', 'তৃতীয়া', 'তৃতীয়ার', 'তৃতীয়', 'তৃতীয়ত', 'তৃতীয়টি', 'তৃতীয়জন', 'তিনের', 'তৃতীয়জন', 'তিন']
['চতুর্থী', 'চতুৰ্থ', 'চতুর্থ', 'চতুর্থত', 'চতুর্থীর', 'চতুর্থতম', 'চারই', 'চারের', 'চার', 'চতুর্থটি']
