['সক্ষম', 'সকর্মক', 'সক্ষমতায়', 'সক্ষমতায়', 'সক্ষমতাও', 'সামর্থ্যই', 'অক্ষ', 'সামর্থ্যে', 'ক্ষমতাই', 'সক্ষমতার']
['উৎকৃষ্ট', 'সকর্মক', 'ভালো', 'সর্বোৎকৃষ্ট', 'ভাল', 'ভালো', 'উৎকৃষ্টতর', 'ভালভাল', 'শ্রেষ্ট', 'ভালে']
['সৎকারে', 'সকর্মক', 'বেষ্ট', 'অতিকায়', 'তাৎপর্য', 'কাধাল', 'প্রস্থ', 'একাগ্র', 'অাবার', 'বেঠিক']
['উন্নত', 'উন্নতর', 'উন্নততর', 'উন্নতিতে', 'উন্নতিই', 'উন্নতির', 'উন্নতি', 'উন্নতিটা', 'উন্নতিকে', 'উন্নয়নে']
['উন্নতি', 'উন্নতির', 'উন্নতিতে', 'উন্নতিটা', 'উন্নতিকে', 'উন্নতিই', 'উন্নতর', 'উন্নত', 'উন্নততর', 'উন্নতিসাধনে']
['সকর্মক', 'উপকারিতা', 'উৎকর্ষতার', 'উৎকর্ষতায়', 'উৎকর্ষতা', 'উপকথার', 'খননকাজে', 'সদ্ব্যবহার', 'সক্ষম', 'করযোগ্য']
['উষ্ণ', 'উষ্ণতর', 'উষ্ণতম', 'তাপমাত্র', 'উষ্ণতায়', 'উষ্ণতা', 'উষ্কে', 'উষ্ণতাও', 'উষ্ণতার', 'উষ্ণায়ন']
['কচি', 'কচা', 'গুশি', 'কোচে', 'কসাই', 'খাতি', 'কুশক', 'কোচকে', 'কোশি', 'কুহ']
['কুৎসিত', 'সকর্মক', 'বেঠিক', 'দরুণ', 'সুতোয়', 'গুনিতক', 'দারুন', 'হবসন', 'গুহ্য', 'তৎ']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতার', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞচিত্তে', 'কৃতি', 'কৃতিত্বে', 'কৃতিত্বকে', 'কৃতার্থ']
['কোমল', 'কমাল', 'কোমাল', 'গুড়', 'কম্ম', 'কাম্য', 'কোঠা', 'খিল', 'কোলাম', 'কোমরে']
['গণ্য', 'গুড়', 'মৰ্যাদা', 'ব্যবস্হা', 'যুবাদের', 'গুণকে', 'পুণ্য', 'স্বজন', 'বস্তুদের', 'গুণ']
['গুঠিয়া', 'গুড়ো', 'গুড়', 'গুঠিয়া', 'গুড়া', 'খুচরা', 'ঠুকে', 'খাইয়া', 'বস্ত', 'কোঠা']
['গরিষ্ঠ', 'সকর্মক', 'কনিষ্ঠ', 'বস্তুনিষ্ঠ', 'জেষ্ঠ', 'বেষ্ট', 'সুকর্ণ', 'সুক্ষ', 'সর্বজ্যেষ্ঠ', 'সন্তুষ্ঠ']
['খ্যাতি', 'খ্যাতিকে', 'খ্যাতিমান', 'খ্যাতির', 'খ্যিল', 'খ্যতি', 'খ্যতিমান', 'খ্যাতিতে', 'খ্যাতিও', 'সকর্মক']
['খ্যাত', 'খ্যিল', 'খ্যাতিমান', 'আখ্যাত', 'খ্যাপ', 'সকর্মক', 'খ্যাতিলাভ', 'খ্যাতির', 'প্রখ্যাত', 'খ্যতিমান']
['গঞ্জনা', 'গঞ্জা', 'গন্ডোয়ানা', 'গাঞ্জা', 'গাজনা', 'গানা', 'গুঞ্জা', 'গঞ্জ', 'গঞ্জে', 'গোনাহ']
['গরল', 'বহুল', 'হালো', 'সকর্মক', 'দারহাল', 'বেঠিক', 'দরুণ', 'গুড়', 'গরুই', 'দারুন']
['গৌণ', 'গৌন', 'গৌরের', 'গদ্য', 'গৌরীর', 'গৌছ', 'গৌরী', 'গৌরীকে', 'গৌতম', 'গৌরবময়']
['চঞ্চল', 'সকর্মক', 'সেচখাল', 'গুঠিয়া', 'প্ল্যাথ', 'বেষ্ট', 'শল্ব', 'খাটল', 'গুঠিয়া', 'খুশল']
['জটিল', 'সকর্মক', 'জটিলতায়', 'জটিলের', 'জটিলতাই', 'জটিলতার', 'জটিলতায়', 'জটিলই', 'জটিলতা', 'চরকার']
['জ্ঞানের', 'জ্ঞানী', 'জ্ঞানে', 'জ্ঞানকে', 'জ্ঞানীর', 'জ্ঞানীয়', 'জ্ঞানকাণ্ড', 'জ্ঞানটি', 'জ্ঞানালোক', 'জ্ঞান']
['গুড়', 'সকর্মক', 'গুঠিয়া', 'ঠুনকো', 'গুড', 'বেঠিক', 'বেষ্ট', 'ঠাটের', 'সৎকারে', 'গুঠিয়া']
['দুরন্ত', 'দুরন্তপনা', 'বয়নের', 'বাড়া', 'দুরন্তপনার', 'মড়ক', 'বয়নে', 'বয়ন', 'বকুল', 'বদান্য']
['সকর্মক', 'বেষ্ট', 'গুঠিয়া', 'গুঠিয়া', 'একাগ্র', 'সাবস্থ', 'গুড়ো', 'গুড়ির', 'মহাযোগ', 'সুঠাম']
['দুর্ভাগ্য', 'দুর্ভাগ্যকে', 'দুর্ভাগ্যের', 'সুখি', 'সৌভাগ্যই', 'দূর্ভাগ্য', 'সুখময়', 'যোগ্যতা', 'সন্ততি', 'দূর্ভাগ্যের']
['দেশি', 'দেশী', 'দেশাই', 'দেশই', 'সগত', 'বাদেশি', 'সকর্মক', 'সাবস্থ', 'গুঠিয়া', 'পেশি']
['সকর্মক', 'সুকর্ণ', 'বেষ্ট', 'করযোগ্য', 'বেঠিক', 'গুঠিয়া', 'প্ল্যাথ', 'একাগ্র', 'পাল্ম', 'হজ্বে']
['দোষ', 'দোষই', 'দোষেই', 'দোষও', 'দোষটা', 'দোষারোপ', 'দোষের', 'দোষে', 'দায়ী', 'দায়ী']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষই', 'দোষের', 'দোষারোপ', 'দোষ', 'দোষও', 'দোষটা']
['সকর্মক', 'ধনাত্মক', 'বেঠিক', 'তৎ', 'তাৎপর্য', 'এযাবৎকাল', 'শ্রেষ্ট', 'সুকর্ণ', 'করযোগ্য', 'অাধুনিক']
['নতুন', 'নতুনে', 'নতুনের', 'নতুনতর', 'নতুনেরা', 'নতুনকে', 'নতুনদের', 'নতুনরা', 'নতুনকরে', 'নতুনহাট']
['নশ্বর', 'নব্বইএর', 'নাব্য', 'নব্বইয়ের', 'নখের', 'নয়াবাদ', 'নবির', 'স্বর', 'নায়েব', 'ধনেশ্বর']
['গুঠিয়া', 'সকর্মক', 'নিরস', 'সেবছর', 'গুঠিয়া', 'সাধনা', 'গুড়', 'বেষ্ট', 'ঠোঁটের', 'একাগ্র']
['মিথ্যা', 'মিথ্যে', 'মিথ্যাই', 'মিথ্যায়', 'মিথ্যাও', 'মিথ্যাভাবে', 'মিথ্যের', 'মিথ্যাকে', 'মিথ্যাচারে', 'মিথ্যাচার']
['বড়', 'বড়ো', 'বড়ে', 'বড়ু', 'বুড়ো', 'বড়া', 'বুড়া', 'বড', 'বড়ুয়া', 'বড়ুয়া']
['সস্তা', 'সস্তায়', 'সকর্মক', 'সবাক', 'মধে্য', 'মুল্য', 'সুবহে', 'বাহুল্য', 'তুল্য', 'সুবে']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিস্কারভাবে', 'পরিস্কার', 'পরিষ্কারভাবে', 'সকর্মক', 'সর্বনিকৃষ্ট']
['সহজ', 'সহজে', 'সহজের', 'সাধল', 'সহজতম', 'সহজেই', 'সাধনে', 'সহজই', 'সকর্মক', 'সহজসাধ্য']
['ভারী', 'ভারি', 'বহুল', 'সকর্মক', 'সাবস্থ', 'বহণ', 'বেঠিক', 'গুড়', 'মহাযোগ', 'সাম্যর']
['গরম', 'সকর্মক', 'গরমের', 'বেঠিক', 'তৎ', 'করযোগ্য', 'বহুল', 'তাপমাত্র', 'যাবৎকাল', 'সুকর্ণ']
['ধনী', 'ধনীর', 'ধনীক', 'ধনের', 'সমৃদ্ধ', 'সকর্মক', 'ধনাত্বক', 'ধনদৌলত', 'ধনীদের', 'সম্পদশালী']
['অবিবাহিত', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'বিবাহও', 'বিয়ে', 'বিবাহযোগ্যা', 'বিবাহকে', 'বিবাহে', 'বিবাহ']
['ঠিক', 'ঠিকে', 'ঠিকরে', 'ঠিকই', 'ঠিকও', 'ঠিকঠাক', 'সঠিক', 'ঠিকমত', 'ঠিকমতো', 'সঠিকই']
['নিরাপদ', 'নিরাপদে', 'নিরাপদেই', 'নিরাপদভাবে', 'নিরাপত্তাজনিত', 'সামর্থ্যবান', 'সুস্থে', 'আশ্বস্ত', 'নিরাপত্তাগত', 'সুস্থভাবে']
['গুঠিয়া', 'মসৃণ', 'সকর্মক', 'ঠেকতে', 'সুঠাম', 'সাবস্থ', 'মহাযোগ', 'বেঠিক', 'বেষ্ট', 'গঠণ']
['নরম', 'শরম', 'সকর্মক', 'সুঠাম', 'সাধনা', 'গুঠিয়া', 'বেঠিক', 'গুঠিয়া', 'মধে্য', 'হজ']
['লম্বা', 'লম্বাও', 'লম্বাই', 'লম্বায়', 'লম্বায়', 'লম্বক', 'লম্বাটে', 'লম্বকে', 'লম্বার', 'লম্ব']
['দীর্ঘ', 'দীর্ঘ্য', 'দীর্ঘকাল', 'লম্বায়', 'দীর্ঘকালীন', 'দীর্ঘসময়', 'লম্বাও', 'দীর্ঘই', 'সুদীর্ঘ', 'দীর্ঘসময়']
['ভিজা', 'ভিজে', 'ভিয়া', 'ভেসেই', 'ভিজি', 'ভিসে', 'ভিজবে', 'ভেস্টা', 'ভিয়া', 'ভিসাও']
['পুরু', 'গুড়', 'গ্যু', 'বাণ', 'গুড়ো', 'বাহু', 'গুড', 'পারুর', 'পুরোনাম', 'খেপু']
['ব্যবস্হা', 'সকর্মক', 'প্রস্থ', 'প্রশস্ত', 'প্রশস্থ', 'বেষ্ট', 'গুঠিয়া', 'প্রস্ত', 'একাগ্র', 'গুঠিয়া']
['আঁটসাঁট', 'আঁটির', 'আঁটি', 'আঁটে', 'আঁচর', 'খুঁড়ে', 'আঁটা', 'খেটে', 'আঁচল', 'চালুক্য']
['ভালো', 'ভাল', 'ভালোই', 'ভালে', 'ভালো', 'ভালই', 'ভালা', 'ভালোও', 'ভালর', 'গুড']
['খোলা', 'খোলো', 'খোলাই', 'খোলেন', 'খোলায়', 'খোলে', 'খুলে', 'খোলায়', 'খুলব', 'খোলসে']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিস্কারভাবে', 'পরিস্কার', 'পরিষ্কারভাবে', 'সকর্মক', 'সর্বনিকৃষ্ট']
['সকর্মক', 'বেঠিক', 'দামই', 'দারহাল', 'দামী', 'গুঠিয়া', 'দামি', 'দামেই', 'মহাযোগ', 'মধে্য']
['সকর্মক', 'কর্মক্ষম', 'কার্যক্ষম', 'কার্যকারক', 'কার্যকারি', 'কার্যকারী', 'সক্ষম', 'কার্যকম', 'কার্যকারণ', 'কার্যকারীতার']
['সরহপাদা', 'সর্তকতা', 'পরিগনিত', 'প্রসঙ্গত', 'গুঠিয়া', 'সেবাখাত', 'সাধিত', 'অাগত', 'উৎকণ্ঠা', 'আচ্ছাদিত']
['আসদ্দর', 'সরহপাদা', 'উপলক্ষ', 'ধারনক্ষমতার', 'সরহপাদ', 'প্রসঙ্গত', 'জুজ্ঞান', 'সক্ষম', 'প্রস্ত্তত', 'স্বভাবকবি']
['অনুকূল', 'আদৃত', 'সূক্ষ্মতা', 'সর্তকতা', 'প্রকরণই', 'অনুকূলিত', 'পর্যবসিত', 'ইতিকথা', 'আচ্ছাদিত', 'অধিতল']
['অনুরাগ', 'অনুরাগী', 'অনুরাগের', 'আজ্ঞা', 'অনুরাগীর', 'অনুয়ায়ী', 'অনুরাসিরি', 'সংজ্ঞাগত', 'অধিগ্রহণের', 'আজ্ঞার']
['অহিংস', 'বহির্মুখী', 'লঙ্ঘনকে', 'লঙ্ঘনের', 'সহিংস', 'বিপণী', 'নির্বাণের', 'সহিংসতাপ্রবণ', 'দ্বৈপায়ন', 'বিরোধী']
['আলস্য', 'আলেয়া', 'আলাঁ', 'আশুর', 'আলপনার', 'সাল্লাহু', 'সদিচ্ছা', 'আলাবা', 'আলতা', 'সাল্ভাত']
['আসক্ত', 'শনাক্ত', 'প্রমত্ত', 'শনাক্তের', 'উতকৃষ্ট', 'পরিক্ষিত', 'আসদ্দর', 'উপর্যুক্ত', 'গ্রুপযুক্ত', 'আসক্তির']
['আস্তিক', 'স্বাগতিক', 'সত্বার', 'আকীদা', 'আচ্ছাদক', 'সেবাভিত্তিক', 'সহকার', 'আবেদীন', 'আসদ্দর', 'আশালতা']
['ইতর', 'ইতি', 'ইতির', 'ইতে', 'ইতিকথা', 'ইত্যাদি', 'সখা', 'সখিনা', 'সম্বিত', 'এছায়']
['উচ্চ', 'স্বার', 'উচ্চে', 'স্তাদ', 'শাখায়', 'সর্বোচ', 'সাব্যস্ত', 'ব্যবস্হা', 'সর্বোচ্চ', 'উচ্চতার']
['উৎকৃষ্ট', 'উৎকৃষ্টতর', 'ভালো', 'ভালভাল', 'সক্ষম', 'সর্বোৎকৃষ্ট', 'ভাল', 'ভালো', 'সৎকাজের', 'ভালে']
['অতিকায়', 'সর্তকতা', 'আচ্ছাদিত', 'প্রস্থ', 'সাধনা', 'সৎকারে', 'সাধ্যের', 'সাবস্থ', 'সাধনায়', 'সেবাখাত']
['উন্নত', 'উন্নতর', 'উন্নতিই', 'উন্নততর', 'উন্নতির', 'উন্নতি', 'উন্নতিতে', 'উন্নতিটা', 'উন্নতিকে', 'উন্নিত']
['উন্নতি', 'উন্নতির', 'উন্নতিটা', 'উন্নতিতে', 'উন্নতিকে', 'উন্নতিই', 'উন্নত', 'উন্নতর', 'উন্নতিকরণ', 'উন্নতিসাধনে']
['উপকারিতা', 'উপকারিতার', 'উপকথার', 'উপকারী', 'সর্তকতা', 'সূক্ষ্মতা', 'উপকারি', 'সক্ষম', 'উৎকর্ষতার', 'সরহপাদা']
['উষ্ণ', 'উষ্ণতর', 'উষ্ণতম', 'উষ্ণতা', 'উষ্ণায়ন', 'উষ্ণতার', 'উষ্কে', 'উষ্ণতাও', 'উষ্ণতায়', 'উষ্ণশোণিত']
['কচি', 'কচা', 'কোচকে', 'চুকচি', 'করচি', 'কুচি', 'কসাই', 'কোচে', 'কোচকেই', 'কুশকি']
['কুৎসিত', 'সুতোয়', 'কুৎসা', 'অরুণোদয়', 'ক্ষুণ্ন', 'হারুণ', 'হানৎকা', 'গুহ্য', 'ভয়াবহ', 'বিষণ্ণ']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতার', 'কৃতজ্ঞচিত্তে', 'কৃতজ্ঞতাস্বরূপ', 'কৃতি', 'কৃতিত্বে', 'কৃতিত্বকে', 'কৃতিত্বই']
['কোমল', 'কমাল', 'কোমাল', 'কোমরে', 'কোমলতা', 'কোঠা', 'কমল', 'কোলাম', 'খিল', 'কোঠি']
['গণ্য', 'বস্তুদের', 'মৰ্যাদা', 'মানেদের', 'যুবাদের', 'স্বজন', 'ব্যক্ত', 'উপভোক্তা', 'মানেকা', 'কয়রা']
['খুচরা', 'শুকরের', 'খাতির', 'খাইয়া', 'খোরশেদের', 'খলীফা', 'খাপের', 'একহারা', 'খাতা', 'খাঁদের']
['গরিষ্ঠ', 'বস্তুনিষ্ঠ', 'কনিষ্ঠ', 'সুক্ষ', 'জেষ্ঠ', 'বশিষ্ট', 'সন্তুষ্ঠ', 'বিশিষ্ঠ', 'সুষ্ঠু', 'সর্বজ্যেষ্ঠ']
['খ্যাতি', 'খ্যাতিকে', 'খ্যাতির', 'খ্যাতিতে', 'খ্যতি', 'খ্যাতিমান', 'খ্যাতিলাভ', 'খ্যাতিও', 'খ্যতিমান', 'খ্যাতনামা']
['খ্যাত', 'খ্যাতির', 'আখ্যাত', 'খ্যাতনামা', 'খ্যাপ', 'খ্যাতিলাভ', 'প্রখ্যাত', 'খ্যাতিমান', 'খ্যাতি', 'স্বনামখ্যাত']
['গঞ্জনা', 'গঞ্জা', 'গাঞ্জা', 'গন্ডোয়ানা', 'গাজনা', 'গুঞ্জা', 'গানা', 'গাইঞ্জা', 'গঞ্জ', 'গঞ্জে']
['গরল', 'গরুই', 'গুড়', 'গুরং', 'গর্বটা', 'বহুল', 'হালদা', 'দারহাল', 'সল্লা', 'গ্রূপ']
['গৌণ', 'গৌরী', 'গৌন', 'গৌরীর', 'গৌছ', 'গৌরের', 'গৌরীকে', 'গৌহাটী', 'গদ্য', 'গৌহাটির']
['চঞ্চল', 'চঞ্চলা', 'চঞ্চুর', 'সেচখাল', 'খুশল', 'চরিতার্থ', 'খাটল', 'খাঁপুর', 'চতুর', 'শানখলা']
['জটিল', 'জটিলের', 'জটিলতার', 'জটিলতায়', 'জটিলতা', 'জটিলতাই', 'জটিলতায়', 'জটিলই', 'জটিলতর', 'জটিলতাকে']
['জ্ঞানী', 'জ্ঞানের', 'জ্ঞানীর', 'জ্ঞানকে', 'জ্ঞানটি', 'সজ্ঞান', 'জ্ঞানে', 'জ্ঞানকাণ্ড', 'জ্ঞানদাস', 'জ্ঞানদানের']
['ঠুনকো', 'ঠুকে', 'ঠাটের', 'ঠাওর', 'ঠেকবে', 'ঠাকরের', 'সর্তকতা', 'গুঠিয়া', 'হোতাক', 'গুঠিয়া']
['দুরন্ত', 'দুরন্তপনা', 'বয়নের', 'দুরন্তপনার', 'মড়ক', 'বয়নে', 'বয়লার', 'বয়াতী', 'বয়রার', 'বদান্যতা']
['দুর্নাম', 'সাবস্থ', 'বস্তুকাম', 'গোস্ত', 'দ্বারস্থ', 'বস্ত্তত', 'গুড়ির', 'বসুরহাট', 'বস্ত', 'খোস্তের']
['দুর্ভাগ্য', 'দুর্ভাগ্যের', 'দুর্ভাগ্যকে', 'দূর্ভাগ্যের', 'দুর্ভাগ্যই', 'দূর্ভাগ্য', 'দুর্ভাগ্যে', 'হতভাগ্য', 'যোগ্যতা', 'সৌভাগ্যই']
['দেশী', 'দেশি', 'দেশাই', 'দেশই', 'বাদেশি', 'সগত', 'সধবা', 'সিধাই', 'দেশভেদে', 'দেশব্যাপি']
['সুপ্ত', 'গোস্ত', 'ধূর্ত', 'সুকর্ণ', 'বস্ত্তত', 'বেষ্ট', 'সূক্ষ্মতর', 'সূক্ত', 'সমষ্টিগত', 'সদ্ব্যবহার']
['দোষ', 'দোষই', 'দোষও', 'দোষটা', 'দোষের', 'দোষেই', 'দোষারোপ', 'দোষে', 'দোষারোপের', 'দোষীকে']
['দোষী', 'দোষীকে', 'দোষীর', 'দোষারোপের', 'দোষের', 'দোষই', 'দোষটা', 'দোষারোপ', 'দোষও', 'দোষীদের']
['ধনাত্মক', 'স্বভাবগত', 'ধনাত্বক', 'এযাবৎকালের', 'সহ্যক্ষমতার', 'প্রশস্ততা', 'ধনাত্মকভাবে', 'সাধনার', 'উপলক্ষ', 'বুৎপত্তিগত']
['নতুন', 'নতুনের', 'নতুনে', 'নতুনেরা', 'নতুনকে', 'নতুনরা', 'নতুনদের', 'নতুনতর', 'নতুনত্বের', 'নতুনকরে']
['নশ্বর', 'নব্বইএর', 'নখের', 'নবির', 'নব্বইয়ের', 'স্বর', 'শ্বের', 'নাব্য', 'নব্বইয়ের', 'ধনেশ্বর']
['নিরস', 'নিরজা', 'সেবছর', 'শুরির', 'নাছের', 'নিয়্যা', 'এঁনার', 'নাছির', 'নিরাজ', 'ঠোঁটের']
['মিথ্যা', 'মিথ্যে', 'মিথ্যাই', 'মিথ্যের', 'মিথ্যাও', 'মিথ্যায়', 'মিথ্যাকে', 'মিথ্যাভাবে', 'মিথ্যাচারে', 'মিথ্যাচার']
['বড়', 'বড়ো', 'বড়ে', 'বুড়ো', 'বড়ু', 'বুড়া', 'বড়া', 'বড', 'বড়ি', 'বয়লার']
['সস্তা', 'সস্তায়', 'সঞ্চয়', 'পরলোকগত', 'সবাক', 'বাহুল্য', 'মুল্যে', 'সাধনা', 'সুবিধে', 'মুল্যবান']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিস্কারভাবে', 'পরিস্কার', 'পরিষ্কারভাবে', 'পরিষ্কারভাবেই', 'স্পষ্ট']
['সহজ', 'সহজে', 'সহজের', 'সহজতম', 'সহজেই', 'সহজসাধ্য', 'সাধল', 'সহজই', 'সহজতর', 'সহজভাবে']
['ভারী', 'ভারি', 'সাবস্থ', 'বহণ', 'বহুল', 'ভাটিয়া', 'স্থ', 'দ্বারস্থ', 'সেরছিপ', 'উপরিস্থ']
['গরম', 'গরমের', 'শরৎ', 'আগরকর', 'উষ্কে', 'গরমে', 'শক্ত', 'ঊষ্ম', 'শরৎকাল', 'শরম']
['ধনী', 'ধনীর', 'ধনের', 'ধনীদের', 'ধনদৌলত', 'সমৃদ্ধ', 'সমৃদ্ধিলাভ', 'ধনাত্বক', 'ধনসম্পদ', 'সম্পদশালী']
['অবিবাহিত', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'অবিবাহিতা', 'বিবাহও', 'বিবাহযোগ্যা', 'বিবাহকে', 'বিয়ে', 'বিবাহ']
['ঠিক', 'ঠিকে', 'ঠিকরে', 'ঠিকই', 'ঠিকমত', 'ঠিকমতো', 'ঠিকও', 'সঠিক', 'ঠিকমতো', 'ঠিকভাবে']
['নিরাপদ', 'নিরাপদে', 'নিরাপদেই', 'নিরাপত্তাজনিত', 'নিরাপদভাবে', 'নিরাপত্তাগত', 'শনাক্তযোগ্য', 'আশ্বস্ত', 'নিরাপত্তাবেষ্টিত', 'সুরক্ষিত']
['মসৃণ', 'গুঠিয়া', 'সাজতে', 'সাবস্থ', 'সেবাখাত', 'সদ্ভাব', 'সমবর্তিত', 'সুঠাম', 'সমষ্টিগত', 'পরিগনিত']
['নরম', 'হজ', 'সবিরাম', 'শরম', 'সাধনা', 'করুম', 'সুঠাম', 'সাধনমালা', 'ঠাকরের', 'সুনামকে']
['লম্বা', 'লম্বাও', 'লম্বাই', 'লম্বায়', 'লম্বায়', 'লম্বাটে', 'লম্বক', 'লম্বকে', 'লম্বার', 'দীর্ঘ']
['দীর্ঘ', 'দীর্ঘ্য', 'দীর্ঘকাল', 'দীর্ঘকালীন', 'দীর্ঘসময়', 'দীর্ঘদেহী', 'দীর্ঘসময়', 'দৈর্ঘ্যর', 'দীর্ঘকালের', 'দীর্ঘদেহের']
['ভিজা', 'ভিজে', 'ভিয়া', 'ভিসাও', 'ভিজি', 'ভিতা', 'ভিএ', 'ভিসিএ', 'ভিয়া', 'ভিজ']
['পুরু', 'পারুর', 'পুচ্ছ', 'পারুক', 'খেপু', 'পুরোনাম', 'বাণ', 'পারু', 'পিছ', 'পুয়ে']
['প্রশস্ত', 'প্রস্ত', 'প্রশস্তের', 'প্রাপ্তিস্থান', 'অনুষ্টিত', 'প্রশস্থ', 'প্রস্থের', 'সমবর্তিত', 'প্রস্থ', 'পরিবেষ্টন']
['আঁটসাঁট', 'আঁটির', 'আঁটে', 'আঁটি', 'আঁচর', 'খেটে', 'আঁটা', 'আঁটছে', 'আঁটলেন', 'আঁখির']
['ভালো', 'ভাল', 'ভালে', 'ভালো', 'ভালোই', 'ভালই', 'ভালা', 'ভালোও', 'ভালর', 'ভালোই']
['খোলা', 'খোলায়', 'খোলাই', 'খোলেন', 'খোলাকে', 'খোলসে', 'খোলার', 'খোলে', 'খোলো', 'খোলের']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'পরিস্কারভাবে', 'পরিস্কার', 'পরিষ্কারভাবে', 'পরিষ্কারভাবেই', 'স্পষ্ট']
['দামী', 'দামি', 'দামই', 'দহল', 'সর্তকতা', 'দরকারী', 'দামও', 'শরৎ', 'সাধনমালা', 'যমী']
['সচল', 'অকর্মক', 'সহকার', 'সরলতম', 'নেশাযুক্ত', 'নিরক্ষ', 'সাধক', 'দৌর্বল্য', 'কৈবল্য', 'আকীর্ণ']
['সচল', 'অক্ষম', 'সুষ্ঠু', 'ক্ষমতাই', 'সুষম', 'সক্ষম', 'অক্ষুণ্ণ', 'সাধনা', 'সরলতম', 'অক্ষমতাজনিত']
['সচল', 'সরলতম', 'সুচালো', 'সূক্ষ্ণ', 'সুচিত', 'দস্তখত', 'অধীর', 'মোক্ষম', 'সদ্য', 'খেজমত']
['সচল', 'অনুকূল', 'সরল', 'সূক্ষ্ণ', 'সদ্য', 'সুচালো', 'সতী', 'সুষ্ঠু', 'তত্কালে', 'সরলতম']
['অনুরাগ', 'সচল', 'অনুরাগের', 'অনুয়ায়ী', 'অনুরাগী', 'অনুরাগীর', 'সদিচ্ছার', 'অনুরুপ', 'অনুরাসিরি', 'আজ্ঞা']
['অহিংস', 'সচল', 'দ্বৈপায়ন', 'সহিংস', 'নিরোধী', 'সংযম', 'বিপণী', 'ধর্ষকামী', 'নিরোধক', 'সংযমী']
['আলস্য', 'সচল', 'সাহল', 'সাজায়', 'আলাঁ', 'সাজের', 'সাজে', 'সেচে', 'সৌজা', 'সেইখান']
['সচল', 'আসক্ত', 'সূক্ষ্ণ', 'আযোজিত', 'সতোপন্থ', 'দস্তখত', 'ঘনিষ্ট', 'সজীব', 'রেখাযুক্ত', 'সিদ্দীকা']
