['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'নানু', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'মামা', 'মা']
['পুণ্যবান', 'ধননন্দ', 'মেচতা', 'মণিমালা', 'মহন্ত', 'ধানীখোলা', 'মধুরিমা', 'মনতলা', 'রত্নমালা', 'পুণ্যলতা']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতি', 'বুদ্ধিমতী', 'বুদ্ধিমত্তা', 'সুবুদ্ধি', 'শুদ্ধি', 'বুদ্ধিগত', 'উপলদ্ধি', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীমা', 'শ্রীমদ্', 'শ্রীময়ী', 'শ্রীনগর', 'শ্রীম', 'শ্রীরামকে', 'শ্রীশ্রী', 'শ্রীমুখ', 'শ্রীপ্রিয়া']
['বিজয়', 'বিজয়ম', 'জয়ধ্বনী', 'জয়ধ্বনি', 'জয়ধ্বজ', 'বিজিতা', 'বিজয়নগরে', 'বিজয়িনী', 'বিজয়ন', 'জয়মতী']
['পাঠক', 'পাঠকের', 'পাঠকারী', 'পাঠককে', 'পাঠকক্ষ', 'পাঠকই', 'পাঠকে', 'পাঠকদের', 'পাঠকরা', 'পাঠিকাকে']
['লেখক', 'লেখিকা', 'লেখিকার', 'লেখকের', 'লিখক', 'লেখককে', 'লেখনী', 'লেখনীর', 'লেখিকাকে', 'লেখকগণের']
['গায়ক', 'গায়িকা', 'গায়িকার', 'গায়িকাকে', 'গায়ত্রী', 'গানকে', 'সঙ্গীতকে', 'গায়কের', 'সঙ্গীতা', 'সঙ্গীতধারার']
['খোকা', 'মাগা', 'মামনুন', 'মামী', 'মাইয়া', 'খানা', 'মী', 'ছোরা', 'মায়িশা', 'মমতাও']
['ছাত্র', 'ছাত্রের', 'ছাত্রীর', 'ছাত্রকে', 'ছাত্রে', 'ছাত্রছাত্রীর', 'ছাত্রী', 'ছাত্রনেতা', 'ছাত্রছাত্রী', 'ছাত্রীই']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষকতার', 'শিক্ষিকা', 'অধ্যাপিকা', 'শিক্ষকের', 'শিক্ষকতা', 'শিক্ষককে', 'শিক্ষকবৃন্দ', 'শিক্ষকই']
['নেতা', 'নেতার', 'নেতায়', 'নেতাজি', 'নেতায়', 'নেতাজী', 'নেতাই', 'নেতাজীর', 'নেতাও', 'নেতাকে']
['পাগল', 'পাগলা', 'পাগলায়', 'পাগলী', 'পাগলীর', 'পাগলও', 'পাগলের', 'পাগলামি', 'পাগলি', 'উন্মাদনা']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়তম', 'প্রিয়জন', 'প্রিতম', 'প্রিয়তা', 'প্রেমি', 'প্রিয়জনের', 'প্রিয়', 'প্রিয়তমা']
['কনিষ্ঠ', 'গরিষ্ঠ', 'মনমোহন', 'ক্যত', 'শিষ্ট', 'ছোটন', 'মেধা', 'ছোটনের', 'মেচতা', 'নূন্যতম']
['লোক', 'লোকজন', 'ম্যাম', 'লোকজন', 'লোকটা', 'মেয়ের', 'মানুকে', 'মস্ত', 'লোকটির', 'লোকটি']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিককে', 'শ্রমিকশ্রেণির', 'শ্রমের', 'শ্রমিকরা', 'চাকুরী', 'শ্রমিকদের', 'চাকরী']
['পতি', 'পিতানা', 'বাবা', 'বাবাই', 'পিতি', 'বাবার', 'পিতা', 'বাপা', 'পিতাই', 'বাবে']
['দাদন', 'দাদি', 'দাদা', 'দাদু', 'দাদামশাই', 'দাদরি', 'দাদুর', 'দাদির', 'চাচী', 'চাচীর']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাথানা', 'নানকানা', 'নিয়া', 'নানগাগওয়া', 'নায়িকা', 'নানহাই', 'নুনু', 'নানাজনের', 'নানাইচ']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'জেলহাজতে', 'কারাদন্ডে', 'কারাদণ্ডে', 'কারগারে', 'কারাগারটিতে', 'কারাগারেই']
['ধোপা', 'চুইঝালের', 'চুইঝালগাছ', 'ধুলিহর', 'চটুল', 'চাতুরী', 'চঞ্চুর', 'খচখচ', 'চিৎপুর', 'চৌধুরী']
['বেদে', 'চিদাম', 'খিদে', 'বেদিতে', 'চিদামের', 'খতীব', 'চৌকিতে', 'খলজী', 'চাগতাই', 'বখশি']
['চৌরি', 'গুরু', 'চৌধুরীই', 'চাগরি', 'খুশকির', 'চৌধুরী', 'চাগতাই', 'খুদের', 'চৌকির', 'চৌরী']
['ছেলে', 'ছেলেরে', 'ছেল', 'ছেলেই', 'ছেলেমেয়েকে', 'ছেলেমেয়ে', 'ছেলেশিশুকে', 'ছেলেমেয়ের', 'ছেলেকেই', 'ছেলের']
['বর', 'চাদর', 'চাকীর', 'চৌরী', 'বহি', 'চকের', 'চাপাই', 'চিৎপুর', 'চাদের', 'চিতল']
['বাদশা', 'বাদশাহী', 'বাদশাহো', 'গনপতি', 'বাদশাকে', 'বাদশাদের', 'বাদশাহকে', 'বাদশাহদের', 'বাদশাহরা', 'চকবাজার']
['কাঙ্গাল', 'কাঞ্চী', 'কাঞ্জোয়াল', 'কাঙ্গালিনী', 'কাঞ্চীর', 'কাঞ্চন', 'কাঞ্জিলাল', 'কান্ধলভি', 'কাঞ্চি', 'কাঞ্জির']
['বাঘ', 'বাঘি', 'বাঘটির', 'বাঘও', 'বাঘের', 'বাঘায়', 'বাঘাইছড়ির', 'বাঘকে', 'বাঘই', 'বাঘে']
['যোগী', 'যোগিনী', 'চৌধরী', 'যৌথ', 'চৌহালী', 'চৌরী', 'চৌধুরীই', 'চামেলী', 'যোগি', 'চৌকিদারি']
['চৌধরী', 'চাঘতাই', 'তল্লাশিচৌকির', 'চৌধুরীই', 'চাগতাই', 'চিশতী', 'চৌকিদারি', 'চাতুরী', 'তেজতুরী', 'চিশতির']
['কিশোরের', 'কিশোরই', 'কিশোর', 'কিশভার', 'চিশতী', 'কিশমিশ', 'কিশির', 'কিশোরীলাল', 'কিশোরীটির', 'চিকদাইর']
['নর', 'নুরে', 'নুরের', 'নার', 'নরুল', 'নাইর', 'নুরল', 'নুর', 'নিরো', 'নুরুল']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সুদর্শন', 'সৌন্দর্যই', 'সুন্দরী', 'সুন্দরীগাছ', 'সুক্ষ্ম', 'সুন্দরের']
['দুধকোশী', 'শাখানদী', 'চৌধরী', 'চৌধুরীই', 'গুণবান', 'চীনাবাদাম', 'চঞ্চুর', 'শৌকত', 'শামছুল', 'গণ্ডকী']
['কুন্তলীন', 'পুষ্টিকর', 'পুণ্যবান', 'চরিতার্থ', 'চরশিলিন্দা', 'পুষ্টিমান', 'পুষ্টিগুণ', 'শায়খুল', 'চন্দনাইশ', 'শয্যাশায়ী']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'বুদ্ধিদীপ্ত', 'বুদ্ধিগত', 'বিশুদ্ধতম', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীনগর', 'শ্রীম', 'শ্রীজাত', 'শ্রীমা', 'শ্রীপদ', 'শ্রীমদ্', 'শ্রীরামের', 'শ্রীমুখ']
['বিজয়', 'বিজয়িনী', 'বিজয়িনী', 'বিজয়নগরে', 'বিজয়ের', 'জয়ধ্বনী', 'বিজিতা', 'জয়ধ্বজ', 'বিজয়বর্গীয়', 'জয়ধ্বনি']
['পাঠক', 'পাঠকের', 'পাঠকক্ষ', 'পাঠককে', 'পাঠকদের', 'পাঠকারী', 'পাঠকরা', 'পাঠকেরা', 'কিংবদন্তীর', 'পাঠকদেরকে']
['লেখক', 'লিখক', 'লেখিকার', 'লেখকের', 'লেখিকাদের', 'লেখকগণের', 'লেখিকাকে', 'লেখনীর', 'লেখককে', 'লেখিকা']
['গায়ক', 'গায়িকার', 'গায়িকাকে', 'গায়িকা', 'গায়ত্রী', 'গানলেখক', 'গায়কের', 'চামচাগিরি', 'খঞ্জর', 'চামেক']
['চৌধুরীই', 'চৌধুরী', 'চিক্কণ', 'চৌহালী', 'চোয়াল', 'চিকণ', 'কুচকুচি', 'চাচী', 'চাকী', 'চাতুরী']
['ছাত্র', 'ছাত্রের', 'ছাত্রকে', 'ছাত্রীর', 'ছাত্রদের', 'ছাত্রে', 'ছাত্ররা', 'ছাত্রশিবির', 'ছাত্রছাত্রীর', 'ছাত্রনেতার']
['শিক্ষক', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষানগরী', 'শিক্ষাথী', 'শিক্ষকের', 'শিক্ষকনেতা', 'শিক্ষকগণের', 'শিক্ষকতার', 'শিক্ষকবৃন্দ']
['নেতা', 'নেতাজী', 'নেতাজীর', 'নেতাজি', 'নেতাই', 'নেতায়', 'নেতার', 'নেতাদের', 'নেতাজির', 'নেতাও']
['পাগল', 'পাগলী', 'পাগলি', 'পাগলের', 'পাগলীর', 'পাগলাপীর', 'পাগলও', 'পাগলা', 'পাগলার', 'পাগলায়']
['প্রিয়', 'প্রিয়তম', 'প্রিয়তমা', 'প্রিয়কের', 'প্রিয়জন', 'প্রিতম', 'প্রিয়তা', 'প্রিতমের', 'প্রিয়জনের', 'প্রেমতোষ']
['কনিষ্ঠ', 'চুতীয়া', 'চঞ্চল', 'খতীব', 'ছুটকি', 'গরিষ্ঠ', 'খনজনপুর', 'দুধকোশী', 'চিশতী', 'শামছুল']
['লোক', 'লোকজন', 'গণ্য', 'লোকের', 'পরলোক', 'লোকজন', 'লোকটির', 'জনকী', 'লোকটি', 'লোকজনের']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকরা', 'শ্রমিকনেতা', 'শ্রমিককে', 'শ্রমিকদের', 'শ্রমিকনেতাদের', 'শ্রমিকশ্রেণির', 'শ্রমিকনেতারা', 'শ্রমের']
['বাবা', 'পিতি', 'বাবামা', 'বাবাই', 'বাবাও', 'আব্বা', 'বাপের', 'বাবি', 'পিতাই', 'বাপা']
['চাচা', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'আঙ্কর', 'চাচারা', 'চাচাতো', 'আঙ্কেল', 'চাচাতো', 'আঙ্কটাড']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নিনা', 'নাইনা', 'নুনা', 'য়ানা', 'ওনানা', 'আনাইয়া', 'নানি', 'বীনা']
['জেলে', 'জেলখানায়', 'জেলেই', 'কারাগারে', 'কারাদন্ডে', 'কারাগারটিতে', 'জেলখানায়', 'কারাদণ্ডে', 'জেলহাজতে', 'জেলের']
['ধোপা', 'ধোবাউড়া', 'ধোপাদী', 'ধোপাঘাটা', 'ধোনী', 'চিংড়ি', 'ধুবরী', 'ধনারপাড়', 'ষটপদী', 'ভাটিকা']
['বেদে', 'বেদেনী', 'বেদিতে', 'বেদখলে', 'বেদীতে', 'বেদকে', 'আবাদে', 'বেদী', 'বেদই', 'দরদামে']
['গুরু', 'খুচরা', 'গেলোরা', 'গুরা', 'গিরা', 'গুতি', 'গোয়া', 'সৎগুরু', 'গুজারা', 'হানরা']
['ছেলে', 'ছেলেরে', 'ছেল', 'ছেলেমেয়েকে', 'পুত্রী', 'ছেলেই', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেবেলা', 'ছেলেকে']
['বর', 'বহি', 'ভাজ', 'বেরা', 'বরা', 'ভোলা', 'বরের', 'বেতের', 'বারখা', 'ভেজা']
['বাদশা', 'বাদশাহী', 'বাদশাকে', 'বাদশাহো', 'বাদশাহকে', 'বাদশাহরা', 'বাদশাদের', 'বাদশাহদের', 'বাদীকে', 'উপাসনা']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কোংকা', 'কাঞ্চনমালা', 'কঙ্কালীতলা', 'কাঞ্চী', 'করেঙ্গাতলী', 'কাঞ্চীর', 'কালেঙ্গা', 'কুঞ্জলাল']
['বাঘ', 'বাঘের', 'বাঘে', 'বাঘী', 'বাঘটির', 'বাঘায়', 'বাঘি', 'বাঘটিকে', 'বাঘাইছড়ির', 'বাঘও']
['যোগী', 'সহপাঠিনী', 'যোগীকে', 'যোগদা', 'যোগীর', 'যোগদানকারী', 'সহপাঠি', 'যোগিনী', 'সঙ্গিনী', 'যোগিতা']
['তেজস্বী', 'উজ্জয়িনী', 'সুগতাকুমারী', 'শালবনী', 'তেজহাটী', 'তেজস্বীর', 'সুপ্তশ্রী', 'যশস্বী', 'প্রণয়িনী', 'তিজাহাজা']
['কিশোর', 'কিশোরীর', 'কিশোরের', 'কিশোরীকে', 'কিশোরীটির', 'কিশোরী', 'কিশোরীটি', 'কিশোরীটিকে', 'কিশোরকে', 'কিশোরটির']
['নর', 'নার', 'নুর', 'নরা', 'নুরে', 'নুরের', 'নুরা', 'নাইর', 'নির', 'নরের']
['সুন্দর', 'সুন্দরী', 'সুন্দরতম', 'সুন্দরম', 'সুন্দরি', 'সুন্দরীর', 'সৌন্দর্যই', 'সৌন্দর্যময়', 'সৌন্দর্যে', 'সুন্দরীতমা']
['গুণবান', 'শালবনী', 'গুণবতী', 'গুণী', 'গুণাবলী', 'পৌলমী', 'বাদামতলী', 'গুণতিলকা', 'বাগরামী', 'গরুবাহী']
['পুণ্যবান', 'পুণ্যলতা', 'পুষ্করিণী', 'জালশুকা', 'শৃঙ্গযুক্ত', 'প্রান্তস্থ', 'উপজেলাস্থ', 'পরিশ্রান্ত', 'চরসাদ্দা', 'রত্নখচিত']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'বুদ্ধিমত্তা', 'সুবুদ্ধি', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমত্তায়', 'বুদ্ধিমত্তায়', 'বুদ্ধিগত']
['শ্রীমান', 'শ্রীমা', 'শ্রীময়ী', 'শ্রীরামের', 'শ্রীশ্রী', 'শ্রীমদ্', 'শ্রীবর্দী', 'শ্রীপ্রিয়া', 'শ্রীমুখ', 'শ্রীনগর']
['বিজয়', 'বিজয়িনী', 'জয়ধ্বনী', 'জয়ধ্বনি', 'বিজয়নগরে', 'বিজয়ী', 'জয়ধ্বজ', 'বিজয়ন', 'বিজিতা', 'বিজয়ের']
['পাঠক', 'পাঠকের', 'পাঠকারী', 'পাঠকদের', 'পাঠকরা', 'পাঠককে', 'পাঠকক্ষ', 'পাঠকেরা', 'পাঠকদেরকে', 'পাঠিকাদের']
['লেখক', 'লেখিকা', 'লেখকের', 'লিখক', 'লেখিকার', 'লেখনীর', 'লেখককে', 'লেখকরা', 'লেখনী', 'লেখকগণের']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়ত্রী', 'গানলেখক', 'গায়কের', 'সঙ্গীতালোচক', 'সঙ্গীতধারার', 'গায়িকার']
['খোকা', 'খুচরা', 'মোদ্দা', 'ভাটিকা', 'গোশালা', 'যশোরী', 'হাতিশালা', 'ঠোকা', 'গুটিকা', 'উপজেলা']
['ছাত্র', 'ছাত্রের', 'ছাত্রছাত্রীর', 'ছাত্রীর', 'ছাত্রছাত্রী', 'ছাত্রে', 'ছাত্রকে', 'ছাত্রদের', 'ছাত্ররা', 'ছাত্রনেতা']
['শিক্ষকনেতা', 'শিক্ষিকা', 'শিক্ষক', 'শিক্ষকের', 'শিক্ষকগণের', 'শিক্ষকতার', 'শিক্ষাদানকারী', 'শিক্ষিকার', 'শিক্ষকই', 'শিক্ষিকাদের']
['নেতা', 'নেতার', 'নেতাজীর', 'নেতায়', 'নেতাজী', 'নেতাজি', 'নেতায়', 'নেতাজির', 'নেতাগণ', 'নেতৃবৃন্দের']
['পাগল', 'পাগলী', 'পাগলা', 'পাগলীর', 'পাগলের', 'পাগলায়', 'উন্মাদনা', 'পাগলামি', 'পাগলামির', 'পাগলও']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়তম', 'প্রিয়জন', 'প্রিতম', 'প্রিয়জনের', 'প্রিয়তা', 'প্রেমি', 'প্রিয়তা', 'প্রিয়তমা']
['কনিষ্ঠ', 'গরিষ্ঠ', 'বৈকুণ্ঠ', 'সর্বকনিষ্ঠ', 'অশিষ্ট', 'বস্তুনিষ্ঠ', 'বরইতলা', 'ছোটভাকলা', 'সুক্ষ', 'বিশিষ্ঠ']
['লোক', 'লোকজন', 'লোকজন', 'লোকটা', 'ব্যক্তি', 'লোকজনের', 'লোকটির', 'লোকজনের', 'লোকদের', 'মানুষের']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিকরা', 'শ্রমিকশ্রেণির', 'শ্রমিকদের', 'শ্রমিককে', 'শ্রমিকনেতাদের', 'চাকুরী', 'শ্রমিকেরা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বাবা', 'বাপের', 'বাবি', 'নাখোদা', 'বাবরের', 'বাবরকে', 'পিতি', 'বাবদ', 'পিতা', 'বাবার']
['চাচা', 'চাচাকে', 'আঙ্কল', 'দাদাজী', 'নাখোদা', 'আঙ্কেল', 'দাদী', 'দাদাভাই', 'চাচারা', 'দাদির']
['দাদা', 'দাদির', 'পরদাদা', 'দাদার', 'দাদাজী', 'দাদাদের', 'দাদি', 'দাদী', 'দাদনের', 'নাখোদা']
['', '', '', '', '', '', '', '', '', '']
['জেলে', 'জেলখানায়', 'কারাগারে', 'জেলেই', 'জেলখানায়', 'কারাদন্ডে', 'কারাগারের', 'জেলের', 'কারাগারটিতে', 'কারাদণ্ডে']
['ধোপা', 'কুকরী', 'বেপারীর', 'ধুবরী', 'ঝাড়ুদার', 'দাখিলকারী', 'বেচাকেনার', 'বিড়বিড়', 'ভোজদেব', 'মাদখালি']
['বেদে', 'ব্যাধ', 'বেদই', 'মাপতে', 'বেদখল', 'বরবক', 'বেয়াদবি', 'বধিবে', 'বয়ড়া', 'খৈয়াছড়া']
['গুরু', 'বাড়ুক', 'উভচরী', 'উভচরের', 'মাগুরি', 'মাগুর', 'উপুড়', 'নাখোদা', 'হাবড়া', 'গুরগ']
['ছেলে', 'ছেল', 'ছেলেমেয়েকে', 'ছেলেরে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেশিশুকে', 'বালকা', 'ছেলেকে', 'ছেলেই']
['বর', 'বটের', 'দাদন', 'বধের', 'বাড়ুক', 'বধে', 'বধিবে', 'বাটীর', 'পুরষ', 'নাখোদা']
['বাদশা', 'বাদশাহী', 'বাদশাকে', 'বাদশাহকে', 'বাদশাহদের', 'বাদশাহ', 'উপদেবতা', 'বাদশাহরা', 'বাদশাহো', 'ভৈরবীর']
['কাঙ্গাল', 'কঙ্কালীতলা', 'কান্ধলভি', 'কুলুঙ্গির', 'কাঙাল', 'কংক্রীট', 'কাঞ্চনাবাদ', 'কান্ধলভী', 'কংলাক', 'কাণ্ডারী']
['বাঘ', 'বাঘের', 'বাঘটিকে', 'বাঘটির', 'বাঘকে', 'বাঘটি', 'বাঘী', 'বাঘদের', 'হাঙর', 'বাঘাইছড়ির']
['যোগী', 'সহচরী', 'সহোদর', 'যোগীর', 'সহচরীর', 'সহপাঠী', 'সহযোগিতার', 'সহগের', 'সহকারী', 'সহচরদের']
['তেজস্বী', 'প্রবীণের', 'যশস্বী', 'সুপ্তশ্রী', 'বাপ্পী', 'বাগ্মী', 'প্রজাদরদী', 'দাদামশাই', 'নাখোদা', 'বধিবে']
['কিশোর', 'কিশোরীর', 'কৈশোরের', 'কৈশোর', 'কিশোরীকে', 'কিশোরী', 'কিশোরদের', 'কিশোরের', 'কিশোররা', 'কিশোরটির']
['নর', 'নাইর', 'নুর', 'নাতনি', 'নাতি', 'নাতী', 'নাতির', 'নাতনী', 'নাতনির', 'নার']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরীর', 'সুন্দরী', 'সুন্দরি', 'সুদর্শন', 'দরুণ', 'সৌন্দর্যময়', 'সৌন্দর্যই']
['গুণবান', 'শিবভক্ত', 'গুণবতী', 'গুরুস্বামীর', 'বেচাকেনার', 'বাগরামী', 'বাগ্মী', 'গুণী', 'পুরাজীব', 'অতিমানবীয়']
['পুণ্যবান', 'শিবভক্ত', 'মহাপ্রাণ', 'চর্বণ', 'প্রবচন', 'ব্রাক্ষ্মণ', 'পুণ্যলতা', 'পুরাকালীন', 'বেষ্টনী', 'বেষ্টনীর']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'শুদ্ধি', 'বিশুদ্ধতম', 'বুদ্ধি', 'বুদ্ধিদীপ্ত']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীম', 'শ্রীবর্দী', 'শ্রীমুখ', 'শ্রীমা', 'শ্রীরাম', 'শ্রীখর', 'শ্রীপদ', 'শ্রীনগর']
['বিজয়', 'বিজয়নগরের', 'বিজয়নগরে', 'বিজয়নগর', 'বিজয়ের', 'বিজয়িনী', 'বিজয়ী', 'বিজয়কে', 'বিজয়ন', 'জয়ধ্বনী']
['পাঠক', 'পাঠকদের', 'পাঠকের', 'পাঠককে', 'পাঠকারী', 'পাঠকরা', 'পাঠকেরা', 'পাঠকদেরকে', 'পাঠকক্ষ', 'পাঠিকাদের']
['লেখক', 'লেখকের', 'লেখিকার', 'লিখক', 'লেখককে', 'লেখকরা', 'লেখকদের', 'লেখনীর', 'লেখকগণের', 'লেখকেরা']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়কের', 'গায়িকাকে', 'গায়ককে', 'গায়ত্রী', 'সঙ্গীতালোচক', 'খেলোয়াড়', 'গানলেখক']
['নাখোদা', 'দাদাজী', 'খোকা', 'দাদাপীর', 'দাদাগিরি', 'দাদন', 'বাদ্যি', 'দাদী', 'দাদামশাই', 'বেপারীর']
['ছাত্র', 'ছাত্রীর', 'শিক্ষার্থীর', 'ছাত্রলীগের', 'ছাত্রদের', 'ছাত্রছাত্রীর', 'ছাত্ররা', 'ছাত্রছাত্রী', 'ছাত্রী', 'ছাত্রলীগে']
['শিক্ষক', 'শিক্ষকের', 'শিক্ষকগণের', 'শিক্ষককে', 'শিক্ষকতার', 'শিক্ষকনেতা', 'শিক্ষকদের', 'শিক্ষিকার', 'শিক্ষকগণ', 'শিক্ষকবৃন্দের']
['নেতা', 'নেতাজীর', 'নেতার', 'নেতাজির', 'নেতৃবৃন্দের', 'নেতাকে', 'নেতাগণ', 'নেতাদের', 'নেতাজী', 'নেতায়']
['পাগল', 'পাগলী', 'পাগলীর', 'পাগলের', 'পাগলা', 'পাগলি', 'পাগলদের', 'পাগলামি', 'পাগলামির', 'পাগলায়']
['প্রিয়', 'প্রিতম', 'প্রিয়তম', 'প্রিয়জনের', 'প্রিয়জন', 'প্রিয়তমা', 'প্রমোদ', 'প্রিয়জনকে', 'প্রেমি', 'প্রেমাম']
['কনিষ্ঠ', 'গরিষ্ঠ', 'সর্বকনিষ্ঠ', 'তারুণ্য', 'ক্ষুদ্রতর', 'বৈকুণ্ঠ', 'বিশিষ্টজন', 'বুধন্তি', 'অধিনস্ত', 'বেশধারী']
