['দুইবেলা', 'দুই', 'দুইশো', 'দুজন', 'দুইতলা', 'দুটার', 'দুইটা', 'দুটোরই', 'দুটিও', 'দুইট']
['সাত', 'সাহেরা', 'সাহেদের', 'সান্ধুর', 'সাতারা', 'সাহিবে', 'সাতনা', 'সাতি', 'আশির', 'দোসরা']
['আটশ', 'আট', 'আটে', 'আটটার', 'আমোদের', 'ওস্তাদের', 'আটবছর', 'আটখানা', 'দোসরা', 'আমানতের']
['নয়', 'নি', 'না', 'নই', 'নন', 'হইনি', 'হয়নি', 'ননি', 'নও', 'নয়']
['দশ', 'দোসরা', 'দশেরা', 'শৈবরা', 'দশমহাবিদ্যা', 'দশমীর', 'চতরা', 'খাতরা', 'যাদবরা', 'তেসরা']
['এগারো', 'এগার', 'এগারজন', 'আহোকের', 'সৎগুরু', 'এরশাদনগর', 'যোরহাট', 'আরাগনের', 'হোয়ের', 'আহুজার']
['বারো', 'দোসরা', 'বারা', 'প্রমুখ', 'যোহনের', 'স্বরা', 'বারবারা', 'যুবনেতার', 'বাগধা', 'পরমানু']
['তেরো', 'তেরার', 'টেরও', 'তোরোর', 'টেরে', 'তোরসা', 'তেরোটা', 'ত্রেতা', 'তানোরে', 'তেরচা']
['চৌদ্দ', 'শাশুড়ির', 'চৌধুরাণীর', 'চৌরঙ্গীর', 'শিবরাজের', 'চৌরঙ্গী', 'চৌদ্দগ্রাম', 'চৌরাস্তা', 'শাড়ীর', 'চৌকিদারের']
['পনেরো', 'পনেরোর', 'পিনেরা', 'পিন্টোর', 'পিন্টুর', 'পিনেলের', 'পনেরোটি', 'পনসের', 'পিনের', 'পনিরের']
['ষোল', 'ষোলজন', 'হাজতখানার', 'হাছনের', 'ৎসুজের', 'হাজতখানা', 'স্তোদ', 'ষোলো', 'হাশর', 'পুঁজের']
['সতেরো', 'সুগভীর', 'সুতোর', 'সাখের', 'সততায়', 'শুলকবহর', 'সহচর', 'সুবাধে', 'খেরোখাতা', 'বসুঠাকুর']
['আঠারো', 'আঠারোর', 'আঠারোজন', 'আঠেরো', 'আঠারখাদা', 'আঠারগাছিয়া', 'বসুঠাকুর', 'আঠারোশ', 'পুঠিয়ার', 'ফৌজদারহাট']
['উনিশ', 'উনিশের', 'উনিশে', 'স্বজনের', 'বংশজ', 'নগরবাসী', 'কন্যানগর', 'স্বজন', 'উনিশশো', 'শিরিষ']
['শশীর', 'বাঁশীর', 'শাবী', 'সেহানবীশ', 'জাবেদের', 'বিশ', 'বিশের', 'দোসরা', 'স্বরা', 'শেহবাজ']
['একুশ', 'শুশুক', 'স্তোদ', 'মস্তকের', 'আশরাস', 'শাকুর', 'কুশীনগর', 'শুকর', 'আনুশকার', 'শশাংক']
['বাইশ', 'মস্তকের', 'বাপ্পির', 'বাজরা', 'বাখরাবাদ', 'খাপের', 'বখতিয়ার', 'বিজারক', 'বাশকির', 'শাবী']
['তেইশ', 'তস্য', 'তেজস্বীর', 'তেজতুরী', 'যাতায়াত', 'তেসরা', 'আমজদের', 'যশকে', 'শবদেহের', 'তেজের']
['শুশ্রুষা', 'চব্বিশ', 'শশব্যস্ত', 'শালবাহান', 'শুভঙ্কর', 'শালবনের', 'শংকরের', 'বসুঠাকুর', 'খচ্চর', 'শিবভক্ত']
['পঁচিশ', 'পঁচিশের', 'পাঁচু', 'পাঁজা', 'পীযুষ', 'পাঁচিলের', 'পাঁয়তারা', 'পাঁচথুপি', 'পাঁচিল', 'পাঁচালীর']
['ছাব্বিশ', 'শেরপারা', 'শুক্রাবাদ', 'প্রবাহকে', 'শাবনাজ', 'খাপের', 'স্বরাজের', 'হাপিত্যেশ', 'মৎস্যপুরাণ', 'ছাব্বিশে']
['সাতাশ', 'সাজ্জাদ', 'সাজ্জাদের', 'সাইতার', 'সাজ্জাত', 'সাবেত', 'সাতারু', 'সাথীরা', 'সাশন', 'সাতারা']
['আটাশ', 'স্তোদ', 'আহুতি', 'তেসরা', 'আতাবেগ', 'ত্রেতা', 'আমজদের', 'ৎসুজের', 'আসমারা', 'তক্তা']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'সপ্তডিঙ্গা', 'উনত্রিশতম', 'তিনশোর্ধ্ব', 'ঊনসত্তর', 'ত্রিশতম', 'তিনটহরী', 'ঊনিশ']
['ত্রিশ', 'ত্রিশলা', 'ত্রিশের', 'ত্রিশূলের', 'ত্রিশূলী', 'ত্রিশা', 'ত্রিশতম', 'ত্রিশে', 'ত্রিধারা', 'বত্রিশ']
['একত্রিশ', 'বত্রিশতম', 'বত্রিশ', 'মহাসপ্তমীর', 'ধরিত্রীর', 'বত্রিশটি', 'বংশধারার', 'পার্শ্বনায়ক', 'যোগেশ্বরী', 'স্বজনের']
['এক', 'আকসুর', 'একজ', 'তেসরা', 'খাজরা', 'যশের', 'খাজুরা', 'একক', 'একশিলা', 'জাওরা']
['দুসরা', 'দুইবেলা', 'দুটির', 'দুইয়ের', 'দুটিও', 'দুটার', 'দুই', 'দুইশো', 'দুজে', 'ডোগরা']
['তেসরা', 'চার', 'চারাগাছ', 'চারঘাটের', 'আগারকারের', 'ফড়িয়ারা', 'চারগুন', 'চতুর্ভুজা', 'চাতুর্য', 'চারভাগে']
['পাঁচেকের', 'পাঁজি', 'পাঁচতারা', 'পাঁচরুখী', 'পাঁচগ্রাম', 'পঞ্চাশ', 'পাঁচপীর', 'পাঁচগুণ', 'পাঁচকুলা', 'পাঁচথুবী']
['শুরায়', 'তেসরা', 'শোয়ে', 'সুতরা', 'শুড়', 'ছইল', 'সাঁথিয়া', 'শুয়ে', 'শুকায়', 'শবলা']
['সাত', 'তেসরা', 'সাতারা', 'সাতি', 'সাতনা', 'সাতাশ', 'সাত্তা', 'জেহরা', 'আসমারা', 'জাবেদের']
['তেসরা', 'আট', 'আটশ', 'আটশত', 'আজমের', 'আটে', 'আটাশ', 'আসমারা', 'আটঘরা', 'আটশো']
['নয়', 'নি', 'না', 'হয়নি', 'হইনি', 'হননি', 'ননি', 'হাছিনা', 'হয়না', 'হয়নি']
['তেসরা', 'দশ', 'তাঁতিরা', 'দশেরা', 'তিসেরা', 'দশমিকের', 'তৌহিদের', 'তাঁতিদের', 'ঝাওরা', 'চতরা']
['এগারো', 'তেজুকার', 'আজগার', 'জেহরা', 'আসমারা', 'জাওরা', 'আশরাস', 'আশুরার', 'এগারজন', 'এজাহারে']
['তেসরা', 'বারশত', 'বায়রা', 'বাজরা', 'বরজের', 'জাওরা', 'বখশের', 'বহুচারা', 'আখরা', 'আসমারা']
['তেসরা', 'তেরো', 'তোরসা', 'তাহারে', 'তেরচা', 'তেজুকার', 'তেজের', 'তাজের', 'তহুরার', 'তাওরাত']
['চৌদ্দ', 'চৌরাস্তা', 'খোরশেদ', 'চৌদ্দগ্রাম', 'শশাঙ্কশেখর', 'চৌরাস্তায়', 'শকাব্দের', 'চৌধুরীপাড়া', 'চান্দেরচর', 'খাজুরা']
['পনেরো', 'পিঞ্জিরা', 'পিন্টুর', 'পনেরোর', 'পিঞ্জরে', 'পিন্টোর', 'পনিরের', 'পেসাররা', 'পনিরসেলভামের', 'পেনরোজ']
['ষোল', 'ধাওয়া', 'ষোলজন', 'তেসরা', 'ষোলো', 'হাশর', 'ষোলশ', 'তুলুজের', 'টুখেল', 'খুতবার']
['তেসরা', 'সতেরো', 'আশপাশ', 'আসজাদুর', 'তস্কর', 'সুপেয়', 'তেঁতুলিয়ার', 'তালশাঁস', 'শৌচালয়', 'ঝেরে']
['আঠারগাছিয়া', 'আঠারো', 'আঠারোশ', 'আঠারখাদা', 'আঠারোর', 'আঠাল', 'আঠেরো', 'আঠারোজন', 'আঠাশ', 'আঠারোবাঁকি']
['তেসরা', 'উনিশ', 'উনিশের', 'তিসেরা', 'উনিশে', 'জলসেচ', 'ঝাওদের', 'উজ্জল', 'আসমারা', 'দিশেহারা']
['তেসরা', 'বিশ', 'ঝাওদের', 'শেহবাজ', 'জাবেদের', 'বিশদে', 'শয়ের', 'ঝাওকে', 'ঝিগ', 'ঝাউচর']
['একুশ', 'সঙ্কোশ', 'কুস্যাক', 'কুশ', 'আশরাস', 'কুশাখালী', 'কাসুকাবে', 'তস্কর', 'তেজুকা', 'চাগাস']
['বাইশ', 'বাইশে', 'বাইজ', 'বিকাশ', 'বাশকির', 'বাইশারি', 'ব্ঝাগ', 'ঝিয়ের', 'বিশফ', 'ঝাঁজ']
['তেসরা', 'তেইশ', 'তপেশ', 'তেজস', 'তাতিয়ে', 'তেজের', 'তিশাকে', 'তাখত', 'তল্লাসি', 'তিসরি']
['চব্বিশ', 'দিশেহারা', 'খসরা', 'দিশাহারা', 'শৌচালয়', 'শুরাহবিল', 'ঝাজ্জর', 'শিলাবৃষ্টিও', 'খৃষ্টাব্দ', 'খুশিমনে']
['পঁচিশ', 'পঁচিশের', 'পাঁচথুপি', 'পাঁজা', 'পঁচিশে', 'পাঁচিল', 'পাঁচু', 'পাঁচিলের', 'পাঁয়তারা', 'পাঁচলাইশ']
['দিশাহারা', 'দিশেহারা', 'ছাব্বিশ', 'আশপাশ', 'ছাব্বিশে', 'শেরপারা', 'তেসরা', 'হুসাইব', 'খসরা', 'শারজায়']
['সাতাশ', 'সাজ্জাদ', 'তেসরা', 'সাজ্জাদের', 'সুকাশ', 'সাজ্জাদুল', 'সাজাতেন', 'সাদাত', 'সাজ্জাত', 'সাবেত']
['তেসরা', 'আটাশ', 'আসমারা', 'তাখত', 'আজিজ', 'আশুলিয়া', 'আজমের', 'আজমি', 'তাবিজ', 'আশরাস']
['ঊনত্রিশ', 'সাতগাছিয়া', 'ঊনত্রিশটি', 'সাতগ্রাম', 'শতগ্রাম', 'সাতঘাটের', 'সাতবাড়িয়া', 'সাতছড়ি', 'সাতাত্তর', 'সাতবেড়িয়া']
['তেসরা', 'ত্রিশ', 'তিরিশ', 'ত্রিশা', 'তাজকিরা', 'চত্রা', 'তেরচা', 'তেত্রিশ', 'ত্রিশের', 'তিসরি']
['তেসরা', 'একত্রিশ', 'একত্রিশতম', 'শতরূপা', 'শতপদী', 'ধামশ্রেণী', 'আধারাধিকরণ', 'পশ্চাৎমূখি', 'আধারশিলা', 'তিসেরা']
['এক', 'একক', 'একুশে', 'ইক্কত', 'যোধপুর', 'একবিন্দু', 'একধারে', 'চৌকি', 'অক', 'ইদুক্কি']
['দুইবেলা', 'দুটোই', 'দুই', 'দুমকী', 'দুইই', 'দুটোকেই', 'দুমকি', 'দুটিও', 'দুজন', 'দুইটিই']
['চৌঠা', 'নছিমন', 'নেয়ামত', 'নেভায়', 'নুতন', 'খুমী', 'নুসরত', 'অবলা', 'নিযুত', 'নুনতা']
['পাঁচরুখী', 'পাঁজা', 'পাঁচগাঁও', 'পাঁচামি', 'পাঁচখোলা', 'পাঁজি', 'পাঁচেই', 'চৌঠা', 'পাঁচলা', 'পাঁচকুলা']
['ছাওয়া', 'ছেয়ে', 'ছলনায়', 'ছিনিয়ে', 'শুকলা', 'সাদায়', 'শবলা', 'শুধরে', 'লাগায়', 'চোপড়া']
['সাদত', 'সাহিবে', 'সাদায়', 'সাদাকা', 'সাঁটা', 'শিবসা', 'শাবনাজ', 'সাতি', 'সওদা', 'শাঁস']
['আট', 'আটখানা', 'আটে', 'আটশত', 'আটশ', 'আজমলকে', 'আছাড়', 'চৌঠা', 'শাখাওয়াত', 'খণ্ডাংশ']
['নয়', 'নি', 'না', 'হইনি', 'হয়নি', 'ননি', 'হননি', 'নই', 'হয়না', 'নও']
['চৌঠা', 'দশভূজা', 'পীড়া', 'দজলা', 'তেঁতুলিয়া', 'তৌহিদা', 'আজমা', 'বকাঝকা', 'দখন', 'পুঁজিপতি']
['এগারো', 'একরামুলকে', 'অভিজান', 'আবুজায়', 'লোহাগাড়া', 'গুমলা', 'খেজুরবাগান', 'ঢল্লাপাড়া', 'আজগার', 'একরামুলের']
['চৌঠা', 'বদরপুর', 'বেয়াড়া', 'বরজে', 'ভেজা', 'বেদখলে', 'বদরপুরে', 'বহলা', 'বখশিশ', 'বরখা']
['তরতাজা', 'তেরখাদা', 'তিরুনেশ', 'গুঁতো', 'চৌগাছা', 'ঝরছে', 'তিরু', 'রংছাতি', 'তেরো', 'রুপসা']
['চৌদ্দ', 'চৌধুরীপাড়া', 'চৌধুরাণী', 'চৌধুরীহাট', 'চৌরাস্তা', 'চৌগাছা', 'কুচকাওয়াজ', 'চণ্ডীচরণ', 'চৌগাছায়', 'চৌরঙ্গী']
['পনেরো', 'পিনোচে', 'পিনহোল', 'পনিরসেলভামের', 'পাংশা', 'পিনাংয়ের', 'পানরুই', 'পনিরের', 'পাণ্ডুলিপির', 'পাংকু']
['ষোল', 'ষোলজন', 'হুঁকা', 'পোষা', 'খুতবা', 'পালশা', 'জোঁক', 'চৌঠা', 'ষোলনল', 'খুতবার']
['সতেরো', 'অরুণাচলে', 'তমালতলা', 'চৌচালা', 'মতলবে', 'তরতর', 'সুপ্রকাশ', 'সুপেয়', 'খিদমত', 'স্বাচিপের']
['আঠারো', 'আঠারোবাঁকি', 'আঠারগাছিয়া', 'আঠারখাদা', 'আঠারো', 'শানখলা', 'আঠাল', 'আধাপাঁকা', 'আঠারোজন', 'উপকরণে']
['উনিশ', 'উনিশে', 'উপনিবেশ', 'উমিচাঁদ', 'চৌঠা', 'নরমঁদি', 'অজুতাংশ', 'খুমী', 'উলুমে', 'উভকামী']
['বিশদে', 'বিকাশকে', 'বিসদৃশ', 'বিকাশ', 'বিশে', 'বিচি', 'বাশুলী', 'বাইশ', 'দিশম', 'বিশফ']
['একুশ', 'নাকাশ', 'কাসুকাবে', 'আবুজায়', 'ইশকুল', 'খুরুশকুল', 'যাকাতুল', 'খুকী', 'কুচকুচি', 'কুচকাওয়াজ']
['বাইশ', 'বাইশে', 'বাইজ', 'বাইচুং', 'বেখাপ্পা', 'বেলুচি', 'বিকাশকে', 'বিকাশ', 'রাজবলহাট', 'বিচোলিম']
['তেইশ', 'তপেশ', 'যাতায়াত', 'চৌঠা', 'তেজগাঁও', 'তেমাথা', 'অতিমহাদেশ', 'সমঝোতা', 'অধঃপতিত', 'তেঁতুলিয়া']
['চব্বিশ', 'ঝাকুনিপাড়া', 'ধামাচাপা', 'দামুড়হুদায়', 'খুশিমনে', 'শাপলাবাগ', 'প্রতাপকে', 'শিলাবৃষ্টিও', 'শিলাবৃষ্টি', 'শিলাবৃষ্টিতে']
['পঁচা', 'পাঁজা', 'পচিশ', 'পাঁচামি', 'পীযুষ', 'পাশুপত', 'পাঁকা', 'পঁচিশে', 'চৌঠা', 'পীযূষ']
['ছাব্বিশ', 'ছাব্বিশে', 'বেখাপ্পা', 'দামুড়হুদায়', 'শাপলাবাগ', 'কুচকাওয়াজে', 'পাবলাখালী', 'শিলাবৃষ্টিতে', 'শাখাওয়াত', 'অরুণাচলে']
['সাতাশ', 'সাঁওতাল', 'সাদাত', 'সাজ্জাদ', 'সাজাতেন', 'সাজাতে', 'সাজ্জাত', 'সাঁওতালী', 'সাজাত', 'সাদাসিধে']
['আটাশ', 'আজমা', 'আশপাশ', 'আহুতি', 'তেঁতুলিয়া', 'আজমি', 'আচানক', 'আবুজায়', 'তপেশ', 'তরতাজা']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'ঊনসত্তর', 'ঊনিশ', 'ঊনকোটি', 'নূয়াপড়া', 'সাতছড়ি', 'ঊনবিংশ', '২৯শে']
['সাঁইত্রিশ', 'চৌত্রিশ', 'ত্রিশরণ', 'ত্রিশে', 'ত্রিমুখী', 'ধামকি', 'তিশমা', 'চলন্তিকা', 'ত্রিতল', 'রশিদী']
['একলাখী', 'প্রান্তসীমা', 'জড়াল', 'পুঁজিপতি', 'রূপবতী', 'সুধাকরণ', 'শিকলবাহা', 'অজুতাংশ', 'চৌঠা', 'নিজপাড়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একং', 'এককে', 'একেএকে', 'একি', 'একজ', 'একককে', 'এঁকে', 'একমি', 'এককটি']
['দুইই', 'দুটোরই', 'দুই', 'দুটিরই', 'দুটোই', 'দুটিতেই', 'দুটিকেই', 'দুটিই', 'দুটিও', 'দুটোকেই']
['তিন', 'তিনেই', 'তিনই', 'তিনখানি', 'তিনে', 'তিনেক', 'তিনু', 'তিনতলা', 'তিন্নি', 'তিনাশি']
['চার', 'চারটের', 'চারী', 'চারটার', 'চারমগজ', 'চারখি', 'চারই', 'চতুর্দশ', 'চতুর্থী', 'চারমাথা']
['পাঁজি', 'পাঁচ', 'পাঁচের', 'পাঁচবিবি', 'পাঁচটিই', 'পাঁচগুণ', 'পাঁচগ্রাম', 'পাঁচতারকা', 'পাঁচবারই', 'পাঁচবাগ']
['ছয়', 'ছয়ে', 'ছই', 'ছয়', 'সয়ে', 'শুয়েই', 'সইয়ে', 'ছকেই', 'ছইল', 'শটেই']
['আট', 'আটশ', 'আটি', 'আটবছর', '৮টিই', 'আটটিই', 'আটজনই', 'আটটি', '৮টি', 'আটদলীয়']
['নয়', 'নি', 'না', 'হইনি', 'নই', 'হয়নি', 'ইনি', 'হয়নি', 'নও', 'হয়না']
['দশ', 'দশমে', 'দশমী', 'দশজন', 'দশটি', 'দশম', 'দশটা', 'দশমীর', 'দশমিকের', 'দশটায়']
['এগারো', 'এগারজন', 'একরামুলকে', 'এগলো', 'এগোবে', 'একরাশ', 'এগোবেন', 'এগুনোর', 'জোরাজুরি', 'এজাহারে']
['বারো', 'বারই', 'বারেই', 'বরই', 'বারে', 'তবকপুর', 'বারও', 'সুদূর', 'বেলায়ই', 'বরাবরই']
['তেরো', 'তিরু', 'টেরও', 'টিরই', 'তূরাই', 'তেরি', 'তিরাহ', 'তেরচা', 'তেরোটা', 'তীর']
['চৌদ্দ', 'চৌদ্দগ্রাম', 'চৌরাশি', 'চৌধুরীই', 'চৌকিদারই', 'চৌকিদারের', 'চিদামের', 'চৌধরী', 'চৌকিদারি', 'চৌরঙ্গী']
['পনেরো', 'পনেরোটি', 'পানরুই', 'পনের', 'পিঞ্জরে', 'পিনহোল', 'পনিরের', 'পিনু', 'পনির', 'পনজি']
['ষোল', 'ষোলো', 'টহল', 'টলমলে', 'ষোলজন', 'তউজী', 'জলকেলি', 'তুরি', 'তুলুজের', 'তাঁবু']
['সতেরো', 'সতের', 'সতীকে', 'সতী', 'সতীন', 'জারে', 'তোষামোদি', 'সবজে', 'সতীনের', 'সমুহের']
['আঠারো', 'আঠারোতম', 'আঠটি', 'আঠারোজন', 'ঠেকিয়েই', 'আঠারো', 'খেসারতই', 'আঠারোবাঁকি', 'আঠাল', 'আঠেরো']
['উনিশ', 'উনিশে', 'তেইশ', 'তেকিশ', 'অধি', 'তূরাই', 'নিতিশ', 'তউজী', 'ইতিউতি', 'তেজী']
['বিশ', 'তেইশ', 'جَزَاء', 'শটেই', 'বিশে', 'শেগাঁও', 'বিজিবি', 'বিআই', 'যাতি', 'তাইপেই']
