['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['এখন', 'এখনে', 'এখনের', 'এখনো', 'ভবিষ্যৎ', 'সখনো', 'এখনকার', 'এখনোও', 'এখনেই', 'এখনই']
['কল্পনা', 'কল্পনাকে', 'ভাবাদর্শ', 'কল্পনার', 'ধারনায়', 'ভাবিশিগস', 'রূপকল্পনা', 'প্রত্যাশা', 'ভাবাদর্শের', 'কল্পনায়']
['কুমেরু', 'কুমুদরঞ্জন', 'কুমিরের', 'কুমারার', 'কুমারও', 'কুম্ভের', 'চৌগ্রাম', 'কুমারা', 'ভানুয়াটু', 'কুমিরার']
['ভবপ্রীতানন্দ', 'ভবিষ্য', 'ভবিষ্যৎ', 'প্রত্নবস্তু', 'প্রত্নপ্রস্তর', 'ক্ষণস্থায়ী', 'ভবিষ্যৎদ্রষ্টা', 'ভব্যতা', 'ভবিষ্যৎটা', 'সুযোগসন্ধানী']
['কৃষ্ণাঙ্গ', 'কৃষ্ণচূড়া', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণচূড়ার', 'কৃষ্ণার', 'কৃষ্ণাদের', 'কৃষ্ণকায়', 'কৃষ্ণবিবরের', 'কৃষ্ণণকে', 'কৃষ্ণণের']
['ঘৃণা', 'ঘৃণায়', 'ঘৃণার', 'ঘৃনা', 'ঘৃণাবোধ', 'ঘৃণাকে', 'ঘৃণানির্ভর', 'ঘৃণাও', 'ভবিষ্যৎ', 'ঘৃণায়']
['গোপন', 'গোপনের', 'গোপনে', 'গোপনীয়তা', 'গোপনীয়তার', 'গোপনীয়তা', 'আশাব্যঞ্জক', 'ভবিষ্যৎ', 'সিক্রেটের', 'পদপিষ্টের']
['গুপ্ত', 'গুপ্তা', 'স্পঞ্জর', 'গুপ্তের', 'চক্রগতির', 'স্পন্সর', 'স্পিকারের', 'গুপ্তযুগের', 'গুপ্তযুগ', 'ভবপ্রীতানন্দ']
['গ্রহণ', 'গ্রহণের', 'গ্রহণকে', 'ভবিষ্যৎ', 'গ্রহনে', 'গ্রহণে', 'ভবিষ্য', 'গ্রহন', 'গ্রহনের', 'গ্রহণেরও']
['গ্রাম্য', 'গ্র্যাণ্ড', 'গ্রায়েম', 'গ্রহে', 'গ্রিম', 'গ্রাহ্য', 'গ্রহের', 'গ্রহটিকে', 'গ্রায়েম', 'গ্রহটির']
['চলিত', 'চিতিয়ে', 'ধারদেনা', 'ভবণ', 'চাড়া', 'ভাগিয়ে', 'অক্ষিপট', 'দৃড়', 'চক্রপানি', 'চেপে']
['জন্ম', 'জন্মের', 'জন্মু', 'জন্মগ্রহণ', 'জন্মায়', 'জন্মগ্রহন', 'জন্মকে', 'জন্মাবার', 'জন্মাত', 'জন্মদান']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'শাস্তির', 'ভবিষ্যৎ', 'অর্থদণ্ডাদেশ', 'প্রাণদণ্ড', 'জরিমানাও', 'শাস্তিটা', 'শাস্তিপ্রদান']
['জলে', 'জলাবন', 'জলেতে', 'জলের', 'জলজ', 'জলঢাকা', 'ভবিষ্যৎ', 'জলযোজন', 'জলধর', 'জলকে']
['জোয়ার', 'জোয়ার', 'জোয়ার্দার', 'জোয়াগ', 'জেওর', 'জোয়ারের', 'জোয়ারের', 'জোয়ারে', 'জোয়ার্দ্দার', 'জোগাতেন']
['দুর্লভ', 'ভবিষ্যৎ', 'আশাব্যাঞ্জক', 'প্রত্যাশামতো', 'আশাব্যঞ্জক', 'স্বকীয়', 'অভাবহেতু', 'ভবিষ্য', 'প্রত্যাশী', 'স্বল্প']
['তিরস্কার', 'তিরস্কারের', 'চক্রগতির', 'স্ক্রীপ্ট', 'ভোগান্তির', 'স্পঞ্জর', 'চোপড়ার', 'দীক্ষার', 'অষ্টাবক্রের', 'ভগ্নাংশকে']
['ভক্ষ্য', 'প্রশান্তি', 'মনকাড়া', 'তুষ্ট', 'বেজায়', 'পারোত্তা', 'ভবানন্দ', 'উন্মত্ততার', 'প্রশান্তকে', 'তন্ময়ের']
['দিবা', 'ভবিষ্যৎ', 'দেবা', 'দায়া', 'দিয়', 'দাওয়া', 'দিযে', 'দেদে', 'দিদা', 'দিবে']
['দিবস', 'ভবিষ্যৎ', 'দিবর', 'দিনশা', 'দিবার', 'দিনহাটা', 'দিনের', 'দিবসের', 'দিবালোকে', 'দিনমান']
['দীর্ঘায়ু', 'ভবিষ্যৎ', 'দীর্ঘায়ু', 'দীর্ঘায়ন', 'দীর্ঘশ্বাস', 'দৈর্ঘ্যর', 'দীর্ঘজীবি', 'দীর্ঘায়ত', 'দীর্ঘদেহী', 'ভবিষ্য']
['দূর', 'ভবিষ্যৎ', 'ভবিষ্য', 'দূরবর্তি', 'দূরের', 'দূরত্বটা', 'দূরত্ব', 'দূরে', 'দূরেও', 'দূরদেশ']
['দেনা', 'দাওয়া', 'দেন', 'দেওন', 'দাওনা', 'দেবা', 'দেয়া', 'দিতেন', 'উদানা', 'দায়া']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'শ্বাসপ্রশ্বাস', 'শ্বাসকার্য', 'শ্বাসকার্যের', 'শ্বাসগ্রহণ']
['নির্দিষ্ট', 'নির্দিষ্টতা', 'সুনির্দিষ্ট', 'নিদিষ্ট', 'প্রত্যাদিষ্ট', 'নির্দিষ্টভাবে', 'নির্দ্দিষ্ট', 'নির্দিষ্টকরণের', 'বৈশিষ্ট্যময়', 'সন্নিবিষ্ট']
['ন্যায়', 'ভন্তে', 'ন্যাশকে', 'ন্যাশ', 'ন্যান্দর', 'আচ্ছাদন', 'ন্যাপের', 'ন্যাস্ত', 'ন্যাপথা', 'প্রীতিকে']
['পূর্ণিমা', 'পূর্ণিমাকে', 'পূর্ণতার', 'পূর্ণিমার', 'পরিপূর্ন', 'পূর্ণের', 'পূর্ণিমায়', 'পূর্ণাংগ', 'পূর্ণা', 'পূর্ণতর']
['প্রসারণ', 'ভবিষ্য', 'প্রসারন', 'প্রসবোত্তর', 'ভবিষ্যৎ', 'স্প্রের', 'চক্রগতির', 'প্রখরতা', 'প্রজ্বলন', 'প্রসার']
['বক্তা', 'বক্তাই', 'বক্তাকে', 'বক্তার', 'বোঁটায়', 'বক্তাবলী', 'বক্র', 'বক্তারপুর', 'বায়ন', 'বর্তায়']
['প্রারম্ভ', 'প্রম্পট', 'প্রারাম্ভ', 'প্রেয়ার', 'ভবিষ্য', 'প্রেসমাড', 'ভবিষ্যৎ', 'প্রয়াস', 'প্রভাস', 'প্রভাসের']
['ভূমিকা', 'ভূমিকাও', 'ভূমিকাকে', 'ভূমিকায়', 'ভূমিকার', 'ভূমিকাই', 'ভূমিকায়', 'ভুমিকা', 'ভূমিকাটির', 'ভূমিকাগুলি']
['মৌখিক', 'ভাবশিষ্য', 'মৎস্য', 'শৌর্য্য', 'মাশরিক', 'মাহিষ্য', 'বায়ুগতিময়', 'মহাশক্তির', 'মস্তকের', 'মনোবিদ্যা']
['দূরে', 'দূরের', 'দূর', 'দূরেও', 'দূরত্বে', 'দূরেই', 'দূরত্বেই', 'দূরই', 'ভবিষ্যৎ', 'দূরত্বটা']
['ভিতরে', 'ভিতরের', 'ভিতর', 'ভেতরের', 'ভিতরেই', 'ভিতরগড়', 'ভেতরে', 'ভেতরই', 'ভেতরটা', 'ভেতরও']
['আলো', 'আলোর', 'আকাবাদ', 'আলোচ্য', 'আলোটা', 'আলোয়', 'আলোয়াখোয়া', 'আলোচ্যসূচির', 'আলোও', 'আলোকের']
['অনেক', 'অনেকর', 'অনেকটা', 'অনেকটুকু', 'অনেকবেশি', 'ভবিষ্যৎ', 'অনেকক্ষন', 'অনেকটাই', 'অনেকগুণ', 'অনেকাংশ']
['ডান', 'ডানা', 'ডানাই', 'ডান্ডা', 'দ্যান', 'ডান্স', 'ভবিষ্যৎ', 'ডানি', 'দাঁ', 'দায়া']
['তরুণ', 'তারুণ্যকে', 'তরুণের', 'তারুণ্যের', 'তরুণাস্থির', 'তরুণই', 'তরুণটির', 'শিশুসেবা', 'তরুণকে', 'তরুণতম']
['সত্য', 'সত্যি', 'সত্যের', 'সত্যটা', 'সত্যতা', 'সত্যতার', 'সত্যযুগে', 'সত্যটি', 'সত্যেন', 'সত্যিটা']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যতা', 'সত্যটা', 'সত্যদেব', 'সত্যম', 'সত্যক', 'সত্যি', 'সত্যকে']
['সত্যের', 'সত্য', 'সত্যেন', 'সত্যতার', 'সত্যকে', 'সত্যতা', 'সত্যটা', 'সত্যে', 'সত্যা', 'সত্যিটা']
['আজ', 'আজকে', 'সত্যি', 'সত্যযুগে', 'সত্যে', 'সত্যেন', 'আজকেই', 'সত্যটা', 'সত্যই', 'সত্যেও']
['সত্যের', 'সত্য', 'সত্যটা', 'সত্যটি', 'সত্যেন', 'সত্যকে', 'সত্যে', 'সত্যি', 'সত্যিটা', 'সত্যতার']
['সত্যে', 'সত্যের', 'সত্য', 'সত্যি', 'সত্যটা', 'সত্যতার', 'সত্যেন', 'সত্যিটা', 'সত্যক', 'সত্যটাই']
['সত্যের', 'সত্য', 'সত্যটা', 'সত্যে', 'সত্যি', 'সত্যতার', 'সত্যেন', 'সত্যিটা', 'সত্যকে', 'সত্যক']
['সত্যের', 'সত্যকে', 'সত্য', 'সত্যটা', 'সত্যতার', 'সত্যম', 'সত্যা', 'সত্যদেব', 'সত্যিটা', 'সত্যেন']
['সত্যজিৎ', 'সত্যটা', 'সত্যের', 'সত্যিটা', 'আশীর্বাদ', 'সত্য', 'সত্যতার', 'সত্যা', 'সত্যকে', 'সত্যে']
['সত্য', 'সত্যের', 'সত্যটা', 'সত্যম', 'সত্যতার', 'সত্যক', 'সত্যকে', 'সত্যি', 'সত্যে', 'সত্যদেব']
['সত্যজিৎ', 'সত্য', 'সত্যের', 'সত্যা', 'সত্যতার', 'সত্যম', 'সত্যকে', 'সত্যতা', 'সত্যেন', 'সত্যটা']
['উত্তর', 'উত্তরও', 'উত্তরটা', 'উত্তরই', 'সত্যকে', 'সত্যতা', 'সত্যের', 'সত্যা', 'সত্য', 'সত্যতার']
['', '', '', '', '', '', '', '', '', '']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যতা', 'সত্যা', 'সত্যক', 'সত্যকে', 'সত্যযুগের', 'সত্যম', 'সত্যেন']
['সত্য', 'সত্যের', 'সত্যকে', 'সত্যেন', 'সত্যটা', 'সত্যে', 'সত্যতার', 'সত্যি', 'সত্যযুগের', 'সত্যদেব']
['সত্যের', 'সত্যকে', 'সত্যতার', 'সত্য', 'সত্যদেব', 'সত্যেন', 'সত্যতা', 'সত্যটা', 'সত্যযুগের', 'সত্যম']
['সত্যটা', 'সত্যেন', 'সত্যের', 'সত্যা', 'সত্যিটা', 'সত্য', 'সত্ৰ', 'সত্যটি', 'সত্যতার', 'সত্যম']
['সত্যের', 'সত্যকে', 'সত্য', 'সত্যতার', 'সত্যতা', 'সত্যদেব', 'সত্যেন', 'সত্যটা', 'সত্যা', 'সত্যে']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যদেব', 'সত্যক', 'সত্যম', 'সত্যতা', 'সত্যযুগের', 'সত্যকে', 'সত্যে']
['', '', '', '', '', '', '', '', '', '']
['সত্যটা', 'সত্যের', 'সত্য', 'সত্যিটা', 'সত্যতার', 'সত্যা', 'সত্যকে', 'সত্যেন', 'সত্যটি', 'সত্যতা']
['সত্য', 'সত্যটা', 'সত্যের', 'সত্যতার', 'সত্যিটা', 'সত্যা', 'সত্যেন', 'সত্যকে', 'সত্যটি', 'সত্যতা']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'সত্যে', 'সত্যি', 'এখনে', 'সত্যেন', 'সত্যটা', 'সত্য', 'সত্যের', 'সত্যিটা', 'সত্যই']
['সত্যটা', 'সত্যের', 'সত্যিটা', 'সত্য', 'সত্যতা', 'সত্যতার', 'সত্যটি', 'সত্যকে', 'সত্যেন', 'সত্যি']
['সত্যটা', 'সত্য', 'সত্যের', 'সত্যটি', 'সত্যিটা', 'সত্যম', 'সত্যতার', 'সত্যযুগের', 'সত্যযুগ', 'সত্যকে']
['সত্যের', 'সত্যতার', 'সত্যদেব', 'সত্য', 'সত্যটা', 'সত্যযুগের', 'সত্যম', 'সত্যে', 'সত্যকে', 'সত্যিটা']
['সত্যটা', 'সত্যতা', 'সত্য', 'সত্যের', 'সত্যিটা', 'সত্যকে', 'সত্যতার', 'সত্যটি', 'সত্যদেব', 'সত্যম']
['সত্যের', 'সত্যটা', 'সত্য', 'সত্যতার', 'সত্যতা', 'সত্যকে', 'সত্যিটা', 'সত্যটি', 'সত্যযুগ', 'সত্যম']
['সত্যের', 'সত্য', 'সত্যম', 'সত্যতার', 'সত্যদেব', 'সত্যটা', 'সত্যকে', 'সত্যযুগ', 'সত্যটি', 'সত্যা']
['সত্য', 'সত্যের', 'সত্যম', 'সত্যতার', 'সত্যদেব', 'সত্যটা', 'সত্যকে', 'সত্যক', 'সত্যযুগ', 'সত্যতা']
['সত্যের', 'সত্য', 'সত্যতার', 'সত্যা', 'সত্যতা', 'সত্যকে', 'সত্যেন', 'সত্যটা', 'সত্যে', 'সত্যম']
['সত্যের', 'সত্য', 'সত্যতার', 'সত্যম', 'সত্যক', 'সত্যতা', 'সত্যটা', 'সত্যদেব', 'সত্যিটা', 'সত্যযুগের']
['সত্য', 'সত্যের', 'সত্যকে', 'সত্যতার', 'সত্যেন', 'সত্যক', 'সত্যম', 'সত্যে', 'সত্যতা', 'সত্যদেব']
['সত্যেন', 'সত্যের', 'সত্য', 'সত্যতার', 'সত্যা', 'সত্যতা', 'সত্যটা', 'সত্যকে', 'সত্যিটা', 'সত্যি']
['সত্যটা', 'সত্যটি', 'জরিমানা', 'সত্যতা', 'সত্যিটা', 'সত্য', 'সত্যতার', 'সত্যের', 'সত্যযুগ', 'সত্যকে']
['সত্যের', 'সত্যকে', 'সত্যতার', 'সত্যেন', 'সত্যটা', 'সত্য', 'সত্যা', 'সত্যিটা', 'সত্যদেব', 'সত্যতা']
['সত্যযুগের', 'সত্যের', 'সত্যতার', 'সত্যটা', 'সত্যেন', 'সত্যিটা', 'সত্য', 'সত্যা', 'সত্ৰ', 'সত্যম']
['সত্য', 'সত্যক', 'সত্যের', 'সত্যম', 'সত্যতার', 'সত্যি', 'সত্যটা', 'সত্যে', 'সত্যতা', 'সত্যিটা']
['সত্যের', 'সত্যতার', 'সত্যদেব', 'সত্য', 'সত্যকে', 'সত্যম', 'সত্যতা', 'সত্যা', 'সত্যটা', 'সত্যযুগ']
['সত্য', 'সত্যের', 'সত্যম', 'সত্যক', 'সত্যতার', 'সত্যদেব', 'সত্যকে', 'সত্যটা', 'সত্যি', 'সত্যতা']
['সত্যা', 'সত্যেন', 'সত্যের', 'সত্য', 'সত্যকে', 'সত্যটা', 'সত্যতার', 'সত্যতা', 'সত্যিটা', 'সত্যে']
['সত্যটা', 'সত্য', 'সত্যের', 'সত্যিটা', 'সত্যতার', 'সত্যতা', 'সত্যকে', 'দিবস', 'সত্যা', 'সত্যেন']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যতা', 'সত্যম', 'সত্যটা', 'সত্যদেব', 'সত্যক', 'সত্যিটা', 'সত্যি']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যক', 'সত্যকে', 'সত্যি', 'সত্যে', 'সত্যদেব', 'সত্যতা', 'সত্যটা']
['সত্যেন', 'সত্যা', 'সত্যের', 'সত্য', 'সত্যকে', 'সত্যতার', 'সত্যটা', 'সত্যতা', 'সত্ৰ', 'সত্যদেব']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'সত্যের', 'নিঃশ্বাসের', 'সত্যকে', 'সত্য', 'সত্যতার', 'সত্যদেব', 'শ্বাস', 'সত্যম']
['সত্যে', 'নির্দিষ্ট', 'সত্যক', 'সত্য', 'সত্যের', 'সত্যতার', 'সত্যি', 'সত্যম', 'সত্যিটা', 'সত্র']
['সত্যের', 'সত্যেন', 'সত্যকে', 'সত্যে', 'সত্য', 'সত্যজিৎ', 'সত্যতার', 'সত্যি', 'সত্যম', 'সত্যক']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যতা', 'সত্যম', 'সত্যদেব', 'সত্যা', 'সত্যটা', 'সত্যকে', 'সত্যেন']
['সত্যের', 'সত্য', 'সত্যতার', 'সত্যতা', 'সত্যকে', 'সত্যটা', 'সত্যযুগের', 'সত্যদেব', 'সত্যিটা', 'সত্যা']
['সত্যের', 'সত্যটা', 'সত্য', 'সত্যতার', 'সত্যকে', 'সত্যিটা', 'সত্যা', 'সত্যতা', 'সত্যদেব', 'সত্যম']
['সত্যের', 'সত্যতার', 'সত্যম', 'সত্য', 'সত্যটা', 'সত্যদেব', 'সত্যিটা', 'সত্যতা', 'সত্যেন', 'সত্যক']
['সত্যের', 'সত্যটা', 'সত্য', 'সত্যেন', 'সত্যতা', 'সত্যতার', 'সত্যিটা', 'সত্যা', 'সত্যকে', 'সত্যটি']
['সত্য', 'সত্যের', 'সত্যতার', 'সত্যম', 'সত্যতা', 'সত্যদেব', 'সত্যটা', 'সত্যযুগ', 'সত্যকে', 'সত্যক']
['সত্য', 'সত্যের', 'সত্যি', 'সত্যে', 'সত্যতার', 'সত্যকে', 'সত্যক', 'সত্যতা', 'সত্যটা', 'সত্যদেব']
['ভিতরে', 'ভিতরেই', 'ভিতরের', 'সত্যযুগে', 'সত্যি', 'সত্যেন', 'সত্যটা', 'সত্যের', 'সত্যে', 'সত্য']
['সত্যের', 'সত্যকে', 'সত্য', 'সত্যটা', 'সত্যতার', 'সত্যম', 'সত্যা', 'সত্যদেব', 'সত্যিটা', 'সত্যেন']
['সত্যি', 'সত্য', 'সত্যের', 'সত্যে', 'সত্যই', 'সত্যটা', 'সত্যেন', 'সত্যতার', 'সত্যক', 'সত্যতাও']
['সত্য', 'সত্যের', 'সত্যা', 'সত্যেন', 'সত্যদেব', 'সত্যটা', 'সত্যক', 'ডান', 'সত্যতার', 'সত্যকে']
['সত্য', 'সত্যের', 'সত্যক', 'সত্যি', 'সত্যতার', 'সত্যে', 'সত্যতা', 'সত্যটা', 'সত্যম', 'সত্যকে']
['অতীত', 'অতীতের', 'অতীতকে', 'অতীব', 'বিকর্ষণ', 'অতীতে', 'অতীতকালের', 'বিরলতার', 'অতীতেই', 'অপরিবর্তীত']
['বিকর্ষণ', 'অলীক', 'বিরলতার', 'বদনখানি', 'বিগলন', 'সঙ্ঘের', 'পরিবর্তি', 'বিকলতা', 'বিরাগ', 'অলঙ্করণ']
['আগমন', 'আগমণ', 'আগমণের', 'আগোত', 'বিকর্ষণ', 'আগমনের', 'আগমনকে', 'আগমনে', 'আগমের', 'আগমনী']
['আজ', 'আজকে', 'আজকের', 'এদিন', 'আজই', 'আজকেও', 'আজকালের', 'আজকাল', 'আইদিন', 'আজকেই']
['আদি', 'আদমি', 'আছর', 'বিকর্ষণ', 'আদিতে', 'আরয', 'আদতে', 'ইদি', 'আদব', 'আওদা']
['আবশ্যক', 'বিকর্ষণ', 'ব্যবর্তন', 'সর্বনাশ', 'পূনর্গঠন', 'খণ্ডাংশ', 'বস্তুতন্ত্রবাদের', 'পরিবর্তি', 'খণ্ডায়ন', 'বিরলতার']
['বিকর্ষণ', 'বদলাবেন', 'বিন্যাসের', 'পরিবর্তি', 'ব্যবর্তন', 'বিকর্ষণের', 'বদলালে', 'বদলানোর', 'আরোহন', 'বদলাবে']
['আলো', 'বাতিসা', 'বিকর্ষণ', 'বিকিরণ', 'জানাল', 'বজ্রপাণি', 'আলোর', 'জবরদস্ত', 'বাতিকের', 'আলোটা']
['আশীর্বাদ', 'আশীর্বাদের', 'আশীর্বাদধন্য', 'আশীর্বাদস্বরূপ', 'প্রশংসায়', 'আশীর্বাদে', 'প্রশংসাই', 'প্রভবানন্দের', 'ঈশ্বরপ্রদত্ত', 'প্রশংসা']
['বিকর্ষণ', 'বিন্যাসের', 'পরিবর্তি', 'বিকর্ষণের', 'বিরোধে', 'খণ্ডাংশ', 'বিরোধকে', 'বিরাগ', 'বিরলতার', 'বদলাবেন']
['ইহকাল', 'পরকালীন', 'পুরাণের', 'অপটিকাল', 'বাসন্তীর', 'বর্ষবরন', 'প্রাতঃকালীন', 'বয়সজনিত', 'পুণঃগঠন', 'বর্ষবরণের']
['উত্তর', 'উত্তরও', 'উত্তরখান', 'উত্তরই', 'উত্তরেও', 'উত্তরটা', 'উত্তরণ', 'উত্তরোত্তর', 'উত্তরটি', 'উত্তরের']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'বিকর্ষণ', 'উত্থানের', 'উদ্বর্তন', 'বিকর্ষণের', 'প্রবর্তন', 'উত্ত', 'পূনর্গঠন', 'বিক্রিয়া', 'পুণঃস্থাপন']
['বিকর্ষণ', 'বদলাবেন', 'বদলাবে', 'উদয়', 'বদলিয়ে', 'বদলালে', 'বদলান', 'غَيْرُ', 'বিরাগ', 'পরিবর্তি']
['বিকর্ষণ', 'বিরলতার', 'বিন্যাসের', 'বিকর্ষণের', 'বিমূর্তন', 'বিরোধে', 'বিক্রান্তকে', 'বিক্রান্তের', 'পরিবর্তি', 'বিকলতা']
['উজান', 'উজানের', 'উজানে', 'উসমান', 'উজানির', 'উজানি', 'উমরান', 'উসেইন', 'উজানী', 'উসাইন']
['বিকর্ষণ', 'উৎরাই', 'বিকর্ষণের', 'বিরলতার', 'পরিবর্তি', 'পূনর্গঠন', 'পরির্বতন', 'ব্যবর্তন', 'বর্তন', 'বিমূর্তন']
['বিকর্ষণ', 'বিকর্ষণের', 'বিমূর্তন', 'পরিবর্তি', 'পূনর্গঠন', 'পরিবর্ধন', 'পরির্বতন', 'বিমর্ষ', 'ব্যবর্তন', 'বিরলতার']
['', '', '', '', '', '', '', '', '', '']
['বিকর্ষণ', 'পরিবর্তি', 'বিতারা', 'ঊষা', 'বদরুন', 'খণ্ডাংশ', 'ঊষর', 'বদনখানি', 'বিন্যাসের', 'বিকলতা']
['একাল', 'বিকর্ষণ', 'পরিবর্তি', 'একালের', 'পরদা', 'পূনর্গঠন', 'বদির', 'ব্যবর্তন', 'বিকর্ষণের', 'বিরলতার']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনের', 'এখনে', 'এখনো', 'এখনকার', 'এখনেই', 'আজকেই', 'সখনো', 'এখনই', 'এখনি']
['বিকর্ষণ', 'কল্পনা', 'কল্পনাকে', 'কল্পনাও', 'বিন্যাসের', 'কল্পনায়', 'রূপকল্পনা', 'বিরলতার', 'বিন্যাসে', 'পরিবর্তি']
['কুমেরু', 'বিকর্ষণ', 'কুম্ভের', 'মুকাররম', 'কুমুদরঞ্জন', 'কুমিরের', 'কুমারভোগ', 'পরিবর্তি', 'কমলার', 'কুমারের']
['বিকর্ষণ', 'বিকর্ষণের', 'বিন্যাসের', 'বিরলতার', 'পরিবর্তি', 'বিক্রান্তের', 'বহিঃক্ষরা', 'বিদ্বজ্জন', 'বিকল্পধারায়', 'বিক্রান্তকে']
['কৃষ্ণাঙ্গ', 'কৃষ্ণার', 'কৃষ্ণবিবরের', 'কৃষ্ণণের', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণচূড়া', 'কৃষ্ণাদের', 'কৃষ্ণসারের', 'কালুবিতরাণা', 'বিকর্ষণ']
