['তুমি', 'আমরা', 'আপনা', 'আপনি', 'আমারা', 'আপনারই', 'তোমাদের', 'আমাদেরই', 'তোমরা', 'আমাদের']
['সুধী', 'সুধীন', 'সমাধী', 'সুধীজন', 'সুতী', 'সজনী', 'সুধীজনের', 'সুধা', 'ঠুলি', 'সুগভীর']
['সম্পাদক', 'সম্পাদিকার', 'সম্পাদকগণ', 'সম্পাদনার', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদিকা']
['পণ্ডিত', 'মণ্ডিত', 'পণ্ডিতের', 'সুপণ্ডিত', 'দন্ডিত', 'দিখন্ডিত', 'পাণ্ডিত্যের', 'পত্নী', 'দৈবচয়ন', 'মহাপণ্ডিত']
['মন্ত্রী', 'মন্ত্রীই', 'মন্ত্রীর', 'মন্ত্রি', 'মন্ত্রীগণের', 'মন্ত্রীকে', 'মন্ত্রীপরিষদের', 'মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীও']
['তোমরা', 'আমগুলো', 'আমি', 'তোরা', 'ওরাই', 'তোমারা', 'আমারা', 'হোতারা', 'এগরা', 'যারা']
['সে', 'সেগুলা', 'ওনাদের', 'তাঁর', 'সেগুলি', 'তোরা', 'তরা', 'এগরা', 'ওনারা', 'তাঁদের']
['তিনি', 'তোমরা', 'হোতারা', 'তাঁদের', 'তোরা', 'তারাদের', 'ওনাদের', 'যাঁরা', 'তোদের', 'তাদের']
['শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষক', 'শিক্ষাবিদদের']
['মাঝি', 'মাখজুমি', 'মাঝামাঝি', 'মাঝেই', 'মেয়াদি', 'মণি', 'মক্খলি', 'মুহুরী', 'মজলিশ', 'মাঝামঝি']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্র', 'ছাত্রনেতাদের', 'ছাত্রনেতারা', 'ছাত্রেরা', 'ছাত্রছাত্রীরা', 'ছাত্রগণ', 'শিষ্যদের', 'ছাত্রীরা']
['ধনী', 'ধনীদের', 'ধনীরা', 'ধনীর', 'ধনদৌলত', 'ধনের', 'ধনসম্পদের', 'ধনশালী', 'ধনসম্পদ', 'ধনাত্বক']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইরা', 'ভাইয়ে', 'ভাইব', 'ভাইপো', 'ভাইয়া', 'ভাইয়া', 'ভাইকে']
['শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষক', 'শিক্ষাবিদদের']
['গরু', 'গরুর', 'গরুদের', 'গরুমারা', 'গালভরা', 'গুরিরা', 'গোর্খারা', 'গুরুরা', 'গহিরা', 'গেলোরা']
['ছেলে', 'ছেলেরে', 'ছেলেদের', 'ছেলেমেয়েদের', 'ছেলেহারা', 'ছোটদের', 'ছেলেধরা', 'ছেল', 'ছেলেমেয়েকে', 'ছোটদের']
['মেয়ে', 'মেয়ে', 'কন্যাদের', 'মেয়ের', 'মেয়েকে', 'মেয়েকে', 'মেয়েদের', 'মেয়েরা', 'মেয়েদের', 'কন্যারা']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইরা', 'ভাইয়ে', 'ভাইব', 'ভাইপো', 'ভাইয়া', 'ভাইয়া', 'ভাইকে']
['পাখি', 'পাখীদের', 'পাখী', 'পাখতুন', 'পাখিতে', 'পাখনাগুলো', 'পাখিরাই', 'পাখতুনখাওয়া', 'পাখিদের', 'পাখা']
['সদস্যদরা', 'সদস্যেদের', 'সদস্যরা', 'সদস্যদের', 'সদস্যেরা', 'সদস্যগণ', 'সদস্য', 'সদস্যগুলো', 'সদস্যদেশ', 'সদস্যগন']
['সচিব', 'সচিবের', 'শেখপুরা', 'সিপাহীরা', 'সেবকরা', 'সাপগুলি', 'উপসচিব', 'সিজদায়', 'খুটামারা', 'সিপাহীদের']
['দর্শকগণ', 'দর্শক', 'দর্শকদের', 'দর্শকরা', 'দর্শকেরা', 'দর্শকগন', 'দর্শকের', 'দর্শকেরাই', 'দর্শককে', 'পরিদর্শকেরা']
['শিক্ষকরা', 'শিক্ষকনেতারা', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষক', 'শিক্ষাবিদদের']
['সুধী', 'সুধীরা', 'সমাধী', 'সামছুল', 'সাবেকরা', 'সাধুরা', 'এতিমদের', 'সাধকেরা', 'সাপেদের', 'সুধীজন']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদনার', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতগণ', 'পণ্ডিতের', 'পণ্ডিতদের', 'সুপণ্ডিত', 'চন্দনপুরা', 'পণ্ডিতরা', 'মহাপণ্ডিত', 'শিষ্যরা', 'মণ্ডিত']
['মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রীদেরকে', 'মন্ত্রী', 'মন্ত্রীই', 'মন্ত্রীর', 'মন্ত্রি']
['আমগুলো', 'তারা', 'আমি', 'ওরা', 'আমরা', 'আমারা', 'তাঁরা', 'আমারই', 'তারাই', 'আমরাই']
['তারা', 'তোমরা', 'তুমি', 'ওরা', 'আপনারাই', 'তোমাদের', 'আপনারা', 'তোমারা', 'তোমরা', 'তাঁরা']
['তারা', 'তাঁরা', 'ওরা', 'তারাদের', 'তারাই', 'উনাদের', 'তাঁরাই', 'তাদেরই', 'তাদের', 'ওদেরই']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণের', 'শিক্ষকরা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষাবিদগণ']
['মাঝি', 'মাখজুমি', 'মাঝামাঝি', 'মহকুমাগুলি', 'এমবাপ্পেরা', 'মেহদি', 'মামুনুলরা', 'মেয়াদি', 'মেহরি', 'পুরোহিতেরা']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্রেরা', 'ছাত্র', 'ছাত্রনেতাদের', 'ছাত্রগণ', 'ছাত্রছাত্রীরা', 'ছাত্রনেতারা', 'ছাত্রদেরকে', 'ছাত্ররাই']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'সমৃদ্ধশালী', 'ধনদৌলত', 'সম্পদশালী', 'ধনসম্পদের', 'বড়লোকদের', 'সমৃদ্ধ']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইবে', 'ভাইয়া', 'ভাইয়া', 'ভাইয়েরা', 'ভাইয়ে', 'ভাইয়েরা', 'ভাইব']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণের', 'শিক্ষকরা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষাবিদগণ']
['গালভরা', 'গুরুরা', 'গুরিরা', 'গরুমারা', 'গরু', 'গরুদের', 'গোর্খারা', 'গোবরা', 'গোচরা', 'গহিরা']
['ছেলেদের', 'ছেলেরা', 'ছেলেহারা', 'ছেলেমেয়েদের', 'ছেলেগুলোর', 'ছোটদের', 'পুত্রদের', 'ছেলেমেয়েরা', 'ছেলেগুলো', 'বালকেরা']
['কন্যাদের', 'কন্যারা', 'মেয়েদের', 'মেয়েরা', 'মেয়েরা', 'মেয়ে', 'মেয়ের', 'নারীরা', 'মেয়েশিশুদের', 'স্ত্রীরা']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইবে', 'ভাইয়া', 'ভাইয়া', 'ভাইয়েরা', 'ভাইয়ে', 'ভাইয়েরা', 'ভাইব']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিগুলি', 'পাখিদের', 'পাখনাগুলো', 'পাখনাগুলোকে', 'পাখিরাই', 'পাখিরা', 'পাখিগুলোর']
['সদস্যদের', 'সদস্যদরা', 'সদস্যেরা', 'সদস্যরা', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যগুলোর', 'সদস্যগুলো', 'সদস্যগুলি', 'সদস্যদেরকে']
['কবিগণ', 'সিপাহীদের', 'পাঁয়তারা', 'বারিধারা', 'সচিব', 'চন্দনপুরা', 'বসুন্ধরা', 'বাগধারা', 'শেখপুরা', 'প্রথাগুলি']
['দর্শকগণ', 'দর্শকরা', 'দর্শকেরা', 'দর্শকদের', 'দর্শক', 'দর্শকের', 'পরিদর্শকদের', 'দর্শকগন', 'প্রদর্শকদের', 'পরিদর্শকেরা']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণের', 'শিক্ষকরা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষাবিদগণ']
['সাধকেরা', 'সুধীরা', 'সাধকরা', 'বসুন্ধরা', 'গুণী', 'পুরোহিতরা', 'সাবেকরা', 'এতিমদের', 'সুধীজনদের', 'মতুয়ারা']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদনার', 'সম্পাদকীয়', 'সম্পাদককে']
['পণ্ডিতগণ', 'পণ্ডিত', 'পণ্ডিতরা', 'পণ্ডিতদের', 'পণ্ডিতের', 'পণ্ডিতগণের', 'পণ্ডিতেরা', 'বিবরণগুলো', 'দর্শনগুলির', 'বিবরণগুলি']
['মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীদেরকে', 'মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রীও', 'মন্ত্রি', 'মন্ত্রিপরিষদের']
['তারা', 'ওরা', 'আমগুলো', 'এরা', 'আমারা', 'আমি', 'আমা', 'ওরাই', 'উনারা', 'তাঁরা']
['তারা', 'ওরা', 'তোরা', 'এরা', 'তুমি', 'তোমরা', 'তোমারা', 'তাঁরা', 'উনারা', 'ওরাই']
['তারা', 'এরা', 'ওরা', 'সে', 'সেগুলা', 'এদের', 'উনারা', 'ওদের', 'তাঁরা', 'সেগুলি']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষিকাদের', 'শিক্ষক', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['মাঝি', 'ব্ঝি', 'মাখজুমি', 'মাগসি', 'মাঝেই', 'মাশি', 'মেয়াদি', 'মাঝামাঝি', 'মণি', 'মাউশি']
['ছাত্ররা', 'ছাত্র', 'ছাত্রদের', 'ছাত্রেরা', 'ছাত্রনেতারা', 'ছাত্রনেতাদের', 'ছাত্রীরা', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'ছাত্রগণ']
['ধনী', 'ধনীরা', 'ধনীদের', 'ধনীর', 'ধনের', 'ধনদৌলত', 'সমৃদ্ধ', 'বড়লোক', 'ধনশালী', 'সম্পদশালী']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়া', 'ভাইরা', 'ভাইপো', 'ভাইয়ে', 'ভাইবে', 'ভাইদের', 'ভাইব']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষিকাদের', 'শিক্ষক', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['গরু', 'গুরিরা', 'গরুর', 'গরুদের', 'গরুমারা', 'গহিরা', 'গুরা', 'গালভরা', 'গুরুরা', 'গোর্খারা']
['ছেল', 'ছেলে', 'ছেলেদের', 'পুত্রা', 'ছেলেরে', 'পুত্রেরা', 'ছেলেরা', 'পুত্রদের', 'ছেলেহারা', 'ছেলেগুলো']
['মেয়ে', 'মেয়ে', 'মেয়ের', 'কন্যাদের', 'মেয়েরা', 'মেয়েকে', 'কন্যারা', 'স্ত্রীরা', 'মেয়েরা', 'মেয়েদের']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়া', 'ভাইরা', 'ভাইপো', 'ভাইয়ে', 'ভাইবে', 'ভাইদের', 'ভাইব']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিদের', 'পাখিরা', 'পাখিগুলি', 'পাখনাগুলো', 'পাখতুন', 'পাখিগুলো', 'পাখিরাই']
['সদস্যেরা', 'সদস্যেদের', 'সদস্যদের', 'সদস্যদরা', 'সদস্যরা', 'সদস্যগণ', 'সদস্য', 'সদস্যগুলো', 'সদস্যদেশ', 'সদস্যগুলি']
['সচিব', 'সেবকরা', 'সচিবের', 'সিপাহীরা', 'শেখপুরা', 'সেগুলির', 'খুটামারা', 'সাপেরা', 'শেখরা', 'জহুরা']
['দর্শক', 'দর্শকরা', 'দর্শকেরা', 'দর্শকদের', 'দর্শকগণ', 'দর্শকের', 'দর্শকগন', 'পরিদর্শকেরা', 'পরিদর্শক', 'ধারাভাষ্যকররা']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষিকাদের', 'শিক্ষক', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['সুধী', 'সুধীরা', 'সুতরা', 'সেগুলির', 'সেবকরা', 'সাবেকরা', 'সেগুরা', 'সুদের', 'সেগুল', 'সমাধী']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদক', 'সম্পাদকদের', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদকীয়', 'সম্পাদিকা']
['পণ্ডিত', 'পণ্ডিতগণ', 'পণ্ডিতরা', 'শিষ্যরা', 'পণ্ডিতদের', 'পণ্ডিতের', 'পণ্ডিতেরা', 'শিষ্যেরা', 'সাহিত্যধারা', 'সুপণ্ডিত']
['মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীরা', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীগণের', 'মন্ত্রীই', 'মন্ত্রি', 'মন্ত্রীর', 'উপমন্ত্রীরা']
['আমি', 'আমগুলো', 'আমা', 'আমারই', 'আমারা', 'আমানি', 'আমরা', 'ওরাই', 'আমরাই', 'আমিতো']
['তুমি', 'তোমরা', 'তোমারা', 'তোমরা', 'আপনি', 'আপনারা', 'আপনারাই', 'তোমাদের', 'আপনা', 'তোরা']
['সে', 'উনা', 'সই', '°সে', 'ওরাই', 'সেগুলা', 'তারা', 'সেগুলি', 'সেই', 'ì']
['তিনি', 'তারাই', 'উনাই', 'তারা', 'তাঁরা', 'তাঁরাই', 'উনিই', 'ওরাই', 'উনাদের', 'তিনিই']
['মাঝি', 'ব্ঝি', 'মাখজুমি', 'মেয়াদি', 'মাঝামাঝি', 'মাগসি', 'মক্খলি', 'মাউশি', 'মাঝেই', 'মাতাজি']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্র', 'ছাত্রনেতারা', 'ছাত্রেরা', 'ছাত্রনেতাদের', 'ছাত্রীরা', 'ছাত্রছাত্রীরা', 'ছাত্রগণ', 'ছাত্ররাই']
['ধনী', 'ধনীরা', 'ধনীদের', 'ধনীর', 'ধনদৌলত', 'ধনের', 'ধনশালী', 'ধনসম্পদের', 'সমৃদ্ধ', 'ধনসম্পদ']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইয়া', 'ভাইবে', 'ভাইয়ে', 'ভাইয়া', 'ভাইপো', 'ভাইয়েরা', 'ভাইদের']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষাথীদের', 'শিক্ষকেরাই', 'শিক্ষাবিদদের']
['গরু', 'গালভরা', 'গুরিরা', 'গুরুরা', 'গরুমারা', 'গরুদের', 'গোর্খারা', 'গরুগুলো', 'গরুর', 'গহিরা']
['ছেলে', 'ছেলেদের', 'ছেলেহারা', 'পুত্রেরা', 'পুত্রদের', 'ছেলেমেয়েদের', 'ছেলেরে', 'পুত্রা', 'ছেলেমেয়েরা', 'ছেল']
['মেয়ে', 'মেয়ে', 'মেয়ের', 'কন্যাদের', 'মেয়েকে', 'মেয়েরা', 'মেয়েদের', 'মেয়েদের', 'স্ত্রীরা', 'মেয়েকে']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইয়া', 'ভাইবে', 'ভাইয়ে', 'ভাইয়া', 'ভাইপো', 'ভাইয়েরা', 'ভাইদের']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিগুলি', 'পাখিরা', 'পাখিদের', 'পাখিরাই', 'পাখনাগুলো', 'পাখতুন', 'পাখিগুলোর']
['সদস্যেরা', 'সদস্যদরা', 'সদস্যরা', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যদের', 'সদস্য', 'সদস্যগুলো', 'সদস্যগুলি', 'সদস্যরাই']
['সচিব', 'সেবকরা', 'সিপাহীরা', 'সচিবের', 'শেখপুরা', 'সাপগুলি', 'শৈলীগুলি', 'সিপাহীদের', 'খুটামারা', 'সাকিবদের']
['দর্শকেরা', 'দর্শকরা', 'দর্শকদের', 'দর্শকগণ', 'দর্শক', 'দর্শকের', 'দর্শকগন', 'দর্শকেরাই', 'পরিদর্শকেরা', 'ধারাভাষ্যকররা']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষাথীদের', 'শিক্ষকেরাই', 'শিক্ষাবিদদের']
['সুধী', 'সুধীরা', 'সাপগুলি', 'সাধকেরা', 'সমাধী', 'সাধকরা', 'সাবেকরা', 'সুতী', 'সুতরা', 'সেবকরা']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদনার', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদিকা']
['পণ্ডিত', 'পণ্ডিতগণ', 'পণ্ডিতরা', 'পণ্ডিতদের', 'পণ্ডিতেরা', 'পণ্ডিতের', 'শিষ্যরা', 'শৈলশিরা', 'চন্দনপুরা', 'সুপণ্ডিত']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'মন্ত্রীগণের', 'মন্ত্রীই', 'মন্ত্রী', 'উপমন্ত্রীরা', 'মন্ত্রি']
['আমি', 'আমরা', 'আমারা', 'আমা', 'আমগুলো', 'আমারই', 'আমারে', 'আমাদের', 'তারা', 'আমরাই']
['তুমি', 'তোমরা', 'তোমাদের', 'আপনা', 'আপনি', 'তোমরা', 'আপনারা', 'আপনারই', 'আপনারাই', 'তোরা']
['সে', 'উনা', 'তাঁর', 'তিনি', 'তারা', 'তদের', 'তাঁদের', 'তেরা', 'উনাই', 'সেগুলা']
['তিনি', 'তিনিই', 'তাঁরা', 'তারাই', 'উনাই', 'উনাদের', 'তারা', 'তাঁরাই', 'তাঁদের', 'তারাদের']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'অধ্যাপকগণ']
['ছাত্র', 'ছাত্ররা', 'ছাত্রদের', 'ছাত্রনেতাদের', 'ছাত্রছাত্রীরা', 'ছাত্রীর', 'ছাত্রেরা', 'ছাত্রগণ', 'শিষ্যদের', 'ছাত্রীরা']
['ধনীদের', 'ধনীরা', 'ধনী', 'ধনীর', 'ধনদৌলত', 'বড়লোক', 'সমৃদ্ধশালী', 'সমৃদ্ধ', 'সমৃদ্ধিলাভ', 'ধনসম্পদ']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়ের', 'ভাইকে', 'ভাইবে', 'ভাইজান', 'ভাইয়ে', 'ভাইজানের', 'ভাইয়াকে']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'অধ্যাপকগণ']
['গরুদের', 'গরু', 'গরুর', 'গুরিরা', 'গালভরা', 'গুরুরা', 'গলদা', 'কলেরা', 'গরিবদের', 'ভাকরা']
['ছেলে', 'ছেলেরে', 'ছেলের', 'ছেল', 'পুত্রা', 'ছেলেদের', 'ছেলেকে', 'ছেলেধরা', 'পুত্রে', 'বালকা']
['মেয়ে', 'মেয়ের', 'মেয়েকে', 'কন্যাদের', 'মেয়ে', 'মেয়েকে', 'স্ত্রী', 'পুত্রী', 'তরুণীরা', 'بنت']
['ভাই', 'ভাইও', 'ভাইয়া', 'ভাইয়ের', 'ভাইকে', 'ভাইবে', 'ভাইজান', 'ভাইয়ে', 'ভাইজানের', 'ভাইয়াকে']
['পাখীদের', 'পাখী', 'পাখিদের', 'পাখিরা', 'পাখতুন', 'পাখি', 'পাখিতে', 'পাখিটা', 'পাখীর', 'পাখনাগুলো']
['সদস্য', 'সদস্যগণ', 'সদস্যদের', 'সদস্যেদের', 'সদস্যদেশ', 'সদস্যের', 'সদস্যগন', 'সদস্যদরা', 'সদস্যেরা', 'সদস্যরা']
['সেবকরা', 'মধ্যশিরা', 'সাবেকরা', 'ধানতারা', 'ধারকদের', 'অভিজাতগণ', 'পবিতরা', 'পীযূষ', 'এতিমদের', 'দরবেশদের']
['দর্শক', 'দর্শকদের', 'দর্শকরা', 'দর্শকগণ', 'দর্শকের', 'দর্শকেরা', 'পরিদর্শক', 'দর্শকগন', 'পরিদর্শকদের', 'পরিদর্শকেরা']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকনেতারা', 'অধ্যাপকগণ']
['মধ্যশিরা', 'সুধীরা', 'মাঝিরা', 'সাবেকরা', 'সাধকরা', 'সাধকেরা', 'সাধকদের', 'সতেজতা', 'ধানতারা', 'সুধীন']
['সম্পাদক', 'সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদকেরা', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদককে', 'সম্পাদকের', 'সম্পাদিকা']
['পণ্ডিত', 'দন্ডিত', 'মধ্যশিরা', 'শিষ্যরা', 'পদার্থবিদের', 'অক্ষমদের', 'পণ্ডিতের', 'পণ্ডিতগণ', 'সুপণ্ডিত', 'পড়ুয়াদের']
['মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীই', 'মন্ত্রীর', 'মন্ত্রি', 'মন্ত্রীকে', 'মন্ত্রিপরিষদের']
['আমি', 'আমারই', 'আমগুলো', 'আমানি', 'আমরাই', 'আমরা', 'আমারা', 'আমা', 'ওরাই', 'তারাই']
['তুমি', 'তোমরা', 'তোমরা', 'আপনি', 'আপনারাই', 'তোমারা', 'তোমাদের', 'আপনারা', 'তুমিই', 'আপনা']
['সে', 'উনা', 'ওরাই', '°সে', 'সই', 'তারা', 'তিনি', 'উনাই', 'সেই', 'উনিই']
['তিনি', 'তারাই', 'তিনিই', 'তাঁরাই', 'উনাই', 'উনিই', 'তাঁরা', 'তারা', 'উনাদের', 'তাদেরই']
['শিক্ষকরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষকেরাই', 'শিক্ষক']
