['হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'লইলাম', 'হইয়াছে', 'অতছ', 'আসিয়াছিল', 'আছিলাম', 'খসিয়া', 'হইয়া']
['চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'আসিয়াছিলেন', 'লইয়াছিলেন', 'রাখিয়াছিলেন', 'দেখিয়াছিলেন', 'নিয়াছিলেন', 'পারিয়াছিলেন', 'গিয়াছিলাম', 'বলিয়াছিলেন']
['লইয়াছিলেন', 'করাইয়াছিলেন', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'পারিয়াছিলেন', 'পাইয়াছিলাম', 'গিয়াছিলেন', 'রাখিয়াছিলেন', 'হইয়াছিলেন', 'দেখিয়াছিলেন']
['রহিয়াছি', 'রহিয়াছেন', 'চাহিয়াছে', 'রাখিয়াছে', 'পাইয়াছে', 'লইয়াছে', 'বলিয়াছে', 'বসিয়াছে', 'ধরিয়াছে', 'দেখিয়াছে']
['হইয়াছিলেন', 'হইয়াছিলাম', 'হইয়াছি', 'হইয়াছেন', 'পাইয়াছিলাম', 'হইবেই', 'চাহিয়াছিলেন', 'লইলেন', 'লাগিলেন', 'থাকিলেন']
['লইতেছে', 'হইতেছে', 'যাইতেছে', 'হইয়াও', 'হইতেছি', 'চাহিতেছে', 'হইবেক', 'পলাইতেছে', 'হইবেই', 'যাইত']
['হইয়াছি', 'হইয়াও', 'হইয়াই', 'হইয়াছেন', 'হইয়াছ', 'হইয়াছিলাম', 'হইয়াছিলেন', 'হইয়াছিল', 'হইয়াছে', 'লইতেছে']
['দেখিয়াছ', 'দেখিয়াই', 'দেখিয়াছে', 'দেখিয়াছিলাম', 'দেখিয়াছি', 'দেখিলাম', 'দেখিল', 'দেখিয়াছিলেন', 'লইতেছে', 'দেখিতেছে']
['করিলম', 'করিলেক', 'করিলো', 'করিলেও', 'ধরিলেন', 'করিতেছেন', 'করিতেছে', 'করিয়াছিলাম', 'রহিলেন', 'করিয়াছিলেন']
['পড়িলাম', 'দেখিল', 'পড়িয়াছে', 'পড়িলেন', 'পড়িয়াছিল', 'চাহিতেছে', 'উঠিল', 'দেখিলাম', 'উঠিলে', 'ফেলিল']
['পড়িলাম', 'দেখিল', 'পড়িয়াছে', 'পড়িলেন', 'পড়িয়াছিল', 'চাহিতেছে', 'উঠিল', 'দেখিলাম', 'উঠিলে', 'ফেলিল']
['লাগিলো', 'লাগিলেন', 'লাগিলাম', 'লাগিলা', 'চাহিতেছে', 'লাগিতেছে', 'লইতেছে', 'দেখিল', 'বহিতেছে', 'লাগিত']
['তুলিয়া', 'খুলিয়াছে', 'লবটুলিয়া', 'ঢুলিয়া', 'ফেলিয়া', 'রাখিয়া', 'চাহিতেছে', 'ছিড়িয়া', 'ঠেলিয়া', 'দেখিল']
['বলিয়াছি', 'বলিয়াই', 'বলিয়াছিল', 'বলিয়অ', 'বলিয়াছিলাম', 'বলিয়াছিলেন', 'বলিয়াছে', 'বলিয়াÂ', 'বলিয়াছেন', 'বলিবেন']
['দেখিল', 'ভাঙিল', 'চলিল', 'দেখিলাম', 'পড়িতেছে', 'বহিতেছে', 'উঠিতেছে', 'উঠিলে', 'লইতেছে', 'পড়িয়াছে']
['ফুটাইতে', 'ভাঙাইয়া', 'উঠাইতে', 'পলাইতে', 'বুজাইতে', 'পরাইতে', 'ছুটাইতে', 'জাইতে', 'ধরাইতে', 'বসাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'ফুটিবে', 'ফুটিল', 'তুলিবে', 'দেখিল', 'উঠিয়াছিল', 'বুঝিয়াছিলাম', 'দেখিয়াছিলাম', 'তুলিল']
['ছুটিতেছে', 'ছুটিতেও', 'চরণস্খলনে', 'কাটাইয়াছিলেন', 'আসিয়াছিলাম', 'ছুটি', 'ছুটিল', 'পাইয়াছিলাম', 'আসিয়াছিলেন', 'ছুটিকালীন']
['আসিয়াছিল', 'আসিয়াছিলেন', 'আসিয়াছিলাম', 'গিয়াছিল', 'আসিয়াই', 'আসিয়াছি', 'গিয়াছি', 'গিয়াছিলাম', 'আসিয়াছ', 'আনিয়াছি']
['গিয়াছিলাম', 'হইয়াছিলাম', 'লইলাম', 'গিয়াছি', 'হইয়াছি', 'হইয়াছিল', 'পড়িয়াছিলাম', 'দিয়াছিলাম', 'আসিয়াছিলাম', 'আনিয়াছিল']
['করিয়াছিলেন', 'করিয়াছিলাম', 'করিয়াছিল', 'হইয়াছিল', 'চাহিয়াছিলেন', 'লইয়াছিল', 'করিতেছে', 'রাখিয়াছিলেন', 'দিয়াছিলেন', 'দিয়াছিল']
['করিয়াছিলেন', 'করিয়াছিলাম', 'করিয়াছিল', 'হইয়াছিল', 'চাহিয়াছিলেন', 'লইয়াছিল', 'করিতেছে', 'রাখিয়াছিলেন', 'দিয়াছিলেন', 'দিয়াছিল']
['লইয়াছিলেন', 'নিয়াছিলেন', 'চাহিয়াছিলেন', 'পাইয়াছিলাম', 'পড়িয়াছিলেন', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'করাইয়াছিলেন', 'দেখিয়াছিলেন', 'আসিয়াছিলেন']
['লইয়াছিলেন', 'নিয়াছিলেন', 'পাইয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'আসিয়াছিলেন', 'করাইয়াছিলেন', 'দেখিয়াছিলেন', 'পারিয়াছিলেন']
['আনিয়াছে', 'গিয়াছে', 'রহিয়াছি', 'রাখিয়াছে', 'রাখিয়াছিল', 'লইয়াছে', 'হইয়াছিল', 'লইয়াছিল', 'রহিয়াছেন', 'ধরিয়াছে']
['হইয়াছিলেন', 'হইয়াছিলাম', 'হইয়াছিল', 'বলিয়াছিলেন', 'গিয়াছিলাম', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিল', 'পড়িয়াছিলেন', 'নিয়াছিলেন']
['হইতেছে', 'হইয়াছিল', 'আনিয়াছিল', 'হইয়াও', 'বলিয়াছিল', 'দিয়াছিল', 'রাখিয়াছিল', 'গিয়াছিল', 'দিয়াছিলাম', 'গিয়াছিলাম']
['হইয়াছিল', 'হইয়াও', 'হইয়াছি', 'হইয়াছিলেন', 'হইয়াছে', 'গিয়াছিল', 'হইয়াছিলাম', 'উঠিয়াছিল', 'হইয়াছেন', 'গিয়াছি']
['দেখিয়াছিলাম', 'দেখিয়াছি', 'দেখিয়াই', 'দেখিয়াছে', 'দেখিয়াছ', 'দেখিয়াছিলেন', 'বলিয়াছিল', 'আসিয়াছিল', 'গিয়াছিল', 'উঠিয়াছিল']
['করিলম', 'করিয়াছিলেন', 'করিয়াছিলাম', 'করিলো', 'ধরিলেন', 'করিলেক', 'রাখিয়াছিলেন', 'বলিয়াছিলেন', 'করিলেও', 'চাহিয়াছিলেন']
['পড়িয়াছিল', 'আনিয়াছি', 'উঠিয়াছিল', 'গিয়াছিল', 'আসিয়াছিল', 'আনিয়াছিল', 'উঠিলে', 'পড়িয়াছে', 'দেখিল', 'গিয়াছি']
['পড়িয়াছিল', 'আনিয়াছি', 'উঠিয়াছিল', 'গিয়াছিল', 'আসিয়াছিল', 'আনিয়াছিল', 'উঠিলে', 'পড়িয়াছে', 'দেখিল', 'গিয়াছি']
['লাগিলো', 'লাগিলেন', 'লাগিলাম', 'উঠিয়াছিল', 'দেখিল', 'বসিয়াছিল', 'উঠিলেন', 'আনিয়াছিল', 'লাগিত', 'আনিয়াছি']
['তুলিয়া', 'গিয়াছিল', 'গিয়াছি', 'খুলিয়াছে', 'আনিয়া', 'আসিয়াছিল', 'উঠিয়াছিল', 'দিয়াছিল', 'আনিয়াছি', 'আনিয়াছিল']
['বলিয়াছিল', 'বলিয়াছি', 'বলিয়াছিলেন', 'বলিয়াই', 'বলিয়াছিলাম', 'বলিয়অ', 'বলিয়াছে', 'হইয়াছিল', 'গিয়াছিল', 'বলিয়াÂ']
['আনিয়াছি', 'ভাঙিল', 'দেখিল', 'গিয়াছিল', 'উঠিয়াছিল', 'আনিয়াছিল', 'উঠিলে', 'পড়িয়াছিল', 'গিয়াছি', 'আসিয়াছিল']
['বসাইতে', 'ফুটাইতে', 'পলাইতে', 'শুকাইতে', 'পরাইতে', 'চরাইতে', 'ধরাইতে', 'পাডাইতে', 'জাইতে', 'উঠাইতে']
['ফুটিয়াছিল', 'ফুটিয়াছে', 'আনিয়াছিল', 'আনিয়াছি', 'উঠিয়াছিল', 'গিয়াছিল', 'রাখিয়াছিল', 'চাহিয়াছিল', 'বুঝিয়াছিলাম', 'দেখিয়াছিলাম']
['ছুটিতেছে', 'গিয়াছিলাম', 'আসিয়াছিলাম', 'আসিয়াছিলেন', 'আসিয়াছিল', 'গিয়াছিলো', 'গিয়াছিল', 'গিয়াছিলুম', 'পড়িয়াছিলাম', 'বসিয়াছিল']
['আসিয়াছিল', 'আসিয়াছিলেন', 'আসিয়াছিলাম', 'হইয়াছিল', 'লইয়াছিল', 'বলিয়াছিলেন', 'বলিয়াছিল', 'উঠিয়াছিল', 'আনিয়াছিল', 'দিয়াছিল']
['হইয়াছিলাম', 'হইয়াছিল', 'হইয়াছিলেন', 'হইয়াছি', 'পাইয়াছিলাম', 'দিয়াছিলাম', 'বলিয়াছিলাম', 'বুঝিয়াছিলাম', 'পড়িয়াছিলাম', 'লইয়াছিলাম']
['করিয়াছিলেন', 'হইয়াছিল', 'করিয়াছিল', 'করিয়াছিলাম', 'করাইয়াছিলেন', 'দিয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'পাইয়াছিলেন', 'লইয়াছিলেন']
['করিয়াছিলেন', 'হইয়াছিল', 'করিয়াছিল', 'করিয়াছিলাম', 'করাইয়াছিলেন', 'দিয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'পাইয়াছিলেন', 'লইয়াছিলেন']
['লইয়াছিলেন', 'নিয়াছিলেন', 'পাইয়াছিলাম', 'করাইয়াছিলেন', 'দিয়াছিলেন', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'দেখিয়াছিলেন', 'পাইয়াছিল', 'পারিয়াছিলেন']
