['যেমতি', 'কহ', 'ভাম', 'শরমে', 'কহিবে', 'লাজে', 'ধায়', 'যায়রে', 'রহিছে', 'VDO']
['মিঃকাঁচা', 'কাচা', 'মতোকাঁচা', 'কাপকাঁচা', 'আধকাঁচা', 'কাঁচাঘর', 'কাঁচাফল', 'পাকা', 'কাঁচাআম', 'কাঁচাই']
['পবেশমূল্য', '১৪০০০টাকা', '২০১৩মূল্য', 'ভিওিমূল্য', 'তারিখ', '৩০দিন', 'মূল্যর', 'মূল্যঃ', '১৪,৯৯০', 'মূল্যটি']
['আয়নুল', 'মিটু', 'নজমূল', 'ময়নুর', 'আশাদ', 'মফে', 'মজুঃ', 'নমু', 'ময়নুল', 'এহছান']
['Q8IBN5', 'কোয়ালা', 'পনিটেল', 'ম্যান্ডোলীন', 'দারুকীর', 'স্মুথলি', 'কোয়ালিটিও', 'সরোদকে', 'স্টেপের', 'ভালো']
['পরলক', 'গমণ', 'যকের', 'ধধ', 'যখের', 'খাখ', 'সান‘আয়', 'গমনের', 'খেচা', 'mPK']
['রাজী', 'রাজিও', 'নিমরাজি', 'রাজিই', 'রাজীও', 'আত্বহত্যা', 'রাজীভ', 'অরাজি', 'গররাজি', 'রাজীই']
['গবাষনা', 'freaks', 'অবাস্তব', 'বীজদ্বয়', 'বাস্তবরুপ', 'amatuer', 'বাস্তবই', '3D', 'বাস্তবর', 'মন']
['পন্থি', 'লীগপন্থী', 'শিয়াপন্থী', 'রূশপন্থী', 'জোটপন্থী', 'পাকপন্থী', 'জামাতপন্থী', 'বাওঁপন্থী', 'মার্কিনপন্থী', 'স্বাধীনতাপন্থী']
['খামচির', 'লাথিটা', 'খামচাখামচি', 'ছ্যাঁদা', 'খামচি', 'স্লথ', 'গতির', 'গুঁতো', 'কোপের', 'ঝাপটা']
['হিংসি', 'হিংসাও', 'পরহিংসা', 'হিংসাই', 'হিংসারই', 'হিংসাকৃত', 'হিংসাবিদ্বেষ', 'সহিংসা', 'হিংসাপূর্ণ', 'হিংসাহীন']
['নাঙলৈ', 'লসহাও', 'রুইসহ', 'সিগল', 'L32.1', 'arsinoe', 'এইমোস', 'Jatt', 'পুঁট', 'ধান৭৪']
['আইনের', 'সংবিধান', 'ওষুধনীতি', 'আইনও', 'অধিকারবিষয়ক', 'অধিকার', 'আইনে', 'কার্যকরণের', 'নিয়মবিধি', 'সমর্পণপরামর্শবিধি']
['জোয়ারে', 'জনজোয়ার', 'জোয়ারও', 'জোয়ারেই', 'জোয়ারেও', 'তলপেট', 'বুকেও', 'জোয়ারী', 'গনজোয়ার', 'জোয়ার']
['অপূর্ন', 'পূর্ণ', 'আস্হা', 'মুখটাই', 'ভরে', 'অপূর্নতা', 'অনুরাধাকে', 'দুচোখ', 'উজ্জল', 'চোখকানা']
['কৌশলঃ', 'কৌশল১', 'কৌশলসহ', 'কৌশলই', 'কৌশলটাই', 'কৌশলম', 'কৌশলএকটু', 'পদ্ধতি', 'উপায়আমরা', 'পদ্ধতিঃ']
['জ্ঞানের', 'জ্ঞানন', 'জ্ঞানলব্ধ', 'জ্ঞানে', 'জ্ঞানও', 'জ্ঞানগৃহ', 'জ্ঞানজ', 'জ্ঞানেরআলোর', 'তত্ত্বজ্ঞান', 'ইলহামী']
['শেষে', 'শেষের', 'শুরু', 'শেষেই', 'বাছায়', 'দ্বিশতকের', 'শুরুর', 'সবকটিই', 'সমাপ্ত', 'ষোলোর']
['বিঘে', 'হয়্যা', 'ভুলাও', 'বাবন', 'দেগা', 'নহি', 'য়েনো', 'অইয়া', 'অকুল', 'ঝুরে']
['শেষে', 'সম্পন্ন', 'আগেই', 'সমাপ্ত', 'কাজটুকু', 'আশাটুকুও', 'মূহূর্তের', 'বিশ্বাসটুকু', 'আত্মসর্ম্পণ', 'অনুরোধটা']
['বিঘে', 'ফুরোল', 'বিঘের', 'বিঘেতে', 'শেষই', 'এইরে', 'জ়েরক্স', 'সেধেছি', 'শুকায়ে', 'মরছি']
['জ্ঞানশুণ্য', 'জ্ঞানশুন্য', 'জ্ঞানটা', 'শেষে', 'জ্ঞানশূণ্য', 'জ্ঞানহারা', 'হিতাহিত', 'জ্ঞানবুদ্ধি', 'জ্ঞানন', 'জীবনোপভোগ']
['রষ', 'রভ', 'ربّ', 'p9', 'রফ', 'আৰ', 'মাচট', 'উউ', 'রঢ়', 'পেরটের']
['ব্যধিটি', 'ব্যধীতে', 'বাইফিডা', 'ম্যাকনাহে', 'লেগাটো', '২৫৬,৪৯৮', 'ব্যধি', 'p9', 'রর', 'মশাে']
['লেগাটো', 'রফ', 'ربّ', 'রভ', 'মিনকোফ', 'p9', 'p8', 'নে', 'রয', 'উউ']
['রোগের', 'অর্শ্ব', 'চর্মরোগের', 'leucorrhoea', 'নিরাময়েও', 'Leucorrhoea', 'প্রতিষেধক', 'আমাশা', 'ব্যাধিও', 'রোগসহ']
['লেগাটো', 'সাজসাজ', 'ওয়েইনরাইট', 'রবের', 'ম্যাকনাহে', 'ডিলোইটেস', 'গন্টলেট', 'পড়ূয়া', 'সোবান', 'হুম্যান']
['রসের', 'পেরটের', 'রসও', 'স্কেবিস', 'এডামসলা', 'পেয়াজের', 'তোকমার', 'প্রতিষেধক', 'রোগের', 'আমাশা']
['ধায়', 'ভাম', 'অকাজই', 'ধড়া', 'মরিবেই', 'মেদুুরে', 'shokti', 'আহুরদরক', '০০৪৭', 'वैदिकी']
['লুঠকে', 'কারটা', 'সাধ্যি', 'ইওজি', 'লইখতে', 'কোথায়\ufeff', 'আম্\u200c', 'কখন', 'আমই', 'অহম্\u200c']
['বৃষ্টির', 'বৃষ্টিও', 'বৃষ্ঠি', 'বৃষ্টিই', 'বৃষ্টিধারা', 'মুষলধারে', 'বৃষ্টিগর্ভ', 'বৃষ্টিধোয়া', 'বৃষ্টিজনিত', 'বৃষ্টিকণা']
['রুপ', 'পরলোক', 'গমনের', 'ধৃতিহোম', 'ব্রহ্মলোকের', 'কাত্রা', 'ব্রহ্মলোকে', 'পুনঃঅবস্থান', 'যোগদিতে', 'মৌনমুগাও']
['কর্মযঞ্জ', 'কর্মঃ', 'কর্ম’র', 'কর্মপদ', 'কর্মভাববাচ্য', 'কর্মমূখর', 'কর্মবহুল', 'জীবন', 'সৃজনকর্ম', 'জীবনকর্ম']
['رِزْقَهَا', 'خَلَقَهَا', 'خَرَقَهَا', 'খয়রাতও', 'দানকবীর', 'খয়রাতে', 'সহাযোগিতা', 'আকারধারণ', 'pageStartpagePrevpage1page2page3page4page5page6page7page8page9page10pageNextpageEnd', 'যতখুশী']
['ব্যক্তিকে', '2632.1', "AfD'd", 'L32.1', 'ব্যক্তির', 'ব্যক্তিঃ', 'ব্যাক্তি', 'ব্যক্তই', '32.1', 'জ্ঞানীব্যক্তি']
['রক্তই', 'রক্তঋণে', 'রক্তের', 'রক্তয়ী', 'রক্ততো', 'রক্তজমাট', 'রক্ত’র', 'রক্তপড়া', 'রক্তলালসা', 'রক্তছড়ি']
['উদক্ষেপণ', 'উত্ক্ষেপণ', 'প্ৰক্ষেপণ', 'উতক্ষেপণ', 'উক্ষেপণ', 'ক্ষেপণস্ত্র', 'উৎপক্ষেপণ', 'সময়ক্ষেপণ', 'ক্ষেপণসাধ্য', 'ক্ষেপু']
['ফরাত', 'কুটো', 'কিনারা', 'ভোগী', 'ছিলো.মনে', 'চেলা', 'দখলীয়', 'জইন্যে', 'ঢুনঢে', 'কহিব']
['কাজও', 'ওরিঝোভো', 'কাজটিই', 'কাজটিও', 'কাজটি', 'কাজের', 'কাজটাও', 'কাজটার', 'পথটা', 'সমাধাণ']
['হাজিরও', 'হাজিরই', 'হাজিরের', 'ইডির', 'উপস্থিত', 'গরহাজির', 'এসেহাজির', 'উপিস্থিত', 'হাজিরে', 'আবির্ভূত']
['সুড়কি', 'দালানঘর', 'দালানর', 'ইটের', 'দালানটার', 'দালানগৃহ', 'পথরের', 'সুড়কির', 'চুনকাম', 'নোনাধরা']
['সপ্তাহ', '৫দিন', '১০দিন', '৩দিন', '৩৬৫দিন', 'মাস', 'ছয়দিন', '৩০দিন', 'দিনের', '৪দিন']
['হাচান', 'আয়নুল', 'এমাদুল', 'জেবুল', 'কায়জার', 'অালম', 'নজমূল', 'সেবুল', 'ইচাহাক', 'মহিব']
['Q8IBN5', 'দারুন', 'ভালো', 'একটা', 'দারুণই', 'পানিতি', 'দারুণসব', 'টাস্কিত', 'ধাঁধালো', 'টাস্কে']
['যকের', 'দৌলত', 'পরলক', 'যখের', 'ধনা', 'সস্পদ', 'ধণ', 'ধধ', 'কেন‘আনে', 'হাকেগে']
['হত্যা', 'খুনের', 'ধর্ষণ', 'হত্যার', 'নিহত', 'গুম', 'খারাবি', 'শ্বাসরোধ', 'হত্যাও', 'নৃশংসভাবে']
['জয়ও', 'লড়ার', 'জয়কার', 'জয়ে', 'ভয়কে', 'জয়টি', 'জয়ই', 'দৃড়', 'পরাজয়', 'চারটিই']
['দলত্যাগী', 'শিয়াপন্থী', 'তিতিক্ষা', 'পন্থি', 'দলত্যাগীরা', 'মধ্যপন্থী', 'ত্যাগী', 'নিষ্শাস', 'মাওপন্থী', 'বামপন্থী']
['কুড়াল', '১৩৯মাঃ', 'সুইংয়ে', 'ফলা', 'চাকু', 'স্লোয়ারে', 'স্লোয়ার', 'আঁক', 'ধারালো', 'সাবল']
['ধ্বনিল', 'ধ্বনিও', 'ধ্বনিছে', 'ধ্বনিঃ', 'ধ্বনিই', 'ধ্বনিক', 'ধ্বনিতে', 'ধ্বনিতরঙ্গগত', 'ধ্বনিতরঙ্গ', 'ধ্বনিরেখ']
['নাঙলৈ', 'L32.1', 'মেজাব', "AfD'd", '2632.1', 'সিগল', 'মেজাজই', 'লসহাও', 'পুঁট', 'রুইসহ']
['শাসনক্ষমতা', 'অধিকার', 'দখলের', 'দখলে', 'দখলকরে', 'ক্ষমতা', 'কালাকানুন', 'শাসন', 'শাসনক্ষেত্র', 'শাসনক্ষমতার']
['ভরাই', 'ভরায়', 'ভরান', 'গেরেট', 'ভরাত', 'পেঠ', 'তেড়া', 'পেটও', 'ফেঁড়ে', 'চিড়ে']
['চোখ', 'ನಾಗಸಂಪಿಗೆ', 'মুখটি', 'মূখ', 'গোমড়া', 'মুখটা', 'তিরিন', 'বুজেও', 'দুচোখ', 'ঠোঁটজোড়া']
['মাস', 'দিনের', 'সপ্তাহ', 'সপ্তাহেরও', 'ছয়দিন', 'আগে', 'সময়', 'তৃতীয়দিন', 'গতদিন', 'বছর']
